1678_142279_000000_000000	They were startled by hearing Mrs. Hale inquiring for her daughter.	They were startled by hearing mrs Hale inquiring for her daughter.	false	0	7.35	20.22995
1678_142279_000047_000005	Presently he opened the room-door, and stood there uncertain whether to come in. His face was gray and pale; he had a timid, fearful look in his eyes; something almost pitiful to see in a man's face; but that look of despondent uncertainty, of mental and bodily languor, touched his wife's heart.	Presently he opened the room door, and stood there uncertain whether to come in. His face was gray and pale; he had a timid, fearful look in his eyes; something almost pitiful to see in a man's face; but that look of despondent uncertainty, of mental and bodily languor, touched his wife's heart.	false	1105.61	1130.56	21.347055
1678_142279_000047_000006	She went to him, and threw herself on his breast, crying out--	She went to him, and threw herself on his breast, crying out-	true	1131.41	1135.32	21
1678_142279_000048_000000	'Oh! Richard, Richard, you should have told me sooner!'	'Oh! Richard, Richard, you should have told me sooner!'	true	1135.32	1139.47	25.264622
1678_142279_000049_000000	And then, in tears, Margaret left her, as she rushed up-stairs to throw herself on her bed, and hide her face in the pillows to stifle the hysteric sobs that would force their way at last, after the rigid self-control of the whole day.	And then, in tears, Margaret left her, as she rushed up stairs to throw herself on her bed, and hide her face in the pillows to stifle the hysteric sobs that would force their way at last, after the rigid self control of the whole day.	false	1140.29	1154.95	24.72045
1678_142279_000049_000001	How long she lay thus she could not tell. She heard no noise, though the housemaid came in to arrange the room. The affrighted girl stole out again on tip-toe, and went and told Mrs. Dixon that Miss Hale was crying as if her heart would break: she was sure she would make herself deadly ill if she went on at that rate.	How long she lay thus she could not tell. She heard no noise, though the housemaid came in to arrange the room. The affrighted girl stole out again on tip toe, and went and told mrs Dixon that Miss Hale was crying as if her heart would break: she was sure she would make herself deadly ill if she went on at that rate.	false	1156.07	1175.44	22.750381
1678_142279_000049_000002	In consequence of this, Margaret felt herself touched, and started up into a sitting posture; she saw the accustomed room, the figure of Dixon in shadow, as the latter stood holding the candle a little behind her, for fear of the effect on Miss Hale's startled eyes, swollen and blinded as they were.	In consequence of this, Margaret felt herself touched, and started up into a sitting posture; she saw the accustomed room, the figure of Dixon in shadow, as the latter stood holding the candle a little behind her, for fear of the effect on Miss Hale's startled eyes, swollen and blinded as they were.	true	1176.47	1195.24	22.843796
1678_142279_000050_000000	'Oh, Dixon!	'Oh, Dixon!	true	1196.15	1197.97	25.336672
1678_142279_000050_000001	I did not hear you come into the room!' said Margaret, resuming her trembling self-restraint. 'Is it very late?' continued she, lifting herself languidly off the bed, yet letting her feet touch the ground without fairly standing down, as she shaded her wet ruffled hair off her face, and tried to look as though nothing were the matter; as if she had only been asleep.	I did not hear you come into the room!' said Margaret, resuming her trembling self restraint. 'Is it very late?' continued she, lifting herself languidly off the bed, yet letting her feet touch the ground without fairly standing down, as she shaded her wet ruffled hair off her face, and tried to look as though nothing were the matter; as if she had only been asleep.	true	1198.25	1222.54	21.177055
1678_142279_000051_000000	'I hardly can tell what time it is,' replied Dixon, in an aggrieved tone of voice.	'I hardly can tell what time it is,' replied Dixon, in an aggrieved tone of voice.	true	1223.96	1229.32	23.681065
1678_142279_000051_000001	'Since your mamma told me this terrible news, when I dressed her for tea, I've lost all count of time.	'Since your mamma told me this terrible news, when I dressed her for tea, I've lost all count of time.	true	1229.78	1234.51	22.957994
1678_142279_000051_000002	I'm sure I don't know what is to become of us all.	I'm sure I don't know what is to become of us all.	false	1234.94	1237.53	19.57003
1678_142279_000051_000003	When Charlotte told me just now you were sobbing, Miss Hale, I thought, no wonder, poor thing!	When Charlotte told me just now you were sobbing, Miss Hale, I thought, no wonder, poor thing!	true	1237.53	1241.95	21
1678_142279_000051_000004	And master thinking of turning Dissenter at his time of life, when, if it is not to be said he's done well in the Church, he's not done badly after all.	And master thinking of turning Dissenter at his time of life, when, if it is not to be said he's done well in the Church, he's not done badly after all.	true	1242.98	1252.15	23.775963
1678_142279_000051_000005	I had a cousin, miss, who turned Methodist preacher after he was fifty years of age, and a tailor all his life; but then he had never been able to make a pair of trousers to fit, for as long as he had been in the trade, so it was no wonder; but for master! as I said to missus, "What would poor Sir John have said?	I had a cousin, miss, who turned Methodist preacher after he was fifty years of age, and a tailor all his life; but then he had never been able to make a pair of trousers to fit, for as long as he had been in the trade, so it was no wonder; but for master! as I said to missus, "What would poor Sir john have said?	true	1252.49	1270.51	23.327465
1678_142279_000051_000006	he never liked your marrying Mr. Hale, but if he could have known it would have come to this, he would have sworn worse oaths than ever, if that was possible!"'	he never liked your marrying mr Hale, but if he could have known it would have come to this, he would have sworn worse oaths than ever, if that was possible!"'	true	1270.52	1279.03	23.688883
1678_142279_000052_000000	Dixon had been so much accustomed to comment upon Mr. Hale's proceedings to her mistress (who listened to her, or not, as she was in the humour), that she never noticed Margaret's flashing eye and dilating nostril.	Dixon had been so much accustomed to comment upon mr Hale's proceedings to her mistress (who listened to her, or not, as she was in the humour), that she never noticed Margaret's flashing eye and dilating nostril.	false	1280.03	1294.36	19.408998
1678_142279_000052_000001	To hear her father talked of in this way by a servant to her face!	To hear her father talked of in this way by a servant to her face!	true	1294.61	1300.27	23.655432
1678_142279_000053_000000	'Dixon,' she said, in the low tone she always used when much excited, which had a sound in it as of some distant turmoil, or threatening storm breaking far away.	'Dixon,' she said, in the low tone she always used when much excited, which had a sound in it as of some distant turmoil, or threatening storm breaking far away.	true	1300.61	1312.51	19.562159
1678_142279_000053_000001	'Dixon! you forget to whom you are speaking.' She stood upright and firm on her feet now, confronting the waiting-maid, and fixing her with her steady discerning eye.	'Dixon! you forget to whom you are speaking.' She stood upright and firm on her feet now, confronting the waiting maid, and fixing her with her steady discerning eye.	true	1313.21	1324.36	26.55196
1678_142279_000053_000002	'I am Mr. Hale's daughter.	'I am mr Hale's daughter.	true	1325.09	1327.57	25.729351
1678_142279_000053_000003	Go!	Go!	true	1328	1328.81	19.89828
1678_142279_000053_000004	You have made a strange mistake, and one that I am sure your own good feeling will make you sorry for when you think about it.'	You have made a strange mistake, and one that I am sure your own good feeling will make you sorry for when you think about it.'	true	1328.81	1338.37	21.79612
1678_142279_000054_000000	Dixon hung irresolutely about the room for a minute or two.	Dixon hung irresolutely about the room for a minute or two.	true	1338.53	1342.39	20
1678_142279_000054_000001	Margaret repeated, 'You may leave me, Dixon.	Margaret repeated, 'You may leave me, Dixon.	true	1342.91	1345.88	23.206663
1678_142279_000054_000002	I wish you to go.' Dixon did not know whether to resent these decided words or to cry; either course would have done with her mistress: but, as she said to herself, 'Miss Margaret has a touch of the old gentleman about her, as well as poor Master Frederick; I wonder where they get it from?' and she, who would have resented such words from any one less haughty and determined in manner, was subdued enough to say, in a half humble, half injured tone:	I wish you to go.' Dixon did not know whether to resent these decided words or to cry; either course would have done with her mistress: but, as she said to herself, 'Miss Margaret has a touch of the old gentleman about her, as well as poor Master Frederick; I wonder where they get it from?' and she, who would have resented such words from any one less haughty and determined in manner, was subdued enough to say, in a half humble, half injured tone:	false	1345.88	1374.87	22.521326
1678_142279_000055_000000	'Mayn't I unfasten your gown, miss, and do your hair?'	'Mayn't I unfasten your gown, miss, and do your hair?'	false	1374.87	1381.57	17.530306
1678_142279_000056_000000	'No! not to-night, thank you.' And Margaret gravely lighted her out of the room, and bolted the door.	'No! not to night, thank you.' And Margaret gravely lighted her out of the room, and bolted the door.	true	1382.78	1390.36	24.56846
1678_142279_000056_000001	From henceforth Dixon obeyed and admired Margaret.	From henceforth Dixon obeyed and admired Margaret.	true	1390.61	1393.9	21.62311
1678_142279_000056_000002	She said it was because she was so like poor Master Frederick; but the truth was, that Dixon, as do many others, liked to feel herself ruled by a powerful and decided nature.	She said it was because she was so like poor Master Frederick; but the truth was, that Dixon, as do many others, liked to feel herself ruled by a powerful and decided nature.	true	1394.03	1406.59	24.058502
1678_142279_000057_000000	Margaret needed all Dixon's help in action, and silence in words; for, for some time, the latter thought it her duty to show her sense of affront by saying as little as possible to her young lady; so the energy came out in doing rather than in speaking.	Margaret needed all Dixon's help in action, and silence in words; for, for some time, the latter thought it her duty to show her sense of affront by saying as little as possible to her young lady; so the energy came out in doing rather than in speaking.	false	1406.75	1422.31	23.904104
1678_142279_000057_000001	A fortnight was a very short time to make arrangements for so serious a removal; as Dixon said, 'Any one but a gentleman--indeed almost any other gentleman--' but catching a look at Margaret's straight, stern brow just here, she coughed the remainder of the sentence away, and meekly took the horehound drop that Margaret offered her, to stop the 'little tickling at my chest, miss.' But almost any one but Mr. Hale would have had practical knowledge enough to see, that in so short a time it would be difficult to fix on any house in Milton-Northern, or indeed elsewhere, to which they could remove the furniture that had of necessity to be taken out of Helstone vicarage.	A fortnight was a very short time to make arrangements for so serious a removal; as Dixon said, 'Any one but a gentleman-indeed almost any other gentleman-' but catching a look at Margaret's straight, stern brow just here, she coughed the remainder of the sentence away, and meekly took the horehound drop that Margaret offered her, to stop the 'little tickling at my chest, miss.' But almost any one but mr Hale would have had practical knowledge enough to see, that in so short a time it would be difficult to fix on any house in Milton Northern, or indeed elsewhere, to which they could remove the furniture that had of necessity to be taken out of Helstone vicarage.	false	1422.5	1465	22.59803
1678_142279_000057_000002	Mrs. Hale, overpowered by all the troubles and necessities for immediate household decisions that seemed to come upon her at once, became really ill, and Margaret almost felt it as a relief when her mother fairly took to her bed, and left the management of affairs to her.	mrs Hale, overpowered by all the troubles and necessities for immediate household decisions that seemed to come upon her at once, became really ill, and Margaret almost felt it as a relief when her mother fairly took to her bed, and left the management of affairs to her.	false	1465.58	1483.63	23.476557
1678_142279_000057_000003	Dixon, true to her post of body-guard, attended most faithfully to her mistress, and only emerged from Mrs. Hale's bed-room to shake her head, and murmur to herself in a manner which Margaret did not choose to hear.	Dixon, true to her post of body guard, attended most faithfully to her mistress, and only emerged from mrs Hale's bed room to shake her head, and murmur to herself in a manner which Margaret did not choose to hear.	true	1484.54	1496.71	24.096735
1678_142279_000057_000004	For, the one thing clear and straight before her, was the necessity for leaving Helstone.	For, the one thing clear and straight before her, was the necessity for leaving Helstone.	false	1497.98	1506.31	24.549946
1678_142279_000057_000005	Mr. Hale's successor in the living was appointed; and, at any rate, after her father's decision; there must be no lingering now, for his sake, as well as from every other consideration.	mr Hale's successor in the living was appointed; and, at any rate, after her father's decision; there must be no lingering now, for his sake, as well as from every other consideration.	false	1507.97	1518.85	22.228638
1678_142279_000057_000006	For he came home every evening more and more depressed, after the necessary leave-taking which he had resolved to have with every individual parishioner.	For he came home every evening more and more depressed, after the necessary leave taking which he had resolved to have with every individual parishioner.	true	1520.15	1530.1	21.345732
1678_142279_000057_000007	Margaret, inexperienced as she was in all the necessary matter-of-fact business to be got through, did not know to whom to apply for advice.	Margaret, inexperienced as she was in all the necessary matter of fact business to be got through, did not know to whom to apply for advice.	false	1530.71	1538.59	23.535809
1678_142279_000057_000008	The cook and Charlotte worked away with willing arms and stout hearts at all the moving and packing; and as far as that went, Margaret's admirable sense enabled her to see what was best, and to direct how it should be done.	The cook and Charlotte worked away with willing arms and stout hearts at all the moving and packing; and as far as that went, Margaret's admirable sense enabled her to see what was best, and to direct how it should be done.	true	1538.75	1550.32	22.891968
1678_142279_000057_000009	But where were they to go to? In a week they must be gone.	But where were they to go to? In a week they must be gone.	true	1550.63	1555.08	23.383795
1678_142279_000057_000010	Straight to Milton, or where?	Straight to Milton, or where?	true	1555.08	1557.1	23.103941
1678_142279_000057_000011	So many arrangements depended on this decision that Margaret resolved to ask her father one evening, in spite of his evident fatigue and low spirits.	So many arrangements depended on this decision that Margaret resolved to ask her father one evening, in spite of his evident fatigue and low spirits.	false	1557.17	1566.25	22.093546
1678_142279_000057_000012	He answered:	He answered:	true	1567.1	1568.05	22.933365
1678_142279_000058_000000	'My dear!	'My dear!	true	1569.32	1570.39	20.114237
1678_142279_000058_000001	I have really had too much to think about to settle this.	I have really had too much to think about to settle this.	true	1571	1574.23	20.609335
1678_142279_000058_000002	What does your mother say?	What does your mother say?	true	1574.39	1575.82	27.728039
1678_142279_000058_000003	What does she wish?	What does she wish?	true	1576.04	1577.32	21.421131
1678_142279_000058_000004	Poor Maria!'	Poor Maria!'	true	1577.42	1578.73	19.245018
1678_142279_000059_000000	He met with an echo even louder than his sigh.	He met with an echo even louder than his sigh.	true	1579.82	1583.08	22.74545
1678_142279_000059_000001	Dixon had just come into the room for another cup of tea for Mrs. Hale, and catching Mr. Hale's last words, and protected by his presence from Margaret's upbraiding eyes, made bold to say, 'My poor mistress!'	Dixon had just come into the room for another cup of tea for mrs Hale, and catching mr Hale's last words, and protected by his presence from Margaret's upbraiding eyes, made bold to say, 'My poor mistress!'	true	1583.21	1597.81	22.484343
1678_142279_000060_000000	'You don't think her worse to-day,' said Mr. Hale, turning hastily.	'You don't think her worse to day,' said mr Hale, turning hastily.	true	1599.26	1602.97	22.769726
1678_142279_000061_000000	'I'm sure I can't say, sir.	'I'm sure I can't say, sir.	true	1603.61	1605.4	23
1678_142279_000061_000001	It's not for me to judge.	It's not for me to judge.	true	1605.4	1606.71	20.023514
1678_142279_000061_000002	The illness seems so much more on the mind than on the body.'	The illness seems so much more on the mind than on the body.'	false	1606.71	1611.19	17.541864
1678_142279_000062_000000	Mr. Hale looked infinitely distressed.	mr Hale looked infinitely distressed.	true	1611.77	1614.7	27.774403
1678_142279_000063_000000	'You had better take mamma her tea while it is hot, Dixon,' said Margaret, in a tone of quiet authority.	'You had better take mamma her tea while it is hot, Dixon,' said Margaret, in a tone of quiet authority.	true	1615.16	1622.4	25.397314
1678_142279_000064_000000	'Oh!	'Oh!	false	1622.4	1623.42	100
1678_142279_000064_000001	I beg your pardon, miss!	I beg your pardon, miss!	true	1623.42	1624.5	9
1678_142279_000064_000002	My thoughts was otherwise occupied in thinking of my poor---- of Mrs. Hale.'	My thoughts was otherwise occupied in thinking of my poor---- of mrs Hale.'	false	1624.5	1629.91	23.151499
1678_142279_000065_000000	'Papa!' said Margaret, 'it is this suspense that is bad for you both.	'Papa!' said Margaret, 'it is this suspense that is bad for you both.	true	1631.63	1638.79	22.552427
1678_142279_000065_000001	Of course, mamma must feel your change of opinions: we can't help that,' she continued, softly; 'but now the course is clear, at least to a certain point.	Of course, mamma must feel your change of opinions: we can't help that,' she continued, softly; 'but now the course is clear, at least to a certain point.	false	1638.86	1650.34	21.933014
1678_142279_000065_000002	And I think, papa, that I could get mamma to help me in planning, if you could tell me what to plan for.	And I think, papa, that I could get mamma to help me in planning, if you could tell me what to plan for.	true	1650.98	1657.84	29.323185
1678_142279_000065_000003	She has never expressed any wish in any way, and only thinks of what can't be helped.	She has never expressed any wish in any way, and only thinks of what can't be helped.	true	1658.42	1664.11	24.214235
1678_142279_000065_000004	Are we to go straight to Milton?	Are we to go straight to Milton?	false	1664.39	1666.09	22.386953
1678_142279_000065_000005	Have you taken a house there?'	Have you taken a house there?'	true	1666.13	1667.83	22.686241
1678_142279_000066_000000	'No,' he replied.	'No,' he replied.	true	1668.68	1670.65	17.956203
1678_142279_000066_000001	'I suppose we must go into lodgings, and look about for a house.	'I suppose we must go into lodgings, and look about for a house.	true	1670.65	1675.87	23.560005
1678_142279_000067_000000	'And pack up the furniture so that it can be left at the railway station, till we have met with one?'	'And pack up the furniture so that it can be left at the railway station, till we have met with one?'	true	1677.41	1683.25	25.996494
1678_142279_000068_000000	'I suppose so.	'I suppose so.	true	1684.91	1686.61	21.017956
1678_142279_000068_000001	Do what you think best.	Do what you think best.	true	1687.49	1688.79	28.612387
1678_142279_000068_000002	Only remember, we shall have much less money to spend.'	Only remember, we shall have much less money to spend.'	true	1688.79	1693.15	22.932337
1678_142279_000069_000000	They had never had much superfluity, as Margaret knew.	They had never had much superfluity, as Margaret knew.	true	1694.36	1697.92	22.49095
1678_142279_000069_000001	She felt that it was a great weight suddenly thrown upon her shoulders.	She felt that it was a great weight suddenly thrown upon her shoulders.	true	1698.14	1701.88	26.693893
1678_142279_000069_000002	Four months ago, all the decisions she needed to make were what dress she would wear for dinner, and to help Edith to draw out the lists of who should take down whom in the dinner parties at home.	Four months ago, all the decisions she needed to make were what dress she would wear for dinner, and to help Edith to draw out the lists of who should take down whom in the dinner parties at home.	true	1702.01	1713.1	26.782454
1678_142279_000069_000003	Nor was the household in which she lived one that called for much decision.	Nor was the household in which she lived one that called for much decision.	true	1713.62	1717.45	22.65952
1678_142279_000069_000004	Except in the one grand case of Captain Lennox's offer, everything went on with the regularity of clockwork.	Except in the one grand case of Captain Lennox's offer, everything went on with the regularity of clockwork.	false	1717.7	1725.04	23.617174
1678_142279_000069_000005	Once a year, there was a long discussion between her aunt and Edith as to whether they should go to the Isle of Wight, abroad, or to Scotland; but at such times Margaret herself was secure of drifting, without any exertion of her own, into the quiet harbour of home.	Once a year, there was a long discussion between her aunt and Edith as to whether they should go to the Isle of Wight, abroad, or to Scotland; but at such times Margaret herself was secure of drifting, without any exertion of her own, into the quiet harbour of home.	true	1725.29	1741.9	24.165201
1678_142279_000069_000006	Now, since that day when Mr. Lennox came, and startled her into a decision, every day brought some question, momentous to her, and to those whom she loved, to be settled.	Now, since that day when mr Lennox came, and startled her into a decision, every day brought some question, momentous to her, and to those whom she loved, to be settled.	true	1743.11	1756.93	20.706522
1678_142279_000070_000000	Her father went up after tea to sit with his wife.	Her father went up after tea to sit with his wife.	true	1757.9	1760.92	30.15833
1678_142279_000070_000001	Margaret remained alone in the drawing-room.	Margaret remained alone in the drawing room.	true	1761.29	1763.74	20.306976
1678_142279_000070_000002	Suddenly she took a candle and went into her father's study for a great atlas, and lugging it back into the drawing-room, she began to pore over the map of England.	Suddenly she took a candle and went into her father's study for a great atlas, and lugging it back into the drawing room, she began to pore over the map of England.	true	1764.35	1772.53	22
1678_142279_000070_000003	She was ready to look up brightly when her father came down stairs.	She was ready to look up brightly when her father came down stairs.	false	1773.11	1776.73	25.588224
1678_142279_000071_000000	'I have hit upon such a beautiful plan.	'I have hit upon such a beautiful plan.	true	1778.24	1781.11	23.831942
1678_142279_000071_000001	Look here--in Darkshire, hardly the breadth of my finger from Milton, is Heston, which I have often heard of from people living in the north as such a pleasant little bathing-place.	Look here-in Darkshire, hardly the breadth of my finger from Milton, is Heston, which I have often heard of from people living in the north as such a pleasant little bathing place.	true	1781.12	1791.37	24.468748
1678_142279_000071_000002	Now, don't you think we could get mamma there with Dixon, while you and I go and look at houses, and get one all ready for her in Milton?	Now, don't you think we could get mamma there with Dixon, while you and I go and look at houses, and get one all ready for her in Milton?	false	1792.46	1800.34	22.455292
1678_142279_000071_000003	She would get a breath of sea air to set her up for the winter, and be spared all the fatigue, and Dixon would enjoy taking care of her.'	She would get a breath of sea air to set her up for the winter, and be spared all the fatigue, and Dixon would enjoy taking care of her.'	true	1801.43	1810.24	24.956661
1678_142279_000072_000000	'Is Dixon to go with us?' asked Mr. Hale, in a kind of helpless dismay.	'Is Dixon to go with us?' asked mr Hale, in a kind of helpless dismay.	false	1812.65	1820.89	23.484632
1678_142279_000073_000000	'Oh, yes!' said Margaret. 'Dixon quite intends it, and I don't know what mamma would do without her.'	'Oh, yes!' said Margaret. 'Dixon quite intends it, and I don't know what mamma would do without her.'	true	1822.19	1829.23	22.27046
1678_142279_000074_000000	'But we shall have to put up with a very different way of living, I am afraid.	'But we shall have to put up with a very different way of living, I am afraid.	true	1831.22	1834.17	17
1678_142279_000074_000001	Everything is so much dearer in a town.	Everything is so much dearer in a town.	true	1834.17	1836.33	13
1678_142279_000074_000002	I doubt if Dixon can make herself comfortable.	I doubt if Dixon can make herself comfortable.	false	1836.33	1839.01	26.38019
1678_142279_000074_000003	To tell you the truth Margaret, I sometimes feel as if that woman gave herself airs.'	To tell you the truth Margaret, I sometimes feel as if that woman gave herself airs.'	false	1839.14	1843.99	26.60479
1678_142279_000075_000000	'To be sure she does, papa,' replied Margaret; 'and if she has to put up with a different style of living, we shall have to put up with her airs, which will be worse.	'To be sure she does, papa,' replied Margaret; 'and if she has to put up with a different style of living, we shall have to put up with her airs, which will be worse.	true	1845.44	1854.91	22.12344
1678_142279_000075_000001	But she really loves us all, and would be miserable to leave us, I am sure--especially in this change; so, for mamma's sake, and for the sake of her faithfulness, I do think she must go.'	But she really loves us all, and would be miserable to leave us, I am sure-especially in this change; so, for mamma's sake, and for the sake of her faithfulness, I do think she must go.'	true	1855.34	1868.23	21.83035
1678_142279_000076_000000	'Very well, my dear.	'Very well, my dear.	true	1870.13	1871.43	19.1385
1678_142279_000076_000001	Go on.	Go on.	true	1871.43	1872.06	13.634222
1678_142279_000076_000002	I am resigned.	I am resigned.	true	1872.06	1874.56	25.169233
1678_142279_000076_000003	How far is Heston from Milton?	How far is Heston from Milton?	true	1876.46	1878.34	19.856266
1678_142279_000076_000004	The breadth of one of your fingers does not give me a very clear idea of distance.'	The breadth of one of your fingers does not give me a very clear idea of distance.'	true	1878.68	1883.29	23.278124
1678_142279_000077_000000	'Well, then, I suppose it is thirty miles; that is not much!'	'Well, then, I suppose it is thirty miles; that is not much!'	true	1883.75	1887.85	17.865253
1678_142279_000078_000000	'Not in distance, but in--.	'Not in distance, but in-.	true	1888.73	1890.49	25.85557
1678_142279_000078_000001	Never mind!	Never mind!	true	1891.28	1892.5	18.859924
1678_142279_000078_000002	If you really think it will do your mother good, let it be fixed so.'	If you really think it will do your mother good, let it be fixed so.'	true	1892.81	1897.72	22.512108
1678_142279_000079_000000	This was a great step.	This was a great step.	true	1899.5	1902.13	22.526361
1678_142279_000079_000001	Now Margaret could work, and act, and plan in good earnest.	Now Margaret could work, and act, and plan in good earnest.	true	1902.29	1906.17	21.697432
1678_142279_000079_000002	And now Mrs. Hale could rouse herself from her languor, and forget her real suffering in thinking of the pleasure and the delight of going to the sea-side.	And now mrs Hale could rouse herself from her languor, and forget her real suffering in thinking of the pleasure and the delight of going to the sea side.	false	1906.17	1915.51	21.769938
1678_142279_000079_000003	Her only regret was that Mr. Hale could not be with her all the fortnight she was to be there, as he had been for a whole fortnight once, when they were engaged, and she was staying with Sir John and Lady Beresford at Torquay.	Her only regret was that mr Hale could not be with her all the fortnight she was to be there, as he had been for a whole fortnight once, when they were engaged, and she was staying with Sir john and Lady Beresford at Torquay.	false	1916.21	1943.91	21.615093
