323_126408_000000_000000	Cyril tightened his belt ostentatiously.	Cyril tightened his belt ostentatiously.	false	3.78	9.48	16.170746
323_126408_000078_000001	So Anthea tilted the pot over the nearest lead-hole, and poured.	So Anthea tilted the pot over the nearest lead hole, and poured.	true	1002.16	1006.12	18.819374
323_126408_000078_000002	They heard a splash below, but no one below seemed to have felt it.	They heard a splash below, but no one below seemed to have felt it.	true	1006.58	1010.17	21
323_126408_000078_000003	And again the ram battered the great door.	And again the ram battered the great door.	true	1010.21	1012.84	19.364042
323_126408_000078_000004	Anthea paused.	Anthea paused.	false	1012.94	1014.78	27.501287
323_126408_000079_000000	'How idiotic,' said Robert, lying flat on the floor and putting one eye to the lead hole.	'How idiotic,' said Robert, lying flat on the floor and putting one eye to the lead hole.	false	1014.78	1019.88	19.133142
323_126408_000079_000001	'Of course the holes go straight down into the gate-house - that's for when the enemy has got past the door and the portcullis, and almost all is lost.	'Of course the holes go straight down into the gate house — that's for when the enemy has got past the door and the portcullis, and almost all is lost.	true	1019.88	1027.02	15
323_126408_000079_000002	Here, hand me the pot.' He crawled on to the three-cornered window-ledge in the middle of the wall, and, taking the pot from Anthea, poured the water out through the arrow-slit.	Here, hand me the pot.' He crawled on to the three cornered window ledge in the middle of the wall, and, taking the pot from Anthea, poured the water out through the arrow slit.	false	1027.02	1038.1	20.422575
323_126408_000080_000000	And as he began to pour, the noise of the battering-ram and the trampling of the foe and the shouts of 'Surrender!' and 'De Talbot for ever!' all suddenly stopped and went out like the snuff of a candle; the little dark room seemed to whirl round and turn topsy-turvy, and when the children came to themselves there they were safe and sound, in the big front bedroom of their own house - the house with the ornamental nightmare iron-top to the roof.	And as he began to pour, the noise of the battering ram and the trampling of the foe and the shouts of 'Surrender!' and 'De Talbot for ever!' all suddenly stopped and went out like the snuff of a candle; the little dark room seemed to whirl round and turn topsy turvy, and when the children came to themselves there they were safe and sound, in the big front bedroom of their own house — the house with the ornamental nightmare iron top to the roof.	false	1038.65	1067.67	18.107828
323_126408_000081_000000	They all crowded to the window and looked out.	They all crowded to the window and looked out.	false	1067.67	1070.14	14
323_126408_000081_000001	The moat and the tents and the besieging force were all gone - and there was the garden with its tangle of dahlias and marigolds and asters and late roses, and the spiky iron railings and the quiet white road.	The moat and the tents and the besieging force were all gone — and there was the garden with its tangle of dahlias and marigolds and asters and late roses, and the spiky iron railings and the quiet white road.	false	1070.24	1086.34	20.010683
323_126408_000082_000000	Everyone drew a deep breath.	Everyone drew a deep breath.	true	1088.57	1090.99	16.5998
323_126408_000083_000000	'And that's all right!' said Robert. 'I told you so!	'And that's all right!' said Robert. 'I told you so!	true	1092.08	1094.44	17
323_126408_000083_000001	And, I say, we didn't surrender, did we?'	And, I say, we didn't surrender, did we?'	true	1094.57	1096.66	18
323_126408_000084_000000	'Aren't you glad now I wished for a castle?' asked Cyril.	'Aren't you glad now I wished for a castle?' asked Cyril.	false	1097.63	1100.5	15
323_126408_000085_000000	'I think I am NOW,' said Anthea slowly.	'I think I am NOW,' said Anthea slowly.	true	1101.86	1105.42	18.76226
323_126408_000085_000001	'But I wouldn't wish for it again, I think, Squirrel dear!'	'But I wouldn't wish for it again, I think, Squirrel dear!'	true	1106.75	1109.53	14
323_126408_000086_000000	'Oh, it was simply splendid!' said Jane unexpectedly.	'Oh, it was simply splendid!' said Jane unexpectedly.	true	1111.25	1113.97	19
323_126408_000086_000001	'I wasn't frightened a bit.'	'I wasn't frightened a bit.'	true	1114.28	1116.01	17.194685
323_126408_000087_000000	'Oh, I say!' Cyril was beginning, but Anthea stopped him.	'Oh, I say!' Cyril was beginning, but Anthea stopped him.	true	1117.64	1121.92	19.258207
323_126408_000088_000000	'Look here,' she said, 'it's just come into my head.	'Look here,' she said, 'it's just come into my head.	true	1121.99	1125.07	22
323_126408_000088_000001	This is the very first thing we've wished for that hasn't got us into a row.	This is the very first thing we've wished for that hasn't got us into a row.	true	1125.2	1129.72	17
323_126408_000088_000002	And there hasn't been the least little scrap of a row about this.	And there hasn't been the least little scrap of a row about this.	true	1130.27	1133.44	15
323_126408_000088_000003	Nobody's raging downstairs, we're safe and sound, we've had an awfully jolly day - at least, not jolly exactly, but you know what I mean.	Nobody's raging downstairs, we're safe and sound, we've had an awfully jolly day — at least, not jolly exactly, but you know what I mean.	true	1133.54	1140.73	15
323_126408_000088_000004	And we know now how brave Robert is - and Cyril too, of course,' she added hastily, 'and Jane as well.	And we know now how brave Robert is — and Cyril too, of course,' she added hastily, 'and Jane as well.	false	1141.1	1147.48	18.751314
323_126408_000088_000005	And we haven't got into a row with a single grown-up.'	And we haven't got into a row with a single grown up.'	false	1148.03	1152.7	18.749132
323_126408_000089_000000	The door was opened suddenly and fiercely.	The door was opened suddenly and fiercely.	true	1154.12	1157.59	18.326775
323_126408_000090_000000	'You ought to be ashamed of yourselves,' said the voice of Martha, and they could tell by her voice that she was very angry indeed.	'You ought to be ashamed of yourselves,' said the voice of Martha, and they could tell by her voice that she was very angry indeed.	false	1158.38	1165.84	13.852097
323_126408_000090_000001	'I thought you couldn't last through the day without getting up to some doggery!	'I thought you couldn't last through the day without getting up to some doggery!	false	1166.39	1170.22	17
323_126408_000090_000002	A person can't take a breath of air on the front doorstep but you must be emptying the wash-hand jug on to their heads!	A person can't take a breath of air on the front doorstep but you must be emptying the wash hand jug on to their heads!	true	1170.5	1177.26	18
323_126408_000090_000003	Off you go to bed, the lot of you, and try to get up better children in the morning.	Off you go to bed, the lot of you, and try to get up better children in the morning.	false	1177.26	1183.63	18.128716
323_126408_000090_000004	Now then - don't let me have to tell you twice.	Now then — don't let me have to tell you twice.	true	1183.91	1186.84	15
323_126408_000090_000005	If I find any of you not in bed in ten minutes I'll let you know it, that's all!	If I find any of you not in bed in ten minutes I'll let you know it, that's all!	false	1186.94	1194.93	18.976797
323_126408_000090_000006	A new cap, and everything!'	A new cap, and everything!'	true	1194.93	1197.13	20.276714
323_126408_000091_000000	She flounced out amid a disregarded chorus of regrets and apologies.	She flounced out amid a disregarded chorus of regrets and apologies.	true	1197.8	1202.08	14
323_126408_000091_000001	The children were very sorry, but really it was not their faults.	The children were very sorry, but really it was not their faults.	false	1202.33	1206.16	18
323_126408_000091_000002	You can't help it if you are pouring water on a besieging foe, and your castle suddenly changes into your house - and everything changes with it except the water, and that happens to fall on somebody else's clean cap.	You can't help it if you are pouring water on a besieging foe, and your castle suddenly changes into your house — and everything changes with it except the water, and that happens to fall on somebody else's clean cap.	true	1206.5	1219.24	19
323_126408_000092_000000	'I don't know why the water didn't change into nothing, though,' said Cyril.	'I don't know why the water didn't change into nothing, though,' said Cyril.	false	1220.69	1224.15	9
323_126408_000093_000000	'Why should it?' asked Robert.	'Why should it?' asked Robert.	false	1224.15	1226.41	18.924955
323_126408_000093_000001	'Water's water all the world over.' 'I expect the castle well was the same as ours in the stable-yard,' said Jane.	'Water's water all the world over.' 'I expect the castle well was the same as ours in the stable yard,' said Jane.	false	1226.41	1235.71	18.003185
323_126408_000093_000002	And that was really the case.	And that was really the case.	false	1235.93	1237.78	15
323_126408_000094_000000	'I thought we couldn't get through a wish-day without a row,' said Cyril; 'it was much too good to be true.	'I thought we couldn't get through a wish day without a row,' said Cyril; 'it was much too good to be true.	false	1239.29	1244.5	18.927286
323_126408_000094_000001	Come on, Bobs, my military hero.	Come on, Bobs, my military hero.	true	1244.84	1247.32	12
323_126408_000094_000002	If we lick into bed sharp she won't be so frumious, and perhaps she'll bong us up some supper.	If we lick into bed sharp she won't be so frumious, and perhaps she'll bong us up some supper.	false	1247.78	1253.68	17
323_126408_000094_000003	I'm jolly hungry! Good-night, kids.'	I'm jolly hungry! Good night, kids.'	true	1253.9	1256.71	17.922462
323_126408_000095_000000	'Good-night.	'Good night.	true	1257.32	1258.33	17
323_126408_000095_000001	I hope the castle won't come creeping back in the night,' said Jane.	I hope the castle won't come creeping back in the night,' said Jane.	true	1258.37	1261.66	17
323_126408_000096_000000	'Of course it won't,' said Anthea briskly, 'but Martha will - not in the night, but in a minute.	'Of course it won't,' said Anthea briskly, 'but Martha will — not in the night, but in a minute.	false	1261.94	1267.56	18
323_126408_000096_000001	Here, turn round, I'll get that knot out of your pinafore strings.'	Here, turn round, I'll get that knot out of your pinafore strings.'	false	1267.56	1288.29	18
