3274_163518_000000_000000	THE MASTER THIEF	THE MASTER THIEF	true	24.57	25.99	22.890324
3274_163518_000064_000000	Well, Father Laurence fell on his knees before the angel, and thanked him; and the very next day he preached a farewell sermon, and gave it out how there had come down an angel unto the big maple in his garden, who had told him that he was to be taken up alive into heaven for his piety's sake; and he preached and made such a touching discourse, that all who were at church wept, both young and old.	Well, Father Laurence fell on his knees before the angel, and thanked him; and the very next day he preached a farewell sermon, and gave it out how there had come down an angel unto the big maple in his garden, who had told him that he was to be taken up alive into heaven for his piety's sake; and he preached and made such a touching discourse, that all who were at church wept, both young and old.	false	920.48	940.45	22.819094
3274_163518_000065_000000	So the next Monday night came the Master Thief like an angel again, and the Priest fell on his knees and thanked him before he was put into the sack; but when he had got him well in, the Master Thief drew and dragged him over stocks and stones.	So the next Monday night came the Master Thief like an angel again, and the Priest fell on his knees and thanked him before he was put into the sack; but when he had got him well in, the Master Thief drew and dragged him over stocks and stones.	false	941.42	953.94	22.34961
3274_163518_000066_000000	'OW! OW!' groaned the Priest inside the sack, 'wherever are we going?'	'OW! OW!' groaned the Priest inside the sack, 'wherever are we going?'	false	953.94	960.34	18.388094
3274_163518_000067_000000	'This is the narrow way which leadeth unto the kingdom of heaven', said the Master Thief, who went on dragging him along till he had nearly broken every bone in his body.	'This is the narrow way which leadeth unto the kingdom of heaven', said the Master Thief, who went on dragging him along till he had nearly broken every bone in his body.	true	960.56	969.19	21.676027
3274_163518_000067_000001	At last he tumbled him into a goose-house that belonged to the Squire, and the geese began pecking and pinching him with their bills, so that he was more dead than alive.	At last he tumbled him into a goose house that belonged to the Squire, and the geese began pecking and pinching him with their bills, so that he was more dead than alive.	true	969.56	977.92	22.760199
3274_163518_000068_000000	'Now you are in the flames of purgatory, to be cleansed and purified for life everlasting', said the Master Thief; and with that he went his way, and took all the gold which the Priest had laid together in his dining-room.	'Now you are in the flames of purgatory, to be cleansed and purified for life everlasting', said the Master Thief; and with that he went his way, and took all the gold which the Priest had laid together in his dining room.	true	978.53	989.86	24.126295
3274_163518_000068_000001	The next morning, when the goose-girl came to let the geese out, she heard how the Priest lay in the sack, and bemoaned himself in the goose-house.	The next morning, when the goose girl came to let the geese out, she heard how the Priest lay in the sack, and bemoaned himself in the goose house.	true	989.99	997.32	21.272469
3274_163518_000069_000000	'In heaven's name, who's there, and what ails you?' she cried.	'In heaven's name, who's there, and what ails you?' she cried.	true	997.32	1000.99	19.7392
3274_163518_000070_000000	'Oh!' said the Priest, 'if you are an angel from heaven, do let me out, and let me return again to earth, for it is worse here than in hell.	'Oh!' said the Priest, 'if you are an angel from heaven, do let me out, and let me return again to earth, for it is worse here than in hell.	true	1002.08	1010.53	20.189644
3274_163518_000070_000001	The little fiends keep on pinching me with tongs.'	The little fiends keep on pinching me with tongs.'	true	1010.53	1013.62	20.813416
3274_163518_000071_000000	'Heaven help us, I am no angel at all', said the girl, as she helped the Priest out of the sack; 'I only look after the Squire's geese, and like enough they are the little fiends which have pinched your reverence.'	'Heaven help us, I am no angel at all', said the girl, as she helped the Priest out of the sack; 'I only look after the Squire's geese, and like enough they are the little fiends which have pinched your reverence.'	false	1013.9	1024.96	24.455854
3274_163518_000072_000000	'Oh!' groaned the Priest, 'this is all that Master Thief's doing.	'Oh!' groaned the Priest, 'this is all that Master Thief's doing.	true	1026.08	1031.17	20.59648
3274_163518_000072_000001	Ah! my gold and my silver, and my fine clothes.' And he beat his breast, and hobbled home at such a rate that the girl thought he had lost his wits all at once.	Ah! my gold and my silver, and my fine clothes.' And he beat his breast, and hobbled home at such a rate that the girl thought he had lost his wits all at once.	true	1031.24	1040.98	20.80769
3274_163518_000073_000000	Now when the Squire came to hear how it had gone with the Priest, and how he had been along the narrow way, and into purgatory, he laughed till he well-nigh split his sides.	Now when the Squire came to hear how it had gone with the Priest, and how he had been along the narrow way, and into purgatory, he laughed till he well nigh split his sides.	false	1041.02	1049.49	21.082342
3274_163518_000073_000001	But when the Master Thief came and asked for his daughter as he had promised, the Squire put him off again, and said:	But when the Master Thief came and asked for his daughter as he had promised, the Squire put him off again, and said:	false	1049.49	1055.41	22.470884
3274_163518_000074_000000	'You must do one masterpiece better still, that I may see plainly what you are fit for.	'You must do one masterpiece better still, that I may see plainly what you are fit for.	true	1055.48	1059.97	24.965101
3274_163518_000074_000001	Now, I have twelve horses in my stable, and on them I will put twelve grooms, one on each.	Now, I have twelve horses in my stable, and on them I will put twelve grooms, one on each.	true	1060.07	1065.66	20.408081
3274_163518_000074_000002	If you are so good a thief as to steal the horses from under them, I'll see what I can do for you.'	If you are so good a thief as to steal the horses from under them, I'll see what I can do for you.'	false	1065.66	1070.77	21.2996
3274_163518_000075_000000	'Very well, I daresay I can do it', said the Master Thief; 'but shall I really have your daughter if I can?'	'Very well, I daresay I can do it', said the Master Thief; 'but shall I really have your daughter if I can?'	true	1071.92	1078.18	20.101913
3274_163518_000076_000000	'Yes, if you can, I'll do my best for you', said the Squire.	'Yes, if you can, I'll do my best for you', said the Squire.	true	1079	1082.56	23.21496
3274_163518_000076_000001	So the Master Thief set off to a shop, and bought brandy enough to fill two pocket-flasks, and into one of them he put a sleepy drink, but into the other only brandy.	So the Master Thief set off to a shop, and bought brandy enough to fill two pocket flasks, and into one of them he put a sleepy drink, but into the other only brandy.	true	1082.78	1092.46	23.632168
3274_163518_000076_000002	After that he hired eleven men to lie in wait at night, behind the Squire's stable-yard; and last of all, for fair words and a good bit of money, he borrowed a ragged gown and cloak from an old woman; and so, with a staff in his hand, and a bundle at his back, he limped off, as evening drew on, towards the Squire's stable.	After that he hired eleven men to lie in wait at night, behind the Squire's stable yard; and last of all, for fair words and a good bit of money, he borrowed a ragged gown and cloak from an old woman; and so, with a staff in his hand, and a bundle at his back, he limped off, as evening drew on, towards the Squire's stable.	true	1092.62	1111.03	21.995457
3274_163518_000076_000003	Just as he got there they were watering the horses for the night, and had their hands full of work.	Just as he got there they were watering the horses for the night, and had their hands full of work.	true	1111.7	1116.58	23.071842
3274_163518_000076_000004	'What the devil do you want?' said one of the grooms to the old woman.	'What the devil do you want?' said one of the grooms to the old woman.	true	1117.16	1120.87	24.218973
3274_163518_000077_000000	'Oh, oh!	'Oh, oh!	false	1121.42	1123.17	17.378906
3274_163518_000077_000001	hutetu!	hutetu!	false	1123.17	1123.95	33.807743
3274_163518_000077_000002	it is so bitter cold', said she, and shivered and shook, and made wry faces.	it is so bitter cold', said she, and shivered and shook, and made wry faces.	true	1123.95	1129.44	19.219452
3274_163518_000077_000003	'Hutetu! it is so cold, a poor wretch may easily freeze to death'; and with that she fell to shivering and shaking again.	'Hutetu! it is so cold, a poor wretch may easily freeze to death'; and with that she fell to shivering and shaking again.	false	1129.44	1138.14	23.163948
3274_163518_000078_000000	'Oh! for the love of heaven, can I get leave to stay here a while, and sit inside the stable door?'	'Oh! for the love of heaven, can I get leave to stay here a while, and sit inside the stable door?'	false	1138.14	1144.72	20
3274_163518_000079_000000	'To the devil with your leave', said one.	'To the devil with your leave', said one.	true	1145.72	1148.05	22.140724
3274_163518_000079_000001	'Pack yourself off this minute, for if the Squire sets his eye on you, he'll lead us a pretty dance.'	'Pack yourself off this minute, for if the Squire sets his eye on you, he'll lead us a pretty dance.'	false	1148.48	1153.15	21.273033
3274_163518_000080_000000	'Oh! the poor old bag-of-bones', said another, whose heart took pity on her, 'the old hag may sit inside and welcome; such a one as she can do no harm.'	'Oh! the poor old bag of bones', said another, whose heart took pity on her, 'the old hag may sit inside and welcome; such a one as she can do no harm.'	true	1153.67	1162.21	21.891459
3274_163518_000081_000000	And the rest said, some she should stay, and some she shouldn't; but while they were quarrelling and minding the horses, she crept further and further into the stable, till at last she sat herself down behind the door; and when she had got so far, no one gave any more heed to her.	And the rest said, some she should stay, and some she shouldn't; but while they were quarrelling and minding the horses, she crept further and further into the stable, till at last she sat herself down behind the door; and when she had got so far, no one gave any more heed to her.	false	1162.61	1176.46	20.900991
3274_163518_000082_000000	As the night wore on, the men found it rather cold work to sit so still and quiet on horseback.	As the night wore on, the men found it rather cold work to sit so still and quiet on horseback.	true	1177.1	1182.24	22.89162
3274_163518_000083_000000	'Hutetu! it is so devilish cold', said one, and beat his arms crosswise.	'Hutetu! it is so devilish cold', said one, and beat his arms crosswise.	false	1182.24	1187.07	20.648544
3274_163518_000084_000000	'That it is', said another; 'I freeze so, that my teeth chatter.'	'That it is', said another; 'I freeze so, that my teeth chatter.'	true	1187.07	1190.86	24.38672
3274_163518_000085_000000	'If one only had a quid to chew', said a third.	'If one only had a quid to chew', said a third.	false	1192.25	1194.97	19.958015
3274_163518_000086_000000	Well! there was one who had an ounce or two; so they shared it between them, though it wasn't much, after all, that each got; and so they chewed and spat, and spat and chewed.	Well! there was one who had an ounce or two; so they shared it between them, though it wasn't much, after all, that each got; and so they chewed and spat, and spat and chewed.	false	1195.91	1205.44	23.389761
3274_163518_000086_000001	This helped them somewhat; but in a little while they were just as bad as ever.	This helped them somewhat; but in a little while they were just as bad as ever.	false	1205.51	1209.93	24.533533
3274_163518_000087_000000	'Hutetu!' said one, and shivered and shook.	'Hutetu!' said one, and shivered and shook.	false	1209.93	1212.39	22.830717
3274_163518_000088_000000	'Hutetu!' said the old woman, and shivered so, that every tooth in her head chattered.	'Hutetu!' said the old woman, and shivered so, that every tooth in her head chattered.	false	1212.39	1218.04	24.233545
3274_163518_000088_000001	Then she pulled out the flask with brandy in it, and her hand shook so that the spirit splashed about in the flask, and then she took such a gulp, that it went 'bop' in her throat.	Then she pulled out the flask with brandy in it, and her hand shook so that the spirit splashed about in the flask, and then she took such a gulp, that it went 'bop' in her throat.	true	1218.05	1227.22	24.07832
3274_163518_000089_000000	'What's that you've got in your flask, old girl?' said one of the grooms.	'What's that you've got in your flask, old girl?' said one of the grooms.	true	1227.32	1231.09	24.49123
3274_163518_000090_000000	'Oh! it's only a drop of brandy, old man', said she.	'Oh! it's only a drop of brandy, old man', said she.	false	1231.58	1235.44	21.083782
3274_163518_000091_000000	'Brandy!	'Brandy!	true	1235.75	1236.51	16.659622
3274_163518_000091_000001	Well, I never!	Well, I never!	true	1236.51	1237.44	14
3274_163518_000091_000002	Do let me have a drop', screamed the whole twelve, one after another.	Do let me have a drop', screamed the whole twelve, one after another.	true	1237.44	1240.81	22.62511
3274_163518_000092_000000	'Oh! but it is such a little drop', mumbled the old woman, 'it will not even wet your mouths round.' But they must and would have it; there was no help for it; and so she pulled out the flask with the sleepy drink in it, and put it to the first man's lips; then she shook no more, but guided the flask so that each of them got what he wanted, and the twelfth had not done drinking before the first sat and snored.	'Oh! but it is such a little drop', mumbled the old woman, 'it will not even wet your mouths round.' But they must and would have it; there was no help for it; and so she pulled out the flask with the sleepy drink in it, and put it to the first man's lips; then she shook no more, but guided the flask so that each of them got what he wanted, and the twelfth had not done drinking before the first sat and snored.	false	1241.09	1263.07	23.19536
3274_163518_000092_000001	Then the Master Thief threw off his beggar's rags, and took one groom after the other so softly off their horses, and set them astride on the beams between the stalls; and so he called his eleven men, and rode off with the Squire's twelve horses.	Then the Master Thief threw off his beggar's rags, and took one groom after the other so softly off their horses, and set them astride on the beams between the stalls; and so he called his eleven men, and rode off with the Squire's twelve horses.	true	1263.26	1276.27	23.876867
3274_163518_000092_000002	But when the Squire got up in the morning, and went to look after his grooms, they had just begun to come to; and some of them fell to spurring the beams with their spurs, till the splinters flew again, and some fell off, and some still hung on and sat there looking like fools.	But when the Squire got up in the morning, and went to look after his grooms, they had just begun to come to; and some of them fell to spurring the beams with their spurs, till the splinters flew again, and some fell off, and some still hung on and sat there looking like fools.	true	1276.64	1290.46	23.61129
3274_163518_000093_000000	'Ho! ho!' said the Squire; 'I see very well who has been here; but as for you, a pretty set of blockheads you must be to sit here and let the Master Thief steal the horses from between your legs.'	'Ho! ho!' said the Squire; 'I see very well who has been here; but as for you, a pretty set of blockheads you must be to sit here and let the Master Thief steal the horses from between your legs.'	true	1291.52	1302.73	21.382055
3274_163518_000094_000000	So they all got a good leathering because they had not kept a sharper look-out.	So they all got a good leathering because they had not kept a sharper look out.	true	1303.58	1307.11	20.399467
3274_163518_000095_000000	Further on in the day came the Master Thief again, and told how he had managed the matter, and asked for the Squire's daughter, as he had promised; but the Squire gave him one hundred dollars down, and said he must do something better still.	Further on in the day came the Master Thief again, and told how he had managed the matter, and asked for the Squire's daughter, as he had promised; but the Squire gave him one hundred dollars down, and said he must do something better still.	true	1307.93	1319.53	21.79079
3274_163518_000096_000000	'Do you think now', said he, 'you can steal the horse from under me while I am out riding on his back?' 'O, yes!	'Do you think now', said he, 'you can steal the horse from under me while I am out riding on his back?' 'O, yes!	false	1319.99	1326.54	21.525087
3274_163518_000096_000001	I daresay I could', said the Master Thief, 'if I were really sure of getting your daughter.'	I daresay I could', said the Master Thief, 'if I were really sure of getting your daughter.'	true	1326.54	1331.35	22.97287
3274_163518_000097_000000	Well, well, the Squire would see what he could do; and he told the Master Thief a day when he would be taking a ride on a great common where they drilled the troops.	Well, well, the Squire would see what he could do; and he told the Master Thief a day when he would be taking a ride on a great common where they drilled the troops.	true	1331.69	1339.12	21.274189
3274_163518_000097_000001	So the Master Thief soon got hold of an old worn-out jade of a mare, and set to work, and made traces and collar of withies and broom-twigs, and bought an old beggarly cart and a great cask.	So the Master Thief soon got hold of an old worn out jade of a mare, and set to work, and made traces and collar of withies and broom twigs, and bought an old beggarly cart and a great cask.	true	1339.4	1349.09	21.879898
3274_163518_000097_000002	After that he told an old beggar woman, he would give her ten dollars if she would get inside the cask, and keep her mouth agape over the taphole, into which he was going to stick his finger.	After that he told an old beggar woman, he would give her ten dollars if she would get inside the cask, and keep her mouth agape over the taphole, into which he was going to stick his finger.	false	1349.09	1358.47	21.838034
3274_163518_000097_000003	No harm should happen to her; she should only be driven about a little; and if he took his finger out more than once, she was to have ten dollars more.	No harm should happen to her; she should only be driven about a little; and if he took his finger out more than once, she was to have ten dollars more.	true	1358.57	1365.88	21.960316
3274_163518_000097_000004	Then he threw a few rags and tatters over himself, and stuffed himself out, and put on a wig and a great beard of goat's hair, so that no one could know him again, and set off for the common, where the Squire had already been riding about a good bit.	Then he threw a few rags and tatters over himself, and stuffed himself out, and put on a wig and a great beard of goat's hair, so that no one could know him again, and set off for the common, where the Squire had already been riding about a good bit.	true	1366.25	1379.56	22.404146
3274_163518_000097_000005	When he reached the place, he went along so softly and slowly that he scarce made an inch of way.	When he reached the place, he went along so softly and slowly that he scarce made an inch of way.	false	1380.38	1385.7	20.749926
3274_163518_000097_000006	'Gee up!	'Gee up!	false	1385.7	1386.6	23.957413
3274_163518_000097_000007	Gee up!' and so he went on a little; then he stood stock still, and so on a little again; and altogether the pace was so poor it never once came into the Squire's head that this could be the Master Thief.	Gee up!' and so he went on a little; then he stood stock still, and so on a little again; and altogether the pace was so poor it never once came into the Squire's head that this could be the Master Thief.	false	1386.6	1397.98	24.069746
3274_163518_000098_000000	At last the Squire rode right up to him, and asked if he had seen any one lurking about in the wood thereabouts.	At last the Squire rode right up to him, and asked if he had seen any one lurking about in the wood thereabouts.	true	1398.83	1404.28	22.237724
3274_163518_000098_000001	'No', said the man, 'I haven't seen a soul.'	'No', said the man, 'I haven't seen a soul.'	true	1405.1	1408.57	23.120312
3274_163518_000099_000000	'Harkye, now', said the Squire, 'if you have a mind to ride into the wood, and hunt about and see if you can fall upon any one lurking about there, you shall have the loan of my horse, and a shilling into the bargain, to drink my health, for your pains.'	'Harkye, now', said the Squire, 'if you have a mind to ride into the wood, and hunt about and see if you can fall upon any one lurking about there, you shall have the loan of my horse, and a shilling into the bargain, to drink my health, for your pains.'	true	1409.24	1421.29	23.541466
3274_163518_000100_000000	'I don't see how I can go', said the man, 'for I am going to a wedding with this cask of mead, which I have been to town to fetch, and here the tap has fallen out by the way, and so I must go along, holding my finger in the taphole.'	'I don't see how I can go', said the man, 'for I am going to a wedding with this cask of mead, which I have been to town to fetch, and here the tap has fallen out by the way, and so I must go along, holding my finger in the taphole.'	false	1422.74	1435.35	21.160847
3274_163518_000101_000000	'Ride off', said the Squire; 'I'll look after your horse and cask.'	'Ride off', said the Squire; 'I'll look after your horse and cask.'	true	1435.35	1439.29	21.975641
3274_163518_000102_000000	Well, on these terms the man was willing to go; but he begged the Squire to be quick in putting his finger into the taphole when he took his own out, and to mind and keep it there till he came back.	Well, on these terms the man was willing to go; but he begged the Squire to be quick in putting his finger into the taphole when he took his own out, and to mind and keep it there till he came back.	false	1439.84	1448.71	21.706938
3274_163518_000102_000001	At last the Squire grew weary of standing there with his finger in the taphole, so he took it out.	At last the Squire grew weary of standing there with his finger in the taphole, so he took it out.	true	1448.71	1453.42	21.914627
3274_163518_000103_000000	'Now I shall have ten dollars more!' screamed the old woman inside the cask; and then the Squire saw at once how the land lay, and took himself off home; but he had not gone far before they met him with a fresh horse, for the Master Thief had already been to his house, and told them to send one.	'Now I shall have ten dollars more!' screamed the old woman inside the cask; and then the Squire saw at once how the land lay, and took himself off home; but he had not gone far before they met him with a fresh horse, for the Master Thief had already been to his house, and told them to send one.	false	1453.85	1470.04	20.677736
3274_163518_000103_000001	The day after, he came to the Squire and would have his daughter, as he had given his word; but the Squire put him off again with fine words, and gave him two hundred dollars, and said he must do one more masterpiece.	The day after, he came to the Squire and would have his daughter, as he had given his word; but the Squire put him off again with fine words, and gave him two hundred dollars, and said he must do one more masterpiece.	true	1470.29	1481.89	22.92196
3274_163518_000103_000002	If he could do that, he should have her.	If he could do that, he should have her.	true	1481.93	1484.32	25.014488
3274_163518_000103_000003	Well, well, the Master Thief thought he could do it, if he only knew what it was to be.	Well, well, the Master Thief thought he could do it, if he only knew what it was to be.	false	1484.57	1488.58	23.985563
3274_163518_000104_000000	'Do you think, now', said the Squire, 'you can steal the sheet off our bed, and the shift off my wife's back.	'Do you think, now', said the Squire, 'you can steal the sheet off our bed, and the shift off my wife's back.	true	1489.25	1494.76	24.200739
3274_163518_000104_000001	Do you think you could do that?'	Do you think you could do that?'	true	1494.86	1496.2	25.291033
3274_163518_000105_000000	'It shall be done', said the Master Thief. 'I only wish I was as sure of getting your daughter.'	'It shall be done', said the Master Thief. 'I only wish I was as sure of getting your daughter.'	true	1497.23	1501.84	20.492048
3274_163518_000106_000000	So when night began to fall, the Master Thief went out and cut down a thief who hung on the gallows, and threw him across his shoulders, and carried him off.	So when night began to fall, the Master Thief went out and cut down a thief who hung on the gallows, and threw him across his shoulders, and carried him off.	true	1502.12	1509.88	21.279953
3274_163518_000106_000001	Then he got a long ladder and set it up against the Squire's bedroom window, and so climbed up, and kept bobbing the dead man up and down, just for all the world like one that was peeping in at the window.	Then he got a long ladder and set it up against the Squire's bedroom window, and so climbed up, and kept bobbing the dead man up and down, just for all the world like one that was peeping in at the window.	true	1510.46	1521.19	21.605425
3274_163518_000107_000000	'That's the Master Thief, old lass!' said the Squire, and gave his wife a nudge on the side.	'That's the Master Thief, old lass!' said the Squire, and gave his wife a nudge on the side.	true	1521.56	1526.77	21.486122
3274_163518_000107_000001	'Now see if I don't shoot him, that's all.'	'Now see if I don't shoot him, that's all.'	true	1526.93	1529.26	22.494272
3274_163518_000108_000000	So saying he took up a rifle which he had laid at his bedside.	So saying he took up a rifle which he had laid at his bedside.	true	1529.9	1533.25	21.093163
3274_163518_000109_000000	'No! no! pray don't shoot him after telling him he might come and try', said his wife.	'No! no! pray don't shoot him after telling him he might come and try', said his wife.	true	1533.35	1538.13	21.649551
3274_163518_000110_000000	'Don't talk to me, for shoot him I will', said he; and so he lay there and aimed and aimed; but as soon as the head came up before the window, and he saw a little of it, so soon was it down again.	'Don't talk to me, for shoot him I will', said he; and so he lay there and aimed and aimed; but as soon as the head came up before the window, and he saw a little of it, so soon was it down again.	false	1538.13	1548.61	21.468721
3274_163518_000110_000001	At last he thought he had a good aim; 'bang' went the gun, down fell the dead body to the ground with a heavy thump, and down went the Master Thief too as fast as he could.	At last he thought he had a good aim; 'bang' went the gun, down fell the dead body to the ground with a heavy thump, and down went the Master Thief too as fast as he could.	false	1548.77	1557.61	24.487936
3274_163518_000111_000000	'Well', said the Squire, 'it is quite true that I am the chief magistrate in these parts; but people are fond of talking, and it would be a bore if they came to see this dead man's body.	'Well', said the Squire, 'it is quite true that I am the chief magistrate in these parts; but people are fond of talking, and it would be a bore if they came to see this dead man's body.	true	1558.94	1568.7	26.329933
3274_163518_000111_000001	I think the best thing to be done is that I should go down and bury him.'	I think the best thing to be done is that I should go down and bury him.'	false	1568.7	1572.3	25.458447
3274_163518_000112_000000	'You must do as you think best, dear', said his wife.	'You must do as you think best, dear', said his wife.	true	1572.3	1575.7	27.090605
3274_163518_000112_000001	So the Squire got out of bed and went downstairs, and he had scarce put his foot out of the door before the Master Thief stole in, and went straight upstairs to his wife.	So the Squire got out of bed and went downstairs, and he had scarce put his foot out of the door before the Master Thief stole in, and went straight upstairs to his wife.	false	1575.86	1584.13	24.036215
3274_163518_000113_000000	'Why, dear, back already!' said she, for she thought it was her husband.	'Why, dear, back already!' said she, for she thought it was her husband.	true	1585.34	1589.47	22.62098
3274_163518_000114_000000	'O yes, I only just put him into a hole, and threw a little earth over him.	'O yes, I only just put him into a hole, and threw a little earth over him.	true	1590.08	1593.63	22.665083
3274_163518_000114_000001	It is enough that he is out of sight, for it is such a bad night out of doors; by-and-by I'll do it better.	It is enough that he is out of sight, for it is such a bad night out of doors; by and by I'll do it better.	false	1593.63	1598.98	23.776058
3274_163518_000114_000002	But just let me have the sheet to wipe myself with--he was so bloody--and I have made myself in such a mess with him.'	But just let me have the sheet to wipe myself with-he was so bloody-and I have made myself in such a mess with him.'	true	1598.99	1605.16	25.070257
3274_163518_000115_000000	So he got the sheet.	So he got the sheet.	true	1605.59	1607.02	24.262102
3274_163518_000116_000000	After a while he said:	After a while he said:	true	1607.33	1608.76	23.170887
3274_163518_000117_000000	'Do you know I am afraid you must let me have your nightshift too, for the sheet won't do by itself; that I can see.'	'Do you know I am afraid you must let me have your nightshift too, for the sheet won't do by itself; that I can see.'	true	1609.28	1615.06	22.368683
3274_163518_000118_000000	So she gave him the shift also.	So she gave him the shift also.	false	1615.55	1617.51	22.46674
3274_163518_000118_000001	But just then it came across his mind that he had forgotten to lock the house-door, so he must step down and look to that before he came back to bed, and away he went with both shift and sheet.	But just then it came across his mind that he had forgotten to lock the house door, so he must step down and look to that before he came back to bed, and away he went with both shift and sheet.	true	1617.51	1627.54	28.77446
3274_163518_000119_000000	A little while after came the true Squire.	A little while after came the true Squire.	true	1627.94	1630.36	25.062542
3274_163518_000120_000000	'Why! what a time you've taken to lock the door, dear!' said his wife; 'and what have you done with the sheet and shift?'	'Why! what a time you've taken to lock the door, dear!' said his wife; 'and what have you done with the sheet and shift?'	true	1631.06	1637.65	25.62788
3274_163518_000121_000000	'What do you say?' said the Squire.	'What do you say?' said the Squire.	true	1638.68	1641.16	24.070364
3274_163518_000122_000000	'Why, I am asking what you have done with the sheet and shift that you had to wipe off the blood', said she.	'Why, I am asking what you have done with the sheet and shift that you had to wipe off the blood', said she.	true	1641.29	1646.53	23.804256
3274_163518_000123_000000	'What, in the Deil's name!' said the Squire, 'has he taken me in this time too?'	'What, in the Deil's name!' said the Squire, 'has he taken me in this time too?'	false	1646.96	1651.51	24.366688
3274_163518_000124_000000	Next day came the Master Thief and asked for the Squire's daughter, as he had given his word; and then the Squire dared not do anything else than give her to him, and a good lump of money into the bargain; for, to tell the truth, he was afraid lest the Master Thief should steal the eyes out of his head, and that the people would begin to say spiteful things of him if he broke his word.	Next day came the Master Thief and asked for the Squire's daughter, as he had given his word; and then the Squire dared not do anything else than give her to him, and a good lump of money into the bargain; for, to tell the truth, he was afraid lest the Master Thief should steal the eyes out of his head, and that the people would begin to say spiteful things of him if he broke his word.	true	1651.58	1670.2	22.247005
3274_163518_000124_000001	So the Master Thief lived well and happily from that time forward.	So the Master Thief lived well and happily from that time forward.	true	1670.21	1673.53	22.822275
3274_163518_000124_000002	I don't know whether he stole any more; but if he did, I am quite sure it was only for the sake of a bit of fun.	I don't know whether he stole any more; but if he did, I am quite sure it was only for the sake of a bit of fun.	false	1673.6	1691.07	21.21393
