8684_293663_000004_000000	He dropped down softly to the causeway.	He dropped down softly to the causeway.
8684_293663_000092_000001	"Tode had got the dials pointing to the fifth dimension--eternity, he called it, though actually I believe it's nothing more than annihilation, a grand smash.	"Tode had got the dials pointing to the fifth dimension-eternity, he called it, though actually I believe it's nothing more than annihilation, a grand smash.
8684_293663_000092_000002	Well, he pressed that lever.	Well, he pressed that lever.
8684_293663_000092_000003	But something had gone wrong.	But something had gone wrong.
8684_293663_000093_000000	"You remember how poor Cain seemed to take great interest in the Atom Smasher.	"You remember how poor Cain seemed to take great interest in the Atom Smasher.
8684_293663_000093_000001	There's no way of telling what had been going on in that brain of his, but it looks to me like he'd known that that lever meant death.	There's no way of telling what had been going on in that brain of his, but it looks to me like he'd known that that lever meant death.
8684_293663_000093_000002	It was sealed up in wax, and Tode had got it free on the way out of Atlantis.	It was sealed up in wax, and Tode had got it free on the way out of Atlantis.
8684_293663_000094_000001	He'd pried loose one of the wires that hooked to the transformer, and short-circuited it, not knowing, of course, just what he was doing.	He'd pried loose one of the wires that hooked to the transformer, and short circuited it, not knowing, of course, just what he was doing.
8684_293663_000094_000002	The result was that when Tode pressed that lever, instead of blowing the whole contraption to pieces, he got a couple of billion volts of electricity through his body, combined with a larger amperage than has ever been imagined.	The result was that when Tode pressed that lever, instead of blowing the whole contraption to pieces, he got a couple of billion volts of electricity through his body, combined with a larger amperage than has ever been imagined.
8684_293663_000094_000003	It burned him to a few grease spots.	It burned him to a few grease spots.
8684_293663_000094_000004	He simply--vanished.	He simply-vanished.
8684_293663_000094_000005	You don't remember what you did at the moment, boy?"	You don't remember what you did at the moment, boy?"
8684_293663_000095_000000	"I don't seem to remember anything," said Jim.	"I don't seem to remember anything," said Jim.
8684_293663_000096_000000	"Well, your response was an automatic one.	"Well, your response was an automatic one.
8684_293663_000096_000001	You jumped him.	You jumped him.
8684_293663_000096_000002	Luckily you were too late, for Tode vanished like that!" Old Parrish snapped his fingers.	Luckily you were too late, for Tode vanished like that!" Old Parrish snapped his fingers.
8684_293663_000096_000003	"But you must have got into the field of magnetic force--any way, you were almost electrocuted.	"But you must have got into the field of magnetic force-any way, you were almost electrocuted.
8684_293663_000096_000004	Lucille and I thought you were dead for hours.	Lucille and I thought you were dead for hours.
8684_293663_000097_000000	"We laid you down and set a course for home.	"We laid you down and set a course for home.
8684_293663_000097_000001	I used those dial numberings Tode had given me.	I used those dial numberings Tode had given me.
8684_293663_000097_000002	He'd said they wouldn't work, but he'd lied.	He'd said they wouldn't work, but he'd lied.
8684_293663_000097_000003	They did work.	They did work.
8684_293663_000097_000004	They brought us back to the Vanishing Place.	They brought us back to the Vanishing Place.
8684_293663_000098_000000	"We carried you out, and then I saw your eyelid twitch.	"We carried you out, and then I saw your eyelid twitch.
8684_293663_000098_000001	We worked over you with artificial respiration till it looked as if there was a chance for you.	We worked over you with artificial respiration till it looked as if there was a chance for you.
8684_293663_000098_000002	Then I shut off the power and let the waters rush in over the Atom Smasher, and swam ashore.	Then I shut off the power and let the waters rush in over the Atom Smasher, and swam ashore.
8684_293663_000100_000000	"Let's think no more about him," said Lucille.	"Let's think no more about him," said Lucille.
8684_293663_000100_000001	She had come up to them, and the two looked at each other and smiled.	She had come up to them, and the two looked at each other and smiled.
8684_293663_000100_000002	Love is self-centred; other things it forgets very quickly.	Love is self centred; other things it forgets very quickly.
8684_293663_000101_000000	"To-morrow we go back to New York," said Jim.	"To morrow we go back to New York," said Jim.
8684_293663_000102_000000	"I think so, Jim," said Lucille.	"I think so, Jim," said Lucille.
8684_293663_000104_000000	"No, Jim.	"No, Jim.
8684_293663_000104_000001	I was thinking of poor Cain.	I was thinking of poor Cain.
8684_293663_000104_000002	He died for me."	He died for me."
8684_293663_000105_000000	"But that was twelve thousand years ago, my dear, and to-day's to-day," said Jim.	"But that was twelve thousand years ago, my dear, and to day's to day," said Jim.
8684_293663_000105_000001	"And to-morrow a new life begins for you and me."	"And to morrow a new life begins for you and me."
8684_293663_000106_000000	He drew her closer to him.	He drew her closer to him.
8684_293663_000106_000001	No, he would never quite forget, but that was twelve thousand years ago ... and to-morrow was his wedding day.	No, he would never quite forget, but that was twelve thousand years ago ... and to morrow was his wedding day.
