2053_138888_000000_000000	"Pinkle, Pinkle," wheezed Mr. Tombe.	"Pinkle, Pinkle," wheezed mr Tombe.	false	0	2.04	21.638746
2053_138888_000044_000003	He found himself to be associated there with Mr. Bott, and a few others of the same class,--men whom he despised; and even they did not admit him among them without a certain show of superiority on their part.	He found himself to be associated there with mr Bott, and a few others of the same class,--men whom he despised; and even they did not admit him among them without a certain show of superiority on their part.	true	1007.36	1021.54	22.11808
2053_138888_000044_000004	Who has not ascertained by his own experience the different lights through which the same events may be seen, according to the success, or want of success, which pervades the atmosphere at the moment?	Who has not ascertained by his own experience the different lights through which the same events may be seen, according to the success, or want of success, which pervades the atmosphere at the moment?	false	1022.03	1034.11	21
2053_138888_000044_000005	At the present time everything was unsuccessful with George Vavasor; and though he told himself, almost from hour to hour, that he would go on with the thing which he had begun,--that he would persevere in Parliament till he had obtained a hearing there and created for himself success, he could not himself believe in the promises which he had made to himself.	At the present time everything was unsuccessful with George Vavasor; and though he told himself, almost from hour to hour, that he would go on with the thing which he had begun,--that he would persevere in Parliament till he had obtained a hearing there and created for himself success, he could not himself believe in the promises which he had made to himself.	false	1034.54	1053.13	22
2053_138888_000044_000006	He had looked forward to his entrance into that Chamber as the hour of his triumph; but he had entered it with Mr. Bott, and there had been no triumph to him in doing so.	He had looked forward to his entrance into that Chamber as the hour of his triumph; but he had entered it with mr Bott, and there had been no triumph to him in doing so.	true	1053.38	1062.97	23.061213
2053_138888_000044_000007	He had sworn to himself that when there he would find men to hear him.	He had sworn to himself that when there he would find men to hear him.	false	1063.43	1069.11	23.301432
2053_138888_000044_000008	Hitherto, indeed, he could not accuse himself of having missed his opportunities; his election had been so recent that he could hardly yet have made the attempt.	Hitherto, indeed, he could not accuse himself of having missed his opportunities; his election had been so recent that he could hardly yet have made the attempt.	false	1069.11	1078.42	21.00788
2053_138888_000044_000009	But he had been there long enough to learn to fancy that there was no glory in attempting.	But he had been there long enough to learn to fancy that there was no glory in attempting.	true	1078.64	1083.37	19
2053_138888_000044_000010	This art of speaking in Parliament, which had appeared to him to be so grand, seemed already to be a humdrum, homely, dull affair.	This art of speaking in Parliament, which had appeared to him to be so grand, seemed already to be a humdrum, homely, dull affair.	true	1083.74	1092.31	23.07447
2053_138888_000044_000011	No one seemed to listen much to what was said.	No one seemed to listen much to what was said.	false	1092.83	1095.4	19.557154
2053_138888_000044_000012	To such as himself,--Members without an acquired name,--men did not seem to listen at all.	To such as himself,--Members without an acquired name,--men did not seem to listen at all.	true	1095.59	1101.49	25.04106
2053_138888_000044_000013	Mr. Palliser had once, in his hearing, spoken for two hours together, and all the House had treated his speech with respect,--had declared that it was useful, solid, conscientious, and what not; but more than half the House had been asleep more than half the time that he was on his legs.	mr Palliser had once, in his hearing, spoken for two hours together, and all the House had treated his speech with respect,--had declared that it was useful, solid, conscientious, and what not; but more than half the House had been asleep more than half the time that he was on his legs.	false	1102.25	1120.36	20.971903
2053_138888_000044_000014	Vavasor had not as yet commenced his career as an orator; but night after night, as he sat there, the chance of commencing it with brilliance seemed to be further from him, and still further.	Vavasor had not as yet commenced his career as an orator; but night after night, as he sat there, the chance of commencing it with brilliance seemed to be further from him, and still further.	true	1120.76	1132.96	24.031551
2053_138888_000044_000015	Two thousand pounds of his own money, and two thousand more of Alice's money,--or of Mr. Grey's,--he had already spent to make his way into that assembly.	Two thousand pounds of his own money, and two thousand more of Alice's money,--or of mr Grey's,--he had already spent to make his way into that assembly.	true	1133.39	1142.98	21.645645
2053_138888_000044_000016	He must spend, at any rate, two thousand more if he intended that his career should be prolonged beyond a three months' sitting;--and how was he to get this further sum after what had taken place to-day?	He must spend, at any rate, two thousand more if he intended that his career should be prolonged beyond a three months' sitting;--and how was he to get this further sum after what had taken place to day?	true	1143.5	1155.64	23.88345
2053_138888_000045_000000	He would get it.	He would get it.	true	1156.73	1157.68	21.250763
2053_138888_000045_000001	That was his resolve as he walked in by the apple-woman's stall, under the shadow of the great policeman, and between the two august lamps.	That was his resolve as he walked in by the apple woman's stall, under the shadow of the great policeman, and between the two august lamps.	true	1158.14	1166.05	22
2053_138888_000045_000002	He would get it;--as long as Alice had a pound over which he could obtain mastery by any act or violence within his compass.	He would get it;--as long as Alice had a pound over which he could obtain mastery by any act or violence within his compass.	true	1166.18	1173.34	21.588102
2053_138888_000045_000003	He would get it; even though it should come through the hands of John Grey and Mr. Tombe.	He would get it; even though it should come through the hands of john Grey and mr Tombe.	false	1173.86	1180.11	24.267405
2053_138888_000045_000004	He would get it; though in doing so he might destroy his cousin Alice and ruin his sister Kate.	He would get it; though in doing so he might destroy his cousin Alice and ruin his sister Kate.	true	1180.11	1187.07	23.05328
2053_138888_000045_000005	He had gone too far to stick at any scruples.	He had gone too far to stick at any scruples.	true	1187.07	1190.17	27.030525
2053_138888_000045_000006	Had he not often declared how great had been that murderer who had been able to divest himself of all such scruples,--who had scoured his bosom free from all fears of the hereafter, and, as regarded the present, had dared to trust for everything to success?	Had he not often declared how great had been that murderer who had been able to divest himself of all such scruples,--who had scoured his bosom free from all fears of the hereafter, and, as regarded the present, had dared to trust for everything to success?	true	1190.87	1206.22	22.390919
2053_138888_000045_000007	He would go to Alice and demand the money from her with threats, and with that violence in his eyes which he knew so well how to assume.	He would go to Alice and demand the money from her with threats, and with that violence in his eyes which he knew so well how to assume.	true	1206.83	1214.08	20
2053_138888_000045_000008	He believed that when he so demanded it, the money would be forthcoming so as to satisfy, at any rate, his present emergencies.	He believed that when he so demanded it, the money would be forthcoming so as to satisfy, at any rate, his present emergencies.	true	1214.18	1222.27	20.16393
2053_138888_000046_000000	That wretched old man in Westmoreland!	That wretched old man in Westmoreland!	true	1223.24	1225.48	19
2053_138888_000046_000001	If he would but die, there might yet be a hope remaining of permanent success!	If he would but die, there might yet be a hope remaining of permanent success!	true	1226.09	1231.54	24.022284
2053_138888_000046_000002	Even though the estate might be entailed so as to give him no more than a life-interest, still money might be raised on it.	Even though the estate might be entailed so as to give him no more than a life interest, still money might be raised on it.	true	1232.39	1239.49	21.143183
2053_138888_000046_000003	His life-interest in it would be worth ten or twelve years' purchase.	His life interest in it would be worth ten or twelve years' purchase.	true	1239.8	1243.39	22
2053_138888_000046_000004	He had an idea that his grandfather had not as yet made any such will when he left the place in Westmoreland.	He had an idea that his grandfather had not as yet made any such will when he left the place in Westmoreland.	true	1243.85	1249.27	18
2053_138888_000046_000005	What a boon it would be if death could be made to overtake the old man before he did so!	What a boon it would be if death could be made to overtake the old man before he did so!	true	1249.61	1254.16	23
2053_138888_000046_000006	On this very night he walked about the lobbies of the House, thinking of all this.	On this very night he walked about the lobbies of the House, thinking of all this.	true	1254.74	1259.62	21
2053_138888_000046_000007	He went by himself from room to room, roaming along passages, sitting now for ten minutes in the gallery, and then again for a short space in the body of the House,--till he would get up and wander again out into the lobby, impatient of the neighbourhood of Mr. Bott.	He went by himself from room to room, roaming along passages, sitting now for ten minutes in the gallery, and then again for a short space in the body of the House,--till he would get up and wander again out into the lobby, impatient of the neighbourhood of mr Bott.	true	1259.96	1276.72	23.618328
2053_138888_000046_000008	Certainly just at this time he felt no desire to bring before the House the subject of the River Embankment.	Certainly just at this time he felt no desire to bring before the House the subject of the River Embankment.	false	1277.21	1283.8	22.920185
2053_138888_000047_000000	Nor was Mr. Grey much happier when he was left alone, than was his assailant.	Nor was mr Grey much happier when he was left alone, than was his assailant.	true	1284.56	1289.11	22.879435
2053_138888_000047_000001	To give Vavasor his due, the memory of the affray itself did not long trouble him much.	To give Vavasor his due, the memory of the affray itself did not long trouble him much.	true	1289.84	1295.26	23
2053_138888_000047_000002	The success between the combatants had been nearly equal, and he had, at any rate, spoken his mind freely. His misery had come from other sources.	The success between the combatants had been nearly equal, and he had, at any rate, spoken his mind freely. His misery had come from other sources.	false	1295.57	1306.42	24.124142
2053_138888_000047_000003	But the reflection that he had been concerned in a row was in itself enough to make John Grey wretched for the time.	But the reflection that he had been concerned in a row was in itself enough to make john Grey wretched for the time.	true	1306.7	1312.69	16
2053_138888_000047_000004	Such a misfortune had never hitherto befallen him.	Such a misfortune had never hitherto befallen him.	false	1313.24	1317.39	22.963593
2053_138888_000047_000005	In all his dealings with men words had been sufficient, and generally words of courtesy had sufficed.	In all his dealings with men words had been sufficient, and generally words of courtesy had sufficed.	false	1317.39	1323.82	21.537989
2053_138888_000047_000006	To have been personally engaged in a fighting scramble with such a man as George Vavasor was to him terrible.	To have been personally engaged in a fighting scramble with such a man as George Vavasor was to him terrible.	true	1324.04	1330.39	24
2053_138888_000047_000007	When ordering that his money might be expended with the possible object of saving Alice from her cousin, he had never felt a moment's regret; he had never thought that he was doing more than circumstances fairly demanded of him.	When ordering that his money might be expended with the possible object of saving Alice from her cousin, he had never felt a moment's regret; he had never thought that he was doing more than circumstances fairly demanded of him.	true	1331.09	1344.37	23.579636
2053_138888_000047_000008	But now he was almost driven to utter reproach.	But now he was almost driven to utter reproach.	true	1345.01	1348	23.336346
2053_138888_000047_000009	"Oh, Alice! that this thing should have come upon me through thy fault!"	"Oh, Alice! that this thing should have come upon me through thy fault!"	true	1348.64	1353.52	24.224419
2053_138888_000048_000000	When Vavasor was led away down stairs by the tailor, and Grey found that no more actual fighting would be required of him, he retired into his bedroom, that he might wash his mouth and free himself from the stains of the combat.	When Vavasor was led away down stairs by the tailor, and Grey found that no more actual fighting would be required of him, he retired into his bedroom, that he might wash his mouth and free himself from the stains of the combat.	true	1355.24	1367.8	23.21723
2053_138888_000048_000001	He had heard the front door closed, and knew that the miscreant was gone,--the miscreant who had disturbed his quiet.	He had heard the front door closed, and knew that the miscreant was gone,--the miscreant who had disturbed his quiet.	false	1368.2	1375.87	26.621473
2053_138888_000048_000002	Then he began to think what was the accusation with which Vavasor had charged him.	Then he began to think what was the accusation with which Vavasor had charged him.	false	1376.27	1381.3	23.795067
2053_138888_000048_000003	He had been told that he had advanced money on behalf of Alice, in order that he might obtain some power over Alice's fortune, and thus revenge himself upon Alice for her treatment of him.	He had been told that he had advanced money on behalf of Alice, in order that he might obtain some power over Alice's fortune, and thus revenge himself upon Alice for her treatment of him.	true	1381.85	1392.31	20
2053_138888_000048_000004	Nothing could be more damnably false than this accusation.	Nothing could be more damnably false than this accusation.	true	1393.22	1396.63	19
2053_138888_000048_000005	Of that he was well aware.	Of that he was well aware.	true	1397.09	1398.64	20.603243
2053_138888_000048_000006	But were not the circumstances of a nature to make it appear that the accusation was true?	But were not the circumstances of a nature to make it appear that the accusation was true?	true	1398.83	1403.83	23
2053_138888_000048_000007	Security for the money advanced by him, of course, he had none;--of course he had desired none;--of course the money had been given out of his own pocket with the sole object of saving Alice, if that might be possible; but of all those who might hear of this affair, how many would know or even guess the truth?	Security for the money advanced by him, of course, he had none;--of course he had desired none;--of course the money had been given out of his own pocket with the sole object of saving Alice, if that might be possible; but of all those who might hear of this affair, how many would know or even guess the truth?	true	1404.17	1424.23	21.83728
2053_138888_000049_000000	While he was in this wretched state of mind, washing his mouth, and disturbing his spirit, Mr. Jones, his landlord, came up to him.	While he was in this wretched state of mind, washing his mouth, and disturbing his spirit, mr Jones, his landlord, came up to him.	false	1424.84	1432.75	20.966599
2053_138888_000049_000001	Mr. Jones had known him for some years, and entertained a most profound respect for his character.	mr Jones had known him for some years, and entertained a most profound respect for his character.	true	1433.15	1438.57	22.203133
2053_138888_000049_000002	A rather sporting man than otherwise was Mr. Jones.	A rather sporting man than otherwise was mr Jones.	true	1439.09	1442.23	19
2053_138888_000049_000003	His father had been a tradesman at Cambridge, and in this way Jones had become known to Mr. Grey.	His father had been a tradesman at Cambridge, and in this way Jones had become known to mr Grey.	true	1442.42	1448.11	22.802923
2053_138888_000049_000004	But though given to sport, by which he meant modern prize-fighting and the Epsom course on the Derby day, Mr. Jones was a man who dearly loved respectable customers and respectable lodgers.	But though given to sport, by which he meant modern prize fighting and the Epsom course on the Derby day, mr Jones was a man who dearly loved respectable customers and respectable lodgers.	true	1448.9	1460.68	23.338951
2053_138888_000049_000005	Mr. Grey, with his property at Nethercoats, and his august manners, and his reputation at Cambridge, was a most respectable lodger, and Mr. Jones could hardly understand how any one could presume to raise his hand against such a man.	mr Grey, with his property at Nethercoats, and his august manners, and his reputation at Cambridge, was a most respectable lodger, and mr Jones could hardly understand how any one could presume to raise his hand against such a man.	true	1460.99	1477.09	23.525246
2053_138888_000050_000000	"Dear, dear, sir--this is a terrible affair!" he said, as he made his way into the room.	"Dear, dear, sir-this is a terrible affair!" he said, as he made his way into the room.	true	1478.78	1484.62	22.162664
2053_138888_000051_000000	"It was very disagreeable, certainly," said Grey.	"It was very disagreeable, certainly," said Grey.	true	1485.11	1488.25	22
2053_138888_000052_000000	"Was the gentleman known to you?" asked the tailor.	"Was the gentleman known to you?" asked the tailor.	true	1488.98	1491.37	26
2053_138888_000053_000000	"Yes; I know who he is."	"Yes; I know who he is."	true	1491.8	1493.5	20
2053_138888_000054_000000	"Any quarrel, sir?"	"Any quarrel, sir?"	true	1493.93	1495.21	25.355497
2053_138888_000055_000000	"Well, yes.	"Well, yes.	true	1495.64	1496.33	20.713263
2053_138888_000055_000001	I should not have pushed him down stairs had he not quarrelled with me."	I should not have pushed him down stairs had he not quarrelled with me."	false	1496.33	1499.98	19
2053_138888_000056_000000	"We can have the police after him if you wish it, sir?"	"We can have the police after him if you wish it, sir?"	true	1500.62	1503.16	19.906275
2053_138888_000057_000000	"I don't wish it at all."	"I don't wish it at all."	false	1503.71	1504.99	25.612019
2053_138888_000058_000000	"Or we might manage to polish him off in any other way, you know."	"Or we might manage to polish him off in any other way, you know."	true	1505.75	1509.28	22.80074
2053_138888_000059_000000	It was some time before Mr. Grey could get rid of the tailor, but he did so at last without having told any part of the story to that warlike, worthy, and very anxious individual.	It was some time before mr Grey could get rid of the tailor, but he did so at last without having told any part of the story to that warlike, worthy, and very anxious individual.	true	1510.07	1520.04	22.260656
2053_138888_000060_000000	CHAPTER LIII.	CHAPTER fifty three.	false	1520.04	1520.25	-20
2053_138888_000061_000000	The Last Will of the Old Squire.	The Last Will of the Old Squire.	false	1520.25	1520.82	-20
2053_138888_000062_000000	In the meantime Kate Vavasor was living down in Westmoreland, with no other society than that of her grandfather, and did not altogether have a very pleasant life of it.	In the meantime Kate Vavasor was living down in Westmoreland, with no other society than that of her grandfather, and did not altogether have a very pleasant life of it.	false	1520.82	1522.77	22.056116
2053_138888_000062_000001	George had been apt to represent the old man to himself as being as strong as an old tower, which, though it be but a ruin, shows no sign of falling.	George had been apt to represent the old man to himself as being as strong as an old tower, which, though it be but a ruin, shows no sign of falling.	false	1522.77	1524.24	27.585016
2053_138888_000062_000002	To his eyes the Squire had always seemed to be full of life and power.	To his eyes the Squire had always seemed to be full of life and power.	false	1524.24	1524.93	-20
2053_138888_000062_000003	He could be violent on occasions, and was hardly ever without violence in his eyes and voice.	He could be violent on occasions, and was hardly ever without violence in his eyes and voice.	false	1524.93	1525.74	3
2053_138888_000062_000004	But George's opinion was formed by his wish, or rather by the reverses of his wish.	But George's opinion was formed by his wish, or rather by the reverses of his wish.	false	1525.74	1526.7	19
2053_138888_000062_000005	For years he had been longing that his grandfather should die,--had been accusing Fate of gross injustice in that she did not snap the thread; and with such thoughts in his mind he had grudged every ounce which the Squire's vigour had been able to sustain.	For years he had been longing that his grandfather should die,--had been accusing Fate of gross injustice in that she did not snap the thread; and with such thoughts in his mind he had grudged every ounce which the Squire's vigour had been able to sustain.	false	1526.7	1527.27	8.46421
2053_138888_000062_000006	He had almost taught himself to believe that it would be a good deed to squeeze what remained of life out of that violent old throat.	He had almost taught himself to believe that it would be a good deed to squeeze what remained of life out of that violent old throat.	false	1527.27	1527.45	12
2053_138888_000062_000007	But, indeed, the embers of life were burning low; and had George known all the truth, he would hardly have inclined his mind to thoughts of murder.	But, indeed, the embers of life were burning low; and had George known all the truth, he would hardly have inclined his mind to thoughts of murder.	false	1527.45	1527.66	10
