5519_39478_000000_000000	The next morning he had more of a struggle than ever to wash and dress her.	The next morning he had more of a struggle than ever to wash and dress her.	false	7.155	23.53	23.43699
5519_39478_000033_000001	Then he opened the basket and let his wife out.	Then he opened the basket and let his wife out.	true	1009.22	1011.49	23.990507
5519_39478_000033_000002	She was quite beside herself with joy, running hither and thither, bouncing up on him, looking about her and even rolling over on the ground.	She was quite beside herself with joy, running hither and thither, bouncing up on him, looking about her and even rolling over on the ground.	true	1011.59	1018.54	25.89152
5519_39478_000033_000003	Mr. Tebrick took this to mean that she was glad at making this journey and rejoiced equally with her.	mr Tebrick took this to mean that she was glad at making this journey and rejoiced equally with her.	true	1018.79	1023.34	26.118788
5519_39478_000033_000004	As for Mrs. Cork, she sat motionless on the back seat of the dogcart well wrapped up, eating her sandwiches, but would not speak a word.	As for mrs Cork, she sat motionless on the back seat of the dogcart well wrapped up, eating her sandwiches, but would not speak a word.	true	1024.31	1032.04	26.1029
5519_39478_000033_000005	When they had stayed there half-an-hour Mr. Tebrick harnessed the horses again, though he was so cold he could scarcely buckle the straps, and put his vixen in her basket, but seeing that she wanted to look about her, he let her tear away the osiers with her teeth till she had made a hole big enough for her to put her head out of.	When they had stayed there half an hour mr Tebrick harnessed the horses again, though he was so cold he could scarcely buckle the straps, and put his vixen in her basket, but seeing that she wanted to look about her, he let her tear away the osiers with her teeth till she had made a hole big enough for her to put her head out of.	false	1032.83	1048.3	23.64184
5519_39478_000034_000000	They drove on again and then the snow began to come down and that in earnest, so that he began to be afraid they would never cover the ground.	They drove on again and then the snow began to come down and that in earnest, so that he began to be afraid they would never cover the ground.	true	1048.7	1056.28	22.848986
5519_39478_000034_000001	But just after nightfall they got in, and he was content to leave unharnessing the horses and baiting them to Simon, Mrs. Cork's son.	But just after nightfall they got in, and he was content to leave unharnessing the horses and baiting them to Simon, mrs Cork's son.	true	1056.59	1063.09	22.58604
5519_39478_000034_000002	His vixen was tired by then, as well as he, and they slept together, he in the bed and she under it, very contentedly.	His vixen was tired by then, as well as he, and they slept together, he in the bed and she under it, very contentedly.	true	1063.37	1070.55	24.122383
5519_39478_000035_000000	The next morning he looked about him at the place and found the thing there that he most wanted, and that was a little walled-in garden where his wife could run in freedom and yet be in safety.	The next morning he looked about him at the place and found the thing there that he most wanted, and that was a little walled in garden where his wife could run in freedom and yet be in safety.	false	1070.55	1071.45	100
5519_39478_000036_000000	After they had had breakfast she was wild to go out into the snow.	After they had had breakfast she was wild to go out into the snow.	false	1071.45	1071.45	
5519_39478_000036_000001	So they went out together, and he had never seen such a mad creature in all his life as his wife was then.	So they went out together, and he had never seen such a mad creature in all his life as his wife was then.	false	1071.45	1071.45	
5519_39478_000036_000002	For she ran to and fro as if she were crazy, biting at the snow and rolling in it, and round and round in circles and rushed back at him fiercely as if she meant to bite him.	For she ran to and fro as if she were crazy, biting at the snow and rolling in it, and round and round in circles and rushed back at him fiercely as if she meant to bite him.	false	1071.45	1071.45	
5519_39478_000036_000003	He joined her in the frolic, and began snowballing her till she was so wild that it was all he could do to quiet her again and bring her indoors for luncheon.	He joined her in the frolic, and began snowballing her till she was so wild that it was all he could do to quiet her again and bring her indoors for luncheon.	false	1071.45	1071.45	
5519_39478_000036_000004	Indeed with her gambollings she tracked the whole garden over with her feet; he could see where she had rolled in the snow and where she had danced in it, and looking at those prints of her feet as they went in, made his heart ache, he knew not why.	Indeed with her gambollings she tracked the whole garden over with her feet; he could see where she had rolled in the snow and where she had danced in it, and looking at those prints of her feet as they went in, made his heart ache, he knew not why.	false	1071.45	1080.54	16.910292
