6828_64738_000000_000000	CHAPTER XXIV	CHAPTER twenty four	false	10.77	26.385	23.211355
6828_64738_000012_000007	If you should not like my company, you need only to say so, and I will leave you that moment.	If you should not like my company, you need only to say so, and I will leave you that moment.	true	1173.68	1179.43	22.506023
6828_64738_000012_000008	But tell me, Beauty, do you not think me very ugly?" "Why, yes," said she, "for I cannot tell a story; but then I think you are very good." "You are right," replied the beast; "and, besides being ugly, I am also very stupid: I know very well enough that I am but a beast."	But tell me, Beauty, do you not think me very ugly?" "Why, yes," said she, "for I cannot tell a story; but then I think you are very good." "You are right," replied the beast; "and, besides being ugly, I am also very stupid: I know very well enough that I am but a beast."	true	1179.59	1197.76	21.86464
6828_64738_000013_000000	"I should think you cannot be very stupid," said Beauty, "if you yourself know this." "Pray do not let me hinder you from eating," said he; "and be sure you do not want for any thing; for all you see is yours, and I shall be vastly grieved if you are not happy." "You are very kind," said Beauty: "I must needs own that I think very well of your good nature, and then I almost forget how ugly you are." "Yes, yes, I hope I am good-tempered," said he, "but still I am a monster." "There are many men who are worse monsters than you are," replied Beauty; "and I am better pleased with you in that form, though it is so ugly, than with those who carry wicked hearts under the form of a man." "If I had any sense," said the beast, "I would thank you for what you have said; but I am too stupid to say any thing that would give you pleasure." Beauty ate her supper with a very good appetite, and almost lost all her dread of the monster; but she was ready to sink with fright, when he said to her, "Beauty, will you be my wife?" For a few minutes she was not able to speak a word, for she was afraid of putting him in a passion, by refusing.	"I should think you cannot be very stupid," said Beauty, "if you yourself know this." "Pray do not let me hinder you from eating," said he; "and be sure you do not want for any thing; for all you see is yours, and I shall be vastly grieved if you are not happy." "You are very kind," said Beauty: "I must needs own that I think very well of your good nature, and then I almost forget how ugly you are." "Yes, yes, I hope I am good tempered," said he, "but still I am a monster." "There are many men who are worse monsters than you are," replied Beauty; "and I am better pleased with you in that form, though it is so ugly, than with those who carry wicked hearts under the form of a man." "If I had any sense," said the beast, "I would thank you for what you have said; but I am too stupid to say any thing that would give you pleasure." Beauty ate her supper with a very good appetite, and almost lost all her dread of the monster; but she was ready to sink with fright, when he said to her, "Beauty, will you be my wife?" For a few minutes she was not able to speak a word, for she was afraid of putting him in a passion, by refusing.	false	1198.7	1267.36	19.91567
6828_64738_000013_000001	At length she said, "No, beast." The beast made no reply, but sighed deeply, and went away.	At length she said, "No, beast." The beast made no reply, but sighed deeply, and went away.	true	1267.49	1274.17	20.607027
6828_64738_000013_000002	When Beauty found herself alone, she began to feel pity for the poor beast.	When Beauty found herself alone, she began to feel pity for the poor beast.	true	1274.42	1279.03	22.4397
6828_64738_000013_000003	"Dear!" said she, "what a sad thing it is that he should be so very frightful, since he is so good-tempered!"	"Dear!" said she, "what a sad thing it is that he should be so very frightful, since he is so good tempered!"	true	1279.31	1287.46	21.248308
6828_64738_000014_000000	Beauty lived three months in this palace, very well pleased.	Beauty lived three months in this palace, very well pleased.	true	1287.77	1291.93	20.255135
6828_64738_000014_000001	The beast came to see her every night, and talked with her while she supped; and though what he said was not very clever, yet as she saw in him every day some new mark of his goodness, so instead of dreading the time of his coming, she was always looking at her watch, to see if it was almost nine o'clock; for that was the time when he never failed to visit her. There was but one thing that vexed her; which was that every night, before the beast went away from her, he always made it a rule to ask her if she would be his wife, and seemed very much grieved at her saying no. At last, one night, she said to him, "You vex me greatly, beast, by forcing me to refuse you so often; I wish I could take such a liking to you as to agree to marry you, but I must tell you plainly, that I do not think it will ever happen.	The beast came to see her every night, and talked with her while she supped; and though what he said was not very clever, yet as she saw in him every day some new mark of his goodness, so instead of dreading the time of his coming, she was always looking at her watch, to see if it was almost nine o'clock; for that was the time when he never failed to visit her. There was but one thing that vexed her; which was that every night, before the beast went away from her, he always made it a rule to ask her if she would be his wife, and seemed very much grieved at her saying no At last, one night, she said to him, "You vex me greatly, beast, by forcing me to refuse you so often; I wish I could take such a liking to you as to agree to marry you, but I must tell you plainly, that I do not think it will ever happen.	true	1291.93	1344.25	21.250334
6828_64738_000014_000002	I shall always be your friend; so try to let that make you easy."	I shall always be your friend; so try to let that make you easy."	true	1344.29	1348.48	20.920986
6828_64738_000014_000003	"I must needs do so then," said the beast, "for I know well enough how frightful I am; but I love you better than myself. Yet I think I am very lucky in your being pleased to stay with me; now promise me, Beauty, that you will never leave me." Beauty was quite struck when he said this, for that very day she had seen in her glass that her father had fallen sick of grief for her sake, and was very ill for the want of seeing her again.	"I must needs do so then," said the beast, "for I know well enough how frightful I am; but I love you better than myself. Yet I think I am very lucky in your being pleased to stay with me; now promise me, Beauty, that you will never leave me." Beauty was quite struck when he said this, for that very day she had seen in her glass that her father had fallen sick of grief for her sake, and was very ill for the want of seeing her again.	true	1348.52	1376.23	21.39484
6828_64738_000014_000004	"I would promise you, with all my heart," said she, "never to leave you quite; but I long so much to see my father, that if you do not give me leave to visit him I shall die with grief."	"I would promise you, with all my heart," said she, "never to leave you quite; but I long so much to see my father, that if you do not give me leave to visit him I shall die with grief."	true	1376.87	1387.87	20.749329
6828_64738_000014_000005	"I would rather die myself, Beauty," answered the beast, "than make you fret; I will send you to your father's cottage, you shall stay there, and your poor beast shall die of sorrow." "No," said Beauty, crying, "I love you too well to be the cause of your death; I promise to return in a week.	"I would rather die myself, Beauty," answered the beast, "than make you fret; I will send you to your father's cottage, you shall stay there, and your poor beast shall die of sorrow." "No," said Beauty, crying, "I love you too well to be the cause of your death; I promise to return in a week.	true	1388.15	1405.09	20.370678
6828_64738_000014_000006	You have shown me that my sisters are married, and my brothers are gone for soldiers, so that my father is left all alone.	You have shown me that my sisters are married, and my brothers are gone for soldiers, so that my father is left all alone.	true	1405.1	1411.84	18
6828_64738_000014_000007	Let me stay a week with him." "You shall find yourself with him to-morrow morning," replied the beast; "but mind, do not forget your promise.	Let me stay a week with him." "You shall find yourself with him to morrow morning," replied the beast; "but mind, do not forget your promise.	true	1411.97	1421.08	19.52385
6828_64738_000014_000008	When you wish to return you have nothing to do but to put your ring on a table when you go to bed.	When you wish to return you have nothing to do but to put your ring on a table when you go to bed.	true	1421.3	1426.81	19
6828_64738_000014_000009	Good-bye, Beauty!"	Good bye, Beauty!"	true	1427.15	1428.4	25.145247
6828_64738_000014_000010	The beast then sighed as he said these words, and Beauty went to bed very sorry to see him so much grieved.	The beast then sighed as he said these words, and Beauty went to bed very sorry to see him so much grieved.	true	1428.44	1435.15	18.850386
6828_64738_000014_000011	When she awoke in the morning, she found herself in her father's cottage.	When she awoke in the morning, she found herself in her father's cottage.	true	1435.28	1439.11	21.674154
6828_64738_000014_000012	She rung a bell that was at her bedside, and a servant entered; but as soon as she saw Beauty, the woman gave a loud shriek; upon which the merchant ran up stairs, and when he beheld his daughter he was ready to die of joy.	She rung a bell that was at her bedside, and a servant entered; but as soon as she saw Beauty, the woman gave a loud shriek; upon which the merchant ran up stairs, and when he beheld his daughter he was ready to die of joy.	true	1439.12	1451.5	19
6828_64738_000014_000013	He ran to the bedside, and kissed her a hundred times.	He ran to the bedside, and kissed her a hundred times.	true	1451.66	1454.92	19.066685
6828_64738_000014_000014	At last Beauty began to remember that she had brought no clothes with her to put on; but the servant told her she had just found in the next room a large chest full of dresses, trimmed all over with gold, and adorned with pearls and diamonds.	At last Beauty began to remember that she had brought no clothes with her to put on; but the servant told her she had just found in the next room a large chest full of dresses, trimmed all over with gold, and adorned with pearls and diamonds.	true	1455.26	1468.54	18
6828_64738_000015_000000	Beauty in her own mind thanked the beast for his kindness, and put on the plainest gown she could find among them all.	Beauty in her own mind thanked the beast for his kindness, and put on the plainest gown she could find among them all.	true	1468.67	1474.96	19
6828_64738_000015_000001	She then told the servant to put the rest away with a great deal of care, for she intended to give them to her sisters; but as soon as she had spoken these words the chest was gone out of sight in a moment.	She then told the servant to put the rest away with a great deal of care, for she intended to give them to her sisters; but as soon as she had spoken these words the chest was gone out of sight in a moment.	true	1475.15	1485.85	21
6828_64738_000015_000002	Her father then said, perhaps the beast chose for her to keep them all for herself; and as soon as he had said this, they saw the chest standing again in the same place.	Her father then said, perhaps the beast chose for her to keep them all for herself; and as soon as he had said this, they saw the chest standing again in the same place.	true	1486.04	1496.38	21.07064
6828_64738_000015_000003	While Beauty was dressing herself, a servant brought word to her that her sisters were come with their husbands to pay her a visit.	While Beauty was dressing herself, a servant brought word to her that her sisters were come with their husbands to pay her a visit.	true	1496.63	1503.7	20
6828_64738_000015_000004	They both lived unhappily with the gentlemen they had married.	They both lived unhappily with the gentlemen they had married.	true	1503.86	1507.18	19.826351
6828_64738_000015_000005	The husband of the eldest was very handsome; but was so very proud of this, that he thought of nothing else from morning till night, and did not attend to the beauty of his wife.	The husband of the eldest was very handsome; but was so very proud of this, that he thought of nothing else from morning till night, and did not attend to the beauty of his wife.	true	1507.22	1516.42	20
6828_64738_000015_000006	The second had married a man of great learning; but he made no use of it, only to torment and affront all his friends, and his wife more than any of them.	The second had married a man of great learning; but he made no use of it, only to torment and affront all his friends, and his wife more than any of them.	true	1516.49	1525.36	21.462473
6828_64738_000015_000007	The two sisters were ready to burst with spite when they saw Beauty dressed like a princess, and look so very charming.	The two sisters were ready to burst with spite when they saw Beauty dressed like a princess, and look so very charming.	true	1525.46	1532.44	20.846031
6828_64738_000015_000008	All the kindness that she showed them was of no use; for they were vexed more than ever, when she told them how happy she lived at the palace of the beast.	All the kindness that she showed them was of no use; for they were vexed more than ever, when she told them how happy she lived at the palace of the beast.	true	1532.57	1541.08	20.728304
6828_64738_000015_000009	The spiteful creatures went by themselves into the garden, where they cried to think of her good fortune.	The spiteful creatures went by themselves into the garden, where they cried to think of her good fortune.	true	1541.36	1546.6	22.379871
6828_64738_000015_000010	"Why should the little wretch be better off than we?" said they.	"Why should the little wretch be better off than we?" said they.	false	1547	1551.04	21.152323
6828_64738_000015_000011	"We are much handsomer than she is." "Sister," said the eldest, "a thought has just come into my head: let us try to keep her here longer than the week that the beast gave her leave for: and then he will be so angry, that perhaps he will eat her up in a moment." "That is well thought of," answered the other, "but to do this we must seem very kind to her." They then made up their minds to be so, and went to join her in the cottage where they showed her so much false love, that Beauty could not help crying for joy.	"We are much handsomer than she is." "Sister," said the eldest, "a thought has just come into my head: let us try to keep her here longer than the week that the beast gave her leave for: and then he will be so angry, that perhaps he will eat her up in a moment." "That is well thought of," answered the other, "but to do this we must seem very kind to her." They then made up their minds to be so, and went to join her in the cottage where they showed her so much false love, that Beauty could not help crying for joy.	false	1551.2	1581.73	20.207901
6828_64738_000016_000000	When the week was ended, the two sisters began to pretend so much grief at the thoughts of her leaving them, that she agreed to stay a week more; but all that time Beauty could not help fretting for the sorrow that she knew her staying would give her poor beast; for she tenderly loved him, and much wished for his company again.	When the week was ended, the two sisters began to pretend so much grief at the thoughts of her leaving them, that she agreed to stay a week more; but all that time Beauty could not help fretting for the sorrow that she knew her staying would give her poor beast; for she tenderly loved him, and much wished for his company again.	true	1581.8	1599.7	20
6828_64738_000016_000001	The tenth night of her being at the cottage she dreamed she was in the garden of the palace, and that the beast lay dying on a grass plot, and, with his last breath, put her in mind of her promise, and laid his death to her keeping away from him; Beauty awoke in a great fright, and burst into tears.	The tenth night of her being at the cottage she dreamed she was in the garden of the palace, and that the beast lay dying on a grass plot, and, with his last breath, put her in mind of her promise, and laid his death to her keeping away from him; Beauty awoke in a great fright, and burst into tears.	false	1600.1	1618.92	21.29502
6828_64738_000016_000002	"Am not I wicked," said she, "to behave so ill to a beast who has shown me so much kindness; why will I not marry him?	"Am not I wicked," said she, "to behave so ill to a beast who has shown me so much kindness; why will I not marry him?	true	1618.92	1626.83	18
6828_64738_000016_000003	I am sure I should be more happy with him than my sisters are with their husbands.	I am sure I should be more happy with him than my sisters are with their husbands.	true	1626.83	1631.2	16
6828_64738_000016_000004	He shall not be wretched any longer on my account; for I should do nothing but blame myself all the rest of my life,"	He shall not be wretched any longer on my account; for I should do nothing but blame myself all the rest of my life,"	true	1631.51	1638.07	19
6828_64738_000017_000000	She then rose, put her ring on the table, got into bed again, and soon fell asleep.	She then rose, put her ring on the table, got into bed again, and soon fell asleep.	true	1638.38	1644.51	19.001492
6828_64738_000017_000001	In the morning she with joy found herself in the palace of the beast.	In the morning she with joy found herself in the palace of the beast.	true	1644.51	1649.44	21.687729
6828_64738_000017_000002	She dressed herself very finely, that she might please him the better, and thought she had never known a day pass away so slow.	She dressed herself very finely, that she might please him the better, and thought she had never known a day pass away so slow.	true	1650.08	1658.02	20
6828_64738_000017_000003	At last the clock struck nine, but the beast did not come.	At last the clock struck nine, but the beast did not come.	true	1658.15	1662.67	20.435518
6828_64738_000017_000004	Beauty then thought to be sure she had been the cause of his death in earnest.	Beauty then thought to be sure she had been the cause of his death in earnest.	true	1662.8	1667.65	21.952126
6828_64738_000017_000005	She ran from room to room all over the palace, calling out his name, but still she saw nothing of him.	She ran from room to room all over the palace, calling out his name, but still she saw nothing of him.	true	1667.75	1674.49	21.473303
6828_64738_000017_000006	After looking for him a long time, she thought of her dream, and ran directly towards the grass plot; and there she found the poor beast lying senseless and seeming dead.	After looking for him a long time, she thought of her dream, and ran directly towards the grass plot; and there she found the poor beast lying senseless and seeming dead.	true	1674.68	1685.26	19
6828_64738_000017_000007	She threw herself upon his body, thinking nothing at all of his ugliness; and finding his heart still beat, she ran and fetched some water from a pond in the garden, and threw it on his face.	She threw herself upon his body, thinking nothing at all of his ugliness; and finding his heart still beat, she ran and fetched some water from a pond in the garden, and threw it on his face.	true	1685.45	1696.63	20.33365
6828_64738_000017_000008	The beast then opened his eyes, and said: "You have forgot your promise, Beauty.	The beast then opened his eyes, and said: "You have forgot your promise, Beauty.	true	1696.76	1701.64	21.602428
6828_64738_000017_000009	My grief for the loss of you has made me resolve to starve myself to death; but I shall die content, since I have had the pleasure of seeing you once more." "No, dear beast," replied Beauty, "you shall not die; you shall live to be my husband: from this moment I offer to marry you, and will be only yours. Oh!	My grief for the loss of you has made me resolve to starve myself to death; but I shall die content, since I have had the pleasure of seeing you once more." "No, dear beast," replied Beauty, "you shall not die; you shall live to be my husband: from this moment I offer to marry you, and will be only yours. Oh!	true	1701.68	1722.45	21.04948
6828_64738_000017_000010	I thought I felt only friendship for you; but the pain I now feel, shows me that I could not live without seeing you."	I thought I felt only friendship for you; but the pain I now feel, shows me that I could not live without seeing you."	true	1722.45	1729.81	19
6828_64738_000018_000000	The moment Beauty had spoken these words, the palace was suddenly lighted up, and music, fireworks, and all kinds of rejoicings, appeared round about them.	The moment Beauty had spoken these words, the palace was suddenly lighted up, and music, fireworks, and all kinds of rejoicings, appeared round about them.	true	1730.09	1739.98	21.50583
6828_64738_000018_000001	Yet Beauty took no notice of all this, but watched over her dear beast with the greatest tenderness.	Yet Beauty took no notice of all this, but watched over her dear beast with the greatest tenderness.	true	1740.23	1746.91	21.549816
6828_64738_000018_000002	But now she was all at once amazed to see at her feet, instead of her poor beast, the handsomest prince that ever was seen, who thanked her most warmly for having broken his enchantment.	But now she was all at once amazed to see at her feet, instead of her poor beast, the handsomest prince that ever was seen, who thanked her most warmly for having broken his enchantment.	false	1747.46	1759.51	20.92971
6828_64738_000018_000003	Though this young prince deserved all her notice, she could not help asking him what was become of the beast.	Though this young prince deserved all her notice, she could not help asking him what was become of the beast.	true	1759.79	1766.65	21
6828_64738_000018_000004	"You see him at your feet, Beauty," answered the prince, "for I am he.	"You see him at your feet, Beauty," answered the prince, "for I am he.	false	1766.84	1772.1	18.54087
6828_64738_000018_000005	A wicked fairy had condemned me to keep the form of a beast till a beautiful young lady should agree to marry me, and ordered me, on pain of death, not to show that I had any sense.	A wicked fairy had condemned me to keep the form of a beast till a beautiful young lady should agree to marry me, and ordered me, on pain of death, not to show that I had any sense.	true	1772.1	1783.39	20
6828_64738_000018_000006	You, alone, dearest Beauty, have kindly judged of me by the goodness of my heart; and in return I offer you my hand and my crown, though I know the reward is much less than what I owe you." Beauty, in the most pleasing surprise, helped the prince to rise, and they walked along to the palace, when her wonder was very great to find her father and sisters there, who had been brought by the lady Beauty had seen in her dream.	You, alone, dearest Beauty, have kindly judged of me by the goodness of my heart; and in return I offer you my hand and my crown, though I know the reward is much less than what I owe you." Beauty, in the most pleasing surprise, helped the prince to rise, and they walked along to the palace, when her wonder was very great to find her father and sisters there, who had been brought by the lady Beauty had seen in her dream.	true	1783.73	1811.56	21.206167
6828_64738_000018_000007	"Beauty," said the lady (for she was a fairy), "receive the reward of the choice you have made.	"Beauty," said the lady (for she was a fairy), "receive the reward of the choice you have made.	true	1812.14	1818.52	18.810112
6828_64738_000018_000008	You have chosen goodness of heart rather than sense and beauty; therefore you deserve to find them all three joined in the same person.	You have chosen goodness of heart rather than sense and beauty; therefore you deserve to find them all three joined in the same person.	true	1818.56	1826.95	18
6828_64738_000018_000009	You are going to be a great Queen: I hope a crown will not destroy your virtue."	You are going to be a great Queen: I hope a crown will not destroy your virtue."	false	1827.23	1833.06	22.735804
6828_64738_000019_000000	"As for you, ladies," said the fairy to the other two sisters, "I have long known the malice of your hearts, and the wrongs you have done.	"As for you, ladies," said the fairy to the other two sisters, "I have long known the malice of your hearts, and the wrongs you have done.	true	1833.06	1841.11	17.744934
6828_64738_000019_000001	You shall become two statues; but under that form you shall still keep your reason, and shall be fixed at the gates of your sister's palace; and I will not pass any worse sentence on you than to see her happy.	You shall become two statues; but under that form you shall still keep your reason, and shall be fixed at the gates of your sister's palace; and I will not pass any worse sentence on you than to see her happy.	true	1841.21	1856.14	22.747648
6828_64738_000019_000002	You will never appear in your own persons again till you are fully cured of your faults; and to tell the truth, I am very much afraid you will remain statues for ever."	You will never appear in your own persons again till you are fully cured of your faults; and to tell the truth, I am very much afraid you will remain statues for ever."	false	1856.42	1866.85	22.616833
6828_64738_000020_000000	At the same moment, the fairy, with a stroke of her wand, removed all who were present to the young prince's country, where he was received with the greatest joy by his subjects.	At the same moment, the fairy, with a stroke of her wand, removed all who were present to the young prince's country, where he was received with the greatest joy by his subjects.	true	1867.04	1876.99	21
6828_64738_000020_000001	He married Beauty, and passed a long and happy life with her, because they still kept in the same course of goodness from which they had never departed.	He married Beauty, and passed a long and happy life with her, because they still kept in the same course of goodness from which they had never departed.	true	1877.15	1886.7	21.43307
6828_64738_000021_000000	***END OF THE PROJECT GUTENBERG EBOOK FAIRY TALES EVERY CHILD SHOULD KNOW***	asterisk asterisk END OF THE PROJECT GUTENBERG EBOOK FAIRY TALES EVERY CHILD SHOULD KNOW asterisk asterisk	false	1886.7	1903.74	20.553095
