2785_163322_000000_000000	CHAPTER V. Wool and Water	CHAPTER five Wool and Water	true	21.945	24.61	18.311455
2785_163322_000088_000000	'The prettiest are always further!' she said at last, with a sigh at the obstinacy of the rushes in growing so far off, as, with flushed cheeks and dripping hair and hands, she scrambled back into her place, and began to arrange her new-found treasures.	'The prettiest are always further!' she said at last, with a sigh at the obstinacy of the rushes in growing so far off, as, with flushed cheeks and dripping hair and hands, she scrambled back into her place, and began to arrange her new found treasures.	false	944.09	961.395	20.089539
2785_163322_000089_000000	What mattered it to her just then that the rushes had begun to fade, and to lose all their scent and beauty, from the very moment that she picked them?	What mattered it to her just then that the rushes had begun to fade, and to lose all their scent and beauty, from the very moment that she picked them?	false	961.395	970.63	18.936808
2785_163322_000089_000001	Even real scented rushes, you know, last only a very little while--and these, being dream-rushes, melted away almost like snow, as they lay in heaps at her feet--but Alice hardly noticed this, there were so many other curious things to think about.	Even real scented rushes, you know, last only a very little while-and these, being dream rushes, melted away almost like snow, as they lay in heaps at her feet-but Alice hardly noticed this, there were so many other curious things to think about.	false	970.76	988.905	19.139421
2785_163322_000090_000000	They hadn't gone much farther before the blade of one of the oars got fast in the water and WOULDN'T come out again (so Alice explained it afterwards), and the consequence was that the handle of it caught her under the chin, and, in spite of a series of little shrieks of 'Oh, oh, oh!' from poor Alice, it swept her straight off the seat, and down among the heap of rushes.	They hadn't gone much farther before the blade of one of the oars got fast in the water and WOULDN'T come out again (so Alice explained it afterwards), and the consequence was that the handle of it caught her under the chin, and, in spite of a series of little shrieks of 'Oh, oh, oh!' from poor Alice, it swept her straight off the seat, and down among the heap of rushes.	false	988.905	1013.26	21.345697
2785_163322_000091_000000	However, she wasn't hurt, and was soon up again: the Sheep went on with her knitting all the while, just as if nothing had happened.	However, she wasn't hurt, and was soon up again: the Sheep went on with her knitting all the while, just as if nothing had happened.	true	1013.3	1022.09	20.802402
2785_163322_000091_000001	'That was a nice crab you caught!' she remarked, as Alice got back into her place, very much relieved to find herself still in the boat.	'That was a nice crab you caught!' she remarked, as Alice got back into her place, very much relieved to find herself still in the boat.	true	1022.09	1030.84	20.626642
2785_163322_000092_000000	'Was it?	'Was it?	true	1031	1031.78	21.430973
2785_163322_000092_000001	I didn't see it,' Said Alice, peeping cautiously over the side of the boat into the dark water.	I didn't see it,' Said Alice, peeping cautiously over the side of the boat into the dark water.	true	1031.78	1037.56	20.279936
2785_163322_000092_000002	'I wish it hadn't let go--I should so like to see a little crab to take home with me!' But the Sheep only laughed scornfully, and went on with her knitting.	'I wish it hadn't let go-I should so like to see a little crab to take home with me!' But the Sheep only laughed scornfully, and went on with her knitting.	false	1038.29	1047.97	22.115246
2785_163322_000093_000000	'Are there many crabs here?' said Alice.	'Are there many crabs here?' said Alice.	true	1048.1	1050.52	20
2785_163322_000094_000000	'Crabs, and all sorts of things,' said the Sheep: 'plenty of choice, only make up your mind.	'Crabs, and all sorts of things,' said the Sheep: 'plenty of choice, only make up your mind.	true	1050.92	1057.24	21.415947
2785_163322_000094_000001	Now, what DO you want to buy?'	Now, what DO you want to buy?'	true	1057.37	1059.67	19.923553
2785_163322_000095_000000	'To buy!' Alice echoed in a tone that was half astonished and half frightened--for the oars, and the boat, and the river, had vanished all in a moment, and she was back again in the little dark shop.	'To buy!' Alice echoed in a tone that was half astonished and half frightened-for the oars, and the boat, and the river, had vanished all in a moment, and she was back again in the little dark shop.	false	1059.92	1072.54	20
2785_163322_000096_000000	'I should like to buy an egg, please,' she said timidly.	'I should like to buy an egg, please,' she said timidly.	true	1073.15	1076.74	24.267351
2785_163322_000096_000001	'How do you sell them?'	'How do you sell them?'	true	1076.84	1078.37	25.42497
2785_163322_000097_000000	'Fivepence farthing for one--Twopence for two,' the Sheep replied.	'Fivepence farthing for one-Twopence for two,' the Sheep replied.	true	1078.37	1083.4	21.59568
2785_163322_000098_000000	'Then two are cheaper than one?' Alice said in a surprised tone, taking out her purse.	'Then two are cheaper than one?' Alice said in a surprised tone, taking out her purse.	true	1083.44	1088.8	24
2785_163322_000099_000000	'Only you MUST eat them both, if you buy two,' said the Sheep.	'Only you MUST eat them both, if you buy two,' said the Sheep.	true	1089.14	1093.6	22.984354
2785_163322_000100_000000	'Then I'll have ONE, please,' said Alice, as she put the money down on the counter.	'Then I'll have ONE, please,' said Alice, as she put the money down on the counter.	true	1093.85	1099.15	18.814425
2785_163322_000100_000001	For she thought to herself, 'They mightn't be at all nice, you know.'	For she thought to herself, 'They mightn't be at all nice, you know.'	true	1099.4	1103.41	21.931688
2785_163322_000101_000000	The Sheep took the money, and put it away in a box: then she said 'I never put things into people's hands--that would never do--you must get it for yourself.' And so saying, she went off to the other end of the shop, and set the egg upright on a shelf.	The Sheep took the money, and put it away in a box: then she said 'I never put things into people's hands-that would never do-you must get it for yourself.' And so saying, she went off to the other end of the shop, and set the egg upright on a shelf.	true	1103.42	1119.73	20.57278
2785_163322_000102_000000	'I wonder WHY it wouldn't do?' thought Alice, as she groped her way among the tables and chairs, for the shop was very dark towards the end. 'The egg seems to get further away the more I walk towards it.	'I wonder WHY it wouldn't do?' thought Alice, as she groped her way among the tables and chairs, for the shop was very dark towards the end. 'The egg seems to get further away the more I walk towards it.	false	1120.07	1134.67	18.674017
2785_163322_000102_000001	Let me see, is this a chair?	Let me see, is this a chair?	false	1135.37	1138.33	20.434307
2785_163322_000102_000002	Why, it's got branches, I declare!	Why, it's got branches, I declare!	true	1138.79	1141.2	22.856339
2785_163322_000102_000003	How very odd to find trees growing here!	How very odd to find trees growing here!	false	1141.2	1144.86	20.870888
2785_163322_000102_000004	And actually here's a little brook!	And actually here's a little brook!	false	1144.86	1146.7	18
2785_163322_000102_000005	Well, this is the very queerest shop I ever saw!'	Well, this is the very queerest shop I ever saw!'	false	1146.7	1150.82	18.63873
2785_163322_000103_000000	So she went on, wondering more and more at every step, as everything turned into a tree the moment she came up to it, and she quite expected the egg to do the same.	So she went on, wondering more and more at every step, as everything turned into a tree the moment she came up to it, and she quite expected the egg to do the same.	false	1150.82	1169.64	18.133263
