2741_159386_000000_000000	_The Wild Swans_	underscore The Wild Swans underscore	false	31.8	37.44	19.326551
2741_159386_000009_000021	They sank so rapidly that at the moment their feet touched the rock the sun shone only like a star, and at last disappeared like the last spark in a piece of burned paper.	They sank so rapidly that at the moment their feet touched the rock the sun shone only like a star, and at last disappeared like the last spark in a piece of burned paper.	true	1422.98	1437.94	20.791904
2741_159386_000009_000022	Then she saw her brothers standing closely around her with their arms linked together.	Then she saw her brothers standing closely around her with their arms linked together.	true	1439.78	1445.41	18
2741_159386_000009_000023	There was but just room enough for them, and not the smallest space to spare.	There was but just room enough for them, and not the smallest space to spare.	true	1446.17	1452.34	21.86035
2741_159386_000009_000024	The sea dashed against the rock and covered them with spray.	The sea dashed against the rock and covered them with spray.	true	1453.28	1457.44	16
2741_159386_000009_000025	The heavens were lighted up with continual flashes, and peal after peal of thunder rolled.	The heavens were lighted up with continual flashes, and peal after peal of thunder rolled.	true	1457.81	1465.06	20
2741_159386_000009_000026	But the sister and brothers sat holding each other's hands and singing hymns, from which they gained hope and courage.	But the sister and brothers sat holding each other's hands and singing hymns, from which they gained hope and courage.	true	1465.61	1473.94	19
2741_159386_000009_000027	In the early dawn the air became calm and still, and at sunrise the swans flew away from the rock with Eliza.	In the early dawn the air became calm and still, and at sunrise the swans flew away from the rock with Eliza.	true	1474.94	1483.57	18
2741_159386_000009_000028	The sea was still rough, and from their high position in the air the white foam on the dark green waves looked like millions of swans swimming on the water.	The sea was still rough, and from their high position in the air the white foam on the dark green waves looked like millions of swans swimming on the water.	true	1485.38	1497.19	19.135927
2741_159386_000009_000029	As the sun rose higher Eliza saw before her, floating in the air, a range of mountains with shining masses of ice on their summits.	As the sun rose higher Eliza saw before her, floating in the air, a range of mountains with shining masses of ice on their summits.	true	1498.22	1508.83	18
2741_159386_000009_000030	In the center rose a castle apparently a mile long, with rows of columns rising one above another, while around it palm trees waved and flowers bloomed as large as mill wheels.	In the center rose a castle apparently a mile long, with rows of columns rising one above another, while around it palm trees waved and flowers bloomed as large as mill wheels.	true	1509.89	1525.6	17
2741_159386_000009_000031	She asked if this was the land to which they were hastening.	She asked if this was the land to which they were hastening.	true	1526.48	1529.92	15
2741_159386_000009_000032	The swans shook their heads, for what she beheld were the beautiful ever-changing cloud palaces of the "Fata Morgana," into which no mortal can enter.	The swans shook their heads, for what she beheld were the beautiful ever changing cloud palaces of the "Fata Morgana," into which no mortal can enter.	true	1530.68	1543.48	19.238264
2741_159386_000009_000033	Eliza was still gazing at the scene when mountains, forests, and castles melted away, and twenty stately churches rose in their stead, with high towers and pointed Gothic windows.	Eliza was still gazing at the scene when mountains, forests, and castles melted away, and twenty stately churches rose in their stead, with high towers and pointed Gothic windows.	false	1544.48	1558.66	19
2741_159386_000009_000034	Eliza even fancied she could hear the tones of the organ, but it was the music of the murmuring sea which she heard.	Eliza even fancied she could hear the tones of the organ, but it was the music of the murmuring sea which she heard.	true	1559.45	1567.45	17
2741_159386_000009_000035	As they drew nearer to the churches, these also changed into a fleet of ships, which seemed to be sailing beneath her; but as she looked again, she found it was only a sea mist gliding over the ocean.	As they drew nearer to the churches, these also changed into a fleet of ships, which seemed to be sailing beneath her; but as she looked again, she found it was only a sea mist gliding over the ocean.	true	1569.17	1584.49	19
2741_159386_000009_000036	So there continued to pass before her eyes a constant change of scene, till at last she saw the real land to which they were bound, with its blue mountains, its cedar forests, and its cities and palaces.	So there continued to pass before her eyes a constant change of scene, till at last she saw the real land to which they were bound, with its blue mountains, its cedar forests, and its cities and palaces.	true	1585.43	1602.34	20.092762
2741_159386_000009_000037	Long before the sun went down she sat on a rock in front of a large cave, on the floor of which the overgrown yet delicate green creeping plants looked like an embroidered carpet.	Long before the sun went down she sat on a rock in front of a large cave, on the floor of which the overgrown yet delicate green creeping plants looked like an embroidered carpet.	true	1603.13	1616.89	19
2741_159386_000009_000038	"Now we shall expect to hear what you dream of to-night," said the youngest brother, as he showed his sister her bedroom.	"Now we shall expect to hear what you dream of to night," said the youngest brother, as he showed his sister her bedroom.	true	1619.3	1627.87	18
2741_159386_000010_000000	"Heaven grant that I may dream how to save you!" she replied.	"Heaven grant that I may dream how to save you!" she replied.	true	1628.99	1633.78	19.9219
2741_159386_000010_000001	And this thought took such hold upon her mind that she prayed earnestly to God for help, and even in her sleep she continued to pray.	And this thought took such hold upon her mind that she prayed earnestly to God for help, and even in her sleep she continued to pray.	true	1634.6	1644.85	19.848755
2741_159386_000010_000002	Then it appeared to her as if she were flying high in the air, toward the cloudy palace of the "Fata Morgana," and a fairy came out to meet her, radiant and beautiful in appearance, and yet very much like the old woman who had given her berries in the wood, and who had told her of the swans with golden crowns on their heads.	Then it appeared to her as if she were flying high in the air, toward the cloudy palace of the "Fata Morgana," and a fairy came out to meet her, radiant and beautiful in appearance, and yet very much like the old woman who had given her berries in the wood, and who had told her of the swans with golden crowns on their heads.	false	1646.03	1669.75	19.510233
2741_159386_000010_000003	"Your brothers can be released," said she, "if you have only courage and perseverance.	"Your brothers can be released," said she, "if you have only courage and perseverance.	false	1671.08	1678.45	20.059078
2741_159386_000010_000004	True, water is softer than your own delicate hands, and yet it polishes stones into shapes; it feels no pain as your fingers would feel, it has no soul, and cannot suffer such agony and torment as you will have to endure.	True, water is softer than your own delicate hands, and yet it polishes stones into shapes; it feels no pain as your fingers would feel, it has no soul, and cannot suffer such agony and torment as you will have to endure.	true	1678.97	1696.93	19.996788
2741_159386_000010_000005	Do you see the stinging nettle which I hold in my hand?	Do you see the stinging nettle which I hold in my hand?	false	1698.05	1701.49	9
2741_159386_000010_000006	Quantities of the same sort grow around the cave in which you sleep, but none will be of any use to you unless they grow upon the graves in a churchyard.	Quantities of the same sort grow around the cave in which you sleep, but none will be of any use to you unless they grow upon the graves in a churchyard.	false	1702.46	1713.34	20
2741_159386_000010_000007	These you must gather even while they burn blisters on your hands.	These you must gather even while they burn blisters on your hands.	true	1713.68	1718.65	21
2741_159386_000010_000008	Break them to pieces with your hands and feet, and they will become flax, from which you must spin and weave eleven coats with long sleeves; if these are then thrown over the eleven swans the spell will be broken.	Break them to pieces with your hands and feet, and they will become flax, from which you must spin and weave eleven coats with long sleeves; if these are then thrown over the eleven swans the spell will be broken.	true	1719.11	1735.87	20.528635
2741_159386_000010_000009	But remember, that from the moment you commence your task until it is finished, even should it occupy years of your life, you must not speak.	But remember, that from the moment you commence your task until it is finished, even should it occupy years of your life, you must not speak.	true	1736.39	1748.14	19.265335
2741_159386_000010_000010	The first word you utter will pierce through the hearts of your brothers like a deadly dagger. Their lives hang upon your tongue.	The first word you utter will pierce through the hearts of your brothers like a deadly dagger. Their lives hang upon your tongue.	true	1748.48	1757.47	20.81539
2741_159386_000010_000011	Remember all I have told you." And as she finished speaking, she touched her hand lightly with the nettle, and a pain as of burning fire awoke Eliza.	Remember all I have told you." And as she finished speaking, she touched her hand lightly with the nettle, and a pain as of burning fire awoke Eliza.	false	1758.14	1769.47	21.72784
2741_159386_000011_000000	It was broad daylight, and close by where she had been sleeping lay a nettle like the one she had seen in her dream.	It was broad daylight, and close by where she had been sleeping lay a nettle like the one she had seen in her dream.	false	1770.5	1778.08	16
2741_159386_000011_000001	She fell on her knees and offered her thanks to God.	She fell on her knees and offered her thanks to God.	true	1778.96	1782.37	19
2741_159386_000011_000002	Then she went forth from the cave to begin her work with her delicate hands.	Then she went forth from the cave to begin her work with her delicate hands.	true	1782.95	1788.07	19
2741_159386_000011_000003	She groped in among the ugly nettles, which burned great blisters on her hands and arms, but she determined to bear it gladly if she could only release her dear brothers.	She groped in among the ugly nettles, which burned great blisters on her hands and arms, but she determined to bear it gladly if she could only release her dear brothers.	true	1788.47	1799.83	18
2741_159386_000011_000004	So she bruised the nettles with her bare feet and spun the flax.	So she bruised the nettles with her bare feet and spun the flax.	true	1800.68	1804.87	20.492657
2741_159386_000011_000005	At sunset her brothers returned and were very much frightened when they found her dumb.	At sunset her brothers returned and were very much frightened when they found her dumb.	true	1805.72	1811.92	21
2741_159386_000011_000006	They believed it to be some new sorcery of their wicked stepmother.	They believed it to be some new sorcery of their wicked stepmother.	true	1812.47	1816.9	17
2741_159386_000011_000007	But when they saw her hands they understood what she was doing on their behalf, and the youngest brother wept, and where his tears fell the pain ceased and the burning blisters vanished.	But when they saw her hands they understood what she was doing on their behalf, and the youngest brother wept, and where his tears fell the pain ceased and the burning blisters vanished.	false	1817.84	1832.46	19.055487
2741_159386_000011_000008	She kept at her work all night, for she could not rest till she had released her dear brothers.	She kept at her work all night, for she could not rest till she had released her dear brothers.	true	1832.46	1838.89	20
2741_159386_000011_000009	During the whole of the following day, while her brothers were absent, she sat in solitude, but never before had the time flown so quickly.	During the whole of the following day, while her brothers were absent, she sat in solitude, but never before had the time flown so quickly.	true	1839.95	1850.38	20.092278
2741_159386_000011_000010	One coat was already finished and she had begun the second when she heard a huntsman's horn and was struck with fear.	One coat was already finished and she had begun the second when she heard a huntsman's horn and was struck with fear.	false	1851.14	1860.07	20.515287
2741_159386_000011_000011	The sound came nearer and nearer; she heard the dogs barking, and fled with terror into the cave.	The sound came nearer and nearer; she heard the dogs barking, and fled with terror into the cave.	true	1860.8	1868.44	20.373695
2741_159386_000011_000012	She hastily bound together the nettles she had gathered into a bundle and sat upon them.	She hastily bound together the nettles she had gathered into a bundle and sat upon them.	true	1869.11	1875.13	19.6425
2741_159386_000011_000013	Immediately a great dog came bounding toward her out of the ravine, and then another and another; they barked loudly, ran back, and then came again.	Immediately a great dog came bounding toward her out of the ravine, and then another and another; they barked loudly, ran back, and then came again.	true	1875.95	1888.75	20.264523
2741_159386_000011_000014	In a very few minutes all the huntsmen stood before the cave, and the handsomest of them was the King of the country.	In a very few minutes all the huntsmen stood before the cave, and the handsomest of them was the King of the country.	true	1889.45	1898.17	21
2741_159386_000011_000015	He advanced toward her, for he had never seen a more beautiful maiden.	He advanced toward her, for he had never seen a more beautiful maiden.	true	1898.69	1903.69	18
2741_159386_000012_000000	"How did you come here, my sweet child?" he asked.	"How did you come here, my sweet child?" he asked.	true	1905.08	1909.21	18.644054
2741_159386_000012_000001	But Eliza shook her head.	But Eliza shook her head.	true	1909.67	1911.58	20.22722
2741_159386_000012_000002	She dared not speak, at the cost of her brothers' lives.	She dared not speak, at the cost of her brothers' lives.	true	1911.71	1915.81	20.338612
2741_159386_000012_000003	And she hid her hands under her apron, so that the King might not see how she must be suffering.	And she hid her hands under her apron, so that the King might not see how she must be suffering.	true	1916.36	1922.59	15
2741_159386_000013_000000	"Come with me," he said; "here you cannot remain.	"Come with me," he said; "here you cannot remain.	true	1923.92	1928.44	21.08683
2741_159386_000013_000001	If you are as good as you are beautiful, I will dress you in silk and velvet, I will place a golden crown on your head, and you shall dwell and rule and make your home in my richest castle." And then he lifted her on his horse.	If you are as good as you are beautiful, I will dress you in silk and velvet, I will place a golden crown on your head, and you shall dwell and rule and make your home in my richest castle." And then he lifted her on his horse.	true	1928.87	1947.58	20.664263
2741_159386_000013_000002	She wept and wrung her hands, but the King said: "I wish only your happiness.	She wept and wrung her hands, but the King said: "I wish only your happiness.	true	1948.07	1954.3	18.55862
2741_159386_000013_000003	A time will come when you will thank me for this." And then he galloped away over the mountains, holding her before him on his horse, and the hunters followed behind them.	A time will come when you will thank me for this." And then he galloped away over the mountains, holding her before him on his horse, and the hunters followed behind them.	false	1954.55	1967.88	19.579287
2741_159386_000013_000004	As the sun went down they approached a fair, royal city, with churches and cupolas.	As the sun went down they approached a fair, royal city, with churches and cupolas.	true	1967.88	1974.76	19.996588
2741_159386_000013_000005	On arriving at the castle the King led her into marble halls where large fountains played, and where the walls and the ceilings were covered with rich paintings.	On arriving at the castle the King led her into marble halls where large fountains played, and where the walls and the ceilings were covered with rich paintings.	true	1975.73	1987.51	19
2741_159386_000013_000006	But she had no eyes for all these glorious sights; she could only mourn and weep.	But she had no eyes for all these glorious sights; she could only mourn and weep.	true	1987.94	1993.78	17.438238
2741_159386_000013_000007	Patiently she allowed the women to array her in royal robes, to weave pearls in her hair, and draw soft gloves over her blistered fingers.	Patiently she allowed the women to array her in royal robes, to weave pearls in her hair, and draw soft gloves over her blistered fingers.	true	1994.36	2004.82	18
2741_159386_000013_000008	As she stood before them in all her rich dress, she looked so dazzlingly beautiful that the court bowed low in her presence. Then the King declared his intention of making her his bride, but the archbishop shook his head, and whispered that the fair young maiden was only a witch who had blinded the King's eyes and enchanted his heart. But the King would not listen to this; he ordered the music to sound, the daintiest dishes to be served, and the loveliest maidens to dance. Afterwards he led her through fragrant gardens and lofty halls, but not a smile appeared on her lips or sparkled in her eyes.	As she stood before them in all her rich dress, she looked so dazzlingly beautiful that the court bowed low in her presence. Then the King declared his intention of making her his bride, but the archbishop shook his head, and whispered that the fair young maiden was only a witch who had blinded the King's eyes and enchanted his heart. But the King would not listen to this; he ordered the music to sound, the daintiest dishes to be served, and the loveliest maidens to dance. Afterwards he led her through fragrant gardens and lofty halls, but not a smile appeared on her lips or sparkled in her eyes.	true	2005.73	2051.62	20.576412
2741_159386_000013_000009	She looked the very picture of grief.	She looked the very picture of grief.	true	2052.29	2055.19	23.583323
2741_159386_000013_000010	Then the King opened the door of a little chamber in which she was to sleep; it was adorned with rich green tapestry, and resembled the cave in which he had found her.	Then the King opened the door of a little chamber in which she was to sleep; it was adorned with rich green tapestry, and resembled the cave in which he had found her.	true	2056.16	2068.39	20.316301
2741_159386_000013_000011	On the floor lay the bundle of flax which she had spun from the nettles, and under the ceiling hung the coat she had made.	On the floor lay the bundle of flax which she had spun from the nettles, and under the ceiling hung the coat she had made.	false	2069.57	2078.26	17
2741_159386_000013_000012	These things had been brought away from the cave as curiosities by one of the huntsmen.	These things had been brought away from the cave as curiosities by one of the huntsmen.	true	2078.81	2084.65	21
2741_159386_000014_000000	"Here you can dream yourself back again in the old home in the cave," said the King; "here is the work with which you employed yourself.	"Here you can dream yourself back again in the old home in the cave," said the King; "here is the work with which you employed yourself.	true	2086.55	2096.23	20.65244
2741_159386_000014_000001	It will amuse you now in the midst of all this splendor to think of that time."	It will amuse you now in the midst of all this splendor to think of that time."	true	2096.27	2101.18	15
2741_159386_000015_000000	When Eliza saw all these things which lay so near her heart, a smile played around her mouth and the crimson blood rushed to her cheeks.	When Eliza saw all these things which lay so near her heart, a smile played around her mouth and the crimson blood rushed to her cheeks.	true	2102.6	2113.21	19.758465
2741_159386_000015_000001	She thought of her brothers, and their release made her so joyful that she kissed the King's hand.	She thought of her brothers, and their release made her so joyful that she kissed the King's hand.	true	2113.64	2120.2	20.921516
2741_159386_000015_000002	Then he pressed her to his heart.	Then he pressed her to his heart.	true	2120.75	2122.81	19.682789
2741_159386_000015_000003	Very soon the joyous church bells announced the marriage feast, and that the beautiful dumb girl out of the wood was to be made Queen of the country.	Very soon the joyous church bells announced the marriage feast, and that the beautiful dumb girl out of the wood was to be made Queen of the country.	true	2123.27	2133.22	17
2741_159386_000015_000004	Then the archbishop whispered wicked words in the King's ear, but they did not sink into his heart.	Then the archbishop whispered wicked words in the King's ear, but they did not sink into his heart.	true	2134.25	2141.17	21.400015
2741_159386_000015_000005	The marriage was still to take place, and the archbishop himself had to place the crown on the bride's head; in his wicked spite he pressed the narrow circlet so tightly on her forehead that it caused her pain.	The marriage was still to take place, and the archbishop himself had to place the crown on the bride's head; in his wicked spite he pressed the narrow circlet so tightly on her forehead that it caused her pain.	false	2141.84	2157.94	20.872631
2741_159386_000015_000006	But a heavier weight encircled her heart--sorrow for her brothers.	But a heavier weight encircled her heart-sorrow for her brothers.	true	2158.88	2164.21	18.97433
2741_159386_000015_000007	She felt not bodily pain.	She felt not bodily pain.	true	2165	2167.15	16
2741_159386_000015_000008	Her mouth was closed; a single word would cost her brothers their lives.	Her mouth was closed; a single word would cost her brothers their lives.	true	2167.55	2172.94	19.578188
2741_159386_000015_000009	But she loved the kind, handsome King, who did everything to make her happy, more and more each day; she loved him with her whole heart, and her eyes beamed with the love she dared not speak.	But she loved the kind, handsome King, who did everything to make her happy, more and more each day; she loved him with her whole heart, and her eyes beamed with the love she dared not speak.	true	2173.46	2189.2	20.025377
2741_159386_000015_000010	Oh, if she had only been able to confide in him and tell him of her grief!	Oh, if she had only been able to confide in him and tell him of her grief!	true	2189.87	2195.11	20
2741_159386_000015_000011	But dumb she must remain till her task was finished.	But dumb she must remain till her task was finished.	true	2195.57	2199.46	18
2741_159386_000015_000012	Therefore at night she crept away into her little chamber, which had been decked out to look like the cave, and quickly wove one coat after another.	Therefore at night she crept away into her little chamber, which had been decked out to look like the cave, and quickly wove one coat after another.	true	2199.98	2210.59	22
2741_159386_000015_000013	But when she began the seventh she found she had no more flax.	But when she began the seventh she found she had no more flax.	true	2211.38	2216.14	19.359035
2741_159386_000015_000014	She knew that the nettles she wanted to use grew in the churchyard, and that she must pluck them herself.	She knew that the nettles she wanted to use grew in the churchyard, and that she must pluck them herself.	true	2216.72	2224.03	19.837175
2741_159386_000015_000015	How should she get out there?	How should she get out there?	true	2224.85	2226.73	20.973307
2741_159386_000015_000016	"Oh, what is the pain in my fingers to the torment which my heart endures?" said she.	"Oh, what is the pain in my fingers to the torment which my heart endures?" said she.	true	2228.24	2234.29	19
2741_159386_000015_000017	"I must venture; I shall not be denied help from heaven." Then with a trembling heart, as if she were about to perform a wicked deed, she crept into the garden in the broad moonlight, and passed through the narrow walks and the deserted streets till she reached the churchyard.	"I must venture; I shall not be denied help from heaven." Then with a trembling heart, as if she were about to perform a wicked deed, she crept into the garden in the broad moonlight, and passed through the narrow walks and the deserted streets till she reached the churchyard.	true	2234.99	2256.73	20.036657
2741_159386_000015_000018	Then she saw on one of the broad tombstones a group of ghouls.	Then she saw on one of the broad tombstones a group of ghouls.	true	2257.19	2262.79	17
2741_159386_000015_000019	These hideous creatures took off their rags, as if they intended to bathe, and then, clawing open the grassy graves with their long skinny fingers, pulled out the bones and threw them about!	These hideous creatures took off their rags, as if they intended to bathe, and then, clawing open the grassy graves with their long skinny fingers, pulled out the bones and threw them about!	true	2263.55	2277.88	20.972483
2741_159386_000015_000020	Eliza had to pass close by them, and they fixed their wicked glances upon her, but she prayed silently, gathered the burning nettles, and carried them home with her to the castle.	Eliza had to pass close by them, and they fixed their wicked glances upon her, but she prayed silently, gathered the burning nettles, and carried them home with her to the castle.	false	2278.85	2292.07	20.60912
2741_159386_000015_000021	One person only had seen her, and that was the archbishop--he was awake while everybody was asleep.	One person only had seen her, and that was the archbishop-he was awake while everybody was asleep.	true	2292.92	2302.39	19.629301
2741_159386_000015_000022	Now he thought his opinion was evidently correct.	Now he thought his opinion was evidently correct.	true	2303.09	2306.8	21
2741_159386_000015_000023	All was not right with the Queen.	All was not right with the Queen.	true	2307.56	2310.07	22
2741_159386_000015_000024	She was a witch, and had enchanted the King and all the people.	She was a witch, and had enchanted the King and all the people.	true	2310.5	2315.65	19.031275
2741_159386_000015_000025	Secretly he told the King what he had seen and what he feared, and as the hard words came from his tongue, the carved images of the saints shook their heads as if they would say, "It is not so.	Secretly he told the King what he had seen and what he feared, and as the hard words came from his tongue, the carved images of the saints shook their heads as if they would say, "It is not so.	false	2316.53	2331.82	20.534754
2741_159386_000015_000026	Eliza is innocent."	Eliza is innocent."	true	2332.01	2334.19	19.007326
2741_159386_000016_000000	But the archbishop interpreted it in another way; he believed that they witnessed against her, and were shaking their heads at her wickedness. Two large tears rolled down the King's cheeks, and he went home with doubt in his heart, and at night pretended to sleep, but there came no real sleep to his eyes, for he saw Eliza get up every night and disappear in her own chamber.	But the archbishop interpreted it in another way; he believed that they witnessed against her, and were shaking their heads at her wickedness. Two large tears rolled down the King's cheeks, and he went home with doubt in his heart, and at night pretended to sleep, but there came no real sleep to his eyes, for he saw Eliza get up every night and disappear in her own chamber.	false	2335.73	2366.17	20.49127
2741_159386_000016_000001	From day to day his brow became darker, and Eliza saw it and did not understand the reason, but it alarmed her and made her heart tremble for her brothers.	From day to day his brow became darker, and Eliza saw it and did not understand the reason, but it alarmed her and made her heart tremble for her brothers.	true	2367.08	2379.43	22.110144
2741_159386_000016_000002	Her hot tears glittered like pearls on the regal velvet and diamonds, while all who saw her were wishing they could be queens.	Her hot tears glittered like pearls on the regal velvet and diamonds, while all who saw her were wishing they could be queens.	true	2380.31	2389.78	18
2741_159386_000016_000003	In the meantime she had almost finished her task; only one coat of mail was wanting, but she had no flax left, and not a single nettle.	In the meantime she had almost finished her task; only one coat of mail was wanting, but she had no flax left, and not a single nettle.	true	2390.84	2403.4	18.252043
2741_159386_000016_000004	Once more only, and for the last time, must she venture to the churchyard and pluck a few handfuls.	Once more only, and for the last time, must she venture to the churchyard and pluck a few handfuls.	true	2404.4	2412.37	19.361595
2741_159386_000016_000005	She thought with terror of the solitary walk, and of the horrible ghouls, but her will was firm, as well as her trust in Providence.	She thought with terror of the solitary walk, and of the horrible ghouls, but her will was firm, as well as her trust in Providence.	true	2413.22	2422.78	20.017761
2741_159386_000016_000006	Eliza went, and the King and the archbishop followed her.	Eliza went, and the King and the archbishop followed her.	false	2423.6	2428.45	19.957771
2741_159386_000016_000007	They saw her vanish through the wicket gate into the churchyard, and when they came nearer they saw the ghouls sitting on the tombstone as Eliza had seen them, and the King turned away his head, for he thought she was with them--she whose head had rested on his breast that very evening.	They saw her vanish through the wicket gate into the churchyard, and when they came nearer they saw the ghouls sitting on the tombstone as Eliza had seen them, and the King turned away his head, for he thought she was with them-she whose head had rested on his breast that very evening.	true	2429.66	2451.4	20.338333
2741_159386_000016_000008	"The people must condemn her," said he, and she was very quickly condemned by everyone to suffer death by fire.	"The people must condemn her," said he, and she was very quickly condemned by everyone to suffer death by fire.	true	2452.64	2461.93	21.248531
2741_159386_000016_000009	Away from the gorgeous regal halls was she led to a dark, dreary cell, where the wind whistled through the iron bars.	Away from the gorgeous regal halls was she led to a dark, dreary cell, where the wind whistled through the iron bars.	true	2462.69	2471.89	18
2741_159386_000016_000010	Instead of the velvet and silk dresses, they gave her the coats of mail which she had woven to cover her, and the bundle of nettles for a pillow; but nothing they could give her would have pleased her more.	Instead of the velvet and silk dresses, they gave her the coats of mail which she had woven to cover her, and the bundle of nettles for a pillow; but nothing they could give her would have pleased her more.	true	2472.65	2486.74	19.998486
2741_159386_000016_000011	She continued her task with joy, and prayed for help, while the street boys sang jeering songs about her, and not a soul comforted her with a kind word. Toward evening she heard at the grating the flutter of a swan's wing; it was her youngest brother--he had found his sister, and she sobbed for joy, although she knew that very likely this would be the last night she would have to live.	She continued her task with joy, and prayed for help, while the street boys sang jeering songs about her, and not a soul comforted her with a kind word. Toward evening she heard at the grating the flutter of a swan's wing; it was her youngest brother-he had found his sister, and she sobbed for joy, although she knew that very likely this would be the last night she would have to live.	true	2487.74	2518.6	19.627453
2741_159386_000016_000012	But still she could hope, for her task was almost finished and her brothers were come.	But still she could hope, for her task was almost finished and her brothers were come.	true	2518.85	2526.22	19.749723
2741_159386_000016_000013	Then the archbishop arrived, to be with her during her last hours, as he had promised the King.	Then the archbishop arrived, to be with her during her last hours, as he had promised the King.	true	2527.19	2534.23	19.56608
2741_159386_000016_000014	But she shook her head, and begged him, by looks and gestures, not to stay, for in this night she knew she must finish her task, otherwise all her pain and tears and sleepless nights would have been suffered in vain.	But she shook her head, and begged him, by looks and gestures, not to stay, for in this night she knew she must finish her task, otherwise all her pain and tears and sleepless nights would have been suffered in vain.	true	2534.96	2553.13	19.74711
2741_159386_000016_000015	The archbishop withdrew, uttering bitter words against her; but poor Eliza knew that she was innocent, and diligently continued her work.	The archbishop withdrew, uttering bitter words against her; but poor Eliza knew that she was innocent, and diligently continued her work.	true	2553.92	2565	21.90191
2741_159386_000017_000000	[Illustration: "ELIZA WENT, AND THE KING AND THE ARCHBISHOP FOLLOWED HER"]	[Illustration: "ELIZA WENT, AND THE KING AND THE ARCHBISHOP FOLLOWED HER"]	false	2565	2565.93	32
2741_159386_000018_000000	The little mice ran about the floor; they dragged the nettles to her feet, to help as well as they could, and the thrush sat outside the grating of the window and sang to her the whole night long, as sweetly as possible, to keep up her spirits.	The little mice ran about the floor; they dragged the nettles to her feet, to help as well as they could, and the thrush sat outside the grating of the window and sang to her the whole night long, as sweetly as possible, to keep up her spirits.	false	2565.93	2583.55	21.134172
2741_159386_000019_000000	It was still twilight and at least an hour before sunrise when the eleven brothers stood at the castle gate and demanded to be brought before the King.	It was still twilight and at least an hour before sunrise when the eleven brothers stood at the castle gate and demanded to be brought before the King.	true	2584.79	2595.64	21
2741_159386_000019_000001	They were told it could not be, it was yet almost night, and as the King slept they dared not disturb him.	They were told it could not be, it was yet almost night, and as the King slept they dared not disturb him.	true	2596.25	2604.82	20.89966
2741_159386_000019_000002	They threatened, they entreated.	They threatened, they entreated.	true	2605.79	2608.69	22.342484
2741_159386_000019_000003	Then the guard appeared, and even the King himself, inquiring what all the noise meant.	Then the guard appeared, and even the King himself, inquiring what all the noise meant.	true	2609.24	2615.56	21.79888
2741_159386_000019_000004	At this moment the sun rose.	At this moment the sun rose.	true	2616.23	2618.59	19.767757
2741_159386_000019_000005	The eleven brothers were seen no more, but eleven wild swans flew away over the castle.	The eleven brothers were seen no more, but eleven wild swans flew away over the castle.	true	2618.9	2625.61	19.092718
2741_159386_000020_000000	And now all the people came streaming forth from the gates of the city to see the witch burned.	And now all the people came streaming forth from the gates of the city to see the witch burned.	true	2626.76	2634.16	21.595846
2741_159386_000020_000001	An old horse drew the cart on which she sat. They had dressed her in a garment of coarse sackcloth.	An old horse drew the cart on which she sat They had dressed her in a garment of coarse sackcloth.	true	2634.77	2642.23	20.354637
2741_159386_000020_000002	Her lovely hair hung loose on her shoulders, her cheeks were deadly pale, her lips moved silently, while her fingers still worked at the green flax.	Her lovely hair hung loose on her shoulders, her cheeks were deadly pale, her lips moved silently, while her fingers still worked at the green flax.	true	2642.72	2655.1	20.286749
2741_159386_000020_000003	Even on the way to death she would not give up her task.	Even on the way to death she would not give up her task.	true	2655.92	2660.62	20.764278
2741_159386_000020_000004	The ten coats of mail lay at her feet, she was working hard at the eleventh, while the mob jeered her and said, "See the witch, how she mutters!	The ten coats of mail lay at her feet, she was working hard at the eleventh, while the mob jeered her and said, "See the witch, how she mutters!	true	2661.14	2672.65	22.539385
2741_159386_000020_000005	She has no hymn book in her hand.	She has no hymn book in her hand.	true	2672.72	2674.78	17
2741_159386_000020_000006	She sits there with her ugly sorcery.	She sits there with her ugly sorcery.	true	2675.09	2677.93	21.485014
2741_159386_000020_000007	Let us tear it in a thousand pieces."	Let us tear it in a thousand pieces."	true	2678.09	2681.05	20.065079
2741_159386_000021_000000	And then they pressed toward her, and would have destroyed the coats of mail, but at the same moment eleven wild swans flew over her and alighted on the cart.	And then they pressed toward her, and would have destroyed the coats of mail, but at the same moment eleven wild swans flew over her and alighted on the cart.	true	2681.87	2694.4	23.375126
2741_159386_000021_000001	Then they flapped their large wings and the crowd drew on one side in alarm.	Then they flapped their large wings and the crowd drew on one side in alarm.	true	2695.22	2701.75	20
2741_159386_000022_000000	"It is a sign from heaven that she is innocent," whispered many of them, but they ventured not to say it aloud.	"It is a sign from heaven that she is innocent," whispered many of them, but they ventured not to say it aloud.	true	2702.99	2711.59	19.001005
2741_159386_000023_000000	As the executioner seized her by the hand to lift her out of the cart, she hastily threw the eleven coats of mail over the swans, and they immediately became eleven handsome princes; but the youngest had a swan's wing instead of an arm, for she had not been able to finish the last sleeve of the coat.	As the executioner seized her by the hand to lift her out of the cart, she hastily threw the eleven coats of mail over the swans, and they immediately became eleven handsome princes; but the youngest had a swan's wing instead of an arm, for she had not been able to finish the last sleeve of the coat.	true	2712.86	2737.21	20.403088
2741_159386_000024_000000	"Now I may speak!" she exclaimed.	"Now I may speak!" she exclaimed.	true	2738.9	2741.68	20.88889
