5126_27504_000000_000000	Well done, the "Turon Star"!' says Starlight, after he read it all out. 'I call that very fair.	Well done, the "Turon Star"!' says Starlight, after he read it all out. 'I call that very fair.	false	0	6.87	17.321217
5126_27504_000046_000004	He and his beautiful wife were in our power, and, to make matters worse, one of our band lay dead, beside the inner wall, killed by his hand.	He and his beautiful wife were in our power, and, to make matters worse, one of our band lay dead, beside the inner wall, killed by his hand.	true	961.91	971.83	25.798304
5126_27504_000047_000000	What was to be his doom?	What was to be his doom?	true	972.23	973.96	23.65042
5126_27504_000047_000001	And who could say how such a play might end?	And who could say how such a play might end?	true	974	976.81	21.580849
5126_27504_000048_000000	I looked at our men.	I looked at our men.	true	977.33	978.61	25.790709
5126_27504_000048_000001	As they stepped on to the floor of the hall and looked round Mrs. Knightley smiled.	As they stepped on to the floor of the hall and looked round mrs Knightley smiled.	true	978.77	983.62	23.32782
5126_27504_000048_000002	She looked to me like an angel from heaven that had come by chance into the other place and hadn't found out her mistake.	She looked to me like an angel from heaven that had come by chance into the other place and hadn't found out her mistake.	true	983.93	991.03	26.132221
5126_27504_000048_000003	I saw Starlight start as he looked at her.	I saw Starlight start as he looked at her.	true	991.37	994.09	28.787832
5126_27504_000048_000004	He was still leaning against the wall, and there was a soft, sorrowful look in his eyes, like I remember noticing once before while he was talking to Aileen about his early days, a thing he never did but once.	He was still leaning against the wall, and there was a soft, sorrowful look in his eyes, like I remember noticing once before while he was talking to Aileen about his early days, a thing he never did but once.	false	994.28	1006.63	22.156488
5126_27504_000048_000005	Part of her hair had straggled down, and hung in a sort of ringlet by her face.	Part of her hair had straggled down, and hung in a sort of ringlet by her face.	true	1006.76	1011.34	20
5126_27504_000048_000006	It was pale, but clear and bright-looking, and there was a thin streak of blood across her forehead that showed as she came underneath the lamp-light from the landing above.	It was pale, but clear and bright looking, and there was a thin streak of blood across her forehead that showed as she came underneath the lamp light from the landing above.	true	1011.89	1022.86	24.971571
5126_27504_000049_000000	I looked over at Moran.	I looked over at Moran.	true	1023.59	1025.35	23.085276
5126_27504_000049_000001	He and Wall sat in a corner, looking as grim and savage as possible, while his deadly black eyes had a kind of gloomy fire in them that made him look like a wild beast in a cage.	He and Wall sat in a corner, looking as grim and savage as possible, while his deadly black eyes had a kind of gloomy fire in them that made him look like a wild beast in a cage.	true	1025.72	1038.85	22.399996
5126_27504_000050_000000	Mr. Knightley was a man that always had the first word in everything, and generally the best of an argument--putting down anybody who differed from him in a quiet, superior sort of way.	mr Knightley was a man that always had the first word in everything, and generally the best of an argument-putting down anybody who differed from him in a quiet, superior sort of way.	true	1039.49	1051.21	23.218548
5126_27504_000051_000000	He began now.	He began now.	true	1052.09	1053.28	22.222979
5126_27504_000051_000001	'Well, my men, I have come down to surrender, and I'm sorry to be obliged to do so.	'Well, my men, I have come down to surrender, and I'm sorry to be obliged to do so.	false	1053.74	1058.68	22
5126_27504_000051_000002	But we have fired our last cartridge--the doctor thought we had a thousand left--in which case, I may as well tell you, you'd never have had this pleasure.	But we have fired our last cartridge-the doctor thought we had a thousand left-in which case, I may as well tell you, you'd never have had this pleasure.	true	1059.08	1068.52	25.339462
5126_27504_000051_000003	Captain Starlight, I surrender my sword--or should do so if I had one.	Captain Starlight, I surrender my sword-or should do so if I had one.	true	1068.98	1073.92	23.376245
5126_27504_000051_000004	We trust to receive honourable treatment at your hands.'	We trust to receive honourable treatment at your hands.'	true	1074.17	1078.06	26.832968
5126_27504_000052_000000	'I'm sure the Captain will never permit any harm to come to me,' says Mrs. Knightley, with a look in her eyes that, in spite of herself, said a deal more than words.	'I'm sure the Captain will never permit any harm to come to me,' says mrs Knightley, with a look in her eyes that, in spite of herself, said a deal more than words.	false	1078.79	1088.35	23.442585
5126_27504_000052_000001	'Why, I danced "vis-a-vis" to him in a quadrille at the Turon ball.'	'Why, I danced "vis a vis" to him in a quadrille at the Turon ball.'	false	1088.75	1093.18	25.649485
5126_27504_000053_000000	'I shall never forget the honour,' says Starlight, walking forward and bowing low.	'I shall never forget the honour,' says Starlight, walking forward and bowing low.	true	1094.09	1098.88	25.424036
5126_27504_000053_000001	'Permit me to offer you a chair, madam; you look faint.'	'Permit me to offer you a chair, madam; you look faint.'	true	1099.22	1102.69	29.495409
5126_27504_000054_000000	As he did so she sank down in it, and really looked as if she would faint away.	As he did so she sank down in it, and really looked as if she would faint away.	true	1103.15	1108.06	22
5126_27504_000054_000001	It wouldn't have been much wonder if she had after what she'd gone through that night.	It wouldn't have been much wonder if she had after what she'd gone through that night.	true	1108.43	1112.71	24.21041
5126_27504_000055_000000	Then Mr. Knightley began again.	Then mr Knightley began again.	true	1113.23	1115.71	27.8578
5126_27504_000055_000001	He wanted to know how he stood.	He wanted to know how he stood.	true	1115.9	1117.78	24.981623
5126_27504_000055_000002	He didn't like the look of Moran and Wall--they were a deal too quiet for him, and he could read men's faces like a book.	He didn't like the look of Moran and Wall-they were a deal too quiet for him, and he could read men's faces like a book.	true	1118.06	1126.57	24.484312
5126_27504_000055_000003	The other two prisoners were the German Dr. Schiller--a plucky old chap, who'd been a rebel and a conspirator and I don't know what all in his own country.	The other two prisoners were the German dr Schiller-a plucky old chap, who'd been a rebel and a conspirator and I don't know what all in his own country.	true	1127.03	1136.04	22.255472
5126_27504_000055_000004	He'd seen too much of that kind of thing to trouble himself over much about a trifle of this kind.	He'd seen too much of that kind of thing to trouble himself over much about a trifle of this kind.	false	1136.04	1141.93	23.442982
5126_27504_000055_000005	The old woman was a family servant, who had been with them for years and years.	The old woman was a family servant, who had been with them for years and years.	true	1142.51	1147.66	22.434975
5126_27504_000055_000006	She was a kind of worshipper of theirs, and was ready to live or die with her mistress.	She was a kind of worshipper of theirs, and was ready to live or die with her mistress.	false	1147.85	1163.25	22.768635
