501_125128_000000_000000	Chapter 15	Chapter fifteen	false	2.73	28.84	21.002176
501_125128_000067_000000	'Another staircase,' said Mr Boffin, unlocking the door, 'leading down into the yard.	'Another staircase,' said Mr Boffin, unlocking the door, 'leading down into the yard.	true	961.7	968.11	17.985405
501_125128_000067_000001	We'll go down this way, as you may like to see the yard, and it's all in the road.	We'll go down this way, as you may like to see the yard, and it's all in the road.	true	968.27	972.91	20.104076
501_125128_000067_000002	When the son was a little child, it was up and down these stairs that he mostly came and went to his father.	When the son was a little child, it was up and down these stairs that he mostly came and went to his father.	true	973.25	979.03	19
501_125128_000067_000003	He was very timid of his father.	He was very timid of his father.	true	979.46	981.37	22
501_125128_000067_000004	I've seen him sit on these stairs, in his shy way, poor child, many a time.	I've seen him sit on these stairs, in his shy way, poor child, many a time.	true	981.77	987.01	21
501_125128_000067_000005	Mr and Mrs Boffin have comforted him, sitting with his little book on these stairs, often.'	Mr and Mrs Boffin have comforted him, sitting with his little book on these stairs, often.'	true	987.56	992.86	22
501_125128_000068_000000	'Ah!	'Ah!	true	993.77	994.365	26.092026
501_125128_000068_000001	And his poor sister too,' said Mrs Boffin. 'And here's the sunny place on the white wall where they one day measured one another.	And his poor sister too,' said Mrs Boffin. 'And here's the sunny place on the white wall where they one day measured one another.	true	994.365	1002.16	20.220854
501_125128_000068_000002	Their own little hands wrote up their names here, only with a pencil; but the names are here still, and the poor dears gone for ever.'	Their own little hands wrote up their names here, only with a pencil; but the names are here still, and the poor dears gone for ever.'	true	1002.47	1010.95	19.747137
501_125128_000069_000000	'We must take care of the names, old lady,' said Mr Boffin. 'We must take care of the names.	'We must take care of the names, old lady,' said Mr Boffin. 'We must take care of the names.	true	1011.5	1017.49	21.868689
501_125128_000069_000001	They shan't be rubbed out in our time, nor yet, if we can help it, in the time after us.	They shan't be rubbed out in our time, nor yet, if we can help it, in the time after us.	true	1017.53	1023.19	21.532494
501_125128_000069_000002	Poor little children!'	Poor little children!'	true	1023.38	1024.75	15
501_125128_000070_000000	'Ah, poor little children!' said Mrs Boffin.	'Ah, poor little children!' said Mrs Boffin.	true	1025.27	1028.56	19.671822
501_125128_000071_000000	They had opened the door at the bottom of the staircase giving on the yard, and they stood in the sunlight, looking at the scrawl of the two unsteady childish hands two or three steps up the staircase.	They had opened the door at the bottom of the staircase giving on the yard, and they stood in the sunlight, looking at the scrawl of the two unsteady childish hands two or three steps up the staircase.	true	1029.83	1041.1	22.634014
501_125128_000071_000001	There was something in this simple memento of a blighted childhood, and in the tenderness of Mrs Boffin, that touched the Secretary.	There was something in this simple memento of a blighted childhood, and in the tenderness of Mrs Boffin, that touched the Secretary.	false	1041.77	1049.23	21.677816
501_125128_000072_000000	Mr Boffin then showed his new man of business the Mounds, and his own particular Mound which had been left him as his legacy under the will before he acquired the whole estate.	Mr Boffin then showed his new man of business the Mounds, and his own particular Mound which had been left him as his legacy under the will before he acquired the whole estate.	false	1050.29	1059.37	18
501_125128_000073_000000	'It would have been enough for us,' said Mr Boffin, 'in case it had pleased God to spare the last of those two young lives and sorrowful deaths.	'It would have been enough for us,' said Mr Boffin, 'in case it had pleased God to spare the last of those two young lives and sorrowful deaths.	true	1061.03	1069.87	22.794683
501_125128_000073_000001	We didn't want the rest.'	We didn't want the rest.'	true	1070.48	1072	23.82657
501_125128_000074_000000	At the treasures of the yard, and at the outside of the house, and at the detached building which Mr Boffin pointed out as the residence of himself and his wife during the many years of their service, the Secretary looked with interest.	At the treasures of the yard, and at the outside of the house, and at the detached building which Mr Boffin pointed out as the residence of himself and his wife during the many years of their service, the Secretary looked with interest.	false	1072.73	1085.95	22.630854
501_125128_000074_000001	It was not until Mr Boffin had shown him every wonder of the Bower twice over, that he remembered his having duties to discharge elsewhere.	It was not until Mr Boffin had shown him every wonder of the Bower twice over, that he remembered his having duties to discharge elsewhere.	false	1086.32	1093.99	16
501_125128_000075_000000	'You have no instructions to give me, Mr Boffin, in reference to this place?'	'You have no instructions to give me, Mr Boffin, in reference to this place?'	true	1094.93	1098.7	17
501_125128_000076_000000	'Not any, Rokesmith.	'Not any, Rokesmith.	true	1098.95	1100.04	22.83485
501_125128_000076_000001	No.'	no'	true	1100.04	1100.68	22.511808
501_125128_000077_000000	'Might I ask, without seeming impertinent, whether you have any intention of selling it?'	'Might I ask, without seeming impertinent, whether you have any intention of selling it?'	true	1101.71	1106.11	20.564728
501_125128_000078_000000	'Certainly not.	'Certainly not.	true	1106.57	1107.7	22.878704
501_125128_000078_000001	In remembrance of our old master, our old master's children, and our old service, me and Mrs Boffin mean to keep it up as it stands.'	In remembrance of our old master, our old master's children, and our old service, me and Mrs Boffin mean to keep it up as it stands.'	true	1107.89	1116.04	22.074743
501_125128_000079_000000	The Secretary's eyes glanced with so much meaning in them at the Mounds, that Mr Boffin said, as if in answer to a remark:	The Secretary's eyes glanced with so much meaning in them at the Mounds, that Mr Boffin said, as if in answer to a remark:	true	1117.01	1124.13	23.91834
501_125128_000080_000000	'Ay, ay, that's another thing.	'Ay, ay, that's another thing.	false	1124.13	1126.51	18.307234
501_125128_000080_000001	I may sell THEM, though I should be sorry to see the neighbourhood deprived of 'em too.	I may sell THEM, though I should be sorry to see the neighbourhood deprived of 'em too.	false	1126.85	1131.66	20.302309
501_125128_000080_000002	It'll look but a poor dead flat without the Mounds.	It'll look but a poor dead flat without the Mounds.	false	1131.66	1134.52	21.738117
501_125128_000080_000003	Still I don't say that I'm going to keep 'em always there, for the sake of the beauty of the landscape.	Still I don't say that I'm going to keep 'em always there, for the sake of the beauty of the landscape.	false	1134.98	1140.3	23.266441
501_125128_000080_000004	There's no hurry about it; that's all I say at present.	There's no hurry about it; that's all I say at present.	true	1140.3	1143.28	22.62974
501_125128_000080_000005	I ain't a scholar in much, Rokesmith, but I'm a pretty fair scholar in dust.	I ain't a scholar in much, Rokesmith, but I'm a pretty fair scholar in dust.	true	1143.65	1148.37	22.800581
501_125128_000080_000006	I can price the Mounds to a fraction, and I know how they can be best disposed of; and likewise that they take no harm by standing where they do.	I can price the Mounds to a fraction, and I know how they can be best disposed of; and likewise that they take no harm by standing where they do.	true	1148.37	1156.09	22.86968
501_125128_000080_000007	You'll look in to-morrow, will you be so kind?'	You'll look in to morrow, will you be so kind?'	true	1156.52	1158.52	22.50006
501_125128_000081_000000	'Every day.	'Every day.	true	1159.46	1160.38	22.638334
501_125128_000081_000001	And the sooner I can get you into your new house, complete, the better you will be pleased, sir?'	And the sooner I can get you into your new house, complete, the better you will be pleased, sir?'	true	1160.69	1165.51	25
501_125128_000082_000000	'Well, it ain't that I'm in a mortal hurry,' said Mr Boffin; 'only when you DO pay people for looking alive, it's as well to know that they ARE looking alive.	'Well, it ain't that I'm in a mortal hurry,' said Mr Boffin; 'only when you DO pay people for looking alive, it's as well to know that they ARE looking alive.	true	1166.27	1175.23	21.388243
501_125128_000082_000001	Ain't that your opinion?'	Ain't that your opinion?'	true	1175.39	1176.73	29
501_125128_000083_000000	'Quite!' replied the Secretary; and so withdrew.	'Quite!' replied the Secretary; and so withdrew.	true	1177.19	1180.18	19.62481
501_125128_000084_000000	'Now,' said Mr Boffin to himself; subsiding into his regular series of turns in the yard, 'if I can make it comfortable with Wegg, my affairs will be going smooth.'	'Now,' said Mr Boffin to himself; subsiding into his regular series of turns in the yard, 'if I can make it comfortable with Wegg, my affairs will be going smooth.'	false	1181.06	1191.13	20.324965
501_125128_000085_000000	The man of low cunning had, of course, acquired a mastery over the man of high simplicity.	The man of low cunning had, of course, acquired a mastery over the man of high simplicity.	true	1191.74	1197.22	20.435246
501_125128_000085_000001	The mean man had, of course, got the better of the generous man.	The mean man had, of course, got the better of the generous man.	true	1197.86	1201.69	19.226282
501_125128_000085_000002	How long such conquests last, is another matter; that they are achieved, is every-day experience, not even to be flourished away by Podsnappery itself.	How long such conquests last, is another matter; that they are achieved, is every day experience, not even to be flourished away by Podsnappery itself.	true	1202.3	1211.53	21.120968
501_125128_000085_000003	The undesigning Boffin had become so far immeshed by the wily Wegg that his mind misgave him he was a very designing man indeed in purposing to do more for Wegg.	The undesigning Boffin had become so far immeshed by the wily Wegg that his mind misgave him he was a very designing man indeed in purposing to do more for Wegg.	false	1211.96	1220.95	16
501_125128_000085_000004	It seemed to him (so skilful was Wegg) that he was plotting darkly, when he was contriving to do the very thing that Wegg was plotting to get him to do.	It seemed to him (so skilful was Wegg) that he was plotting darkly, when he was contriving to do the very thing that Wegg was plotting to get him to do.	true	1221.41	1229.5	20.214869
501_125128_000085_000005	And thus, while he was mentally turning the kindest of kind faces on Wegg this morning, he was not absolutely sure but that he might somehow deserve the charge of turning his back on him.	And thus, while he was mentally turning the kindest of kind faces on Wegg this morning, he was not absolutely sure but that he might somehow deserve the charge of turning his back on him.	false	1229.87	1241.1	21.096977
501_125128_000086_000000	For these reasons Mr Boffin passed but anxious hours until evening came, and with it Mr Wegg, stumping leisurely to the Roman Empire.	For these reasons Mr Boffin passed but anxious hours until evening came, and with it Mr Wegg, stumping leisurely to the Roman Empire.	true	1241.1	1249.39	20
501_125128_000086_000001	At about this period Mr Boffin had become profoundly interested in the fortunes of a great military leader known to him as Bully Sawyers, but perhaps better known to fame and easier of identification by the classical student, under the less Britannic name of Belisarius.	At about this period Mr Boffin had become profoundly interested in the fortunes of a great military leader known to him as Bully Sawyers, but perhaps better known to fame and easier of identification by the classical student, under the less Britannic name of Belisarius.	true	1249.88	1265.65	21
501_125128_000086_000002	Even this general's career paled in interest for Mr Boffin before the clearing of his conscience with Wegg; and hence, when that literary gentleman had according to custom eaten and drunk until he was all a-glow, and when he took up his book with the usual chirping introduction, 'And now, Mr Boffin, sir, we'll decline and we'll fall!' Mr Boffin stopped him.	Even this general's career paled in interest for Mr Boffin before the clearing of his conscience with Wegg; and hence, when that literary gentleman had according to custom eaten and drunk until he was all a glow, and when he took up his book with the usual chirping introduction, 'And now, Mr Boffin, sir, we'll decline and we'll fall!' Mr Boffin stopped him.	false	1266.17	1286.76	20.743427
501_125128_000087_000000	'You remember, Wegg, when I first told you that I wanted to make a sort of offer to you?'	'You remember, Wegg, when I first told you that I wanted to make a sort of offer to you?'	false	1286.76	1291.66	21.208576
501_125128_000088_000000	'Let me get on my considering cap, sir,' replied that gentleman, turning the open book face downward.	'Let me get on my considering cap, sir,' replied that gentleman, turning the open book face downward.	true	1293.02	1298.95	25.508213
501_125128_000088_000001	'When you first told me that you wanted to make a sort of offer to me?	'When you first told me that you wanted to make a sort of offer to me?	true	1299.14	1302.28	17
501_125128_000088_000002	Now let me think.' (as if there were the least necessity) 'Yes, to be sure I do, Mr Boffin.	Now let me think.' (as if there were the least necessity) 'Yes, to be sure I do, Mr Boffin.	true	1302.5	1308.46	22.433205
501_125128_000088_000003	It was at my corner. To be sure it was!	It was at my corner. To be sure it was!	true	1308.5	1310.89	26.933964
501_125128_000088_000004	You had first asked me whether I liked your name, and Candour had compelled a reply in the negative case.	You had first asked me whether I liked your name, and Candour had compelled a reply in the negative case.	true	1311.14	1316.44	21
501_125128_000088_000005	I little thought then, sir, how familiar that name would come to be!'	I little thought then, sir, how familiar that name would come to be!'	true	1316.72	1320.61	20
501_125128_000089_000000	'I hope it will be more familiar still, Wegg.'	'I hope it will be more familiar still, Wegg.'	false	1321.25	1323.94	21.864882
501_125128_000090_000000	'Do you, Mr Boffin?	'Do you, Mr Boffin?	true	1324.73	1326.22	16.665903
501_125128_000090_000001	Much obliged to you, I'm sure.	Much obliged to you, I'm sure.	true	1326.53	1328.5	20.218163
501_125128_000090_000002	Is it your pleasure, sir, that we decline and we fall?' with a feint of taking up the book.	Is it your pleasure, sir, that we decline and we fall?' with a feint of taking up the book.	true	1328.72	1333.78	22.396915
501_125128_000091_000000	'Not just yet awhile, Wegg.	'Not just yet awhile, Wegg.	true	1334.42	1336.23	19.105923
501_125128_000091_000001	In fact, I have got another offer to make you.'	In fact, I have got another offer to make you.'	true	1336.23	1338.79	24.310268
501_125128_000092_000000	Mr Wegg (who had had nothing else in his mind for several nights) took off his spectacles with an air of bland surprise.	Mr Wegg (who had had nothing else in his mind for several nights) took off his spectacles with an air of bland surprise.	true	1339.1	1345.3	21
501_125128_000093_000000	'And I hope you'll like it, Wegg.'	'And I hope you'll like it, Wegg.'	true	1345.37	1347.04	22.804977
501_125128_000094_000000	'Thank you, sir,' returned that reticent individual.	'Thank you, sir,' returned that reticent individual.	true	1347.83	1351.05	21.014677
501_125128_000094_000001	'I hope it may prove so.	'I hope it may prove so.	true	1351.05	1352.68	23.246872
501_125128_000094_000002	On all accounts, I am sure.' (This, as a philanthropic aspiration.)	On all accounts, I am sure.' (This, as a philanthropic aspiration.)	true	1352.84	1357.21	22.149164
501_125128_000095_000000	'What do you think,' said Mr Boffin, 'of not keeping a stall, Wegg?'	'What do you think,' said Mr Boffin, 'of not keeping a stall, Wegg?'	true	1358	1362.4	21.274372
501_125128_000096_000000	'I think, sir,' replied Wegg, 'that I should like to be shown the gentleman prepared to make it worth my while!'	'I think, sir,' replied Wegg, 'that I should like to be shown the gentleman prepared to make it worth my while!'	true	1362.95	1369.14	23.286757
501_125128_000097_000000	'Here he is,' said Mr Boffin.	'Here he is,' said Mr Boffin.	false	1369.14	1372.03	21.09485
501_125128_000098_000000	Mr Wegg was going to say, My Benefactor, and had said My Bene, when a grandiloquent change came over him.	Mr Wegg was going to say, My Benefactor, and had said My Bene, when a grandiloquent change came over him.	true	1373.27	1381.66	23.38616
501_125128_000099_000000	'No, Mr Boffin, not you sir.	'No, Mr Boffin, not you sir.	true	1382.18	1384.54	24.615177
501_125128_000099_000001	Anybody but you.	Anybody but you.	true	1384.67	1386.22	21.046017
501_125128_000099_000002	Do not fear, Mr Boffin, that I shall contaminate the premises which your gold has bought, with MY lowly pursuits.	Do not fear, Mr Boffin, that I shall contaminate the premises which your gold has bought, with MY lowly pursuits.	true	1386.71	1392.97	20
501_125128_000099_000003	I am aware, sir, that it would not become me to carry on my little traffic under the windows of your mansion.	I am aware, sir, that it would not become me to carry on my little traffic under the windows of your mansion.	true	1393.16	1399.15	19.911913
501_125128_000099_000004	I have already thought of that, and taken my measures.	I have already thought of that, and taken my measures.	true	1399.4	1402.39	21.88093
501_125128_000099_000005	No need to be bought out, sir. Would Stepney Fields be considered intrusive?	No need to be bought out, sir. Would Stepney Fields be considered intrusive?	true	1402.49	1407.09	23.43392
501_125128_000099_000006	If not remote enough, I can go remoter.	If not remote enough, I can go remoter.	true	1407.09	1409.65	21
501_125128_000099_000007	In the words of the poet's song, which I do not quite remember:	In the words of the poet's song, which I do not quite remember:	true	1410.23	1413.58	21.765648
501_125128_000100_000000	Thrown on the wide world, doom'd to wander and roam, Bereft of my parents, bereft of a home, A stranger to something and what's his name joy, Behold little Edmund the poor Peasant boy.	Thrown on the wide world, doom'd to wander and roam, Bereft of my parents, bereft of a home, A stranger to something and what's his name joy, Behold little Edmund the poor Peasant boy.	false	1414.67	1428.97	21.349268
501_125128_000101_000000	--And equally,' said Mr Wegg, repairing the want of direct application in the last line, 'behold myself on a similar footing!'	--And equally,' said Mr Wegg, repairing the want of direct application in the last line, 'behold myself on a similar footing!'	true	1429.25	1437.79	21.269363
501_125128_000102_000000	'Now, Wegg, Wegg, Wegg,' remonstrated the excellent Boffin.	'Now, Wegg, Wegg, Wegg,' remonstrated the excellent Boffin.	true	1438.31	1442.5	21.952139
501_125128_000102_000001	'You are too sensitive.'	'You are too sensitive.'	true	1442.51	1444.09	18.494114
501_125128_000103_000000	'I know I am, sir,' returned Wegg, with obstinate magnanimity.	'I know I am, sir,' returned Wegg, with obstinate magnanimity.	true	1444.49	1449.1	21.98697
501_125128_000103_000001	'I am acquainted with my faults.	'I am acquainted with my faults.	true	1449.23	1451.05	24.68087
501_125128_000103_000002	I always was, from a child, too sensitive.'	I always was, from a child, too sensitive.'	true	1451.09	1454.11	22.047005
501_125128_000104_000000	'But listen,' pursued the Golden Dustman; 'hear me out, Wegg.	'But listen,' pursued the Golden Dustman; 'hear me out, Wegg.	true	1454.3	1458.46	21.678015
501_125128_000104_000001	You have taken it into your head that I mean to pension you off.'	You have taken it into your head that I mean to pension you off.'	true	1458.65	1462.09	20.605532
501_125128_000105_000000	'True, sir,' returned Wegg, still with an obstinate magnanimity.	'True, sir,' returned Wegg, still with an obstinate magnanimity.	true	1462.49	1467.22	18.889317
501_125128_000105_000001	'I am acquainted with my faults.	'I am acquainted with my faults.	true	1467.86	1469.71	24.093527
501_125128_000105_000002	Far be it from me to deny them.	Far be it from me to deny them.	true	1469.72	1471.72	25.671658
501_125128_000105_000003	I HAVE taken it into my head.'	I HAVE taken it into my head.'	true	1471.72	1473.79	21.034403
501_125128_000106_000000	'But I DON'T mean it.'	'But I DON'T mean it.'	true	1474.67	1476.07	19.601513
501_125128_000107_000000	The assurance seemed hardly as comforting to Mr Wegg, as Mr Boffin intended it to be.	The assurance seemed hardly as comforting to Mr Wegg, as Mr Boffin intended it to be.	true	1476.62	1481.62	19
501_125128_000107_000001	Indeed, an appreciable elongation of his visage might have been observed as he replied:	Indeed, an appreciable elongation of his visage might have been observed as he replied:	false	1481.96	1486.9	20
501_125128_000108_000000	'Don't you, indeed, sir?'	'Don't you, indeed, sir?'	true	1487.06	1488.82	21.65468
501_125128_000109_000000	'No,' pursued Mr Boffin; 'because that would express, as I understand it, that you were not going to do anything to deserve your money.	'No,' pursued Mr Boffin; 'because that would express, as I understand it, that you were not going to do anything to deserve your money.	true	1489.55	1497.04	22.743187
501_125128_000109_000001	But you are; you are.'	But you are; you are.'	true	1497.2	1498.71	24.8503
501_125128_000110_000000	'That, sir,' replied Mr Wegg, cheering up bravely, 'is quite another pair of shoes.	'That, sir,' replied Mr Wegg, cheering up bravely, 'is quite another pair of shoes.	false	1498.71	1505.08	23.283222
501_125128_000110_000001	Now, my independence as a man is again elevated.	Now, my independence as a man is again elevated.	true	1505.21	1508.6	22.75629
501_125128_000110_000002	Now, I no longer	Now, I no longer	true	1508.6	1510.33	23.498352
501_125128_000111_000000	Weep for the hour, When to Boffinses bower, The Lord of the valley with offers came; Neither does the moon hide her light From the heavens to-night, And weep behind her clouds o'er any individual in the present Company's shame.	Weep for the hour, When to Boffinses bower, The Lord of the valley with offers came; Neither does the moon hide her light From the heavens to night, And weep behind her clouds o'er any individual in the present Company's shame.	true	1510.34	1524.01	22.776747
501_125128_000112_000000	--Please to proceed, Mr Boffin.'	--Please to proceed, Mr Boffin.'	false	1524.32	1526.64	21.59005
501_125128_000113_000000	'Thank'ee, Wegg, both for your confidence in me and for your frequent dropping into poetry; both of which is friendly.	'Thank'ee, Wegg, both for your confidence in me and for your frequent dropping into poetry; both of which is friendly.	false	1526.64	1532.68	21.402596
501_125128_000113_000001	Well, then; my idea is, that you should give up your stall, and that I should put you into the Bower here, to keep it for us.	Well, then; my idea is, that you should give up your stall, and that I should put you into the Bower here, to keep it for us.	false	1532.69	1539.43	21.33029
501_125128_000113_000002	It's a pleasant spot; and a man with coals and candles and a pound a week might be in clover here.'	It's a pleasant spot; and a man with coals and candles and a pound a week might be in clover here.'	false	1539.56	1544.94	23
501_125128_000114_000000	'Hem!	'Hem!	false	1544.94	1546.98	21.59035
501_125128_000114_000001	Would that man, sir--we will say that man, for the purposes of argueyment;' Mr Wegg made a smiling demonstration of great perspicuity here; 'would that man, sir, be expected to throw any other capacity in, or would any other capacity be considered extra?	Would that man, sir-we will say that man, for the purposes of argueyment;' Mr Wegg made a smiling demonstration of great perspicuity here; 'would that man, sir, be expected to throw any other capacity in, or would any other capacity be considered extra?	true	1546.98	1563.22	23.774248
501_125128_000114_000002	Now let us (for the purposes of argueyment) suppose that man to be engaged as a reader: say (for the purposes of argueyment) in the evening.	Now let us (for the purposes of argueyment) suppose that man to be engaged as a reader: say (for the purposes of argueyment) in the evening.	true	1563.41	1575.09	21.878975
501_125128_000114_000003	Would that man's pay as a reader in the evening, be added to the other amount, which, adopting your language, we will call clover; or would it merge into that amount, or clover?'	Would that man's pay as a reader in the evening, be added to the other amount, which, adopting your language, we will call clover; or would it merge into that amount, or clover?'	false	1575.09	1586.68	21.88914
501_125128_000115_000000	'Well,' said Mr Boffin, 'I suppose it would be added.'	'Well,' said Mr Boffin, 'I suppose it would be added.'	true	1587.41	1591.48	23.845772
501_125128_000116_000000	'I suppose it would, sir.	'I suppose it would, sir.	true	1592.51	1594.12	23.970043
501_125128_000116_000001	You are right, sir.	You are right, sir.	false	1594.12	1595.2	21.82338
501_125128_000116_000002	Exactly my own views, Mr Boffin.' Here Wegg rose, and balancing himself on his wooden leg, fluttered over his prey with extended hand.	Exactly my own views, Mr Boffin.' Here Wegg rose, and balancing himself on his wooden leg, fluttered over his prey with extended hand.	true	1595.3	1603.99	23.344389
501_125128_000116_000003	'Mr Boffin, consider it done.	'Mr Boffin, consider it done.	true	1604.39	1606.72	25.374392
501_125128_000116_000004	Say no more, sir, not a word more.	Say no more, sir, not a word more.	true	1606.73	1609.3	19.998507
501_125128_000116_000005	My stall and I are for ever parted.	My stall and I are for ever parted.	true	1609.4	1612	26.70842
501_125128_000116_000006	The collection of ballads will in future be reserved for private study, with the object of making poetry tributary'--Wegg was so proud of having found this word, that he said it again, with a capital letter--'Tributary, to friendship.	The collection of ballads will in future be reserved for private study, with the object of making poetry tributary'--Wegg was so proud of having found this word, that he said it again, with a capital letter-'Tributary, to friendship.	true	1612.13	1626.58	21.328535
501_125128_000116_000007	Mr Boffin, don't allow yourself to be made uncomfortable by the pang it gives me to part from my stock and stall.	Mr Boffin, don't allow yourself to be made uncomfortable by the pang it gives me to part from my stock and stall.	true	1626.8	1633.15	23.3269
501_125128_000116_000008	Similar emotion was undergone by my own father when promoted for his merits from his occupation as a waterman to a situation under Government.	Similar emotion was undergone by my own father when promoted for his merits from his occupation as a waterman to a situation under Government.	false	1633.46	1641.55	16
501_125128_000116_000009	His Christian name was Thomas.	His Christian name was Thomas.	true	1642.19	1644.04	22
501_125128_000116_000010	His words at the time (I was then an infant, but so deep was their impression on me, that I committed them to memory) were:	His words at the time (I was then an infant, but so deep was their impression on me, that I committed them to memory) were:	true	1644.35	1650.55	21.368544
501_125128_000117_000000	Then farewell my trim-built wherry, Oars and coat and badge farewell! Never more at Chelsea Ferry, Shall your Thomas take a spell!	Then farewell my trim built wherry, Oars and coat and badge farewell! Never more at Chelsea Ferry, Shall your Thomas take a spell!	false	1651.07	1660.42	20.091194
501_125128_000118_000000	--My father got over it, Mr Boffin, and so shall I.'	--My father got over it, Mr Boffin, and so shall i'	true	1660.94	1664.71	20.6967
501_125128_000119_000000	While delivering these valedictory observations, Wegg continually disappointed Mr Boffin of his hand by flourishing it in the air.	While delivering these valedictory observations, Wegg continually disappointed Mr Boffin of his hand by flourishing it in the air.	true	1665.62	1673.29	19
501_125128_000119_000001	He now darted it at his patron, who took it, and felt his mind relieved of a great weight: observing that as they had arranged their joint affairs so satisfactorily, he would now be glad to look into those of Bully Sawyers.	He now darted it at his patron, who took it, and felt his mind relieved of a great weight: observing that as they had arranged their joint affairs so satisfactorily, he would now be glad to look into those of Bully Sawyers.	true	1673.81	1685.98	20
501_125128_000119_000002	Which, indeed, had been left over-night in a very unpromising posture, and for whose impending expedition against the Persians the weather had been by no means favourable all day.	Which, indeed, had been left over night in a very unpromising posture, and for whose impending expedition against the Persians the weather had been by no means favourable all day.	true	1686.2	1695.52	17
501_125128_000120_000000	Mr Wegg resumed his spectacles therefore.	Mr Wegg resumed his spectacles therefore.	true	1696.31	1698.85	20.832497
501_125128_000120_000001	But Sawyers was not to be of the party that night; for, before Wegg had found his place, Mrs Boffin's tread was heard upon the stairs, so unusually heavy and hurried, that Mr Boffin would have started up at the sound, anticipating some occurrence much out of the common course, even though she had not also called to him in an agitated tone.	But Sawyers was not to be of the party that night; for, before Wegg had found his place, Mrs Boffin's tread was heard upon the stairs, so unusually heavy and hurried, that Mr Boffin would have started up at the sound, anticipating some occurrence much out of the common course, even though she had not also called to him in an agitated tone.	true	1699.04	1716.82	18
501_125128_000121_000000	Mr Boffin hurried out, and found her on the dark staircase, panting, with a lighted candle in her hand.	Mr Boffin hurried out, and found her on the dark staircase, panting, with a lighted candle in her hand.	true	1717.82	1723.21	22
501_125128_000122_000000	'What's the matter, my dear?'	'What's the matter, my dear?'	true	1723.4	1724.98	19.325026
501_125128_000123_000000	'I don't know; I don't know; but I wish you'd come up-stairs.'	'I don't know; I don't know; but I wish you'd come up stairs.'	true	1725.62	1729.21	19
501_125128_000124_000000	Much surprised, Mr Boffin went up stairs and accompanied Mrs Boffin into their own room: a second large room on the same floor as the room in which the late proprietor had died.	Much surprised, Mr Boffin went up stairs and accompanied Mrs Boffin into their own room: a second large room on the same floor as the room in which the late proprietor had died.	true	1730.06	1740.34	17
501_125128_000124_000001	Mr Boffin looked all round him, and saw nothing more unusual than various articles of folded linen on a large chest, which Mrs Boffin had been sorting.	Mr Boffin looked all round him, and saw nothing more unusual than various articles of folded linen on a large chest, which Mrs Boffin had been sorting.	true	1740.92	1749.61	18
501_125128_000125_000000	'What is it, my dear?	'What is it, my dear?	true	1750.07	1751.32	25.357983
501_125128_000125_000001	Why, you're frightened!	Why, you're frightened!	true	1751.45	1752.73	17.995836
501_125128_000125_000002	YOU frightened?'	YOU frightened?'	true	1752.83	1754.23	19.701157
501_125128_000126_000000	'I am not one of that sort certainly,' said Mrs Boffin, as she sat down in a chair to recover herself, and took her husband's arm; 'but it's very strange!'	'I am not one of that sort certainly,' said Mrs Boffin, as she sat down in a chair to recover herself, and took her husband's arm; 'but it's very strange!'	false	1754.93	1763.98	21
501_125128_000127_000000	'What is, my dear?'	'What is, my dear?'	true	1764.11	1765.36	21.162521
501_125128_000128_000000	'Noddy, the faces of the old man and the two children are all over the house to-night.'	'Noddy, the faces of the old man and the two children are all over the house to night.'	false	1765.97	1771.2	20.081902
501_125128_000129_000000	'My dear?' exclaimed Mr Boffin.	'My dear?' exclaimed Mr Boffin.	false	1771.2	1774.63	21.78052
501_125128_000129_000001	But not without a certain uncomfortable sensation gliding down his back.	But not without a certain uncomfortable sensation gliding down his back.	true	1774.7	1778.74	17
501_125128_000130_000000	'I know it must sound foolish, and yet it is so.'	'I know it must sound foolish, and yet it is so.'	true	1779.35	1782.58	20.501278
501_125128_000131_000000	'Where did you think you saw them?'	'Where did you think you saw them?'	false	1783.4	1785.01	22.526875
501_125128_000132_000000	'I don't know that I think I saw them anywhere.	'I don't know that I think I saw them anywhere.	true	1785.71	1788.13	21
501_125128_000132_000001	I felt them.'	I felt them.'	true	1788.29	1789.42	24.32378
501_125128_000133_000000	'Touched them?'	'Touched them?'	true	1790.09	1791.16	23.969095
501_125128_000134_000000	'No. Felt them in the air.	'no Felt them in the air.	true	1791.62	1793.83	19.841148
501_125128_000134_000001	I was sorting those things on the chest, and not thinking of the old man or the children, but singing to myself, when all in a moment I felt there was a face growing out of the dark.'	I was sorting those things on the chest, and not thinking of the old man or the children, but singing to myself, when all in a moment I felt there was a face growing out of the dark.'	false	1794.23	1804.15	20.280725
501_125128_000135_000000	'What face?' asked her husband, looking about him.	'What face?' asked her husband, looking about him.	true	1804.58	1808.32	21.688192
501_125128_000136_000000	'For a moment it was the old man's, and then it got younger.	'For a moment it was the old man's, and then it got younger.	true	1808.69	1812.64	22.961222
501_125128_000136_000001	For a moment it was both the children's, and then it got older.	For a moment it was both the children's, and then it got older.	true	1813.1	1816.78	23.875912
501_125128_000136_000002	For a moment it was a strange face, and then it was all the faces.'	For a moment it was a strange face, and then it was all the faces.'	true	1817.18	1822.09	19.264042
501_125128_000137_000000	'And then it was gone?'	'And then it was gone?'	true	1823.21	1824.52	21.741169
501_125128_000138_000000	'Yes; and then it was gone.'	'Yes; and then it was gone.'	true	1825.01	1826.98	27.232693
