6215_62347_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	false	10.89	21.795	21.73863
6215_62347_000060_000001	A man's triumph is for the most part over when he is once allowed to take his place at the family table, as a right, next to his betrothed.	A man's triumph is for the most part over when he is once allowed to take his place at the family table, as a right, next to his betrothed.	true	998.51	1006	23.248392
6215_62347_000060_000002	He begins to feel himself to be a sacrificial victim,--done up very prettily with blue and white ribbons round his horns, but still an ox prepared for sacrifice.	He begins to feel himself to be a sacrificial victim,--done up very prettily with blue and white ribbons round his horns, but still an ox prepared for sacrifice.	false	1006.31	1016.14	24.378714
6215_62347_000060_000003	But the girl feels herself to be exalted for those few weeks as a conqueror, and to be carried along in an ovation of which that bucolic victim, tied round with blue ribbons on to his horns, is the chief grace and ornament.	But the girl feels herself to be exalted for those few weeks as a conqueror, and to be carried along in an ovation of which that bucolic victim, tied round with blue ribbons on to his horns, is the chief grace and ornament.	true	1016.51	1030.6	23.77418
6215_62347_000060_000004	In this mood, no doubt, both Rachel and Luke Rowan went forth, leaving the two widows together in the cottage.	In this mood, no doubt, both Rachel and luke Rowan went forth, leaving the two widows together in the cottage.	false	1030.97	1038.45	19.7509
6215_62347_000061_000000	"It is pretty to see her so happy, isn't it now?" said Mrs. Ray.	"It is pretty to see her so happy, isn't it now?" said mrs Ray.	false	1038.45	1042.9	22.660364
6215_62347_000062_000000	The question for the moment made Mrs. Prime uncomfortable and almost wretched, but it gave her the opportunity which in her heart she desired of recanting her error in regard to Luke Rowan's character. She wished to give in her adhesion to the marriage,--to be known to have acknowledged its fitness so that she could, with some true word of sisterly love, wish her sister well.	The question for the moment made mrs Prime uncomfortable and almost wretched, but it gave her the opportunity which in her heart she desired of recanting her error in regard to luke Rowan's character. She wished to give in her adhesion to the marriage,--to be known to have acknowledged its fitness so that she could, with some true word of sisterly love, wish her sister well.	false	1043.81	1067.2	21.881712
6215_62347_000062_000001	In Rachel's presence she could not have first made this recantation.	In Rachel's presence she could not have first made this recantation.	true	1067.75	1071.49	23.220516
6215_62347_000062_000002	Though Rachel spoke no triumph, there was a triumph in her eye, which prevented almost the possibility of such yielding on the part of Dorothea.	Though Rachel spoke no triumph, there was a triumph in her eye, which prevented almost the possibility of such yielding on the part of Dorothea.	true	1071.8	1080.76	21.428392
6215_62347_000062_000003	But when the thing should have been once done, when she should once have owned that Rachel was not wrong, then gradually she could bring herself round to the utterance of some kindly expression.	But when the thing should have been once done, when she should once have owned that Rachel was not wrong, then gradually she could bring herself round to the utterance of some kindly expression.	true	1081.34	1091.71	22.73509
6215_62347_000063_000000	"Pretty," she said; "yes, it is pretty.	"Pretty," she said; "yes, it is pretty.	true	1092.47	1095.1	22.8563
6215_62347_000063_000001	I do not know that anybody ever doubted its prettiness."	I do not know that anybody ever doubted its prettiness."	true	1095.38	1098.64	22.48619
6215_62347_000064_000000	"And isn't it nice too?	"And isn't it nice too?	true	1099.01	1100.98	26.285221
6215_62347_000064_000001	Dear girl!	Dear girl!	true	1101.08	1101.88	28.319262
6215_62347_000064_000002	It does make me so happy to see her light-hearted again.	It does make me so happy to see her light-hearted again.	false	1102.07	1105.09	21.842514
6215_62347_000064_000003	She has had a sad time of it, Dorothea, since we made her write that letter to him; a very sad time of it."	She has had a sad time of it, Dorothea, since we made her write that letter to him; a very sad time of it."	false	1105.28	1111.87	23.228468
6215_62347_000065_000000	"People here, mother, do mostly have what you call a sad time of it. Are we not taught that it is better for us that it should be so?	"People here, mother, do mostly have what you call a sad time of it. Are we not taught that it is better for us that it should be so?	false	1112.78	1120.87	20.556644
6215_62347_000065_000001	Have not you and I, mother, had a sad time of it?	Have not you and I, mother, had a sad time of it?	true	1121.3	1124.14	18.776361
6215_62347_000065_000002	It would be all sad enough if this were to be the end of it."	It would be all sad enough if this were to be the end of it."	true	1125.38	1128.82	19.900043
6215_62347_000066_000000	"Yes, just so; of course we know that.	"Yes, just so; of course we know that.	true	1129.16	1131.61	23.950842
6215_62347_000066_000001	But it can't be wrong that she should be happy now, when things are so bright all around her.	But it can't be wrong that she should be happy now, when things are so bright all around her.	false	1131.65	1136.05	23.681515
6215_62347_000066_000002	You wouldn't have thought it better for her, or for him either, that they should be kept apart, seeing that they really love each other?"	You wouldn't have thought it better for her, or for him either, that they should be kept apart, seeing that they really love each other?"	false	1136.3	1142.77	27.392763
6215_62347_000067_000000	"No; I don't say that.	"No; I don't say that.	true	1143.56	1145.44	21.193178
6215_62347_000067_000001	If they love one another of course it is right that they should marry.	If they love one another of course it is right that they should marry.	true	1145.78	1149.4	19.437849
6215_62347_000067_000002	I only wish we had known him longer."	I only wish we had known him longer."	true	1149.95	1152.24	19.089445
6215_62347_000068_000000	"I am not sure that these things always go much better because young people have known each other all their lives.	"I am not sure that these things always go much better because young people have known each other all their lives.	false	1152.24	1158.49	20.631668
6215_62347_000068_000001	It seems to be certain that he is an industrious, steady young man.	It seems to be certain that he is an industrious, steady young man.	false	1158.86	1163.28	23.592825
6215_62347_000068_000002	Everybody seems to speak well of him now."	Everybody seems to speak well of him now."	true	1163.28	1165.63	24.452826
6215_62347_000069_000000	"Well, mother, I have nothing to say against him,--not a word.	"Well, mother, I have nothing to say against him,--not a word.	true	1166.45	1170.04	20.213278
6215_62347_000069_000001	And if it will give Rachel any pleasure,--though I don't suppose it will, the least in the world; but if it would, she may know that I think she has done wisely to accept him."	And if it will give Rachel any pleasure,--though I don't suppose it will, the least in the world; but if it would, she may know that I think she has done wisely to accept him."	true	1170.32	1181.32	21.556774
6215_62347_000070_000000	"Indeed it will; the greatest pleasure."	"Indeed it will; the greatest pleasure."	true	1181.51	1183.93	24.50402
6215_62347_000071_000000	"And I hope they will be happy together for very many years.	"And I hope they will be happy together for very many years.	true	1184.51	1187.89	21.634275
6215_62347_000071_000001	I love Rachel dearly, though I fear she does not think so, and anything I have said, I have said in love, not in anger."	I love Rachel dearly, though I fear she does not think so, and anything I have said, I have said in love, not in anger."	true	1188.41	1195.95	21.570135
6215_62347_000072_000000	"I'm sure of that, Dorothea."	"I'm sure of that, Dorothea."	false	1195.95	1198.06	24.078613
6215_62347_000073_000000	"Now that she is to be settled in life as a married woman, of course she must not look for counsel either to you or to me.	"Now that she is to be settled in life as a married woman, of course she must not look for counsel either to you or to me.	false	1199.03	1206.13	21.017221
6215_62347_000073_000001	She must obey him, and I hope that God may give him grace to direct her steps aright."	She must obey him, and I hope that God may give him grace to direct her steps aright."	false	1206.53	1212.66	21.328764
6215_62347_000074_000000	"Amen!" said Mrs. Ray, solemnly.	"Amen!" said mrs Ray, solemnly.	true	1212.66	1215.55	20.936152
6215_62347_000074_000001	It was thus that Mrs. Prime read her recantation, which was repeated on that evening to Rachel with some little softening touches.	It was thus that mrs Prime read her recantation, which was repeated on that evening to Rachel with some little softening touches.	true	1216.25	1223.98	22.941359
6215_62347_000074_000002	"You won't be living together in the same house after a bit," said Mrs. Ray, thinking, with some sadness, that those little evening festivities of buttered toast and thick cream were over for her now,--"but I do hope you will be friends."	"You won't be living together in the same house after a bit," said mrs Ray, thinking, with some sadness, that those little evening festivities of buttered toast and thick cream were over for her now,--"but I do hope you will be friends."	true	1224.59	1238.2	23.053885
6215_62347_000075_000000	"Of course we will, mamma.	"Of course we will, mamma.	true	1238.75	1240.33	21.672548
6215_62347_000075_000001	She has only to put out her hand the least little bit in the world, and I will go the rest of the way.	She has only to put out her hand the least little bit in the world, and I will go the rest of the way.	true	1240.55	1246.06	23.621187
6215_62347_000075_000002	As for her living, I don't know what will be best about that, because Luke says that of course you'll come and live with us."	As for her living, I don't know what will be best about that, because luke says that of course you'll come and live with us."	true	1246.52	1254.85	23.79276
6215_62347_000076_000000	It was two or three days after this that Rachel saw the Tappitt girls for the first time since the fact of her engagement had become known. It was in the evening, and she had been again walking with Luke, when she met them; but at that moment she was alone.	It was two or three days after this that Rachel saw the Tappitt girls for the first time since the fact of her engagement had become known. It was in the evening, and she had been again walking with luke, when she met them; but at that moment she was alone.	false	1255.67	1270.23	21.14184
6215_62347_000076_000001	Augusta would have turned boldly away, though they had all come closely together before either had been aware of the presence of the other.	Augusta would have turned boldly away, though they had all come closely together before either had been aware of the presence of the other.	false	1270.23	1277.14	22.864866
6215_62347_000076_000002	But to this both Martha and Cherry objected.	But to this both Martha and Cherry objected.	true	1277.57	1280.2	25.041746
6215_62347_000077_000000	"We have heard of your engagement," said Martha, "and we congratulate you.	"We have heard of your engagement," said Martha, "and we congratulate you.	true	1281.08	1285.03	24.337309
6215_62347_000077_000001	You have heard, of course, that we are going to move to Torquay, and we hope that you will be comfortable at the brewery."	You have heard, of course, that we are going to move to Torquay, and we hope that you will be comfortable at the brewery."	false	1285.25	1291.3	24.570364
6215_62347_000078_000000	"Yes," said Augusta, "the place isn't what it used to be, and so we think it best to go.	"Yes," said Augusta, "the place isn't what it used to be, and so we think it best to go.	false	1292.45	1298.2	24.454815
6215_62347_000078_000001	Mamma has already looked at a villa near Torquay, which will suit us delightfully."	Mamma has already looked at a villa near Torquay, which will suit us delightfully."	true	1298.57	1303.3	22.47017
6215_62347_000079_000000	Then they passed on, but Cherry remained behind to say another word. "I am so happy," said Cherry, "that you and he have hit it off.	Then they passed on, but Cherry remained behind to say another word. "I am so happy," said Cherry, "that you and he have hit it off.	true	1304.69	1313.01	19.652386
6215_62347_000079_000001	He's a charming fellow, and I always said he was to fall in love with you. After the ball of course there wasn't a doubt about it.	He's a charming fellow, and I always said he was to fall in love with you. After the ball of course there wasn't a doubt about it.	false	1313.01	1320.4	23.373844
6215_62347_000079_000002	Mind you send us cake, dear; and by-and-by we'll come and see you at the old place, and be better friends than ever we were."	Mind you send us cake, dear; and by and by we'll come and see you at the old place, and be better friends than ever we were."	false	1320.44	1330.74	25.021067
