2570_157243_000000_000000	'Good old carpet,' were Cyril's last sleepy words.	'Good old carpet,' were Cyril's last sleepy words.	false	1.35	5.22	21.385801
2570_157243_000070_000002	And all to do honour to me!'	And all to do honour to me!'	true	1040.1	1042.21	20.733162
2570_157243_000071_000000	The songs in the play it took to be hymns in its honour.	The songs in the play it took to be hymns in its honour.	true	1043.03	1046.38	18
2570_157243_000071_000001	The choruses were choric songs in its praise.	The choruses were choric songs in its praise.	true	1046.6	1050.01	20
2570_157243_000071_000002	The electric lights, it said, were magic torches lighted for its sake, and it was so charmed with the footlights that the children could hardly persuade it to sit still.	The electric lights, it said, were magic torches lighted for its sake, and it was so charmed with the footlights that the children could hardly persuade it to sit still.	true	1050.11	1061.8	21.204916
2570_157243_000071_000003	But when the limelight was shown it could contain its approval no longer.	But when the limelight was shown it could contain its approval no longer.	true	1062.44	1066.63	15
2570_157243_000071_000004	It flapped its golden wings, and cried in a voice that could be heard all over the theatre:	It flapped its golden wings, and cried in a voice that could be heard all over the theatre:	true	1066.82	1072.99	21
2570_157243_000072_000000	'Well done, my servants!	'Well done, my servants!	true	1073.27	1075.02	21.181524
2570_157243_000072_000001	Ye have my favour and my countenance!'	Ye have my favour and my countenance!'	false	1075.02	1077.97	19
2570_157243_000073_000000	Little Tom on the stage stopped short in what he was saying.	Little Tom on the stage stopped short in what he was saying.	true	1078.61	1082.59	20
2570_157243_000073_000001	A deep breath was drawn by hundreds of lungs, every eye in the house turned to the box where the luckless children cringed, and most people hissed, or said 'Shish!' or 'Turn them out!'	A deep breath was drawn by hundreds of lungs, every eye in the house turned to the box where the luckless children cringed, and most people hissed, or said 'Shish!' or 'Turn them out!'	true	1082.9	1096.78	20.828382
2570_157243_000074_000000	Then the play went on, and an attendant presently came to the box and spoke wrathfully.	Then the play went on, and an attendant presently came to the box and spoke wrathfully.	true	1097.54	1103.26	21
2570_157243_000075_000000	'It wasn't us, indeed it wasn't,' said Anthea, earnestly; 'it was the bird.'	'It wasn't us, indeed it wasn't,' said Anthea, earnestly; 'it was the bird.'	true	1103.48	1108.99	21.29437
2570_157243_000076_000000	The man said well, then, they must keep their bird very quiet. 'Disturbing every one like this,' he said.	The man said well, then, they must keep their bird very quiet. 'Disturbing every one like this,' he said.	true	1110.23	1118.14	22.66578
2570_157243_000077_000000	'It won't do it again,' said Robert, glancing imploringly at the golden bird; 'I'm sure it won't.'	'It won't do it again,' said Robert, glancing imploringly at the golden bird; 'I'm sure it won't.'	false	1119.23	1125.43	22
2570_157243_000078_000000	'You have my leave to depart,' said the Phoenix gently.	'You have my leave to depart,' said the Phoenix gently.	true	1125.8	1129.3	18
2570_157243_000079_000000	'Well, he is a beauty, and no mistake,' said the attendant, 'only I'd cover him up during the acts.	'Well, he is a beauty, and no mistake,' said the attendant, 'only I'd cover him up during the acts.	true	1129.94	1136.08	20
2570_157243_000079_000001	It upsets the performance.'	It upsets the performance.'	true	1136.09	1137.94	20.823051
2570_157243_000080_000000	And he went.	And he went.	true	1138.04	1139.23	17.199043
2570_157243_000081_000000	'Don't speak again, there's a dear,' said Anthea; 'you wouldn't like to interfere with your own temple, would you?'	'Don't speak again, there's a dear,' said Anthea; 'you wouldn't like to interfere with your own temple, would you?'	true	1139.81	1145.98	18
2570_157243_000082_000000	So now the Phoenix was quiet, but it kept whispering to the children.	So now the Phoenix was quiet, but it kept whispering to the children.	true	1146.59	1151.29	20
2570_157243_000082_000001	It wanted to know why there was no altar, no fire, no incense, and became so excited and fretful and tiresome that four at least of the party of five wished deeply that it had been left at home.	It wanted to know why there was no altar, no fire, no incense, and became so excited and fretful and tiresome that four at least of the party of five wished deeply that it had been left at home.	true	1151.45	1164.85	19
2570_157243_000083_000000	What happened next was entirely the fault of the Phoenix.	What happened next was entirely the fault of the Phoenix.	true	1166.15	1169.71	19.51117
2570_157243_000083_000001	It was not in the least the fault of the theatre people, and no one could ever understand afterwards how it did happen.	It was not in the least the fault of the theatre people, and no one could ever understand afterwards how it did happen.	true	1169.96	1176.7	20
2570_157243_000083_000002	No one, that is, except the guilty bird itself and the four children.	No one, that is, except the guilty bird itself and the four children.	true	1176.92	1181.35	21.31985
2570_157243_000083_000003	The Phoenix was balancing itself on the gilt back of the chair, swaying backwards and forwards and up and down, as you may see your own domestic parrot do.	The Phoenix was balancing itself on the gilt back of the chair, swaying backwards and forwards and up and down, as you may see your own domestic parrot do.	true	1181.84	1191.88	18
2570_157243_000083_000004	I mean the grey one with the red tail.	I mean the grey one with the red tail.	true	1192.22	1194.61	20.123938
2570_157243_000083_000005	All eyes were on the stage, where the lobster was delighting the audience with that gem of a song, 'If you can't walk straight, walk sideways!' when the Phoenix murmured warmly--	All eyes were on the stage, where the lobster was delighting the audience with that gem of a song, 'If you can't walk straight, walk sideways!' when the Phoenix murmured warmly-	true	1195.04	1206.1	20.425037
2570_157243_000084_000000	'No altar, no fire, no incense!' and then, before any of the children could even begin to think of stopping it, it spread its bright wings and swept round the theatre, brushing its gleaming feathers against delicate hangings and gilded woodwork.	'No altar, no fire, no incense!' and then, before any of the children could even begin to think of stopping it, it spread its bright wings and swept round the theatre, brushing its gleaming feathers against delicate hangings and gilded woodwork.	true	1206.44	1224.04	21.13195
2570_157243_000085_000000	It seemed to have made but one circular wing-sweep, such as you may see a gull make over grey water on a stormy day.	It seemed to have made but one circular wing sweep, such as you may see a gull make over grey water on a stormy day.	true	1225.31	1233.64	19
2570_157243_000085_000001	Next moment it was perched again on the chair-back--and all round the theatre, where it had passed, little sparks shone like tinsel seeds, then little smoke wreaths curled up like growing plants--little flames opened like flower-buds.	Next moment it was perched again on the chair back-and all round the theatre, where it had passed, little sparks shone like tinsel seeds, then little smoke wreaths curled up like growing plants-little flames opened like flower buds.	true	1233.89	1250.47	21.200012
2570_157243_000085_000002	People whispered--then people shrieked.	People whispered-then people shrieked.	true	1251.05	1254.46	22.020838
2570_157243_000086_000000	'Fire!	'Fire!	true	1254.56	1255.62	19.638474
2570_157243_000086_000001	Fire!' The curtain went down--the lights went up.	Fire!' The curtain went down-the lights went up.	true	1255.62	1259.26	20.445835
2570_157243_000087_000000	'Fire!' cried every one, and made for the doors.	'Fire!' cried every one, and made for the doors.	true	1259.33	1262.89	21.666908
2570_157243_000088_000000	'A magnificent idea!' said the Phoenix, complacently.	'A magnificent idea!' said the Phoenix, complacently.	true	1263.29	1267.18	20.940147
2570_157243_000088_000001	'An enormous altar--fire supplied free of charge.	'An enormous altar-fire supplied free of charge.	true	1267.31	1271.68	19.023144
2570_157243_000088_000002	Doesn't the incense smell delicious?'	Doesn't the incense smell delicious?'	true	1271.75	1274.23	18
2570_157243_000089_000000	The only smell was the stifling smell of smoke, of burning silk, or scorching varnish.	The only smell was the stifling smell of smoke, of burning silk, or scorching varnish.	true	1274.78	1280.74	19
2570_157243_000090_000000	The little flames had opened now into great flame-flowers.	The little flames had opened now into great flame flowers.	true	1281.29	1285.3	19
2570_157243_000090_000001	The people in the theatre were shouting and pressing towards the doors.	The people in the theatre were shouting and pressing towards the doors.	false	1285.55	1289.56	15
2570_157243_000091_000000	'Oh, how COULD you!' cried Jane. 'Let's get out.'	'Oh, how COULD you!' cried Jane. 'Let's get out.'	true	1289.84	1293.73	21.13009
2570_157243_000092_000000	'Father said stay here,' said Anthea, very pale, and trying to speak in her ordinary voice.	'Father said stay here,' said Anthea, very pale, and trying to speak in her ordinary voice.	true	1294.34	1301.26	20.869932
2570_157243_000093_000000	'He didn't mean stay and be roasted,' said Robert.	'He didn't mean stay and be roasted,' said Robert.	false	1302.71	1305.64	20.217619
2570_157243_000093_000001	'No boys on burning decks for me, thank you.'	'No boys on burning decks for me, thank you.'	true	1305.64	1308.43	21.728518
2570_157243_000094_000000	'Not much,' said Cyril, and he opened the door of the box.	'Not much,' said Cyril, and he opened the door of the box.	true	1308.59	1312	19
2570_157243_000095_000000	But a fierce waft of smoke and hot air made him shut it again.	But a fierce waft of smoke and hot air made him shut it again.	true	1312.58	1316.89	20.355001
2570_157243_000095_000001	It was not possible to get out that way.	It was not possible to get out that way.	true	1317.08	1319.83	21.448666
2570_157243_000096_000000	They looked over the front of the box.	They looked over the front of the box.	true	1320.5	1322.61	21.482761
2570_157243_000096_000001	Could they climb down?	Could they climb down?	true	1322.61	1324.12	18
2570_157243_000097_000000	It would be possible, certainly; but would they be much better off?	It would be possible, certainly; but would they be much better off?	true	1324.46	1329.1	21.19326
2570_157243_000098_000000	'Look at the people,' moaned Anthea; 'we couldn't get through.'	'Look at the people,' moaned Anthea; 'we couldn't get through.'	true	1329.65	1333.57	21.327522
2570_157243_000099_000000	And, indeed, the crowd round the doors looked as thick as flies in the jam-making season.	And, indeed, the crowd round the doors looked as thick as flies in the jam making season.	true	1333.94	1339.18	15
2570_157243_000100_000000	'I wish we'd never seen the Phoenix,' cried Jane.	'I wish we'd never seen the Phoenix,' cried Jane.	true	1339.67	1342.84	21
2570_157243_000101_000000	Even at that awful moment Robert looked round to see if the bird had overheard a speech which, however natural, was hardly polite or grateful.	Even at that awful moment Robert looked round to see if the bird had overheard a speech which, however natural, was hardly polite or grateful.	true	1343.87	1353.61	20.066513
2570_157243_000102_000000	The Phoenix was gone.	The Phoenix was gone.	true	1354.64	1356.58	20
2570_157243_000103_000000	'Look here,' said Cyril, 'I've read about fires in papers; I'm sure it's all right.	'Look here,' said Cyril, 'I've read about fires in papers; I'm sure it's all right.	false	1357.31	1362.83	19.220089
2570_157243_000103_000001	Let's wait here, as father said.'	Let's wait here, as father said.'	false	1362.83	1365.21	21.244505
2570_157243_000104_000000	'We can't do anything else,' said Anthea bitterly.	'We can't do anything else,' said Anthea bitterly.	true	1365.21	1368.01	16
2570_157243_000105_000000	'Look here,' said Robert, 'I'm NOT frightened--no, I'm not.	'Look here,' said Robert, 'I'm NOT frightened-no, I'm not.	true	1368.56	1372.24	20
2570_157243_000105_000001	The Phoenix has never been a skunk yet, and I'm certain it'll see us through somehow.	The Phoenix has never been a skunk yet, and I'm certain it'll see us through somehow.	false	1372.37	1378.53	19
2570_157243_000105_000002	I believe in the Phoenix!'	I believe in the Phoenix!'	true	1378.53	1380.34	19.424864
2570_157243_000106_000000	'The Phoenix thanks you, O Robert,' said a golden voice at his feet, and there was the Phoenix itself, on the Wishing Carpet.	'The Phoenix thanks you, O Robert,' said a golden voice at his feet, and there was the Phoenix itself, on the Wishing Carpet.	true	1381.07	1389.61	21.211443
2570_157243_000107_000000	'Quick!' it said.	'Quick!' it said.	true	1390.34	1391.73	21.74701
2570_157243_000107_000001	'Stand on those portions of the carpet which are truly antique and authentic--and--'	'Stand on those portions of the carpet which are truly antique and authentic-and-'	true	1391.73	1396.96	21
2570_157243_000108_000000	A sudden jet of flame stopped its words.	A sudden jet of flame stopped its words.	true	1397.48	1400.09	20
2570_157243_000108_000001	Alas! the Phoenix had unconsciously warmed to its subject, and in the unintentional heat of the moment had set fire to the paraffin with which that morning the children had anointed the carpet.	Alas! the Phoenix had unconsciously warmed to its subject, and in the unintentional heat of the moment had set fire to the paraffin with which that morning the children had anointed the carpet.	true	1400.09	1412.98	20.873987
2570_157243_000108_000002	It burned merrily.	It burned merrily.	true	1413.08	1414.75	18.322401
2570_157243_000108_000003	The children tried in vain to stamp it out.	The children tried in vain to stamp it out.	true	1414.97	1417.99	19.204466
2570_157243_000108_000004	They had to stand back and let it burn itself out.	They had to stand back and let it burn itself out.	false	1418.09	1421.26	22.751633
2570_157243_000108_000005	When the paraffin had burned away it was found that it had taken with it all the darns of Scotch heather-mixture fingering.	When the paraffin had burned away it was found that it had taken with it all the darns of Scotch heather mixture fingering.	false	1421.81	1430.77	20
2570_157243_000108_000006	Only the fabric of the old carpet was left--and that was full of holes.	Only the fabric of the old carpet was left-and that was full of holes.	true	1431.14	1435.86	20.814096
2570_157243_000109_000000	'Come,' said the Phoenix, 'I'm cool now.'	'Come,' said the Phoenix, 'I'm cool now.'	false	1435.86	1439.17	20.812702
2570_157243_000110_000000	The four children got on to what was left of the carpet.	The four children got on to what was left of the carpet.	true	1440.17	1443.73	20.98455
2570_157243_000110_000001	Very careful they were not to leave a leg or a hand hanging over one of the holes.	Very careful they were not to leave a leg or a hand hanging over one of the holes.	true	1444.07	1449.04	16
2570_157243_000110_000002	It was very hot--the theatre was a pit of fire.	It was very hot-the theatre was a pit of fire.	true	1449.41	1453.21	19.171858
2570_157243_000110_000003	Every one else had got out.	Every one else had got out.	false	1453.49	1455.55	19.938189
2570_157243_000111_000000	Jane had to sit on Anthea's lap.	Jane had to sit on Anthea's lap.	true	1456.34	1458.97	20.07586
2570_157243_000112_000000	'Home!' said Cyril, and instantly the cool draught from under the nursery door played upon their legs as they sat.	'Home!' said Cyril, and instantly the cool draught from under the nursery door played upon their legs as they sat	false	1459.04	1467.97	17.607576
2570_157243_000112_000001	They were all on the carpet still, and the carpet was lying in its proper place on the nursery floor, as calm and unmoved as though it had never been to the theatre or taken part in a fire in its life.	They were all on the carpet still, and the carpet was lying in its proper place on the nursery floor, as calm and unmoved as though it had never been to the theatre or taken part in a fire in its life.	true	1468.31	1482.7	20.5216
2570_157243_000113_000000	Four long breaths of deep relief were instantly breathed.	Four long breaths of deep relief were instantly breathed.	true	1484.18	1488.52	18.60022
2570_157243_000113_000001	The draught which they had never liked before was for the moment quite pleasant.	The draught which they had never liked before was for the moment quite pleasant.	false	1488.83	1494.12	21.422806
2570_157243_000113_000002	And they were safe.	And they were safe.	true	1494.12	1495.57	16.875881
2570_157243_000113_000003	And every one else was safe.	And every one else was safe.	true	1495.61	1497.73	18.639357
2570_157243_000113_000004	The theatre had been quite empty when they left.	The theatre had been quite empty when they left.	true	1498.01	1500.56	17
2570_157243_000113_000005	Every one was sure of that.	Every one was sure of that.	true	1500.56	1502.14	18.73125
2570_157243_000114_000000	They presently found themselves all talking at once.	They presently found themselves all talking at once.	true	1503.02	1506.37	21
2570_157243_000114_000001	Somehow none of their adventures had given them so much to talk about.	Somehow none of their adventures had given them so much to talk about.	true	1506.44	1510.63	19
2570_157243_000114_000002	None other had seemed so real.	None other had seemed so real.	true	1510.7	1513.24	18.692327
2570_157243_000115_000000	'Did you notice--?' they said, and 'Do you remember--?'	'Did you notice-?' they said, and 'Do you remember-?'	true	1513.85	1518.1	18.630926
2570_157243_000116_000000	When suddenly Anthea's face turned pale under the dirt which it had collected on it during the fire.	When suddenly Anthea's face turned pale under the dirt which it had collected on it during the fire.	true	1518.77	1524.97	19
2570_157243_000117_000000	'Oh,' she cried, 'mother and father!	'Oh,' she cried, 'mother and father!	true	1525.19	1528.14	18.127151
2570_157243_000117_000001	Oh, how awful!	Oh, how awful!	true	1528.14	1529.59	22.427498
2570_157243_000117_000002	They'll think we're burned to cinders.	They'll think we're burned to cinders.	true	1529.72	1531.75	19
2570_157243_000117_000003	Oh, let's go this minute and tell them we aren't.'	Oh, let's go this minute and tell them we aren't.'	true	1531.91	1534.69	20.78967
2570_157243_000118_000000	'We should only miss them,' said the sensible Cyril.	'We should only miss them,' said the sensible Cyril.	false	1535.27	1538.52	18.260862
2570_157243_000119_000000	'Well--YOU go then,' said Anthea, 'or I will.	'Well-YOU go then,' said Anthea, 'or I will.	true	1538.52	1541.68	19
2570_157243_000119_000001	Only do wash your face first.	Only do wash your face first.	true	1541.72	1543.95	22
2570_157243_000119_000002	Mother will be sure to think you are burnt to a cinder if she sees you as black as that, and she'll faint or be ill or something.	Mother will be sure to think you are burnt to a cinder if she sees you as black as that, and she'll faint or be ill or something.	true	1543.95	1551.43	21
2570_157243_000119_000003	Oh, I wish we'd never got to know that Phoenix.'	Oh, I wish we'd never got to know that Phoenix.'	true	1551.95	1554.84	21
2570_157243_000120_000000	'Hush!' said Robert; 'it's no use being rude to the bird.	'Hush!' said Robert; 'it's no use being rude to the bird.	false	1554.84	1559.32	20.547869
2570_157243_000120_000001	I suppose it can't help its nature.	I suppose it can't help its nature.	true	1559.42	1561.81	20
2570_157243_000120_000002	Perhaps we'd better wash too.	Perhaps we'd better wash too.	true	1561.97	1564.09	21
2570_157243_000120_000003	Now I come to think of it my hands are rather--'	Now I come to think of it my hands are rather-'	true	1564.37	1567.21	16
2570_157243_000121_000000	No one had noticed the Phoenix since it had bidden them to step on the carpet.	No one had noticed the Phoenix since it had bidden them to step on the carpet.	true	1567.91	1572.55	21.593544
2570_157243_000121_000001	And no one noticed that no one had noticed.	And no one noticed that no one had noticed.	true	1572.86	1575.64	15
2570_157243_000122_000000	All were partially clean, and Cyril was just plunging into his great-coat to go and look for his parents--he, and not unjustly, called it looking for a needle in a bundle of hay--when the sound of father's latchkey in the front door sent every one bounding up the stairs.	All were partially clean, and Cyril was just plunging into his great coat to go and look for his parents-he, and not unjustly, called it looking for a needle in a bundle of hay-when the sound of father's latchkey in the front door sent every one bounding up the stairs.	true	1576.34	1594.39	21
2570_157243_000123_000000	'Are you all safe?' cried mother's voice; 'are you all safe?' and the next moment she was kneeling on the linoleum of the hall, trying to kiss four damp children at once, and laughing and crying by turns, while father stood looking on and saying he was blessed or something.	'Are you all safe?' cried mother's voice; 'are you all safe?' and the next moment she was kneeling on the linoleum of the hall, trying to kiss four damp children at once, and laughing and crying by turns, while father stood looking on and saying he was blessed or something.	true	1595.54	1613.71	20.930386
2570_157243_000124_000000	'But how did you guess we'd come home,' said Cyril, later, when every one was calm enough for talking.	'But how did you guess we'd come home,' said Cyril, later, when every one was calm enough for talking.	false	1614.56	1620.55	17
2570_157243_000125_000000	'Well, it was rather a rum thing.	'Well, it was rather a rum thing.	true	1621.19	1623.43	24.27439
2570_157243_000125_000001	We heard the Garrick was on fire, and of course we went straight there,' said father, briskly.	We heard the Garrick was on fire, and of course we went straight there,' said father, briskly.	true	1623.47	1628.56	21.31428
2570_157243_000125_000002	'We couldn't find you, of course--and we couldn't get in--but the firemen told us every one was safely out.	'We couldn't find you, of course-and we couldn't get in-but the firemen told us every one was safely out.	true	1628.84	1635.19	21
2570_157243_000125_000003	And then I heard a voice at my ear say, "Cyril, Anthea, Robert, and Jane"--and something touched me on the shoulder.	And then I heard a voice at my ear say, "Cyril, Anthea, Robert, and Jane"--and something touched me on the shoulder.	false	1635.5	1644.04	19.878109
2570_157243_000125_000004	It was a great yellow pigeon, and it got in the way of my seeing who'd spoken.	It was a great yellow pigeon, and it got in the way of my seeing who'd spoken.	false	1644.14	1648.81	17
2570_157243_000125_000005	It fluttered off, and then some one said in the other ear, "They're safe at home"; and when I turned again, to see who it was speaking, hanged if there wasn't that confounded pigeon on my other shoulder.	It fluttered off, and then some one said in the other ear, "They're safe at home"; and when I turned again, to see who it was speaking, hanged if there wasn't that confounded pigeon on my other shoulder.	true	1649.09	1662.4	19.084972
2570_157243_000125_000006	Dazed by the fire, I suppose.	Dazed by the fire, I suppose.	true	1662.8	1665.03	19
2570_157243_000125_000007	Your mother said it was the voice of--'	Your mother said it was the voice of-'	false	1665.03	1667.26	19.444168
2570_157243_000126_000000	'I said it was the bird that spoke,' said mother, 'and so it was.	'I said it was the bird that spoke,' said mother, 'and so it was.	true	1667.93	1672.09	20.247885
2570_157243_000126_000001	Or at least I thought so then.	Or at least I thought so then.	true	1672.28	1674.34	22.885498
2570_157243_000126_000002	It wasn't a pigeon.	It wasn't a pigeon.	true	1674.53	1676.08	22.226204
2570_157243_000126_000003	It was an orange-coloured cockatoo.	It was an orange coloured cockatoo.	true	1676.12	1678.51	22
2570_157243_000126_000004	I don't care who it was that spoke.	I don't care who it was that spoke.	true	1678.73	1681.11	21.230303
2570_157243_000126_000005	It was true and you're safe.'	It was true and you're safe.'	false	1681.11	1683.46	21.375135
2570_157243_000127_000000	Mother began to cry again, and father said bed was a good place after the pleasures of the stage.	Mother began to cry again, and father said bed was a good place after the pleasures of the stage.	true	1684.25	1689.76	23
2570_157243_000128_000000	So every one went there.	So every one went there.	true	1690.94	1692.64	22.285744
2570_157243_000129_000000	Robert had a talk to the Phoenix that night.	Robert had a talk to the Phoenix that night.	false	1693.55	1696.39	23.732582
2570_157243_000130_000000	'Oh, very well,' said the bird, when Robert had said what he felt, 'didn't you know that I had power over fire?	'Oh, very well,' said the bird, when Robert had said what he felt, 'didn't you know that I had power over fire?	false	1697.54	1705.75	19.525068
2570_157243_000130_000001	Do not distress yourself. I, like my high priests in Lombard Street, can undo the work of flames. Kindly open the casement.'	Do not distress yourself. I, like my high priests in Lombard Street, can undo the work of flames. Kindly open the casement.'	true	1705.97	1714.96	23.045986
2570_157243_000131_000000	It flew out.	It flew out.	true	1715.6	1716.94	20.515015
2570_157243_000132_000000	That was why the papers said next day that the fire at the theatre had done less damage than had been anticipated.	That was why the papers said next day that the fire at the theatre had done less damage than had been anticipated.	true	1717.76	1724.32	20
2570_157243_000132_000001	As a matter of fact it had done none, for the Phoenix spent the night in putting things straight. How the management accounted for this, and how many of the theatre officials still believe that they were mad on that night will never be known.	As a matter of fact it had done none, for the Phoenix spent the night in putting things straight. How the management accounted for this, and how many of the theatre officials still believe that they were mad on that night will never be known.	true	1724.69	1739.23	20.331093
2570_157243_000133_000000	Next day mother saw the burnt holes in the carpet.	Next day mother saw the burnt holes in the carpet.	true	1739.99	1743.07	21.739191
2570_157243_000134_000000	'It caught where it was paraffiny,' said Anthea.	'It caught where it was paraffiny,' said Anthea.	true	1743.56	1746.52	21
2570_157243_000135_000000	'I must get rid of that carpet at once,' said mother.	'I must get rid of that carpet at once,' said mother.	true	1746.71	1749.7	20
2570_157243_000136_000000	But what the children said in sad whispers to each other, as they pondered over last night's events, was--	But what the children said in sad whispers to each other, as they pondered over last night's events, was-	true	1750.43	1756.84	17
2570_157243_000137_000000	'We must get rid of that Phoenix.'	'We must get rid of that Phoenix.'	true	1757.3	1759.8	18
2570_157243_000138_000000	CHAPTER 12.	CHAPTER twelve.	false	1759.8	1760.58	-20
2570_157243_000138_000001	THE END OF THE END	THE END OF THE END	false	1760.58	1766.91	18.140673
