583_139009_000000_000000	All the other stories were serialized.	All the other stories were serialized.	false	0	0.51	-1
583_139009_000039_000001	His hair was scant and sandy, his flat cheeks were pale, his bony wrists and long scholarly hands were pale, too, as though he had lived all his life in the shade.	His hair was scant and sandy, his flat cheeks were pale, his bony wrists and long scholarly hands were pale, too, as though he had lived all his life in the shade.	true	943.01	952.21	13
583_139009_000040_000000	He smiled from on high at Jukes, and went on smoking and glancing about quietly, in the manner of a kind uncle lending an ear to the tale of an excited schoolboy.	He smiled from on high at Jukes, and went on smoking and glancing about quietly, in the manner of a kind uncle lending an ear to the tale of an excited schoolboy.	true	953.48	963.58	11
583_139009_000040_000001	Then, greatly amused but impassive, he asked:	Then, greatly amused but impassive, he asked:	true	963.77	966.58	9
583_139009_000041_000000	"And did you throw up the billet?"	"And did you throw up the billet?"	false	967.04	968.47	11
583_139009_000042_000000	"No," cried Jukes, raising a weary, discouraged voice above the harsh buzz of the Nan-Shan's friction winches.	"No," cried Jukes, raising a weary, discouraged voice above the harsh buzz of the Nan Shan's friction winches.	true	969.17	975.4	11
583_139009_000042_000001	All of them were hard at work, snatching slings of cargo, high up, to the end of long derricks, only, as it seemed, to let them rip down recklessly by the run.	All of them were hard at work, snatching slings of cargo, high up, to the end of long derricks, only, as it seemed, to let them rip down recklessly by the run.	true	976.04	984.31	14
583_139009_000042_000002	The cargo chains groaned in the gins, clinked on coamings, rattled over the side; and the whole ship quivered, with her long gray flanks smoking in wreaths of steam.	The cargo chains groaned in the gins, clinked on coamings, rattled over the side; and the whole ship quivered, with her long gray flanks smoking in wreaths of steam.	true	984.95	995.05	11
583_139009_000042_000003	"No," cried Jukes, "I didn't.	"No," cried Jukes, "I didn't.	true	995.78	997.545	13
583_139009_000042_000004	What's the good?	What's the good?	true	997.545	998.43	11
583_139009_000042_000005	I might just as well fling my resignation at this bulkhead.	I might just as well fling my resignation at this bulkhead.	true	998.43	1001.8	10
583_139009_000042_000006	I don't believe you can make a man like that understand anything.	I don't believe you can make a man like that understand anything.	true	1002.2	1005.16	8
583_139009_000042_000007	He simply knocks me over."	He simply knocks me over."	true	1005.23	1007.2	13
583_139009_000043_000000	At that moment Captain MacWhirr, back from the shore, crossed the deck, umbrella in hand, escorted by a mournful, self-possessed Chinaman, walking behind in paper-soled silk shoes, and who also carried an umbrella.	At that moment Captain MacWhirr, back from the shore, crossed the deck, umbrella in hand, escorted by a mournful, self possessed Chinaman, walking behind in paper soled silk shoes, and who also carried an umbrella.	false	1008.32	1020.55	12
583_139009_000044_000000	The master of the Nan-Shan, speaking just audibly and gazing at his boots as his manner was, remarked that it would be necessary to call at Fu-chau this trip, and desired Mr. Rout to have steam up to-morrow afternoon at one o'clock sharp.	The master of the Nan Shan, speaking just audibly and gazing at his boots as his manner was, remarked that it would be necessary to call at Fu chau this trip, and desired mr Rout to have steam up to morrow afternoon at one o'clock sharp.	false	1021.4	1035.49	12
583_139009_000044_000001	He pushed back his hat to wipe his forehead, observing at the same time that he hated going ashore anyhow; while overtopping him Mr. Rout, without deigning a word, smoked austerely, nursing his right elbow in the palm of his left hand. Then Jukes was directed in the same subdued voice to keep the forward 'tween-deck clear of cargo.	He pushed back his hat to wipe his forehead, observing at the same time that he hated going ashore anyhow; while overtopping him mr Rout, without deigning a word, smoked austerely, nursing his right elbow in the palm of his left hand. Then Jukes was directed in the same subdued voice to keep the forward 'tween deck clear of cargo.	true	1035.68	1055.5	14
583_139009_000044_000002	Two hundred coolies were going to be put down there.	Two hundred coolies were going to be put down there.	true	1056.11	1058.59	11
583_139009_000044_000003	The Bun Hin Company were sending that lot home.	The Bun Hin Company were sending that lot home.	true	1058.9	1061.62	11
583_139009_000044_000004	Twenty-five bags of rice would be coming off in a sampan directly, for stores.	Twenty five bags of rice would be coming off in a sampan directly, for stores.	true	1061.84	1066.39	14
583_139009_000044_000005	All seven-years'-men they were, said Captain MacWhirr, with a camphor-wood chest to every man.	All seven years'-men they were, said Captain MacWhirr, with a camphor wood chest to every man.	false	1066.49	1072.06	15
583_139009_000044_000006	The carpenter should be set to work nailing three-inch battens along the deck below, fore and aft, to keep these boxes from shifting in a sea-way.	The carpenter should be set to work nailing three inch battens along the deck below, fore and aft, to keep these boxes from shifting in a sea way.	true	1072.76	1080.16	12
583_139009_000044_000007	Jukes had better look to it at once. "D'ye hear, Jukes?"	Jukes had better look to it at once. "D'ye hear, Jukes?"	true	1080.5	1083.79	19
583_139009_000044_000008	This chinaman here was coming with the ship as far as Fu-chau--a sort of interpreter he would be.	This chinaman here was coming with the ship as far as Fu chau-a sort of interpreter he would be.	false	1084.07	1090.15	13
583_139009_000044_000009	Bun Hin's clerk he was, and wanted to have a look at the space.	Bun Hin's clerk he was, and wanted to have a look at the space.	true	1090.82	1094.29	11
583_139009_000044_000010	Jukes had better take him forward.	Jukes had better take him forward.	true	1094.54	1096.05	16
583_139009_000044_000011	"D'ye hear, Jukes?"	"D'ye hear, Jukes?"	false	1096.05	1097.2	15
583_139009_000045_000000	Jukes took care to punctuate these instructions in proper places with the obligatory "Yes, sir," ejaculated without enthusiasm.	Jukes took care to punctuate these instructions in proper places with the obligatory "Yes, sir," ejaculated without enthusiasm.	true	1099.13	1106.14	12
583_139009_000045_000001	His brusque "Come along, John; make look see" set the Chinaman in motion at his heels.	His brusque "Come along, john; make look see" set the Chinaman in motion at his heels.	true	1106.42	1111.29	13
583_139009_000046_000000	"Wanchee look see, all same look see can do," said Jukes, who having no talent for foreign languages mangled the very pidgin-English cruelly.	"Wanchee look see, all same look see can do," said Jukes, who having no talent for foreign languages mangled the very pidgin English cruelly.	false	1111.29	1120.24	15
583_139009_000046_000001	He pointed at the open hatch.	He pointed at the open hatch.	true	1120.7	1122.28	16
583_139009_000046_000002	"Catchee number one piecie place to sleep in. Eh?"	"Catchee number one piecie place to sleep in. Eh?"	false	1122.29	1126.38	17
583_139009_000047_000000	He was gruff, as became his racial superiority, but not unfriendly.	He was gruff, as became his racial superiority, but not unfriendly.	true	1126.38	1130.41	11
583_139009_000047_000001	The Chinaman, gazing sad and speechless into the darkness of the hatchway, seemed to stand at the head of a yawning grave.	The Chinaman, gazing sad and speechless into the darkness of the hatchway, seemed to stand at the head of a yawning grave.	true	1131.02	1137.82	12
583_139009_000048_000000	"No catchee rain down there--savee?" pointed out Jukes.	"No catchee rain down there-savee?" pointed out Jukes.	true	1138.1	1141.86	13
583_139009_000048_000001	"Suppose all'ee same fine weather, one piecie coolie-man come topside," he pursued, warming up imaginatively.	"Suppose all'ee same fine weather, one piecie coolie man come topside," he pursued, warming up imaginatively.	false	1141.86	1149.13	13
583_139009_000048_000002	"Make so--Phooooo!"	"Make so-Phooooo!"	true	1149.38	1151.91	15.538836
583_139009_000048_000003	He expanded his chest and blew out his cheeks.	He expanded his chest and blew out his cheeks.	false	1151.91	1154.32	11
583_139009_000048_000004	"Savee, John?	"Savee, john?	true	1154.45	1155.88	15
583_139009_000048_000005	Breathe--fresh air.	Breathe-fresh air.	true	1156.04	1157.38	14
583_139009_000048_000006	Good.	Good.	true	1157.38	1157.76	14
583_139009_000048_000007	Eh?	Eh?	false	1157.76	1158.3	19.520792
583_139009_000048_000008	Washee him piecie pants, chow-chow top-side--see, John?"	Washee him piecie pants, chow chow top side-see, john?"	true	1158.3	1162.03	11
583_139009_000049_000000	With his mouth and hands he made exuberant motions of eating rice and washing clothes; and the Chinaman, who concealed his distrust of this pantomime under a collected demeanour tinged by a gentle and refined melancholy, glanced out of his almond eyes from Jukes to the hatch and back again.	With his mouth and hands he made exuberant motions of eating rice and washing clothes; and the Chinaman, who concealed his distrust of this pantomime under a collected demeanour tinged by a gentle and refined melancholy, glanced out of his almond eyes from Jukes to the hatch and back again.	false	1162.82	1179.26	11
583_139009_000049_000001	"Velly good," he murmured, in a disconsolate undertone, and hastened smoothly along the decks, dodging obstacles in his course.	"Velly good," he murmured, in a disconsolate undertone, and hastened smoothly along the decks, dodging obstacles in his course.	true	1179.26	1186.99	15
583_139009_000049_000002	He disappeared, ducking low under a sling of ten dirty gunny-bags full of some costly merchandise and exhaling a repulsive smell.	He disappeared, ducking low under a sling of ten dirty gunny bags full of some costly merchandise and exhaling a repulsive smell.	true	1187.45	1195.48	13
583_139009_000050_000000	Captain MacWhirr meantime had gone on the bridge, and into the chart-room, where a letter, commenced two days before, awaited termination.	Captain MacWhirr meantime had gone on the bridge, and into the chart room, where a letter, commenced two days before, awaited termination.	true	1197.23	1205.05	12
583_139009_000050_000001	These long letters began with the words, "My darling wife," and the steward, between the scrubbing of the floors and the dusting of chronometer-boxes, snatched at every opportunity to read them.	These long letters began with the words, "My darling wife," and the steward, between the scrubbing of the floors and the dusting of chronometer boxes, snatched at every opportunity to read them.	true	1205.78	1217.14	15
583_139009_000050_000002	They interested him much more than they possibly could the woman for whose eye they were intended; and this for the reason that they related in minute detail each successive trip of the Nan-Shan.	They interested him much more than they possibly could the woman for whose eye they were intended; and this for the reason that they related in minute detail each successive trip of the Nan Shan.	false	1217.24	1228.75	13
583_139009_000051_000000	Her master, faithful to facts, which alone his consciousness reflected, would set them down with painstaking care upon many pages.	Her master, faithful to facts, which alone his consciousness reflected, would set them down with painstaking care upon many pages.	true	1229.39	1237.24	14
583_139009_000051_000001	The house in a northern suburb to which these pages were addressed had a bit of garden before the bow-windows, a deep porch of good appearance, coloured glass with imitation lead frame in the front door.	The house in a northern suburb to which these pages were addressed had a bit of garden before the bow windows, a deep porch of good appearance, coloured glass with imitation lead frame in the front door.	false	1237.55	1248.28	11
583_139009_000051_000002	He paid five-and-forty pounds a year for it, and did not think the rent too high, because Mrs. MacWhirr (a pretentious person with a scraggy neck and a disdainful manner) was admittedly ladylike, and in the neighbourhood considered as "quite superior." The only secret of her life was her abject terror of the time when her husband would come home to stay for good.	He paid five and forty pounds a year for it, and did not think the rent too high, because mrs MacWhirr (a pretentious person with a scraggy neck and a disdainful manner) was admittedly ladylike, and in the neighbourhood considered as "quite superior." The only secret of her life was her abject terror of the time when her husband would come home to stay for good.	false	1248.95	1268.62	14
583_139009_000051_000003	Under the same roof there dwelt also a daughter called Lydia and a son, Tom.	Under the same roof there dwelt also a daughter called Lydia and a son, Tom.	true	1269.35	1274.11	17
583_139009_000051_000004	These two were but slightly acquainted with their father.	These two were but slightly acquainted with their father.	true	1274.87	1278.04	14
583_139009_000051_000005	Mainly, they knew him as a rare but privileged visitor, who of an evening smoked his pipe in the dining-room and slept in the house. The lanky girl, upon the whole, was rather ashamed of him; the boy was frankly and utterly indifferent in a straightforward, delightful, unaffected way manly boys have.	Mainly, they knew him as a rare but privileged visitor, who of an evening smoked his pipe in the dining room and slept in the house. The lanky girl, upon the whole, was rather ashamed of him; the boy was frankly and utterly indifferent in a straightforward, delightful, unaffected way manly boys have.	true	1278.35	1296.79	17
583_139009_000052_000000	And Captain MacWhirr wrote home from the coast of China twelve times every year, desiring quaintly to be "remembered to the children," and subscribing himself "your loving husband," as calmly as if the words so long used by so many men were, apart from their shape, worn-out things, and of a faded meaning.	And Captain MacWhirr wrote home from the coast of China twelve times every year, desiring quaintly to be "remembered to the children," and subscribing himself "your loving husband," as calmly as if the words so long used by so many men were, apart from their shape, worn out things, and of a faded meaning.	true	1297.4	1317.49	14
583_139009_000053_000000	The China seas north and south are narrow seas.	The China seas north and south are narrow seas.	true	1318.16	1321.57	9
583_139009_000053_000001	They are seas full of every-day, eloquent facts, such as islands, sand-banks, reefs, swift and changeable currents--tangled facts that nevertheless speak to a seaman in clear and definite language.	They are seas full of every day, eloquent facts, such as islands, sand banks, reefs, swift and changeable currents-tangled facts that nevertheless speak to a seaman in clear and definite language.	false	1322.24	1334.53	15
583_139009_000053_000002	Their speech appealed to Captain MacWhirr's sense of realities so forcibly that he had given up his state-room below and practically lived all his days on the bridge of his ship, often having his meals sent up, and sleeping at night in the chart-room.	Their speech appealed to Captain MacWhirr's sense of realities so forcibly that he had given up his state room below and practically lived all his days on the bridge of his ship, often having his meals sent up, and sleeping at night in the chart room.	false	1334.99	1348.69	13
583_139009_000053_000003	And he indited there his home letters.	And he indited there his home letters.	true	1348.97	1351.3	12
583_139009_000053_000004	Each of them, without exception, contained the phrase, "The weather has been very fine this trip," or some other form of a statement to that effect.	Each of them, without exception, contained the phrase, "The weather has been very fine this trip," or some other form of a statement to that effect.	true	1351.61	1359.79	13
583_139009_000053_000005	And this statement, too, in its wonderful persistence, was of the same perfect accuracy as all the others they contained.	And this statement, too, in its wonderful persistence, was of the same perfect accuracy as all the others they contained.	true	1360.01	1367.23	14
583_139009_000054_000000	Mr. Rout likewise wrote letters; only no one on board knew how chatty he could be pen in hand, because the chief engineer had enough imagination to keep his desk locked.	mr Rout likewise wrote letters; only no one on board knew how chatty he could be pen in hand, because the chief engineer had enough imagination to keep his desk locked.	false	1368.14	1378.33	12
583_139009_000054_000001	His wife relished his style greatly.	His wife relished his style greatly.	true	1378.97	1381.12	14
583_139009_000054_000002	They were a childless couple, and Mrs. Rout, a big, high-bosomed, jolly woman of forty, shared with Mr. Rout's toothless and venerable mother a little cottage near Teddington.	They were a childless couple, and mrs Rout, a big, high bosomed, jolly woman of forty, shared with mr Rout's toothless and venerable mother a little cottage near Teddington.	true	1381.34	1391.44	12
583_139009_000054_000003	She would run over her correspondence, at breakfast, with lively eyes, and scream out interesting passages in a joyous voice at the deaf old lady, prefacing each extract by the warning shout, "Solomon says!" She had the trick of firing off Solomon's utterances also upon strangers, astonishing them easily by the unfamiliar text and the unexpectedly jocular vein of these quotations. On the day the new curate called for the first time at the cottage, she found occasion to remark, "As Solomon says: 'the engineers that go down to the sea in ships behold the wonders of sailor nature';" when a change in the visitor's countenance made her stop and stare.	She would run over her correspondence, at breakfast, with lively eyes, and scream out interesting passages in a joyous voice at the deaf old lady, prefacing each extract by the warning shout, "Solomon says!" She had the trick of firing off Solomon's utterances also upon strangers, astonishing them easily by the unfamiliar text and the unexpectedly jocular vein of these quotations. On the day the new curate called for the first time at the cottage, she found occasion to remark, "As Solomon says: 'the engineers that go down to the sea in ships behold the wonders of sailor nature';" when a change in the visitor's countenance made her stop and stare.	false	1391.45	1428.61	13
583_139009_000055_000000	"Solomon. . . .	"Solomon. . . .	true	1429.22	1430.28	18.226671
583_139009_000055_000001	Oh! . . .	Oh! . . .	true	1430.28	1431.11	19.513733
583_139009_000055_000002	Mrs. Rout," stuttered the young man, very red in the face, "I must say . . .	mrs Rout," stuttered the young man, very red in the face, "I must say . . .	true	1431.11	1435.59	16.99017
583_139009_000055_000003	I don't. . . ."	I don't. . . ."	true	1435.59	1436.8	19.766293
583_139009_000056_000000	"He's my husband," she announced in a great shout, throwing herself back in the chair.	"He's my husband," she announced in a great shout, throwing herself back in the chair.	true	1437.56	1441.96	13
583_139009_000056_000001	Perceiving the joke, she laughed immoderately with a handkerchief to her eyes, while he sat wearing a forced smile, and, from his inexperience of jolly women, fully persuaded that she must be deplorably insane.	Perceiving the joke, she laughed immoderately with a handkerchief to her eyes, while he sat wearing a forced smile, and, from his inexperience of jolly women, fully persuaded that she must be deplorably insane.	false	1442.09	1453.96	12
583_139009_000056_000002	They were excellent friends afterwards; for, absolving her from irreverent intention, he came to think she was a very worthy person indeed; and he learned in time to receive without flinching other scraps of Solomon's wisdom.	They were excellent friends afterwards; for, absolving her from irreverent intention, he came to think she was a very worthy person indeed; and he learned in time to receive without flinching other scraps of Solomon's wisdom.	true	1454.33	1466.53	13
583_139009_000057_000000	"For my part," Solomon was reported by his wife to have said once, "give me the dullest ass for a skipper before a rogue.	"For my part," Solomon was reported by his wife to have said once, "give me the dullest ass for a skipper before a rogue.	false	1467.35	1475.23	14
583_139009_000057_000001	There is a way to take a fool; but a rogue is smart and slippery."	There is a way to take a fool; but a rogue is smart and slippery."	true	1475.36	1479.28	11
583_139009_000057_000002	This was an airy generalization drawn from the particular case of Captain MacWhirr's honesty, which, in itself, had the heavy obviousness of a lump of clay. On the other hand, Mr. Jukes, unable to generalize, unmarried, and unengaged, was in the habit of opening his heart after another fashion to an old chum and former shipmate, actually serving as second officer on board an Atlantic liner.	This was an airy generalization drawn from the particular case of Captain MacWhirr's honesty, which, in itself, had the heavy obviousness of a lump of clay. On the other hand, mr Jukes, unable to generalize, unmarried, and unengaged, was in the habit of opening his heart after another fashion to an old chum and former shipmate, actually serving as second officer on board an Atlantic liner.	false	1479.89	1503.76	13
583_139009_000058_000000	First of all he would insist upon the advantages of the Eastern trade, hinting at its superiority to the Western ocean service.	First of all he would insist upon the advantages of the Eastern trade, hinting at its superiority to the Western ocean service.	true	1504.85	1511.65	13
583_139009_000058_000001	He extolled the sky, the seas, the ships, and the easy life of the Far East.	He extolled the sky, the seas, the ships, and the easy life of the Far East.	true	1511.93	1516.42	12
583_139009_000058_000002	The Nan-Shan, he affirmed, was second to none as a sea-boat.	The Nan Shan, he affirmed, was second to none as a sea boat.	true	1516.64	1520.23	14
583_139009_000059_000000	"We have no brass-bound uniforms, but then we are like brothers here," he wrote.	"We have no brass bound uniforms, but then we are like brothers here," he wrote.	true	1520.6	1525.18	12
583_139009_000059_000001	"We all mess together and live like fighting-cocks. . . .	"We all mess together and live like fighting cocks. . . .	true	1525.43	1527.97	12
583_139009_000059_000002	All the chaps of the black-squad are as decent as they make that kind, and old Sol, the Chief, is a dry stick.	All the chaps of the black squad are as decent as they make that kind, and old Sol, the Chief, is a dry stick.	false	1528.76	1534.9	13
583_139009_000059_000003	We are good friends.	We are good friends.	true	1535.15	1536.43	18.993599
583_139009_000059_000004	As to our old man, you could not find a quieter skipper.	As to our old man, you could not find a quieter skipper.	true	1536.59	1539.85	15.388285
583_139009_000059_000005	Sometimes you would think he hadn't sense enough to see anything wrong.	Sometimes you would think he hadn't sense enough to see anything wrong.	true	1540.04	1543.34	13
583_139009_000059_000006	And yet it isn't that.	And yet it isn't that.	true	1543.34	1544.8	18
583_139009_000059_000007	Can't be.	Can't be.	true	1544.87	1545.82	20
583_139009_000059_000008	He has been in command for a good few years now.	He has been in command for a good few years now.	false	1546.28	1548.79	15
583_139009_000059_000009	He doesn't do anything actually foolish, and gets his ship along all right without worrying anybody.	He doesn't do anything actually foolish, and gets his ship along all right without worrying anybody.	true	1548.83	1553.89	9
583_139009_000059_000010	I believe he hasn't brains enough to enjoy kicking up a row.	I believe he hasn't brains enough to enjoy kicking up a row.	true	1554.2	1557.61	16
583_139009_000059_000011	I don't take advantage of him.	I don't take advantage of him.	false	1557.83	1559.22	14
583_139009_000059_000012	I would scorn it.	I would scorn it.	true	1559.22	1560.31	19
583_139009_000059_000013	Outside the routine of duty he doesn't seem to understand more than half of what you tell him.	Outside the routine of duty he doesn't seem to understand more than half of what you tell him.	true	1560.56	1565.14	11
583_139009_000059_000014	We get a laugh out of this at times; but it is dull, too, to be with a man like this--in the long-run.	We get a laugh out of this at times; but it is dull, too, to be with a man like this-in the long run.	true	1565.42	1571.56	16
583_139009_000059_000015	Old Sol says he hasn't much conversation.	Old Sol says he hasn't much conversation.	true	1571.9	1574.47	14
583_139009_000059_000016	Conversation!	Conversation!	true	1574.63	1575.75	18.445944
583_139009_000059_000017	O Lord!	O Lord!	false	1575.75	1576.74	8
583_139009_000059_000018	He never talks.	He never talks.	true	1576.74	1577.98	14
583_139009_000059_000019	The other day I had been yarning under the bridge with one of the engineers, and he must have heard us.	The other day I had been yarning under the bridge with one of the engineers, and he must have heard us.	true	1578.38	1583.5	13
583_139009_000059_000020	When I came up to take my watch, he steps out of the chart-room and has a good look all round, peeps over at the sidelights, glances at the compass, squints upward at the stars.	When I came up to take my watch, he steps out of the chart room and has a good look all round, peeps over at the sidelights, glances at the compass, squints upward at the stars.	false	1583.84	1593.19	16
583_139009_000059_000021	That's his regular performance.	That's his regular performance.	true	1593.2	1594.9	16
583_139009_000059_000022	By-and-by he says: 'Was that you talking just now in the port alleyway?' 'Yes, sir.' 'With the third engineer?' 'Yes, sir.' He walks off to starboard, and sits under the dodger on a little campstool of his, and for half an hour perhaps he makes no sound, except that I heard him sneeze once.	By and by he says: 'Was that you talking just now in the port alleyway?' 'Yes, sir.' 'With the third engineer?' 'Yes, sir.' He walks off to starboard, and sits under the dodger on a little campstool of his, and for half an hour perhaps he makes no sound, except that I heard him sneeze once.	true	1595.24	1613.53	17
583_139009_000059_000023	Then after a while I hear him getting up over there, and he strolls across to port, where I was.	Then after a while I hear him getting up over there, and he strolls across to port, where I was.	true	1613.75	1619.38	14
583_139009_000059_000024	'I can't understand what you can find to talk about,' says he.	'I can't understand what you can find to talk about,' says he.	true	1619.93	1623.49	16
583_139009_000059_000025	'Two solid hours.	'Two solid hours.	true	1623.56	1625.17	14
583_139009_000059_000026	I am not blaming you.	I am not blaming you.	true	1625.17	1626.49	15
583_139009_000059_000027	I see people ashore at it all day long, and then in the evening they sit down and keep at it over the drinks.	I see people ashore at it all day long, and then in the evening they sit down and keep at it over the drinks.	true	1626.65	1633.24	17
583_139009_000059_000028	Must be saying the same things over and over again.	Must be saying the same things over and over again.	true	1633.76	1636.23	13
583_139009_000059_000029	I can't understand.'	I can't understand.'	true	1636.23	1637.74	17
583_139009_000060_000000	"Did you ever hear anything like that?	"Did you ever hear anything like that?	true	1638.2	1640.14	13
583_139009_000060_000001	And he was so patient about it. It made me quite sorry for him.	And he was so patient about it. It made me quite sorry for him.	true	1640.15	1644	12
583_139009_000060_000002	But he is exasperating, too, sometimes. Of course one would not do anything to vex him even if it were worth while.	But he is exasperating, too, sometimes. Of course one would not do anything to vex him even if it were worth while.	true	1644	1650.9	11
583_139009_000060_000003	But it isn't.	But it isn't.	true	1650.9	1651.84	20.952728
583_139009_000060_000004	He's so jolly innocent that if you were to put your thumb to your nose and wave your fingers at him he would only wonder gravely to himself what got into you.	He's so jolly innocent that if you were to put your thumb to your nose and wave your fingers at him he would only wonder gravely to himself what got into you.	false	1651.94	1659.39	11
583_139009_000060_000005	He told me once quite simply that he found it very difficult to make out what made people always act so queerly.	He told me once quite simply that he found it very difficult to make out what made people always act so queerly.	false	1659.39	1665.79	16.62378
583_139009_000060_000006	He's too dense to trouble about, and that's the truth."	He's too dense to trouble about, and that's the truth."	true	1666.13	1669.09	15
583_139009_000061_000000	Thus wrote Mr. Jukes to his chum in the Western ocean trade, out of the fulness of his heart and the liveliness of his fancy.	Thus wrote mr Jukes to his chum in the Western ocean trade, out of the fulness of his heart and the liveliness of his fancy.	false	1669.79	1676.65	13
583_139009_000062_000000	He had expressed his honest opinion.	He had expressed his honest opinion.	true	1677.26	1679.29	17
583_139009_000062_000001	It was not worthwhile trying to impress a man of that sort.	It was not worthwhile trying to impress a man of that sort.	true	1679.51	1682.89	12
583_139009_000062_000002	If the world had been full of such men, life would have probably appeared to Jukes an unentertaining and unprofitable business.	If the world had been full of such men, life would have probably appeared to Jukes an unentertaining and unprofitable business.	true	1683.11	1689.85	12
583_139009_000062_000003	He was not alone in his opinion.	He was not alone in his opinion.	true	1690.31	1692.19	12
583_139009_000062_000004	The sea itself, as if sharing Mr. Jukes' good-natured forbearance, had never put itself out to startle the silent man, who seldom looked up, and wandered innocently over the waters with the only visible purpose of getting food, raiment, and house-room for three people ashore.	The sea itself, as if sharing mr Jukes' good-natured forbearance, had never put itself out to startle the silent man, who seldom looked up, and wandered innocently over the waters with the only visible purpose of getting food, raiment, and house room for three people ashore.	true	1692.83	1708	14
583_139009_000062_000005	Dirty weather he had known, of course.	Dirty weather he had known, of course.	true	1709.27	1711.42	17
583_139009_000062_000006	He had been made wet, uncomfortable, tired in the usual way, felt at the time and presently forgotten.	He had been made wet, uncomfortable, tired in the usual way, felt at the time and presently forgotten.	true	1712	1718.71	17
583_139009_000062_000007	So that upon the whole he had been justified in reporting fine weather at home.	So that upon the whole he had been justified in reporting fine weather at home.	true	1719.38	1723.42	14
583_139009_000062_000008	But he had never been given a glimpse of immeasurable strength and of immoderate wrath, the wrath that passes exhausted but never appeased--the wrath and fury of the passionate sea.	But he had never been given a glimpse of immeasurable strength and of immoderate wrath, the wrath that passes exhausted but never appeased-the wrath and fury of the passionate sea.	true	1724.18	1736.26	16
583_139009_000062_000009	He knew it existed, as we know that crime and abominations exist; he had heard of it as a peaceable citizen in a town hears of battles, famines, and floods, and yet knows nothing of what these things mean--though, indeed, he may have been mixed up in a street row, have gone without his dinner once, or been soaked to the skin in a shower.	He knew it existed, as we know that crime and abominations exist; he had heard of it as a peaceable citizen in a town hears of battles, famines, and floods, and yet knows nothing of what these things mean-though, indeed, he may have been mixed up in a street row, have gone without his dinner once, or been soaked to the skin in a shower.	true	1736.78	1757.23	14
583_139009_000062_000010	Captain MacWhirr had sailed over the surface of the oceans as some men go skimming over the years of existence to sink gently into a placid grave, ignorant of life to the last, without ever having been made to see all it may contain of perfidy, of violence, and of terror. There are on sea and land such men thus fortunate--or thus disdained by destiny or by the sea.	Captain MacWhirr had sailed over the surface of the oceans as some men go skimming over the years of existence to sink gently into a placid grave, ignorant of life to the last, without ever having been made to see all it may contain of perfidy, of violence, and of terror. There are on sea and land such men thus fortunate-or thus disdained by destiny or by the sea.	false	1757.48	1791.75	17.198496
