2056_143893_000001_000000	CHAPTER XLV	CHAPTER forty five
2056_143893_000101_000001	"That's what I like him for."	"That's what I like him for."
2056_143893_000102_000000	"Why then is the difficulty so great?"	"Why then is the difficulty so great?"
2056_143893_000103_000002	That's the meaning of his kindness.	That's the meaning of his kindness.
2056_143893_000103_000003	It's as if he said to me: 'I like you very much, but if it doesn't please you I'll never say it again.' I think that's very kind, very noble," Pansy went on with deepening positiveness.	It's as if he said to me: 'I like you very much, but if it doesn't please you I'll never say it again.' I think that's very kind, very noble," Pansy went on with deepening positiveness.
2056_143893_000103_000004	"That is all we've said to each other.	"That is all we've said to each other.
2056_143893_000103_000005	And he doesn't care for me either.	And he doesn't care for me either.
2056_143893_000104_000000	Isabel was touched with wonder at the depths of perception of which this submissive little person was capable; she felt afraid of Pansy's wisdom--began almost to retreat before it.	Isabel was touched with wonder at the depths of perception of which this submissive little person was capable; she felt afraid of Pansy's wisdom-began almost to retreat before it.
2056_143893_000104_000001	"You must tell your father that," she remarked reservedly.	"You must tell your father that," she remarked reservedly.
2056_143893_000105_000000	"I think I'd rather not," Pansy unreservedly answered.	"I think I'd rather not," Pansy unreservedly answered.
2056_143893_000106_000000	"You oughtn't to let him have false hopes."	"You oughtn't to let him have false hopes."
2056_143893_000107_000000	"Perhaps not; but it will be good for me that he should.	"Perhaps not; but it will be good for me that he should.
2056_143893_000107_000001	So long as he believes that Lord Warburton intends anything of the kind you say, papa won't propose any one else.	So long as he believes that Lord Warburton intends anything of the kind you say, papa won't propose any one else.
2056_143893_000107_000002	And that will be an advantage for me," said the child very lucidly.	And that will be an advantage for me," said the child very lucidly.
2056_143893_000108_000000	There was something brilliant in her lucidity, and it made her companion draw a long breath.	There was something brilliant in her lucidity, and it made her companion draw a long breath.
2056_143893_000108_000001	It relieved this friend of a heavy responsibility. Pansy had a sufficient illumination of her own, and Isabel felt that she herself just now had no light to spare from her small stock. Nevertheless it still clung to her that she must be loyal to Osmond, that she was on her honour in dealing with his daughter.	It relieved this friend of a heavy responsibility. Pansy had a sufficient illumination of her own, and Isabel felt that she herself just now had no light to spare from her small stock. Nevertheless it still clung to her that she must be loyal to Osmond, that she was on her honour in dealing with his daughter.
2056_143893_000108_000002	Under the influence of this sentiment she threw out another suggestion before she retired--a suggestion with which it seemed to her that she should have done her utmost.	Under the influence of this sentiment she threw out another suggestion before she retired-a suggestion with which it seemed to her that she should have done her utmost.
2056_143893_000109_000000	"Your father takes for granted at least that you would like to marry a nobleman."	"Your father takes for granted at least that you would like to marry a nobleman."
2056_143893_000110_000000	Pansy stood in the open doorway; she had drawn back the curtain for Isabel to pass.	Pansy stood in the open doorway; she had drawn back the curtain for Isabel to pass.
2056_143893_000110_000001	"I think Mr. Rosier looks like one!" she remarked very gravely.	"I think mr Rosier looks like one!" she remarked very gravely.
