2512_157242_000000_000000	CHAPTER 10.	CHAPTER ten.	false	6.57	25.17	21.010565
2512_157242_000093_000003	And it was she who had screamed, and who, in fact, was still screaming.	And it was she who had screamed, and who, in fact, was still screaming.	true	765.71	769.39	21.543772
2512_157242_000094_000000	'Don't!' cried Jane, 'please don't!	'Don't!' cried Jane, 'please don't!	true	770.15	771.81	20.253796
2512_157242_000094_000001	We won't hurt you.'	We won't hurt you.'	true	771.81	772.84	19
2512_157242_000095_000000	'Where are the rest of your gang?' asked the lady, stopping short in the middle of a scream.	'Where are the rest of your gang?' asked the lady, stopping short in the middle of a scream.	false	773.24	777.1	19.529415
2512_157242_000096_000000	'The others have gone on, on the wishing carpet,' said Jane truthfully.	'The others have gone on, on the wishing carpet,' said Jane truthfully.	true	777.5	780.67	20.367113
2512_157242_000097_000000	'The wishing carpet?' said the lady.	'The wishing carpet?' said the lady.	true	781.07	782.68	21.123512
2512_157242_000098_000000	'Yes,' said Jane, before Robert could say 'You shut up!' 'You must have read about it.	'Yes,' said Jane, before Robert could say 'You shut up!' 'You must have read about it.	true	783.62	787.62	22.256077
2512_157242_000098_000001	The Phoenix is with them.'	The Phoenix is with them.'	true	787.62	788.76	22.073608
2512_157242_000099_000000	Then the lady got up, and picking her way carefully between the piles of clothes she got to the door and through it.	Then the lady got up, and picking her way carefully between the piles of clothes she got to the door and through it.	false	788.76	794.89	21.122375
2512_157242_000099_000001	She shut it behind her, and the two children could hear her calling 'Septimus!	She shut it behind her, and the two children could hear her calling 'Septimus!	true	795.2	798.88	20
2512_157242_000099_000002	Septimus!' in a loud yet frightened way.	Septimus!' in a loud yet frightened way.	false	798.95	801.55	22.822548
2512_157242_000100_000000	'Now,' said Robert quickly; 'I'll drop first.'	'Now,' said Robert quickly; 'I'll drop first.'	true	802.25	804.33	23.469183
2512_157242_000101_000000	He hung by his hands and dropped through the trap-door.	He hung by his hands and dropped through the trap door.	true	804.33	806.71	19
2512_157242_000102_000000	'Now you.	'Now you.	true	807.02	807.63	15.90076
2512_157242_000102_000001	Hang by your hands.	Hang by your hands.	true	807.63	808.53	7
2512_157242_000102_000002	I'll catch you.	I'll catch you.	true	808.53	809.22	23
2512_157242_000102_000003	Oh, there's no time for jaw.	Oh, there's no time for jaw.	false	809.22	810.66	23.539732
2512_157242_000102_000004	Drop, I say.'	Drop, I say.'	true	810.66	811.72	22.64178
2512_157242_000103_000000	Jane dropped.	Jane dropped.	true	811.94	812.95	23.479868
2512_157242_000104_000000	Robert tried to catch her, and even before they had finished the breathless roll among the piles of clothes, which was what his catching ended in, he whispered--	Robert tried to catch her, and even before they had finished the breathless roll among the piles of clothes, which was what his catching ended in, he whispered-	true	813.44	820.5	20.979761
2512_157242_000105_000000	'We'll hide--behind those fenders and things; they'll think we've gone along the roofs.	'We'll hide-behind those fenders and things; they'll think we've gone along the roofs.	false	820.5	824.14	20
2512_157242_000105_000001	Then, when all is calm, we'll creep down the stairs and take our chance.'	Then, when all is calm, we'll creep down the stairs and take our chance.'	true	824.18	827.44	21.302635
2512_157242_000106_000000	They hastily hid.	They hastily hid.	true	827.99	829.18	18.00376
2512_157242_000106_000001	A corner of an iron bedstead stuck into Robert's side, and Jane had only standing room for one foot--but they bore it--and when the lady came back, not with Septimus, but with another lady, they held their breath and their hearts beat thickly.	A corner of an iron bedstead stuck into Robert's side, and Jane had only standing room for one foot-but they bore it-and when the lady came back, not with Septimus, but with another lady, they held their breath and their hearts beat thickly.	true	829.85	842.53	21.716002
2512_157242_000107_000000	'Gone!' said the first lady; 'poor little things--quite mad, my dear--and at large!	'Gone!' said the first lady; 'poor little things-quite mad, my dear-and at large!	false	843.38	847.08	22.774248
2512_157242_000107_000001	We must lock this room and send for the police.'	We must lock this room and send for the police.'	false	847.08	849.52	21.893158
2512_157242_000108_000000	'Let me look out,' said the second lady, who was, if possible, older and thinner and primmer than the first.	'Let me look out,' said the second lady, who was, if possible, older and thinner and primmer than the first.	true	850.13	856.09	21
2512_157242_000108_000001	So the two ladies dragged a box under the trap-door and put another box on the top of it, and then they both climbed up very carefully and put their two trim, tidy heads out of the trap-door to look for the 'mad children'.	So the two ladies dragged a box under the trap door and put another box on the top of it, and then they both climbed up very carefully and put their two trim, tidy heads out of the trap door to look for the 'mad children'.	true	856.58	868	22.518814
2512_157242_000109_000000	'Now,' whispered Robert, getting the bedstead leg out of his side.	'Now,' whispered Robert, getting the bedstead leg out of his side.	true	868.88	871.87	20.02832
2512_157242_000110_000000	They managed to creep out from their hiding-place and out through the door before the two ladies had done looking out of the trap-door on to the empty leads.	They managed to creep out from their hiding place and out through the door before the two ladies had done looking out of the trap door on to the empty leads.	true	872.09	878.77	19
2512_157242_000111_000000	Robert and Jane tiptoed down the stairs--one flight, two flights.	Robert and Jane tiptoed down the stairs-one flight, two flights.	true	880.13	884.23	21.580978
2512_157242_000111_000001	Then they looked over the banisters.	Then they looked over the banisters.	true	884.66	886.3	21.370235
2512_157242_000111_000002	Horror! a servant was coming up with a loaded scuttle.	Horror! a servant was coming up with a loaded scuttle.	true	886.61	889.42	22
2512_157242_000112_000000	The children with one consent crept swiftly through the first open door.	The children with one consent crept swiftly through the first open door.	true	889.94	893.89	21.165949
2512_157242_000113_000000	The room was a study, calm and gentlemanly, with rows of books, a writing table, and a pair of embroidered slippers warming themselves in the fender.	The room was a study, calm and gentlemanly, with rows of books, a writing table, and a pair of embroidered slippers warming themselves in the fender.	false	894.44	902.47	21.369677
2512_157242_000113_000001	The children hid behind the window-curtains.	The children hid behind the window curtains.	true	903.14	905.35	16.564827
2512_157242_000113_000002	As they passed the table they saw on it a missionary-box with its bottom label torn off, open and empty.	As they passed the table they saw on it a missionary box with its bottom label torn off, open and empty.	true	905.72	911.5	21.37747
2512_157242_000114_000000	'Oh, how awful!' whispered Jane.	'Oh, how awful!' whispered Jane.	true	912.23	914.265	20.912886
2512_157242_000114_000001	'We shall never get away alive.'	'We shall never get away alive.'	true	914.265	916.03	15.766738
2512_157242_000115_000000	'Hush!' said Robert, not a moment too soon, for there were steps on the stairs, and next instant the two ladies came into the room.	'Hush!' said Robert, not a moment too soon, for there were steps on the stairs, and next instant the two ladies came into the room.	false	916.43	923.11	18
2512_157242_000115_000001	They did not see the children, but they saw the empty missionary box.	They did not see the children, but they saw the empty missionary box.	true	924.14	927.31	19
2512_157242_000116_000000	'I knew it,' said one.	'I knew it,' said one.	true	927.71	928.92	24
2512_157242_000116_000001	'Selina, it WAS a gang.	'Selina, it WAS a gang.	true	928.92	930.39	15
2512_157242_000116_000002	I was certain of it from the first.	I was certain of it from the first.	true	930.39	931.9	22.457253
2512_157242_000116_000003	The children were not mad.	The children were not mad.	true	931.91	933.255	22.10352
2512_157242_000116_000004	They were sent to distract our attention while their confederates robbed the house.'	They were sent to distract our attention while their confederates robbed the house.'	true	933.255	936.52	22.119297
2512_157242_000117_000000	'I am afraid you are right,' said Selina; 'and WHERE ARE THEY NOW?'	'I am afraid you are right,' said Selina; 'and WHERE ARE THEY NOW?'	true	937.43	940.57	21.368593
2512_157242_000118_000000	'Downstairs, no doubt, collecting the silver milk-jug and sugar-basin and the punch-ladle that was Uncle Joe's, and Aunt Jerusha's teaspoons. I shall go down.'	'Downstairs, no doubt, collecting the silver milk jug and sugar basin and the punch ladle that was Uncle Joe's, and Aunt Jerusha's teaspoons. I shall go down.'	true	941.54	949.24	21
2512_157242_000119_000000	'Oh, don't be so rash and heroic,' said Selina. 'Amelia, we must call the police from the window.	'Oh, don't be so rash and heroic,' said Selina. 'Amelia, we must call the police from the window.	false	949.73	954.675	21.18373
2512_157242_000119_000001	Lock the door.	Lock the door.	true	954.675	955.48	25.165993
2512_157242_000119_000002	I WILL--I will--'	I WILL-I will-'	true	955.67	957.3	26.748634
2512_157242_000120_000000	The words ended in a yell as Selina, rushing to the window, came face to face with the hidden children.	The words ended in a yell as Selina, rushing to the window, came face to face with the hidden children.	false	957.3	962.41	20.909096
2512_157242_000121_000000	'Oh, don't!' said Jane; 'how can you be so unkind?	'Oh, don't!' said Jane; 'how can you be so unkind?	true	962.72	965.68	21
2512_157242_000121_000001	We AREN'T burglars, and we haven't any gang, and we didn't open your missionary-box. We opened our own once, but we didn't have to use the money, so our consciences made us put it back and--DON'T!	We AREN'T burglars, and we haven't any gang, and we didn't open your missionary box. We opened our own once, but we didn't have to use the money, so our consciences made us put it back and-DON'T!	true	965.69	975.06	20
2512_157242_000121_000002	Oh, I wish you wouldn't--'	Oh, I wish you wouldn't-'	false	975.06	976.36	18.622738
2512_157242_000122_000000	Miss Selina had seized Jane and Miss Amelia captured Robert.	Miss Selina had seized Jane and Miss Amelia captured Robert.	true	976.88	980.41	19
2512_157242_000122_000001	The children found themselves held fast by strong, slim hands, pink at the wrists and white at the knuckles.	The children found themselves held fast by strong, slim hands, pink at the wrists and white at the knuckles.	false	980.6	986.05	23.488615
2512_157242_000123_000000	'We've got YOU, at any rate,' said Miss Amelia. 'Selina, your captive is smaller than mine.	'We've got YOU, at any rate,' said Miss Amelia. 'Selina, your captive is smaller than mine.	true	986.75	991.15	18
2512_157242_000123_000001	You open the window at once and call "Murder!" as loud as you can.	You open the window at once and call "Murder!" as loud as you can.	true	991.25	994.9	20.097761
2512_157242_000124_000000	Selina obeyed; but when she had opened the window, instead of calling 'Murder!' she called 'Septimus!' because at that very moment she saw her nephew coming in at the gate.	Selina obeyed; but when she had opened the window, instead of calling 'Murder!' she called 'Septimus!' because at that very moment she saw her nephew coming in at the gate.	true	995.36	1004.11	21.325716
2512_157242_000125_000000	In another minute he had let himself in with his latch-key and had mounted the stairs.	In another minute he had let himself in with his latch key and had mounted the stairs.	true	1004.54	1008.4	19
2512_157242_000125_000001	As he came into the room Jane and Robert each uttered a shriek of joy so loud and so sudden that the ladies leaped with surprise, and nearly let them go.	As he came into the room Jane and Robert each uttered a shriek of joy so loud and so sudden that the ladies leaped with surprise, and nearly let them go.	true	1008.98	1017.28	20
2512_157242_000126_000000	'It's our own clergyman,' cried Jane.	'It's our own clergyman,' cried Jane.	true	1017.8	1020.13	22.44213
2512_157242_000127_000000	'Don't you remember us?' asked Robert. 'You married our burglar for us--don't you remember?'	'Don't you remember us?' asked Robert. 'You married our burglar for us-don't you remember?'	true	1020.23	1024.69	21.391954
2512_157242_000128_000000	'I KNEW it was a gang,' said Amelia. 'Septimus, these abandoned children are members of a desperate burgling gang who are robbing the house.	'I KNEW it was a gang,' said Amelia. 'Septimus, these abandoned children are members of a desperate burgling gang who are robbing the house.	true	1025.03	1032.07	20
2512_157242_000128_000001	They have already forced the missionary-box and purloined its contents.'	They have already forced the missionary box and purloined its contents.'	true	1032.2	1035.58	22.07837
2512_157242_000129_000000	The Reverend Septimus passed his hand wearily over his brow.	The Reverend Septimus passed his hand wearily over his brow.	true	1036.82	1040.17	21.693779
2512_157242_000130_000000	'I feel a little faint,' he said, 'running upstairs so quickly.'	'I feel a little faint,' he said, 'running upstairs so quickly.'	false	1040.51	1043.47	21.218285
2512_157242_000131_000000	'We never touched the beastly box,' said Robert.	'We never touched the beastly box,' said Robert.	true	1043.81	1046.28	24.38489
2512_157242_000132_000000	'Then your confederates did,' said Miss Selina.	'Then your confederates did,' said Miss Selina.	true	1046.28	1049.17	24.246733
2512_157242_000133_000000	'No, no,' said the curate, hastily.	'No, no,' said the curate, hastily.	true	1049.54	1051.5	21.180305
2512_157242_000133_000001	'_I_ opened the box myself. This morning I found I had not enough small change for the Mothers' Independent Unity Measles and Croup Insurance payments.	'underscore I underscore opened the box myself. This morning I found I had not enough small change for the Mothers' Independent Unity Measles and Croup Insurance payments.	false	1051.5	1058.61	21
2512_157242_000133_000002	I suppose this is NOT a dream, is it?'	I suppose this is NOT a dream, is it?'	false	1058.61	1061.11	18.685715
2512_157242_000134_000000	'Dream?	'Dream?	true	1061.87	1062.63	26.980503
2512_157242_000134_000001	No, indeed.	No, indeed.	true	1062.63	1063.44	18
2512_157242_000134_000002	Search the house.	Search the house.	true	1063.44	1064.23	23.424034
2512_157242_000134_000003	I insist upon it.'	I insist upon it.'	true	1064.23	1065.49	22.787987
2512_157242_000135_000000	The curate, still pale and trembling, searched the house, which, of course, was blamelessly free of burglars.	The curate, still pale and trembling, searched the house, which, of course, was blamelessly free of burglars.	true	1066.16	1071.7	21.980078
2512_157242_000136_000000	When he came back he sank wearily into his chair.	When he came back he sank wearily into his chair.	false	1072.28	1075	21.77596
2512_157242_000137_000000	'Aren't you going to let us go?' asked Robert, with furious indignation, for there is something in being held by a strong lady that sets the blood of a boy boiling in his veins with anger and despair.	'Aren't you going to let us go?' asked Robert, with furious indignation, for there is something in being held by a strong lady that sets the blood of a boy boiling in his veins with anger and despair.	true	1075.55	1086.1	20.22868
2512_157242_000137_000001	'We've never done anything to you.	'We've never done anything to you.	true	1086.35	1087.98	17
2512_157242_000137_000002	It's all the carpet.	It's all the carpet.	true	1087.98	1088.85	16
2512_157242_000137_000003	It dropped us on the leads. WE couldn't help it.	It dropped us on the leads. WE couldn't help it.	false	1088.85	1091.02	22.81479
2512_157242_000137_000004	You know how it carried you over to the island, and you had to marry the burglar to the cook.'	You know how it carried you over to the island, and you had to marry the burglar to the cook.'	true	1091.06	1094.86	18.641443
2512_157242_000138_000000	'Oh, my head!' said the curate.	'Oh, my head!' said the curate.	true	1095.14	1096.99	20.787735
2512_157242_000139_000000	'Never mind your head just now,' said Robert; 'try to be honest and honourable, and do your duty in that state of life!'	'Never mind your head just now,' said Robert; 'try to be honest and honourable, and do your duty in that state of life!'	false	1097.36	1102.69	19.791395
2512_157242_000140_000000	'This is a judgement on me for something, I suppose,' said the Reverend Septimus, wearily, 'but I really cannot at the moment remember what.'	'This is a judgement on me for something, I suppose,' said the Reverend Septimus, wearily, 'but I really cannot at the moment remember what.'	true	1103.57	1110.16	22.919317
2512_157242_000141_000000	'Send for the police,' said Miss Selina.	'Send for the police,' said Miss Selina.	true	1110.5	1112.36	21.052195
2512_157242_000142_000000	'Send for a doctor,' said the curate.	'Send for a doctor,' said the curate.	true	1112.36	1114.21	23.273243
2512_157242_000143_000000	'Do you think they ARE mad, then,' said Miss Amelia.	'Do you think they ARE mad, then,' said Miss Amelia.	true	1114.7	1117.48	18.747503
2512_157242_000144_000000	'I think I am,' said the curate.	'I think I am,' said the curate.	true	1117.73	1119.91	20.820765
2512_157242_000145_000000	Jane had been crying ever since her capture.	Jane had been crying ever since her capture.	true	1120.61	1123	20.8981
2512_157242_000145_000001	Now she said-- 'You aren't now, but perhaps you will be, if--And it would serve you jolly well right, too.'	Now she said- 'You aren't now, but perhaps you will be, if-And it would serve you jolly well right, too.'	true	1123.16	1129.51	20.205616
2512_157242_000146_000000	'Aunt Selina,' said the curate, 'and Aunt Amelia, believe me, this is only an insane dream.	'Aunt Selina,' said the curate, 'and Aunt Amelia, believe me, this is only an insane dream.	true	1130.18	1135	16
2512_157242_000146_000001	You will realize it soon.	You will realize it soon.	true	1135.07	1136.36	22.0758
2512_157242_000146_000002	It has happened to me before.	It has happened to me before.	true	1136.36	1137.82	21.34987
2512_157242_000146_000003	But do not let us be unjust, even in a dream.	But do not let us be unjust, even in a dream.	true	1138.16	1140.59	17
2512_157242_000146_000004	Do not hold the children; they have done no harm.	Do not hold the children; they have done no harm.	true	1140.59	1142.89	18
2512_157242_000146_000005	As I said before, it was I who opened the box.'	As I said before, it was I who opened the box.'	true	1143.02	1145.59	20.077023
2512_157242_000147_000000	The strong, bony hands unwillingly loosened their grasp.	The strong, bony hands unwillingly loosened their grasp.	true	1146.29	1149.7	16.6832
2512_157242_000147_000001	Robert shook himself and stood in sulky resentment.	Robert shook himself and stood in sulky resentment.	true	1149.89	1153	20.860666
2512_157242_000147_000002	But Jane ran to the curate and embraced him so suddenly that he had not time to defend himself.	But Jane ran to the curate and embraced him so suddenly that he had not time to defend himself.	false	1153.13	1158.04	20
2512_157242_000148_000000	'You're a dear,' she said.	'You're a dear,' she said.	true	1158.98	1160.44	20.41317
2512_157242_000148_000001	'It IS like a dream just at first, but you get used to it.	'It IS like a dream just at first, but you get used to it.	true	1160.45	1163.41	20.875984
2512_157242_000148_000002	Now DO let us go.	Now DO let us go.	true	1163.42	1164.57	22
2512_157242_000148_000003	There's a good, kind, honourable clergyman.'	There's a good, kind, honourable clergyman.'	true	1164.57	1166.53	20
2512_157242_000149_000000	'I don't know,' said the Reverend Septimus; 'it's a difficult problem. It is such a very unusual dream.	'I don't know,' said the Reverend Septimus; 'it's a difficult problem. It is such a very unusual dream.	true	1167.32	1172.87	20.951168
2512_157242_000149_000001	Perhaps it's only a sort of other life--quite real enough for you to be mad in.	Perhaps it's only a sort of other life-quite real enough for you to be mad in.	true	1172.87	1176.79	20
2512_157242_000149_000002	And if you're mad, there might be a dream-asylum where you'd be kindly treated, and in time restored, cured, to your sorrowing relatives.	And if you're mad, there might be a dream asylum where you'd be kindly treated, and in time restored, cured, to your sorrowing relatives.	true	1177.16	1183.54	19.365288
2512_157242_000149_000003	It is very hard to see your duty plainly, even in ordinary life, and these dream-circumstances are so complicated--'	It is very hard to see your duty plainly, even in ordinary life, and these dream circumstances are so complicated-'	true	1184	1190.95	19.558327
2512_157242_000150_000000	'If it's a dream,' said Robert, 'you will wake up directly, and then you'd be sorry if you'd sent us into a dream-asylum, because you might never get into the same dream again and let us out, and so we might stay there for ever, and then what about our sorrowing relatives who aren't in the dreams at all?'	'If it's a dream,' said Robert, 'you will wake up directly, and then you'd be sorry if you'd sent us into a dream asylum, because you might never get into the same dream again and let us out, and so we might stay there for ever, and then what about our sorrowing relatives who aren't in the dreams at all?'	true	1190.96	1203.82	18
2512_157242_000151_000000	But all the curate could now say was, 'Oh, my head!'	But all the curate could now say was, 'Oh, my head!'	true	1204.94	1208.32	22.931593
2512_157242_000152_000000	And Jane and Robert felt quite ill with helplessness and hopelessness.	And Jane and Robert felt quite ill with helplessness and hopelessness.	true	1208.72	1212.73	22.953295
2512_157242_000152_000001	A really conscientious curate is a very difficult thing to manage.	A really conscientious curate is a very difficult thing to manage.	true	1212.98	1216.66	21.714159
2512_157242_000153_000000	And then, just as the hopelessness and the helplessness were getting to be almost more than they could bear, the two children suddenly felt that extraordinary shrinking feeling that you always have when you are just going to vanish.	And then, just as the hopelessness and the helplessness were getting to be almost more than they could bear, the two children suddenly felt that extraordinary shrinking feeling that you always have when you are just going to vanish.	true	1217.21	1228.39	19.608324
2512_157242_000153_000001	And the next moment they had vanished, and the Reverend Septimus was left alone with his aunts.	And the next moment they had vanished, and the Reverend Septimus was left alone with his aunts.	true	1228.7	1233.01	19
2512_157242_000154_000000	'I knew it was a dream,' he cried, wildly.	'I knew it was a dream,' he cried, wildly.	true	1233.74	1235.88	18.904087
2512_157242_000154_000001	'I've had something like it before.	'I've had something like it before.	true	1235.88	1237.54	22.131044
2512_157242_000154_000002	Did you dream it too, Aunt Selina, and you, Aunt Amelia?	Did you dream it too, Aunt Selina, and you, Aunt Amelia?	true	1237.64	1240.2	11
2512_157242_000154_000003	I dreamed that you did, you know.'	I dreamed that you did, you know.'	true	1240.2	1241.47	18.495584
2512_157242_000155_000000	Aunt Selina looked at him and then at Aunt Amelia.	Aunt Selina looked at him and then at Aunt Amelia.	false	1241.96	1244.56	16
2512_157242_000155_000001	Then she said boldly--	Then she said boldly-	true	1244.72	1245.97	20.246641
2512_157242_000156_000000	'What do you mean?	'What do you mean?	true	1246.13	1247.12	17.801119
2512_157242_000156_000001	WE haven't been dreaming anything.	WE haven't been dreaming anything.	true	1247.12	1248.76	16
2512_157242_000156_000002	You must have dropped off in your chair.'	You must have dropped off in your chair.'	true	1248.86	1250.62	23.134417
2512_157242_000157_000000	The curate heaved a sigh of relief.	The curate heaved a sigh of relief.	true	1251.53	1253.65	20.09338
2512_157242_000158_000000	'Oh, if it's only _I_,' he said; 'if we'd all dreamed it I could never have believed it, never!'	'Oh, if it's only underscore I underscore,' he said; 'if we'd all dreamed it I could never have believed it, never!'	false	1253.96	1259.17	20.77897
2512_157242_000159_000000	Afterwards Aunt Selina said to the other aunt--	Afterwards Aunt Selina said to the other aunt-	false	1259.93	1262.82	20.82251
2512_157242_000160_000000	'Yes, I know it was an untruth, and I shall doubtless be punished for it in due course.	'Yes, I know it was an untruth, and I shall doubtless be punished for it in due course.	true	1262.82	1266.76	21
2512_157242_000160_000001	But I could see the poor dear fellow's brain giving way before my very eyes.	But I could see the poor dear fellow's brain giving way before my very eyes.	true	1267.13	1271.05	18
2512_157242_000160_000002	He couldn't have stood the strain of three dreams. It WAS odd, wasn't it?	He couldn't have stood the strain of three dreams. It WAS odd, wasn't it?	true	1271.21	1275.1	20.634243
2512_157242_000160_000003	All three of us dreaming the same thing at the same moment.	All three of us dreaming the same thing at the same moment.	true	1275.32	1277.92	19.356735
2512_157242_000160_000004	We must never tell dear Seppy.	We must never tell dear Seppy.	true	1278.17	1279.63	21
2512_157242_000160_000005	But I shall send an account of it to the Psychical Society, with stars instead of names, you know.'	But I shall send an account of it to the Psychical Society, with stars instead of names, you know.'	true	1279.63	1284.49	20.82704
2512_157242_000161_000000	And she did.	And she did.	true	1284.71	1285.66	19.965078
2512_157242_000161_000001	And you can read all about it in one of the society's fat Blue-books.	And you can read all about it in one of the society's fat Blue books.	true	1285.97	1289.08	18.976725
2512_157242_000162_000000	Of course, you understand what had happened?	Of course, you understand what had happened?	true	1289.54	1291.48	20.510868
2512_157242_000162_000001	The intelligent Phoenix had simply gone straight off to the Psammead, and had wished Robert and Jane at home.	The intelligent Phoenix had simply gone straight off to the Psammead, and had wished Robert and Jane at home.	false	1291.58	1297.39	20.74337
2512_157242_000162_000002	And, of course, they were at home at once.	And, of course, they were at home at once.	true	1297.39	1299.34	21.02213
2512_157242_000162_000003	Cyril and Anthea had not half finished mending the carpet.	Cyril and Anthea had not half finished mending the carpet.	true	1299.68	1303	22.051367
2512_157242_000163_000000	When the joyful emotions of reunion had calmed down a little, they all went out and spent what was left of Uncle Reginald's sovereign in presents for mother.	When the joyful emotions of reunion had calmed down a little, they all went out and spent what was left of Uncle Reginald's sovereign in presents for mother.	true	1303.43	1311.19	20.780293
2512_157242_000163_000001	They bought her a pink silk handkerchief, a pair of blue and white vases, a bottle of scent, a packet of Christmas candles, and a cake of soap shaped and coloured like a tomato, and one that was so like an orange that almost any one you had given it to would have tried to peel it--if they liked oranges, of course.	They bought her a pink silk handkerchief, a pair of blue and white vases, a bottle of scent, a packet of Christmas candles, and a cake of soap shaped and coloured like a tomato, and one that was so like an orange that almost any one you had given it to would have tried to peel it-if they liked oranges, of course.	true	1311.62	1327	22.07336
2512_157242_000163_000002	Also they bought a cake with icing on, and the rest of the money they spent on flowers to put in the vases.	Also they bought a cake with icing on, and the rest of the money they spent on flowers to put in the vases.	true	1327.49	1332.76	20.50444
2512_157242_000164_000000	When they had arranged all the things on a table, with the candles stuck up on a plate ready to light the moment mother's cab was heard, they washed themselves thoroughly and put on tidier clothes.	When they had arranged all the things on a table, with the candles stuck up on a plate ready to light the moment mother's cab was heard, they washed themselves thoroughly and put on tidier clothes.	false	1333.88	1343.32	21.030508
2512_157242_000165_000000	Then Robert said, 'Good old Psammead,' and the others said so too.	Then Robert said, 'Good old Psammead,' and the others said so too.	false	1344.05	1347.82	22.264523
2512_157242_000166_000000	'But, really, it's just as much good old Phoenix,' said Robert. 'Suppose it hadn't thought of getting the wish!'	'But, really, it's just as much good old Phoenix,' said Robert. 'Suppose it hadn't thought of getting the wish!'	true	1349.96	1354.66	21.016445
2512_157242_000167_000000	'Ah!' said the Phoenix, 'it is perhaps fortunate for you that I am such a competent bird.'	'Ah!' said the Phoenix, 'it is perhaps fortunate for you that I am such a competent bird.'	true	1355.42	1359.79	20.91613
2512_157242_000168_000000	'There's mother's cab,' cried Anthea, and the Phoenix hid and they lighted the candles, and next moment mother was home again.	'There's mother's cab,' cried Anthea, and the Phoenix hid and they lighted the candles, and next moment mother was home again.	true	1360.13	1365.67	20
2512_157242_000169_000000	She liked her presents very much, and found their story of Uncle Reginald and the sovereign easy and even pleasant to believe.	She liked her presents very much, and found their story of Uncle Reginald and the sovereign easy and even pleasant to believe.	true	1366.13	1371.88	18
2512_157242_000170_000000	'Good old carpet,' were Cyril's last sleepy words.	'Good old carpet,' were Cyril's last sleepy words.	true	1372.43	1375.36	23.241808
2512_157242_000171_000000	'What there is of it,' said the Phoenix, from the cornice-pole.	'What there is of it,' said the Phoenix, from the cornice pole.	true	1376.18	1379.13	19.991842
2512_157242_000172_000000	CHAPTER 11.	CHAPTER eleven.	false	1379.13	1380.54	-20
2512_157242_000172_000001	THE BEGINNING OF THE END	THE BEGINNING OF THE END	false	1380.54	1383.69	28.12304
2512_157242_000173_000000	'Well, I MUST say,' mother said, looking at the wishing carpet as it lay, all darned and mended and backed with shiny American cloth, on the floor of the nursery--'I MUST say I've never in my life bought such a bad bargain as that carpet.'	'Well, I MUST say,' mother said, looking at the wishing carpet as it lay, all darned and mended and backed with shiny American cloth, on the floor of the nursery-'I MUST say I've never in my life bought such a bad bargain as that carpet.'	false	1383.69	1386.78	19.334097
