3540_163612_000000_000000	'Now you are mine!' said he to the Princess.	'Now you are mine!' said he to the Princess.	false	0	2.07	24.946833
3540_163612_000085_000000	'And no doubt,' went on the Princess, 'one of them is your intended bride?'	'And no doubt,' went on the Princess, 'one of them is your intended bride?'	true	917.87	921.82	27.550503
3540_163612_000086_000000	Still he was silent, and Zizi drew herself up proudly.	Still he was silent, and Zizi drew herself up proudly.	true	922.16	926.23	26.108093
3540_163612_000087_000000	'No,' he said at last.	'No,' he said at last.	true	927.2	928.9	24.375126
3540_163612_000087_000001	'None of the girls of my own country are beautiful in my eyes, and that is why I came to look for a wife in the land of the sun.	'None of the girls of my own country are beautiful in my eyes, and that is why I came to look for a wife in the land of the sun	true	928.91	935.71	24.291668
3540_163612_000087_000002	Was I wrong, my lovely Zizi?'	Was I wrong, my lovely Zizi?'	true	936.11	938.2	20.496256
3540_163612_000088_000000	This time it was Zizi's turn to be silent.	This time it was Zizi's turn to be silent.	true	939.29	942.36	27.459505
3540_163612_000089_000000	IX	IX	false	942.36	946.41	16.424017
3540_163612_000090_000000	Talking in this way they drew near to the castle.	Talking in this way they drew near to the castle.	false	946.41	949.06	25.233612
3540_163612_000090_000001	When they were about four stone-throws from the gates they dismounted in the forest, by the edge of a fountain.	When they were about four stone throws from the gates they dismounted in the forest, by the edge of a fountain.	true	949.34	954.58	23.534534
3540_163612_000091_000000	'My dear Zizi,' said Tubby's son, 'we cannot present ourselves before my father like two common people who have come back from a walk.	'My dear Zizi,' said Tubby's son, 'we cannot present ourselves before my father like two common people who have come back from a walk.	true	955.04	963.16	23.857313
3540_163612_000091_000001	We must enter the castle with more ceremony.	We must enter the castle with more ceremony.	true	963.29	965.86	23.786192
3540_163612_000091_000002	Wait for me here, and in an hour I will return with carriages and horses fit for a princess.'	Wait for me here, and in an hour I will return with carriages and horses fit for a princess.'	true	966.11	971.68	22.31141
3540_163612_000092_000000	'Don't be long,' replied Zizi, and she watched him go with wistful eyes.	'Don't be long,' replied Zizi, and she watched him go with wistful eyes.	true	972.29	976.78	24.022024
3540_163612_000093_000000	When she was left by herself the poor girl began to feel afraid.	When she was left by herself the poor girl began to feel afraid.	true	977.36	981.4	23.30798
3540_163612_000093_000001	She was alone for the first time in her life, and in the middle of a thick forest.	She was alone for the first time in her life, and in the middle of a thick forest.	true	981.5	986.44	23.05571
3540_163612_000094_000000	Suddenly she heard a noise among the trees.	Suddenly she heard a noise among the trees.	true	986.72	989.35	25.176418
3540_163612_000094_000001	Fearing lest it should be a wolf, she hid herself in the hollow trunk of a willow tree which hung over the fountain.	Fearing lest it should be a wolf, she hid herself in the hollow trunk of a willow tree which hung over the fountain.	true	989.57	996.07	25.567097
3540_163612_000094_000002	It was big enough to hold her altogether, but she peeped out, and her pretty head was reflected in the clear water.	It was big enough to hold her altogether, but she peeped out, and her pretty head was reflected in the clear water.	true	996.38	1002.43	25.32332
3540_163612_000095_000000	Then there appeared, not a wolf, but a creature quite as wicked and quite as ugly.	Then there appeared, not a wolf, but a creature quite as wicked and quite as ugly.	true	1003.16	1008.85	23.952642
3540_163612_000095_000001	Let us see who this creature was.	Let us see who this creature was.	true	1009.34	1011.09	20.910053
3540_163612_000096_000000	X	X	false	1011.09	1015.74	13.65532
3540_163612_000097_000000	Not far from the fountain there lived a family of bricklayers.	Not far from the fountain there lived a family of bricklayers.	false	1015.74	1018.96	26.224936
3540_163612_000097_000001	Now, fifteen years before this time, the father in walking through the forest found a little girl, who had been deserted by the gypsies.	Now, fifteen years before this time, the father in walking through the forest found a little girl, who had been deserted by the gypsies.	true	1019.3	1027.27	24.685074
3540_163612_000097_000002	He carried her home to his wife, and the good woman was sorry for her, and brought her up with her own sons.	He carried her home to his wife, and the good woman was sorry for her, and brought her up with her own sons.	true	1027.67	1033.3	25.881975
3540_163612_000097_000003	As she grew older, the little gypsy became much more remarkable for strength and cunning than for sense or beauty. She had a low forehead, a flat nose, thick lips, coarse hair, and a skin not golden like that of Zizi, but the colour of clay.	As she grew older, the little gypsy became much more remarkable for strength and cunning than for sense or beauty. She had a low forehead, a flat nose, thick lips, coarse hair, and a skin not golden like that of Zizi, but the colour of clay.	true	1033.94	1049.8	23.95802
3540_163612_000098_000000	As she was always being teased about her complexion, she got as noisy and cross as a titmouse.	As she was always being teased about her complexion, she got as noisy and cross as a titmouse.	true	1051.13	1056.43	21.77267
3540_163612_000098_000001	So they used to call her Titty.	So they used to call her Titty.	true	1056.56	1058.23	24.566124
3540_163612_000099_000000	Titty was often sent by the bricklayer to fetch water from the fountain, and as she was very proud and lazy the gypsy disliked this very much.	Titty was often sent by the bricklayer to fetch water from the fountain, and as she was very proud and lazy the gypsy disliked this very much.	true	1058.75	1067.41	25.124962
3540_163612_000100_000000	It was she who had frightened Zizi by appearing with her pitcher on her shoulder.	It was she who had frightened Zizi by appearing with her pitcher on her shoulder.	true	1067.6	1071.85	24.709911
3540_163612_000100_000001	Just as she was stooping to fill it, she saw reflected in the water the lovely image of the Princess.	Just as she was stooping to fill it, she saw reflected in the water the lovely image of the Princess.	true	1072.28	1077.4	22.760927
3540_163612_000101_000000	'What a pretty face!' she exclaimed, 'Why, it must be mine!	'What a pretty face!' she exclaimed, 'Why, it must be mine!	true	1077.95	1081.87	27.214401
3540_163612_000101_000001	How in the world can they call me ugly?	How in the world can they call me ugly?	true	1082.06	1084.29	23.919577
3540_163612_000101_000002	I am certainly much too pretty to be their water carrier!'	I am certainly much too pretty to be their water carrier!'	true	1084.29	1087.6	22.76986
3540_163612_000102_000000	So saying, she broke her pitcher and went home.	So saying, she broke her pitcher and went home.	true	1087.85	1090.93	25.531666
3540_163612_000103_000000	'Where is your pitcher?' asked the bricklayer.	'Where is your pitcher?' asked the bricklayer.	true	1092.35	1094.86	27.037622
3540_163612_000104_000000	'Well, what do you expect?	'Well, what do you expect?	true	1095.59	1097.59	24.581219
3540_163612_000104_000001	The pitcher may go many times to the well....'	The pitcher may go many times to the well....'	true	1097.69	1100.2	26.399906
3540_163612_000105_000000	'But at last it is broken.	'But at last it is broken.	true	1100.87	1102.8	25.104668
3540_163612_000105_000001	Well, here is a bucket that will not break.'	Well, here is a bucket that will not break.'	true	1102.8	1105.57	21.90087
3540_163612_000106_000000	The gypsy returned to the fountain, and addressing once more the image of Zizi, she said:	The gypsy returned to the fountain, and addressing once more the image of Zizi, she said:	true	1106.63	1111	20.427767
3540_163612_000107_000000	'No; I don't mean to be a beast of burden any longer.' And she flung the bucket so high in the air that it stuck in the branches of an oak.	'No; I don't mean to be a beast of burden any longer.' And she flung the bucket so high in the air that it stuck in the branches of an oak.	true	1111.28	1120.03	22.834675
3540_163612_000108_000000	'I met a wolf,' she told the bricklayer, 'and I broke the bucket across his nose.'	'I met a wolf,' she told the bricklayer, 'and I broke the bucket across his nose.'	true	1121.18	1126.03	23.808577
3540_163612_000109_000000	The bricklayer asked her no more questions, but took down a broom and gave her such a beating that her pride was humbled a little.	The bricklayer asked her no more questions, but took down a broom and gave her such a beating that her pride was humbled a little.	true	1126.37	1132.6	23.405573
3540_163612_000110_000000	Then he handed to her an old copper milk-can, and said:	Then he handed to her an old copper milk can, and said:	false	1132.91	1136.14	24.102446
3540_163612_000111_000000	'If you don't bring it back full, your bones shall suffer for it.'	'If you don't bring it back full, your bones shall suffer for it.'	false	1136.39	1142.31	24.644115
3540_163612_000112_000000	XI	XI	false	1142.31	1143.9	21.907776
3540_163612_000113_000000	Titty went off rubbing her sides; but this time she did not dare to disobey, and in a very bad temper stooped down over the well.	Titty went off rubbing her sides; but this time she did not dare to disobey, and in a very bad temper stooped down over the well.	false	1143.9	1152.22	23.296616
3540_163612_000113_000001	It was not at all easy to fill the milk-can, which was large and round.	It was not at all easy to fill the milk can, which was large and round.	true	1152.5	1156.6	21.78766
3540_163612_000113_000002	It would not go down into the well, and the gypsy had to try again and again.	It would not go down into the well, and the gypsy had to try again and again.	true	1156.88	1161.52	23.882202
3540_163612_000114_000000	At last her arms grew so tired that when she did manage to get the can properly under the water she had no strength to pull it up, and it rolled to the bottom.	At last her arms grew so tired that when she did manage to get the can properly under the water she had no strength to pull it up, and it rolled to the bottom.	true	1162.07	1171.48	22.438166
3540_163612_000115_000000	On seeing the can disappear, she made such a miserable face that Zizi, who had been watching her all this time, burst into fits of laughter.	On seeing the can disappear, she made such a miserable face that Zizi, who had been watching her all this time, burst into fits of laughter.	true	1172.12	1180.87	23.804714
3540_163612_000116_000000	Titty turned round and perceived the mistake she had made; and she felt so angry that she made up her mind to be revenged at once.	Titty turned round and perceived the mistake she had made; and she felt so angry that she made up her mind to be revenged at once.	true	1181.03	1188.37	23.977282
3540_163612_000117_000000	'What are you doing there, you lovely creature?' she said to Zizi.	'What are you doing there, you lovely creature?' she said to Zizi.	true	1189.31	1192.84	21.099947
3540_163612_000118_000000	'I am waiting for my lover,' Zizi replied; and then, with a simplicity quite natural in a girl who so lately had been a canary, she told all her story.	'I am waiting for my lover,' Zizi replied; and then, with a simplicity quite natural in a girl who so lately had been a canary, she told all her story.	true	1193.39	1202.65	24.022345
3540_163612_000119_000000	The gypsy had often seen the young Prince pass by, with his gun on his shoulder, when he was going after crows.	The gypsy had often seen the young Prince pass by, with his gun on his shoulder, when he was going after crows.	true	1203.26	1209.67	25.183973
3540_163612_000119_000001	She was too ugly and ragged for him ever to have noticed her, but Titty on her side had admired him, though she thought he might well have been a little fatter.	She was too ugly and ragged for him ever to have noticed her, but Titty on her side had admired him, though she thought he might well have been a little fatter.	true	1210.07	1218.37	22.805883
3540_163612_000120_000000	'Dear, dear!' she said to herself.	'Dear, dear!' she said to herself.	true	1219.07	1221.22	22.245836
3540_163612_000120_000001	'So he likes yellow women!	'So he likes yellow women!	true	1221.35	1222.99	23.98474
3540_163612_000120_000002	Why, I am yellow too, and if I could only think of a way----'	Why, I am yellow too, and if I could only think of a way----'	true	1223.27	1228.21	24.961594
3540_163612_000121_000000	It was not long before she did think of it.	It was not long before she did think of it.	true	1228.94	1231.48	24.960207
3540_163612_000122_000000	'What!' cried the sly Titty, 'they are coming with great pomp to fetch you, and you are not afraid to show yourself to so many fine lords and ladies with your hair down like that?	'What!' cried the sly Titty, 'they are coming with great pomp to fetch you, and you are not afraid to show yourself to so many fine lords and ladies with your hair down like that?	false	1232.42	1243	26.280806
3540_163612_000122_000001	Get down at once, my poor child, and let me dress your hair for you!'	Get down at once, my poor child, and let me dress your hair for you!'	true	1243.37	1247.47	22.553587
3540_163612_000123_000000	The innocent Zizi came down at once, and stood by Titty.	The innocent Zizi came down at once, and stood by Titty.	true	1248.29	1251.67	25.717617
3540_163612_000123_000001	The gypsy began to comb her long brown locks, when suddenly she drew a pin from her stays, and, just as the titmouse digs its beak into the heads of linnets and larks, Titty dug the pin into the head of Zizi.	The gypsy began to comb her long brown locks, when suddenly she drew a pin from her stays, and, just as the titmouse digs its beak into the heads of linnets and larks, Titty dug the pin into the head of Zizi.	true	1252.1	1264.66	24.057238
3540_163612_000124_000000	No sooner did Zizi feel the prick of the pin than she became a bird again, and, spreading her wings, she flew away.	No sooner did Zizi feel the prick of the pin than she became a bird again, and, spreading her wings, she flew away.	true	1265.21	1273.09	23.121614
3540_163612_000125_000000	'That was neatly done,' said the gypsy.	'That was neatly done,' said the gypsy.	true	1273.46	1275.55	20.007063
3540_163612_000125_000001	'The Prince will be clever if he finds his bride.' And, arranging her dress, she seated herself on the grass to await Desire.	'The Prince will be clever if he finds his bride.' And, arranging her dress, she seated herself on the grass to await Desire.	false	1275.71	1285.41	22.99404
3540_163612_000126_000000	XII	twelve	true	1285.41	1286.26	27.866684
3540_163612_000127_000000	Meanwhile the Prince was coming as fast as his horse could carry him. He was so impatient that he was always full fifty yards in front of the lords and ladies sent by Tubby to bring back Zizi.	Meanwhile the Prince was coming as fast as his horse could carry him. He was so impatient that he was always full fifty yards in front of the lords and ladies sent by Tubby to bring back Zizi.	true	1287.35	1298.11	24.515305
3540_163612_000128_000000	At the sight of the hideous gypsy he was struck dumb with surprise and horror.	At the sight of the hideous gypsy he was struck dumb with surprise and horror.	true	1299.14	1303.75	27.076633
3540_163612_000129_000000	'Ah me!' said Titty, 'so you don't know your poor Zizi?	'Ah me!' said Titty, 'so you don't know your poor Zizi?	true	1303.85	1307.98	21.882496
3540_163612_000129_000001	While you were away the wicked witch came, and turned me into this.	While you were away the wicked witch came, and turned me into this.	true	1308.29	1312.12	21.03277
3540_163612_000129_000002	But if you only have the courage to marry me I shall get back my beauty.' And she began to cry bitterly.	But if you only have the courage to marry me I shall get back my beauty.' And she began to cry bitterly.	true	1312.64	1318.84	23.388174
3540_163612_000130_000000	Now the good-natured Desire was as soft-hearted as he was brave.	Now the good-natured Desire was as soft hearted as he was brave.	false	1319.18	1323.25	22.857737
3540_163612_000131_000000	'Poor girl,' he thought to himself.	'Poor girl,' he thought to himself.	true	1323.59	1325.86	24.833292
3540_163612_000131_000001	'It is not her fault, after all, that she has grown so ugly, it is mine.	'It is not her fault, after all, that she has grown so ugly, it is mine.	true	1325.87	1330.42	22.03305
3540_163612_000131_000002	Oh! why did I not follow the old man's advice?	Oh! why did I not follow the old man's advice?	true	1330.61	1333.63	20.070799
3540_163612_000131_000003	Why did I leave her alone?	Why did I leave her alone?	true	1333.7	1335.55	20.853569
3540_163612_000131_000004	And besides, it depends on me to break the spell, and I love her too much to let her remain like this.'	And besides, it depends on me to break the spell, and I love her too much to let her remain like this.'	true	1335.56	1342.27	22.535019
3540_163612_000132_000000	So he presented the gypsy to the lords and ladies of the Court, explaining to them the terrible misfortune which had befallen his beautiful bride.	So he presented the gypsy to the lords and ladies of the Court, explaining to them the terrible misfortune which had befallen his beautiful bride.	true	1342.52	1350.84	23.603886
3540_163612_000133_000000	They all pretended to believe it, and the ladies at once put on the false princess the rich dresses they had brought for Zizi.	They all pretended to believe it, and the ladies at once put on the false princess the rich dresses they had brought for Zizi.	true	1350.84	1357.99	25.756334
3540_163612_000134_000000	She was then perched on the top of a magnificent ambling palfrey, and they set forth to the castle.	She was then perched on the top of a magnificent ambling palfrey, and they set forth to the castle.	true	1358.75	1363.99	27.195518
3540_163612_000135_000000	But unluckily the rich dress and jewels only made Titty look uglier still, and Desire could not help feeling hot and uncomfortable when he made his entry with her into the city.	But unluckily the rich dress and jewels only made Titty look uglier still, and Desire could not help feeling hot and uncomfortable when he made his entry with her into the city.	false	1364	1374.22	24.867281
3540_163612_000136_000000	Bells were pealing, chimes ringing, and the people filling the streets and standing at their doors to watch the procession go by, and they could hardly believe their eyes as they saw what a strange bride their Prince had chosen.	Bells were pealing, chimes ringing, and the people filling the streets and standing at their doors to watch the procession go by, and they could hardly believe their eyes as they saw what a strange bride their Prince had chosen.	true	1374.65	1387.81	22.16132
3540_163612_000137_000000	In order to do her more honour, Tubby came to meet her at the foot of the great marble staircase.	In order to do her more honour, Tubby came to meet her at the foot of the great marble staircase.	true	1388.12	1393.18	24.001072
3540_163612_000137_000001	At the sight of the hideous creature he almost fell backwards.	At the sight of the hideous creature he almost fell backwards.	true	1393.73	1397.29	27.567972
3540_163612_000138_000000	'What!' he cried.	'What!' he cried.	true	1397.57	1399.34	27.273327
3540_163612_000138_000001	'Is this the wonderful beauty?'	'Is this the wonderful beauty?'	true	1399.34	1401.19	25.024778
3540_163612_000139_000000	'Yes, father, it is she,' replied Desire with a sheepish look.	'Yes, father, it is she,' replied Desire with a sheepish look.	false	1401.41	1405.15	24.736416
3540_163612_000139_000001	'But she has been bewitched by a wicked sorceress, and will not regain her beauty until she is my wife.'	'But she has been bewitched by a wicked sorceress, and will not regain her beauty until she is my wife.'	true	1405.61	1411.09	22.820488
3540_163612_000140_000000	'Does she say so?	'Does she say so?	true	1411.94	1413.1	23.855453
3540_163612_000140_000001	Well, if you believe that, you may drink cold water and think it bacon,' the unhappy Tubby answered crossly.	Well, if you believe that, you may drink cold water and think it bacon,' the unhappy Tubby answered crossly.	true	1413.26	1420.06	27.368326
3540_163612_000141_000000	But all the same, as he adored his son, he gave the gypsy his hand and led her to the great hall, where the bridal feast was spread.	But all the same, as he adored his son, he gave the gypsy his hand and led her to the great hall, where the bridal feast was spread.	true	1420.46	1427.71	22.922997
3540_163612_000142_000000	XIII	thirteen	true	1428.86	1429.9	26.922306
3540_163612_000143_000000	The feast was excellent, but Desire hardly touched anything.	The feast was excellent, but Desire hardly touched anything.	false	1430.96	1434.49	22.379004
3540_163612_000143_000001	However, to make up, the other guests ate greedily, and, as for Tubby, nothing ever took away his appetite.	However, to make up, the other guests ate greedily, and, as for Tubby, nothing ever took away his appetite.	true	1434.89	1442.68	26.162176
3540_163612_000144_000000	When the moment arrived to serve the roast goose, there was a pause, and Tubby took the opportunity to lay down his knife and fork for a little. But as the goose gave no sign of appearing, he sent his head carver to find out what was the matter in the kitchen.	When the moment arrived to serve the roast goose, there was a pause, and Tubby took the opportunity to lay down his knife and fork for a little. But as the goose gave no sign of appearing, he sent his head carver to find out what was the matter in the kitchen.	true	1443.38	1457.05	24.337637
3540_163612_000145_000000	Now this was what had happened.	Now this was what had happened.	true	1457.63	1459.3	22.152683
3540_163612_000146_000000	While the goose was turning on the spit, a beautiful little canary hopped on to the sill of the open window.	While the goose was turning on the spit, a beautiful little canary hopped on to the sill of the open window.	false	1460.27	1465.96	23.433397
3540_163612_000147_000000	'Good-morning, my fine cook,' she said in a silvery voice to the man who was watching the roast.	'Good morning, my fine cook,' she said in a silvery voice to the man who was watching the roast.	true	1466.03	1471.06	18.63116
3540_163612_000148_000000	'Good-morning, lovely golden bird,' replied the chief of the scullions, who had been well brought up.	'Good morning, lovely golden bird,' replied the chief of the scullions, who had been well brought up.	true	1472.15	1477.12	23.101599
3540_163612_000149_000000	'I pray that Heaven may send you to sleep,' said the golden bird, 'and that the goose may burn, so that there may be none left for Titty.'	'I pray that Heaven may send you to sleep,' said the golden bird, 'and that the goose may burn, so that there may be none left for Titty.'	true	1478	1485.19	22.795155
3540_163612_000150_000000	And instantly the chief of the scullions fell fast asleep, and the goose was burnt to a cinder.	And instantly the chief of the scullions fell fast asleep, and the goose was burnt to a cinder.	true	1485.92	1491.64	24.086054
3540_163612_000151_000000	When he awoke he was horrified, and gave orders to pluck another goose, to stuff it with chestnuts, and put it on the spit.	When he awoke he was horrified, and gave orders to pluck another goose, to stuff it with chestnuts, and put it on the spit.	false	1492.46	1499.17	25.248644
3540_163612_000152_000000	While it was browning at the fire, Tubby inquired for his goose a second time.	While it was browning at the fire, Tubby inquired for his goose a second time.	true	1499.99	1504.36	25.777315
3540_163612_000152_000001	The Master Cook himself mounted to the hall to make his excuses, and to beg his lord to have a little patience.	The Master Cook himself mounted to the hall to make his excuses, and to beg his lord to have a little patience.	true	1504.7	1510.75	23.600534
3540_163612_000152_000002	Tubby showed his patience by abusing his son.	Tubby showed his patience by abusing his son.	true	1511.24	1513.87	20.322174
3540_163612_000153_000000	'As if it wasn't enough,' he grumbled between his teeth, 'that the boy should pick up a hag without a penny, but the goose must go and burn now.	'As if it wasn't enough,' he grumbled between his teeth, 'that the boy should pick up a hag without a penny, but the goose must go and burn now.	true	1514.3	1522.23	23.932905
3540_163612_000153_000001	It isn't a wife he has brought me, it is Famine herself.'	It isn't a wife he has brought me, it is Famine herself.'	false	1522.23	1525.68	23.834827
3540_163612_000154_000000	XIV	fourteen	false	1525.68	1529.19	16.708483
3540_163612_000155_000000	While the Master Cook was upstairs, the golden bird came again to perch on the window-sill, and called in his clear voice to the head scullion, who was watching the spit:	While the Master Cook was upstairs, the golden bird came again to perch on the window sill, and called in his clear voice to the head scullion, who was watching the spit:	true	1529.19	1537.27	23.815145
3540_163612_000156_000000	'Good-morning, my fine Scullion!'	'Good morning, my fine Scullion!'	true	1537.7	1539.88	26.044992
3540_163612_000157_000000	'Good-morning, lovely Golden Bird,' replied the Scullion, whom the Master Cook had forgotten in his excitement to warn.	'Good morning, lovely Golden Bird,' replied the Scullion, whom the Master Cook had forgotten in his excitement to warn.	true	1540.16	1546.83	23.503021
3540_163612_000158_000000	'I pray Heaven,' went on the Canary, 'that it will send you to sleep, and that the goose may burn, so that there may be none left for Titty.'	'I pray Heaven,' went on the Canary, 'that it will send you to sleep, and that the goose may burn, so that there may be none left for Titty.'	true	1546.83	1553.95	23.899567
3540_163612_000159_000000	And the Scullion fell fast asleep, and when the Master Cook came back he found the goose as black as the chimney.	And the Scullion fell fast asleep, and when the Master Cook came back he found the goose as black as the chimney.	true	1554.92	1560.67	24.078104
3540_163612_000160_000000	In a fury he woke the Scullion, who in order to save himself from blame told the whole story.	In a fury he woke the Scullion, who in order to save himself from blame told the whole story.	true	1561.34	1566.64	23.955618
3540_163612_000161_000000	'That accursed bird,' said the Cook; 'it will end by getting me sent away.	'That accursed bird,' said the Cook; 'it will end by getting me sent away.	true	1566.92	1571.17	22.228397
3540_163612_000161_000001	Come, some of you, and hide yourselves, and if it comes again, catch it and wring its neck.'	Come, some of you, and hide yourselves, and if it comes again, catch it and wring its neck.'	true	1571.51	1576.78	23.512932
3540_163612_000162_000000	He spitted a third goose, lit a huge fire, and seated himself by it.	He spitted a third goose, lit a huge fire, and seated himself by it.	true	1577.9	1582.24	23.173647
3540_163612_000163_000000	The bird appeared a third time, and said: 'Good-morning, my fine Cook.'	The bird appeared a third time, and said: 'Good morning, my fine Cook.'	true	1583.57	1587.58	26.586554
3540_163612_000164_000000	'Good-morning, lovely Golden Bird,' replied the Cook, as if nothing had happened, and at the moment that the Canary was beginning, 'I pray Heaven that it may send,' a scullion who was hidden outside rushed out and shut the shutters.	'Good morning, lovely Golden Bird,' replied the Cook, as if nothing had happened, and at the moment that the Canary was beginning, 'I pray Heaven that it may send,' a scullion who was hidden outside rushed out and shut the shutters.	true	1587.8	1600.42	22.233604
3540_163612_000164_000001	The bird flew into the kitchen.	The bird flew into the kitchen.	true	1600.64	1602.34	25.487219
3540_163612_000164_000002	Then all the cooks and scullions sprang after it, knocking at it with their aprons. At length one of them caught it just at the very moment that Tubby entered the kitchen, waving his sceptre.	Then all the cooks and scullions sprang after it, knocking at it with their aprons. At length one of them caught it just at the very moment that Tubby entered the kitchen, waving his sceptre.	true	1602.5	1613.14	26.450594
3540_163612_000164_000003	He had come to see for himself why the goose had never made its appearance.	He had come to see for himself why the goose had never made its appearance.	true	1613.42	1617.07	25.187649
3540_163612_000165_000000	The Scullion stopped at once, just as he was about to wring the Canary's neck.	The Scullion stopped at once, just as he was about to wring the Canary's neck.	true	1617.68	1621.6	24.41051
3540_163612_000166_000000	XV	fifteen	true	1623.38	1624.39	26.01796
3540_163612_000167_000000	'Will some one be kind enough to tell me the meaning of all this?' cried the Lord of Avesnes.	'Will some one be kind enough to tell me the meaning of all this?' cried the Lord of Avesnes.	false	1625.06	1630.41	23.16535
3540_163612_000168_000000	'Your Excellency, it is the bird,' replied the Scullion, and he placed it in his hand.	'Your Excellency, it is the bird,' replied the Scullion, and he placed it in his hand.	true	1630.41	1635.16	25.684864
3540_163612_000169_000000	'Nonsense!	'Nonsense!	true	1636.07	1636.95	23.583534
3540_163612_000169_000001	What a lovely bird!' said Tubby, and in stroking its head he touched a pin that was sticking between its feathers.	What a lovely bird!' said Tubby, and in stroking its head he touched a pin that was sticking between its feathers.	true	1636.95	1642.57	23.50527
3540_163612_000169_000002	He pulled it out, and lo! the Canary at once became a beautiful girl with a golden skin who jumped lightly to the ground.	He pulled it out, and lo! the Canary at once became a beautiful girl with a golden skin who jumped lightly to the ground.	true	1642.79	1649.53	24.307068
3540_163612_000170_000000	'Gracious! what a pretty girl!' said Tubby.	'Gracious! what a pretty girl!' said Tubby.	true	1649.66	1652.38	26.524033
3540_163612_000171_000000	'Father! it is she! it is Zizi!' exclaimed Desire, who entered at this moment.	'Father! it is she! it is Zizi!' exclaimed Desire, who entered at this moment.	false	1652.6	1657.69	24.388153
3540_163612_000172_000000	And he took her in his arms, crying: 'My darling Zizi, how happy I am to see you once more!'	And he took her in his arms, crying: 'My darling Zizi, how happy I am to see you once more!'	true	1657.7	1663.78	21.489922
3540_163612_000173_000000	'Well, and the other one?' asked Tubby.	'Well, and the other one?' asked Tubby.	true	1664.27	1667.17	27.045837
3540_163612_000174_000000	The other one was stealing quietly to the door.	The other one was stealing quietly to the door.	true	1667.48	1669.99	24.131245
3540_163612_000175_000000	'Stop her! called Tubby.	'Stop her! called Tubby.	true	1670.12	1671.87	28.550953
3540_163612_000175_000001	'We will judge her cause at once.'	'We will judge her cause at once.'	true	1671.87	1673.77	23.480776
3540_163612_000176_000000	And he seated himself solemnly on the oven, and condemned Titty to be burned alive.	And he seated himself solemnly on the oven, and condemned Titty to be burned alive.	true	1674.02	1679.02	22.875938
3540_163612_000176_000001	After which the lords and cooks formed themselves in lines, and Tubby betrothed Desire to Zizi.	After which the lords and cooks formed themselves in lines, and Tubby betrothed Desire to Zizi.	false	1679.03	1684.45	23.240559
3540_163612_000177_000000	XVI	sixteen	true	1685.87	1686.88	22.89945
3540_163612_000178_000000	The marriage took place a few days later.	The marriage took place a few days later.	true	1687.76	1689.94	24.10357
3540_163612_000178_000001	All the boys in the country side were there, armed with wooden swords, and decorated with epaulets made of gilt paper.	All the boys in the country side were there, armed with wooden swords, and decorated with epaulets made of gilt paper.	true	1690.01	1696.84	23.682049
3540_163612_000179_000000	Zizi obtained Titty's pardon, and she was sent back to the brick-fields, followed and hooted at by all the boys.	Zizi obtained Titty's pardon, and she was sent back to the brick fields, followed and hooted at by all the boys.	true	1696.94	1703.02	24.13173
3540_163612_000179_000001	And this is why to-day the country boys always throw stones at a titmouse.	And this is why to day the country boys always throw stones at a titmouse.	true	1703.15	1707.37	23.70825
3540_163612_000180_000000	On the evening of the wedding-day all the larders, cellars, cupboards and tables of the people, whether rich or poor, were loaded as if by enchantment with bread, wine, beer, cakes and tarts, roast larks, and even geese, so that Tubby could not complain any more that his son had married Famine.	On the evening of the wedding day all the larders, cellars, cupboards and tables of the people, whether rich or poor, were loaded as if by enchantment with bread, wine, beer, cakes and tarts, roast larks, and even geese, so that Tubby could not complain any more that his son had married Famine.	true	1707.89	1726.99	24.463987
3540_163612_000181_000000	Since that time there has always been plenty to eat in that country, and since that time, too, you see in the midst of the fair-haired blue-eyed women of Flanders a few beautiful girls, whose eyes are black and whose skins are the colour of gold.	Since that time there has always been plenty to eat in that country, and since that time, too, you see in the midst of the fair haired blue eyed women of Flanders a few beautiful girls, whose eyes are black and whose skins are the colour of gold.	true	1728.44	1742.56	24.115803
3540_163612_000181_000001	They are the descendants of Zizi.(21)	They are the descendants of Zizi.(twenty one)	false	1742.78	1757.07	25.234598
