8266_279363_000000_000000	Miss Woodville stepped aside and smiled wanly.	Miss Woodville stepped aside and smiled wanly.	false	0	2.7	22.863794
8266_279363_000051_000001	He judged that in the hours following a great battle, while there was yet much confusion, he would find his best chance.	He judged that in the hours following a great battle, while there was yet much confusion, he would find his best chance.	true	776.21	782.14	23.037704
8266_279363_000052_000000	He had reckoned rightly.	He had reckoned rightly.	true	782.66	784.03	23.358065
8266_279363_000052_000001	There was a great passing to and fro in Vicksburg, but its lights were dim.	There was a great passing to and fro in Vicksburg, but its lights were dim.	true	784.31	788.05	25.083157
8266_279363_000052_000002	Oil and candles alike were scarce, and there was little but the moon's rays to disclose a town to the eye. The rejoicings over the victory had brought more people than usual into the streets, but the same exultation made them unsuspicious, and Dick glided among them in the dusk, almost without fear.	Oil and candles alike were scarce, and there was little but the moon's rays to disclose a town to the eye. The rejoicings over the victory had brought more people than usual into the streets, but the same exultation made them unsuspicious, and Dick glided among them in the dusk, almost without fear.	false	788.33	803.92	21.749638
8266_279363_000053_000000	He had concluded that "the longest way around was the shortest way through," and he directed his steps toward the river.	He had concluded that "the longest way around was the shortest way through," and he directed his steps toward the river.	true	804.26	810.73	20.7144
8266_279363_000053_000001	He had formed a clear plan at last, and he believed that it would succeed.	He had formed a clear plan at last, and he believed that it would succeed.	true	811.16	814.93	23.702267
8266_279363_000053_000002	Twisting and turning, always keeping in the shadows, he made good progress, descended the bluff, and at last stood behind the ruins of an old warehouse near the stream.	Twisting and turning, always keeping in the shadows, he made good progress, descended the bluff, and at last stood behind the ruins of an old warehouse near the stream.	true	815.15	823.93	22.17323
8266_279363_000054_000000	Southern batteries were not far away from him and he heard the men talking.	Southern batteries were not far away from him and he heard the men talking.	true	824.39	827.74	21.147667
8266_279363_000054_000001	Then, strengthening his resolution, he came from behind the ruins, flung himself almost flat on the ground, and crawled toward the river, pushing in front of him a board, which some Northern gun had shot from the warehouse.	Then, strengthening his resolution, he came from behind the ruins, flung himself almost flat on the ground, and crawled toward the river, pushing in front of him a board, which some Northern gun had shot from the warehouse.	true	828.14	839.77	21.162079
8266_279363_000055_000000	He knew that his task was difficult and dangerous, though in the last resort he could rush to the water and spring in.	He knew that his task was difficult and dangerous, though in the last resort he could rush to the water and spring in.	true	840.53	846.04	23.120663
8266_279363_000055_000001	But he was almost at the edge before any sentinel saw the black shadow passing over the ground.	But he was almost at the edge before any sentinel saw the black shadow passing over the ground.	true	846.53	850.99	22
8266_279363_000056_000000	A hail came, and Dick flattened himself against the ground and lay perfectly still.	A hail came, and Dick flattened himself against the ground and lay perfectly still.	true	851.36	855.67	22.327036
8266_279363_000056_000001	Evidently the sentinel was satisfied that his fancy had been making merry with him, as he did not look further at the shadow, and Dick, after waiting two or three minutes, resumed his slow creeping.	Evidently the sentinel was satisfied that his fancy had been making merry with him, as he did not look further at the shadow, and Dick, after waiting two or three minutes, resumed his slow creeping.	true	856.07	866.29	21.824984
8266_279363_000057_000000	He reached the edge, shoved the board into it, and dropped gently into the water beside it, submerged to the head.	He reached the edge, shoved the board into it, and dropped gently into the water beside it, submerged to the head.	true	866.54	872.59	23.063864
8266_279363_000057_000001	Then, pushing his support before him, he struck out for the middle of the stream.	Then, pushing his support before him, he struck out for the middle of the stream.	false	873.14	887.94	22.097567
