781_127518_000000_000000	"Livesey," returned the squire, "you are always in the right of it.	"Livesey," returned the squire, "you are always in the right of it.	false	4.23	9.36	20
781_127518_000067_000001	And now," he ran on again, aloud, "let's see--Black Dog?	And now," he ran on again, aloud, "let's see-Black Dog?	true	1076.9	1081.39	22.724005
781_127518_000067_000002	No, I don't know the name, not I. Yet I kind of think I've--yes, I've seen the swab.	No, I don't know the name, not i Yet I kind of think I've-yes, I've seen the swab.	true	1081.39	1087.55	21.638313
781_127518_000067_000003	He used to come here with a blind beggar, he used."	He used to come here with a blind beggar, he used."	true	1087.55	1090.54	19.717457
781_127518_000068_000000	"That he did, you may be sure," said I. "I knew that blind man too.	"That he did, you may be sure," said i "I knew that blind man too.	true	1090.64	1094.62	20.663206
781_127518_000068_000001	His name was Pew."	His name was Pew."	true	1094.62	1095.94	21.785013
781_127518_000069_000000	"It was!" cried Silver, now quite excited.	"It was!" cried Silver, now quite excited.	true	1096.46	1098.9	17.606468
781_127518_000069_000001	"Pew!	"Pew!	false	1098.9	1100.25	25.64316
781_127518_000069_000002	That were his name for certain.	That were his name for certain.	true	1100.25	1101.81	17
781_127518_000069_000003	Ah, he looked a shark, he did!	Ah, he looked a shark, he did!	true	1101.81	1103.79	21
781_127518_000069_000004	If we run down this Black Dog, now, there'll be news for Cap'n Trelawney!	If we run down this Black Dog, now, there'll be news for Cap'n Trelawney!	true	1103.79	1108.33	20
781_127518_000069_000005	Ben's a good runner; few seamen run better than Ben.	Ben's a good runner; few seamen run better than Ben.	true	1108.43	1111.85	18.693726
781_127518_000069_000006	He should run him down, hand over hand, by the powers!	He should run him down, hand over hand, by the powers!	true	1111.85	1115.14	20.205376
781_127518_000069_000007	He talked o' keel-hauling, did he?	He talked o' keel hauling, did he?	true	1115.24	1117.01	24.507027
781_127518_000069_000008	I'LL keel-haul him!"	I'LL keel haul him!"	true	1117.01	1119.01	22.555298
781_127518_000070_000000	All the time he was jerking out these phrases he was stumping up and down the tavern on his crutch, slapping tables with his hand, and giving such a show of excitement as would have convinced an Old Bailey judge or a Bow Street runner.	All the time he was jerking out these phrases he was stumping up and down the tavern on his crutch, slapping tables with his hand, and giving such a show of excitement as would have convinced an Old Bailey judge or a Bow Street runner.	true	1119.41	1134.01	21.55103
781_127518_000070_000001	My suspicions had been thoroughly reawakened on finding Black Dog at the Spy-glass, and I watched the cook narrowly.	My suspicions had been thoroughly reawakened on finding Black Dog at the Spy glass, and I watched the cook narrowly.	true	1134.53	1142.17	23.149345
781_127518_000070_000002	But he was too deep, and too ready, and too clever for me, and by the time the two men had come back out of breath and confessed that they had lost the track in a crowd, and been scolded like thieves, I would have gone bail for the innocence of Long John Silver.	But he was too deep, and too ready, and too clever for me, and by the time the two men had come back out of breath and confessed that they had lost the track in a crowd, and been scolded like thieves, I would have gone bail for the innocence of Long john Silver.	false	1142.54	1157.77	22.3103
781_127518_000071_000000	"See here, now, Hawkins," said he, "here's a blessed hard thing on a man like me, now, ain't it?	"See here, now, Hawkins," said he, "here's a blessed hard thing on a man like me, now, ain't it?	false	1158.71	1164.37	20.524294
781_127518_000071_000001	There's Cap'n Trelawney--what's he to think? Here I have this confounded son of a Dutchman sitting in my own house drinking of my own rum!	There's Cap'n Trelawney-what's he to think? Here I have this confounded son of a Dutchman sitting in my own house drinking of my own rum!	true	1164.83	1173.01	21.326973
781_127518_000071_000002	Here you comes and tells me of it plain; and here I let him give us all the slip before my blessed deadlights!	Here you comes and tells me of it plain; and here I let him give us all the slip before my blessed deadlights!	true	1173.41	1180.24	22.005701
781_127518_000071_000003	Now, Hawkins, you do me justice with the cap'n.	Now, Hawkins, you do me justice with the cap'n.	false	1181.3	1184.01	23.201778
781_127518_000071_000004	You're a lad, you are, but you're as smart as paint.	You're a lad, you are, but you're as smart as paint.	false	1184.01	1186.34	18.557108
781_127518_000071_000005	I see that when you first come in.	I see that when you first come in.	true	1186.34	1188.13	22.828535
781_127518_000071_000006	Now, here it is: What could I do, with this old timber I hobble on?	Now, here it is: What could I do, with this old timber I hobble on?	true	1188.35	1192.69	21.236103
781_127518_000071_000007	When I was an A B master mariner I'd have come up alongside of him, hand over hand, and broached him to in a brace of old shakes, I would; but now--"	When I was an A B master mariner I'd have come up alongside of him, hand over hand, and broached him to in a brace of old shakes, I would; but now-"	true	1192.73	1203.07	21.498745
781_127518_000072_000000	And then, all of a sudden, he stopped, and his jaw dropped as though he had remembered something.	And then, all of a sudden, he stopped, and his jaw dropped as though he had remembered something.	true	1203.68	1209.19	21.564888
781_127518_000073_000000	"The score!" he burst out.	"The score!" he burst out.	true	1209.65	1211.46	19.947014
781_127518_000073_000001	"Three goes o' rum!	"Three goes o' rum!	false	1211.46	1212.96	17.10812
781_127518_000073_000002	Why, shiver my timbers, if I hadn't forgotten my score!"	Why, shiver my timbers, if I hadn't forgotten my score!"	true	1212.96	1216.21	19
781_127518_000074_000000	And falling on a bench, he laughed until the tears ran down his cheeks. I could not help joining, and we laughed together, peal after peal, until the tavern rang again.	And falling on a bench, he laughed until the tears ran down his cheeks. I could not help joining, and we laughed together, peal after peal, until the tavern rang again.	true	1216.73	1227.97	22.646484
781_127518_000075_000000	"Why, what a precious old sea-calf I am!" he said at last, wiping his cheeks.	"Why, what a precious old sea calf I am!" he said at last, wiping his cheeks.	true	1228.73	1234.12	21.824457
781_127518_000075_000001	"You and me should get on well, Hawkins, for I'll take my davy I should be rated ship's boy.	"You and me should get on well, Hawkins, for I'll take my davy I should be rated ship's boy.	true	1234.19	1239.88	22.437017
781_127518_000075_000002	But come now, stand by to go about.	But come now, stand by to go about.	true	1239.92	1242.76	21.858541
781_127518_000075_000003	This won't do.	This won't do.	true	1242.83	1244.05	20.300957
781_127518_000075_000004	Dooty is dooty, messmates.	Dooty is dooty, messmates.	true	1244.12	1246.1	18.933361
781_127518_000075_000005	I'll put on my old cockerel hat, and step along of you to Cap'n Trelawney, and report this here affair. For mind you, it's serious, young Hawkins; and neither you nor me's come out of it with what I should make so bold as to call credit.	I'll put on my old cockerel hat, and step along of you to Cap'n Trelawney, and report this here affair. For mind you, it's serious, young Hawkins; and neither you nor me's come out of it with what I should make so bold as to call credit.	true	1246.1	1260.46	23.21491
781_127518_000075_000006	Nor you neither, says you; not smart--none of the pair of us smart.	Nor you neither, says you; not smart-none of the pair of us smart.	true	1260.59	1264.74	20.851023
781_127518_000075_000007	But dash my buttons!	But dash my buttons!	true	1264.74	1266.03	23.1995
781_127518_000075_000008	That was a good un about my score."	That was a good un about my score."	false	1266.03	1268.2	23
781_127518_000076_000000	And he began to laugh again, and that so heartily, that though I did not see the joke as he did, I was again obliged to join him in his mirth.	And he began to laugh again, and that so heartily, that though I did not see the joke as he did, I was again obliged to join him in his mirth.	false	1268.96	1277.86	19.574724
781_127518_000077_000000	On our little walk along the quays, he made himself the most interesting companion, telling me about the different ships that we passed by, their rig, tonnage, and nationality, explaining the work that was going forward--how one was discharging, another taking in cargo, and a third making ready for sea--and every now and then telling me some little anecdote of ships or seamen or repeating a nautical phrase till I had learned it perfectly.	On our little walk along the quays, he made himself the most interesting companion, telling me about the different ships that we passed by, their rig, tonnage, and nationality, explaining the work that was going forward-how one was discharging, another taking in cargo, and a third making ready for sea-and every now and then telling me some little anecdote of ships or seamen or repeating a nautical phrase till I had learned it perfectly.	true	1278.38	1306.84	21.677992
781_127518_000077_000001	I began to see that here was one of the best of possible shipmates.	I began to see that here was one of the best of possible shipmates.	true	1306.97	1311.91	21.768885
781_127518_000078_000000	When we got to the inn, the squire and Dr. Livesey were seated together, finishing a quart of ale with a toast in it, before they should go aboard the schooner on a visit of inspection.	When we got to the inn, the squire and dr Livesey were seated together, finishing a quart of ale with a toast in it, before they should go aboard the schooner on a visit of inspection.	false	1312.91	1325.35	20.64299
781_127518_000079_000000	Long John told the story from first to last, with a great deal of spirit and the most perfect truth.	Long john told the story from first to last, with a great deal of spirit and the most perfect truth.	true	1326.2	1332.79	21.217045
781_127518_000079_000001	"That was how it were, now, weren't it, Hawkins?" he would say, now and again, and I could always bear him entirely out.	"That was how it were, now, weren't it, Hawkins?" he would say, now and again, and I could always bear him entirely out.	true	1333.04	1339.72	18.169716
781_127518_000080_000000	The two gentlemen regretted that Black Dog had got away, but we all agreed there was nothing to be done, and after he had been complimented, Long John took up his crutch and departed.	The two gentlemen regretted that Black Dog had got away, but we all agreed there was nothing to be done, and after he had been complimented, Long john took up his crutch and departed.	true	1340.12	1351.63	22.535398
781_127518_000081_000000	"All hands aboard by four this afternoon," shouted the squire after him.	"All hands aboard by four this afternoon," shouted the squire after him.	true	1352.51	1356.73	20.07458
781_127518_000082_000000	"Aye, aye, sir," cried the cook, in the passage.	"Aye, aye, sir," cried the cook, in the passage.	true	1356.86	1359.4	23.812986
781_127518_000083_000000	"Well, squire," said Dr. Livesey, "I don't put much faith in your discoveries, as a general thing; but I will say this, John Silver suits me."	"Well, squire," said dr Livesey, "I don't put much faith in your discoveries, as a general thing; but I will say this, john Silver suits me."	false	1359.92	1367.89	22.587648
781_127518_000084_000000	"The man's a perfect trump," declared the squire.	"The man's a perfect trump," declared the squire.	true	1368.47	1371.34	23.209276
781_127518_000085_000000	"And now," added the doctor, "Jim may come on board with us, may he not?"	"And now," added the doctor, "Jim may come on board with us, may he not?"	true	1371.44	1376.02	22.439938
781_127518_000086_000000	"To be sure he may," says squire.	"To be sure he may," says squire.	true	1376.45	1378.66	18.512453
781_127518_000086_000001	"Take your hat, Hawkins, and we'll see the ship."	"Take your hat, Hawkins, and we'll see the ship."	true	1378.73	1382.31	23.828465
781_127518_000087_000000	9	nine	false	1382.31	1382.37	-20
781_127518_000088_000000	Powder and Arms	Powder and Arms	false	1382.37	1382.61	-20
781_127518_000089_000000	THE HISPANIOLA lay some way out, and we went under the figureheads and round the sterns of many other ships, and their cables sometimes grated underneath our keel, and sometimes swung above us.	THE HISPANIOLA lay some way out, and we went under the figureheads and round the sterns of many other ships, and their cables sometimes grated underneath our keel, and sometimes swung above us.	false	1382.61	1384.44	21.102146
781_127518_000089_000001	At last, however, we got alongside, and were met and saluted as we stepped aboard by the mate, Mr. Arrow, a brown old sailor with earrings in his ears and a squint.	At last, however, we got alongside, and were met and saluted as we stepped aboard by the mate, mr Arrow, a brown old sailor with earrings in his ears and a squint.	false	1384.44	1385.25	24.940983
781_127518_000089_000002	He and the squire were very thick and friendly, but I soon observed that things were not the same between Mr. Trelawney and the captain.	He and the squire were very thick and friendly, but I soon observed that things were not the same between mr Trelawney and the captain.	false	1385.25	1385.88	-20
