6567_53342_000000_000000	THE PRIDE OF THE VILLAGE.	THE PRIDE OF THE VILLAGE.	false	29.865	42.07	20.113651
6567_53342_000026_000002	She was too faint to rise--she attempted to extend her trembling hand--her lips moved as if she spoke, but no word was articulated; she looked down upon him with a smile of unutterable tenderness, and closed her eyes forever.	She was too faint to rise-she attempted to extend her trembling hand-her lips moved as if she spoke, but no word was articulated; she looked down upon him with a smile of unutterable tenderness, and closed her eyes forever.	true	1559.51	1586.44	21.561953
6567_53342_000027_000000	Such are the particulars which I gathered of this village story.	Such are the particulars which I gathered of this village story.	true	1588.76	1593.43	20
6567_53342_000027_000001	They are but scanty, and I am conscious have little novelty to recommend them.	They are but scanty, and I am conscious have little novelty to recommend them.	true	1594.07	1599.64	21
6567_53342_000027_000002	In the present rage also for strange incident and high-seasoned narrative they may appear trite and insignificant, but they interested me strongly at the time; and, taken in connection with the affecting ceremony which I had just witnessed, left a deeper impression on my mind than many circumstances of a more striking nature.	In the present rage also for strange incident and high seasoned narrative they may appear trite and insignificant, but they interested me strongly at the time; and, taken in connection with the affecting ceremony which I had just witnessed, left a deeper impression on my mind than many circumstances of a more striking nature.	true	1600.46	1626.61	22.36565
6567_53342_000027_000003	I have passed through the place since, and visited the church again from a better motive than mere curiosity.	I have passed through the place since, and visited the church again from a better motive than mere curiosity.	true	1627.85	1636.69	21.209696
6567_53342_000027_000004	It was a wintry evening: the trees were stripped of their foliage, the churchyard looked naked and mournful, and the wind rustled coldly through the dry grass.	It was a wintry evening: the trees were stripped of their foliage, the churchyard looked naked and mournful, and the wind rustled coldly through the dry grass.	true	1637.48	1649.74	20.581568
6567_53342_000027_000005	Evergreens, however, had been planted about the grave of the village favorite, and osiers were bent over it to keep the turf uninjured.	Evergreens, however, had been planted about the grave of the village favorite, and osiers were bent over it to keep the turf uninjured.	true	1650.44	1661.26	21.437912
6567_53342_000028_000000	The church-door was open and I stepped in.	The church door was open and I stepped in.	true	1662.77	1666.63	24.348831
6567_53342_000028_000001	There hung the chaplet of flowers and the gloves, as on the day of the funeral: the flowers were withered, it is true, but care seemed to have been taken that no dust should soil their whiteness.	There hung the chaplet of flowers and the gloves, as on the day of the funeral: the flowers were withered, it is true, but care seemed to have been taken that no dust should soil their whiteness.	true	1667.15	1683.31	21.062342
6567_53342_000028_000002	I have seen many monuments where art has exhausted its powers to awaken the sympathy of the spectator, but I have met with none that spoke more touchingly to my heart than this simple but delicate memento of departed innocence.	I have seen many monuments where art has exhausted its powers to awaken the sympathy of the spectator, but I have met with none that spoke more touchingly to my heart than this simple but delicate memento of departed innocence.	true	1684.25	1705.68	20.967604
6567_53342_000029_000000	THE ANGLER.	THE ANGLER.	false	1705.68	1706.04	-20
6567_53342_000030_000000	This day Dame Nature seem'd in love, The lusty sap began to move, Fresh juice did stir th' embracing vines, And birds had drawn their valentines. The jealous trout that low did lie, Rose at a well-dissembled flie. There stood my friend, with patient skill, Attending of his trembling quill. SIR H. WOTTON.	This day Dame Nature seem'd in love, The lusty sap began to move, Fresh juice did stir t h' embracing vines, And birds had drawn their valentines. The jealous trout that low did lie, Rose at a well dissembled flie. There stood my friend, with patient skill, Attending of his trembling quill. SIR h WOTTON.	false	1706.04	1710.78	18.911104
6567_53342_000031_000000	IT is said that many an unlucky urchin is induced to run away from his family and betake himself to a seafaring life from reading the history of Robinson Crusoe; and I suspect that, in like manner, many of those worthy gentlemen who are given to haunt the sides of pastoral streams with angle-rods in hand may trace the origin of their passion to the seductive pages of honest Izaak Walton.	i t is said that many an unlucky urchin is induced to run away from his family and betake himself to a seafaring life from reading the history of Robinson Crusoe; and I suspect that, in like manner, many of those worthy gentlemen who are given to haunt the sides of pastoral streams with angle rods in hand may trace the origin of their passion to the seductive pages of honest Izaak Walton.	false	1710.78	1711.35	22.95406
6567_53342_000031_000001	I recollect studying his Complete Angler several years since in company with a knot of friends in America, and moreover that we were all completely bitten with the angling mania.	I recollect studying his Complete Angler several years since in company with a knot of friends in America, and moreover that we were all completely bitten with the angling mania.	false	1711.35	1713.18	19.147068
6567_53342_000031_000002	It was early in the year, but as soon as the weather was auspicious, and that the spring began to melt into the verge of summer, we took rod in hand and sallied into the country, as stark mad as was ever Don Quixote from reading books of chivalry.	It was early in the year, but as soon as the weather was auspicious, and that the spring began to melt into the verge of summer, we took rod in hand and sallied into the country, as stark mad as was ever Don Quixote from reading books of chivalry.	false	1713.18	1721.46	18.34963
