1748_1562_000000_000000	CHAPTER III	CHAPTER three	true	20.13	21.07	22.522758
1748_1562_000051_000003	But now the daughter returned with the news, that the Ash had just gone away in a south-westerly direction; and, as my course seemed to lie eastward, she hoped I should be in no danger of meeting him if I departed at once. I looked out of the little window, and there stood the ash-tree, to my eyes the same as before; but I believed that they knew better than I did, and prepared to go.	But now the daughter returned with the news, that the Ash had just gone away in a south westerly direction; and, as my course seemed to lie eastward, she hoped I should be in no danger of meeting him if I departed at once. I looked out of the little window, and there stood the ash tree, to my eyes the same as before; but I believed that they knew better than I did, and prepared to go.	true	1027.55	1048.33	19.371307
1748_1562_000051_000004	I pulled out my purse, but to my dismay there was nothing in it.	I pulled out my purse, but to my dismay there was nothing in it.	true	1048.97	1052.68	22.386887
1748_1562_000051_000005	The woman with a smile begged me not to trouble myself, for money was not of the slightest use there; and as I might meet with people in my journeys whom I could not recognise to be fairies, it was well I had no money to offer, for nothing offended them so much.	The woman with a smile begged me not to trouble myself, for money was not of the slightest use there; and as I might meet with people in my journeys whom I could not recognise to be fairies, it was well I had no money to offer, for nothing offended them so much.	true	1053.14	1067.11	21.293182
1748_1562_000052_000000	"They would think," she added, "that you were making game of them; and that is their peculiar privilege with regard to us." So we went together into the little garden which sloped down towards a lower part of the wood.	"They would think," she added, "that you were making game of them; and that is their peculiar privilege with regard to us." So we went together into the little garden which sloped down towards a lower part of the wood.	false	1067.54	1079.2	23.278702
1748_1562_000053_000000	Here, to my great pleasure, all was life and bustle.	Here, to my great pleasure, all was life and bustle.	true	1079.96	1083.22	21.447226
1748_1562_000053_000001	There was still light enough from the day to see a little; and the pale half-moon, halfway to the zenith, was reviving every moment.	There was still light enough from the day to see a little; and the pale half moon, halfway to the zenith, was reviving every moment.	false	1083.56	1090.96	20.048435
1748_1562_000053_000002	The whole garden was like a carnival, with tiny, gaily decorated forms, in groups, assemblies, processions, pairs or trios, moving stately on, running about wildly, or sauntering hither or thither.	The whole garden was like a carnival, with tiny, gaily decorated forms, in groups, assemblies, processions, pairs or trios, moving stately on, running about wildly, or sauntering hither or thither.	true	1091.36	1103.92	20.200474
1748_1562_000053_000003	From the cups or bells of tall flowers, as from balconies, some looked down on the masses below, now bursting with laughter, now grave as owls; but even in their deepest solemnity, seeming only to be waiting for the arrival of the next laugh. Some were launched on a little marshy stream at the bottom, in boats chosen from the heaps of last year's leaves that lay about, curled and withered.	From the cups or bells of tall flowers, as from balconies, some looked down on the masses below, now bursting with laughter, now grave as owls; but even in their deepest solemnity, seeming only to be waiting for the arrival of the next laugh. Some were launched on a little marshy stream at the bottom, in boats chosen from the heaps of last year's leaves that lay about, curled and withered.	true	1104.95	1126.45	20
1748_1562_000053_000004	These soon sank with them; whereupon they swam ashore and got others.	These soon sank with them; whereupon they swam ashore and got others.	true	1127.27	1131.22	21.420967
1748_1562_000053_000005	Those who took fresh rose-leaves for their boats floated the longest; but for these they had to fight; for the fairy of the rose-tree complained bitterly that they were stealing her clothes, and defended her property bravely.	Those who took fresh rose leaves for their boats floated the longest; but for these they had to fight; for the fairy of the rose tree complained bitterly that they were stealing her clothes, and defended her property bravely.	true	1131.62	1142.86	21
1748_1562_000054_000000	"You can't wear half you've got," said some.	"You can't wear half you've got," said some.	true	1143.86	1146.46	22.64593
1748_1562_000055_000000	"Never you mind; I don't choose you to have them: they are my property."	"Never you mind; I don't choose you to have them: they are my property."	false	1146.98	1151.05	23.969492
1748_1562_000056_000000	"All for the good of the community!" said one, and ran off with a great hollow leaf.	"All for the good of the community!" said one, and ran off with a great hollow leaf.	true	1151.45	1156.03	20.407045
1748_1562_000056_000001	But the rose-fairy sprang after him (what a beauty she was! only too like a drawing-room young lady), knocked him heels-over-head as he ran, and recovered her great red leaf.	But the rose fairy sprang after him (what a beauty she was! only too like a drawing room young lady), knocked him heels over head as he ran, and recovered her great red leaf.	false	1156.19	1165.75	20
1748_1562_000056_000002	But in the meantime twenty had hurried off in different directions with others just as good; and the little creature sat down and cried, and then, in a pet, sent a perfect pink snowstorm of petals from her tree, leaping from branch to branch, and stamping and shaking and pulling.	But in the meantime twenty had hurried off in different directions with others just as good; and the little creature sat down and cried, and then, in a pet, sent a perfect pink snowstorm of petals from her tree, leaping from branch to branch, and stamping and shaking and pulling.	false	1166.15	1180.84	21
1748_1562_000056_000003	At last, after another good cry, she chose the biggest she could find, and ran away laughing, to launch her boat amongst the rest.	At last, after another good cry, she chose the biggest she could find, and ran away laughing, to launch her boat amongst the rest.	true	1181.45	1188.28	21.854227
1748_1562_000057_000000	But my attention was first and chiefly attracted by a group of fairies near the cottage, who were talking together around what seemed a last dying primrose.	But my attention was first and chiefly attracted by a group of fairies near the cottage, who were talking together around what seemed a last dying primrose.	false	1189.4	1197.61	18
1748_1562_000057_000001	They talked singing, and their talk made a song, something like this:	They talked singing, and their talk made a song, something like this:	true	1197.95	1202.41	22.481108
1748_1562_000058_000000	"Sister Snowdrop died Before we were born." "She came like a bride In a snowy morn." "What's a bride?" "What is snow? "Never tried." "Do not know." "Who told you about her?" "Little Primrose there Cannot do without her." "Oh, so sweetly fair!" "Never fear, She will come, Primrose dear." "Is she dumb?"	"Sister Snowdrop died Before we were born." "She came like a bride In a snowy morn." "What's a bride?" "What is snow? "Never tried." "Do not know." "Who told you about her?" "Little Primrose there Cannot do without her." "Oh, so sweetly fair!" "Never fear, She will come, Primrose dear." "Is she dumb?"	false	1203.89	1226.05	20.54499
1748_1562_000059_000000	"She'll come by-and-by." "You will never see her." "She went home to dies, "Till the new year." "Snowdrop!" "'Tis no good To invite her." "Primrose is very rude, "I will bite her."	"She'll come by and by." "You will never see her." "She went home to dies, "Till the new year." "Snowdrop!" "'tis no good To invite her." "Primrose is very rude, "I will bite her."	true	1226.51	1238.56	20.8489
1748_1562_000060_000000	"Oh, you naughty Pocket! "Look, she drops her head." "She deserved it, Rocket, "And she was nearly dead." "To your hammock--off with you!" "And swing alone." "No one will laugh with you." "No, not one."	"Oh, you naughty Pocket! "Look, she drops her head." "She deserved it, Rocket, "And she was nearly dead." "To your hammock-off with you!" "And swing alone." "No one will laugh with you." "No, not one."	true	1239.05	1252.21	20.49572
1748_1562_000061_000000	"Now let us moan." "And cover her o'er." "Primrose is gone." "All but the flower." "Here is a leaf." "Lay her upon it." "Follow in grief." "Pocket has done it."	"Now let us moan." "And cover her o'er." "Primrose is gone." "All but the flower." "Here is a leaf." "Lay her upon it." "Follow in grief." "Pocket has done it."	false	1252.79	1264.06	21.414413
1748_1562_000062_000000	"Deeper, poor creature! Winter may come." "He cannot reach her-- That is a hum." "She is buried, the beauty!" "Now she is done." "That was the duty." "Now for the fun."	"Deeper, poor creature! Winter may come." "He cannot reach her- That is a hum." "She is buried, the beauty!" "Now she is done." "That was the duty." "Now for the fun."	false	1264.46	1275.94	20.756926
1748_1562_000063_000000	And with a wild laugh they sprang away, most of them towards the cottage.	And with a wild laugh they sprang away, most of them towards the cottage.	false	1276.82	1280.62	19
1748_1562_000063_000001	During the latter part of the song-talk, they had formed themselves into a funeral procession, two of them bearing poor Primrose, whose death Pocket had hastened by biting her stalk, upon one of her own great leaves.	During the latter part of the song talk, they had formed themselves into a funeral procession, two of them bearing poor Primrose, whose death Pocket had hastened by biting her stalk, upon one of her own great leaves.	true	1280.9	1292.71	21.64361
1748_1562_000063_000002	They bore her solemnly along some distance, and then buried her under a tree.	They bore her solemnly along some distance, and then buried her under a tree.	true	1292.71	1296.67	14
1748_1562_000063_000003	Although I say HER I saw nothing but the withered primrose-flower on its long stalk.	Although I say HER I saw nothing but the withered primrose flower on its long stalk.	true	1297.16	1301.77	19.686699
1748_1562_000063_000004	Pocket, who had been expelled from the company by common consent, went sulkily away towards her hammock, for she was the fairy of the calceolaria, and looked rather wicked.	Pocket, who had been expelled from the company by common consent, went sulkily away towards her hammock, for she was the fairy of the calceolaria, and looked rather wicked.	true	1302.05	1311.58	22.25886
1748_1562_000063_000005	When she reached its stem, she stopped and looked round.	When she reached its stem, she stopped and looked round.	true	1311.86	1314.91	21.90471
1748_1562_000063_000006	I could not help speaking to her, for I stood near her.	I could not help speaking to her, for I stood near her.	true	1315.16	1317.88	21.060625
1748_1562_000063_000007	I said, "Pocket, how could you be so naughty?"	I said, "Pocket, how could you be so naughty?"	true	1317.98	1321.2	21.078037
1748_1562_000064_000000	"I am never naughty," she said, half-crossly, half-defiantly; "only if you come near my hammock, I will bite you, and then you will go away."	"I am never naughty," she said, half crossly, half defiantly; "only if you come near my hammock, I will bite you, and then you will go away."	false	1321.2	1330.03	21.055233
1748_1562_000065_000000	"Why did you bite poor Primrose?"	"Why did you bite poor Primrose?"	true	1330.85	1332.7	22.168282
1748_1562_000066_000000	"Because she said we should never see Snowdrop; as if we were not good enough to look at her, and she was, the proud thing!--served her right!"	"Because she said we should never see Snowdrop; as if we were not good enough to look at her, and she was, the proud thing!--served her right!"	true	1333.22	1340.44	21.960548
1748_1562_000067_000000	"Oh, Pocket, Pocket," said I; but by this time the party which had gone towards the house, rushed out again, shouting and screaming with laughter.	"Oh, Pocket, Pocket," said I; but by this time the party which had gone towards the house, rushed out again, shouting and screaming with laughter.	true	1341.14	1349.77	21.19329
1748_1562_000067_000001	Half of them were on the cat's back, and half held on by her fur and tail, or ran beside her; till, more coming to their help, the furious cat was held fast; and they proceeded to pick the sparks out of her with thorns and pins, which they handled like harpoons.	Half of them were on the cat's back, and half held on by her fur and tail, or ran beside her; till, more coming to their help, the furious cat was held fast; and they proceeded to pick the sparks out of her with thorns and pins, which they handled like harpoons.	true	1350.02	1364.05	20
1748_1562_000067_000002	Indeed, there were more instruments at work about her than there could have been sparks in her.	Indeed, there were more instruments at work about her than there could have been sparks in her.	true	1364.69	1368.97	21
1748_1562_000067_000003	One little fellow who held on hard by the tip of the tail, with his feet planted on the ground at an angle of forty-five degrees, helping to keep her fast, administered a continuous flow of admonitions to Pussy.	One little fellow who held on hard by the tip of the tail, with his feet planted on the ground at an angle of forty five degrees, helping to keep her fast, administered a continuous flow of admonitions to Pussy.	true	1369.67	1381.36	19
1748_1562_000068_000000	"Now, Pussy, be patient.	"Now, Pussy, be patient.	true	1382.18	1383.82	26.685856
1748_1562_000068_000001	You know quite well it is all for your good. You cannot be comfortable with all those sparks in you; and, indeed, I am charitably disposed to believe" (here he became very pompous) "that they are the cause of all your bad temper; so we must have them all out, every one; else we shall be reduced to the painful necessity of cutting your claws, and pulling out your eye-teeth.	You know quite well it is all for your good. You cannot be comfortable with all those sparks in you; and, indeed, I am charitably disposed to believe" (here he became very pompous) "that they are the cause of all your bad temper; so we must have them all out, every one; else we shall be reduced to the painful necessity of cutting your claws, and pulling out your eye teeth.	true	1383.95	1404.07	22.18659
1748_1562_000068_000002	Quiet!	Quiet!	true	1404.56	1405.36	25.629307
1748_1562_000068_000003	Pussy, quiet!"	Pussy, quiet!"	true	1405.55	1406.74	24.554104
1748_1562_000069_000000	But with a perfect hurricane of feline curses, the poor animal broke loose, and dashed across the garden and through the hedge, faster than even the fairies could follow.	But with a perfect hurricane of feline curses, the poor animal broke loose, and dashed across the garden and through the hedge, faster than even the fairies could follow.	true	1407.62	1416.16	17
1748_1562_000069_000001	"Never mind, never mind, we shall find her again; and by that time she will have laid in a fresh stock of sparks.	"Never mind, never mind, we shall find her again; and by that time she will have laid in a fresh stock of sparks.	true	1416.8	1422.64	21.86678
1748_1562_000069_000002	Hooray!" And off they set, after some new mischief.	Hooray!" And off they set, after some new mischief.	true	1422.74	1426.48	19.783676
1748_1562_000070_000000	But I will not linger to enlarge on the amusing display of these frolicsome creatures.	But I will not linger to enlarge on the amusing display of these frolicsome creatures.	true	1427.24	1431.28	16
1748_1562_000070_000001	Their manners and habits are now so well known to the world, having been so often described by eyewitnesses, that it would be only indulging self-conceit, to add my account in full to the rest. I cannot help wishing, however, that my readers could see them for themselves.	Their manners and habits are now so well known to the world, having been so often described by eyewitnesses, that it would be only indulging self conceit, to add my account in full to the rest. I cannot help wishing, however, that my readers could see them for themselves.	true	1431.65	1446.19	21.025484
1748_1562_000070_000002	Especially do I desire that they should see the fairy of the daisy; a little, chubby, round-eyed child, with such innocent trust in his look!	Especially do I desire that they should see the fairy of the daisy; a little, chubby, round eyed child, with such innocent trust in his look!	true	1446.29	1453.75	20.901602
1748_1562_000070_000003	Even the most mischievous of the fairies would not tease him, although he did not belong to their set at all, but was quite a little country bumpkin.	Even the most mischievous of the fairies would not tease him, although he did not belong to their set at all, but was quite a little country bumpkin.	true	1454.09	1461.43	20.33506
1748_1562_000070_000004	He wandered about alone, and looked at everything, with his hands in his little pockets, and a white night-cap on, the darling! He was not so beautiful as many other wild flowers I saw afterwards, but so dear and loving in his looks and little confident ways.	He wandered about alone, and looked at everything, with his hands in his little pockets, and a white night cap on, the darling! He was not so beautiful as many other wild flowers I saw afterwards, but so dear and loving in his looks and little confident ways.	false	1461.86	1480.56	18.60947
