5655_46267_000000_000000	"Oh, yes, please, grandmother," begged Keith, with an arm around her neck.	"Oh, yes, please, grandmother," begged Keith, with an arm around her neck.	false	0	4.23	25.156517
5655_46267_000055_000001	"I used to practise so much with my Indian bow and arrow out at the fort, that I could hit centre nearly every time.	"I used to practise so much with my Indian bow and arrow out at the fort, that I could hit centre nearly every time.	true	898.2	905.11	22
5655_46267_000055_000002	I am not going to shoot to-night.	I am not going to shoot to night.	true	905.3	907.38	22.124062
5655_46267_000055_000003	Aunt Allison thinks it wouldn't be fair."	Aunt Allison thinks it wouldn't be fair."	true	907.38	909.61	22.856096
5655_46267_000056_000000	When they reached the top of the stairs, Virginia went into her room to light a wax taper in one of the tall silver candlesticks on her dressing-table.	When they reached the top of the stairs, Virginia went into her room to light a wax taper in one of the tall silver candlesticks on her dressing table.	true	910.4	919.15	22.798304
5655_46267_000056_000001	"I think that Aunt Allison must have left those arrows in the blue room," she said, leading the way down the cross hall which went to the north wing.	"I think that Aunt Allison must have left those arrows in the blue room," she said, leading the way down the cross hall which went to the north wing.	true	919.46	927.82	21
5655_46267_000056_000002	"She made the pie in there this morning, and all the other things were there.	"She made the pie in there this morning, and all the other things were there.	true	928.04	932.14	18.520044
5655_46267_000056_000003	Nobody comes over in this part of the house much in winter, unless there happens to be a great deal of company."	Nobody comes over in this part of the house much in winter, unless there happens to be a great deal of company."	true	932.24	938.17	24
5655_46267_000057_000000	The taper that Virginia carried was the only light in that part of the house.	The taper that Virginia carried was the only light in that part of the house.	true	939.2	943.87	17
5655_46267_000057_000001	When she reached the door of the blue room she turned to Lloyd. "Hold the candle for me, please," she said, "while I look in the closet."	When she reached the door of the blue room she turned to Lloyd. "Hold the candle for me, please," she said, "while I look in the closet."	false	944.18	951.7	23.086815
5655_46267_000058_000000	It was a pretty picture that the little "Queen of Hearts" made, as she stood in the doorway, with the tall silver candlestick held high in both hands.	It was a pretty picture that the little "Queen of Hearts" made, as she stood in the doorway, with the tall silver candlestick held high in both hands.	true	952.58	961.33	23.820904
5655_46267_000058_000001	Her hair shone like gold in the candlelight, and her glittering crown flashed as if a circle of fairy fireflies had been caught in its soft meshes.	Her hair shone like gold in the candlelight, and her glittering crown flashed as if a circle of fairy fireflies had been caught in its soft meshes.	true	961.61	971.29	21.843458
5655_46267_000058_000002	Her dark eyes peered anxiously around the big shadowy room, lighted only by her flickering taper.	Her dark eyes peered anxiously around the big shadowy room, lighted only by her flickering taper.	true	971.54	978.55	21.531864
5655_46267_000059_000000	Down-stairs, Malcolm and Keith were almost quarrelling about her.	Down stairs, Malcolm and Keith were almost quarrelling about her.	true	979.22	983.5	21.395794
5655_46267_000059_000001	It began by Malcolm taking his brother aside and offering to trade valentines with him.	It began by Malcolm taking his brother aside and offering to trade valentines with him.	true	983.66	989.02	20.301912
5655_46267_000060_000000	"Why?" asked Keith, suspiciously.	"Why?" asked Keith, suspiciously.	true	989.42	992.14	16.0019
5655_46267_000061_000000	"'Cause yours matches the Little Colonel's, and I want to take her out to dinner," admitted Malcolm.	"'cause yours matches the Little Colonel's, and I want to take her out to dinner," admitted Malcolm.	true	992.57	997.63	24.33181
5655_46267_000061_000001	"She is the prettiest girl here."	"She is the prettiest girl here."	true	997.64	999.91	23.511135
5655_46267_000062_000000	"But I don't want to trade," answered Keith.	"But I don't want to trade," answered Keith.	true	1000.49	1002.95	17.05272
5655_46267_000062_000001	"I want to take her myself."	"I want to take her myself."	true	1002.95	1004.83	22.747774
5655_46267_000063_000000	"I'll give you the pick of any six stamps in my album if you will."	"I'll give you the pick of any six stamps in my album if you will."	true	1005.41	1009.24	23.553844
5655_46267_000064_000000	"Don't want your old stamps," declared Keith, stoutly.	"Don't want your old stamps," declared Keith, stoutly.	true	1009.61	1013.14	20
5655_46267_000064_000001	"I'd rather have the Little Colonel for my partner."	"I'd rather have the Little Colonel for my partner."	true	1013.27	1016.2	26.474033
5655_46267_000065_000000	"I think you might trade," coaxed Malcolm.	"I think you might trade," coaxed Malcolm.	false	1016.48	1019.79	23.014584
5655_46267_000065_000001	"It's mean not to when I'm the oldest.	"It's mean not to when I'm the oldest.	true	1019.79	1022.32	19.686779
5655_46267_000065_000002	I'll give you that Chinese puzzle you've been wanting so long if you will." Keith shook his head.	I'll give you that Chinese puzzle you've been wanting so long if you will." Keith shook his head.	true	1022.45	1028.2	23.017275
5655_46267_000066_000000	Just then a terrific scream sounded in the upper hall, followed by another that made every one down-stairs turn pale with fright.	Just then a terrific scream sounded in the upper hall, followed by another that made every one down stairs turn pale with fright.	true	1028.63	1037.26	21.506334
5655_46267_000066_000001	Two voices were uttering piercing shrieks, one after another, so loud and frantic that even the servants in the back part of the house came running.	Two voices were uttering piercing shrieks, one after another, so loud and frantic that even the servants in the back part of the house came running.	true	1037.54	1047.76	22
5655_46267_000066_000002	Miss Allison, thinking of the candle she had told Virginia to light, and remembering the thin, white dress the child wore, instantly thought she must have set herself afire.	Miss Allison, thinking of the candle she had told Virginia to light, and remembering the thin, white dress the child wore, instantly thought she must have set herself afire.	true	1047.98	1058.5	20.9807
5655_46267_000066_000003	She ran into the hall, so frightened that she was trembling from head to foot.	She ran into the hall, so frightened that she was trembling from head to foot.	true	1058.66	1064.08	19.900751
5655_46267_000066_000004	Before she could reach the staircase, Virginia came flying down the steps, white as a little ghost, and her eyes wide with terror.	Before she could reach the staircase, Virginia came flying down the steps, white as a little ghost, and her eyes wide with terror.	true	1064.39	1073.11	23.423925
5655_46267_000066_000005	Throwing herself into her aunt's outstretched arms, she began to sob out her story between great, trembling gasps.	Throwing herself into her aunt's outstretched arms, she began to sob out her story between great, trembling gasps.	true	1073.66	1081.12	20
5655_46267_000067_000000	"Oh, there's an awful, awful wild beast in the blue room, nearly as tall as the ceiling!	"Oh, there's an awful, awful wild beast in the blue room, nearly as tall as the ceiling!	true	1081.52	1087.77	18
5655_46267_000067_000001	It rose up and came after us out of the corner, and if I hadn't slammed the door just in time, it would have eaten us up.	It rose up and came after us out of the corner, and if I hadn't slammed the door just in time, it would have eaten us up.	true	1087.77	1095.19	21
5655_46267_000067_000002	I'm sure it would!	I'm sure it would!	true	1095.19	1096.59	16
5655_46267_000067_000003	Oo-oo-oo!	Oo oo oo!	false	1096.59	1098.36	15
5655_46267_000067_000004	It was so awful!" she wailed.	It was so awful!" she wailed.	true	1098.36	1101.13	21.25588
5655_46267_000068_000000	"Why, Virginia," exclaimed her aunt, distressed to see her so terrified, "it must have been only a big shadow you saw.	"Why, Virginia," exclaimed her aunt, distressed to see her so terrified, "it must have been only a big shadow you saw.	false	1101.83	1110.28	21.814762
5655_46267_000068_000001	It isn't possible for a wild beast to be in the blue room you know.	It isn't possible for a wild beast to be in the blue room you know.	true	1110.35	1114.24	16
5655_46267_000068_000002	Where is Lloyd?"	Where is Lloyd?"	true	1114.37	1115.89	19.419939
5655_46267_000069_000000	"She's up heah, Miss Allison," called Mom Beck's voice.	"She's up heah, Miss Allison," called Mom Beck's voice.	false	1116.29	1120.15	19.400967
5655_46267_000069_000001	"She's so skeered, I'se pow'ful 'fraid she gwine to faint.	"She's so skeered, I'se pow'ful 'fraid she gwine to faint.	false	1120.22	1124.68	26.200127
5655_46267_000069_000002	They sut'nly is something in that room, honey, deed they is.	They sut'nly is something in that room, honey, deed they is.	false	1124.96	1129.81	23
5655_46267_000069_000003	I kin heah it movin' around now, switchin' he's tail an' growlin'!"	I kin heah it movin' around now, switchin' he's tail an' growlin'!"	false	1129.91	1135.09	18
5655_46267_000070_000000	Malcolm and Keith, with guilty faces, went dashing up the stairs, and the whole party followed them at a respectful distance.	Malcolm and Keith, with guilty faces, went dashing up the stairs, and the whole party followed them at a respectful distance.	true	1136.03	1145.43	22.812105
5655_46267_000070_000001	When they opened the door the room looked very big and shadowy, and the bear, roused from its nap, was standing on its hind legs beside the high-posted bed.	When they opened the door the room looked very big and shadowy, and the bear, roused from its nap, was standing on its hind legs beside the high posted bed.	true	1145.43	1156.06	22.562065
5655_46267_000070_000002	The huge figure was certainly enough to frighten any one coming upon it unexpectedly in the dark, and when Miss Allison saw it she drew Virginia's trembling hand into hers with a sympathetic clasp.	The huge figure was certainly enough to frighten any one coming upon it unexpectedly in the dark, and when Miss Allison saw it she drew Virginia's trembling hand into hers with a sympathetic clasp.	true	1156.4	1169.23	21.04424
5655_46267_000070_000003	Before she could ask any questions, the boys began an excited explanation.	Before she could ask any questions, the boys began an excited explanation.	true	1169.27	1174.21	21.333141
5655_46267_000070_000004	It was some time before they could make their story understood.	It was some time before they could make their story understood.	true	1174.43	1178.23	21.723913
5655_46267_000071_000000	Their grandmother was horrified, and insisted on sending the animal away at once.	Their grandmother was horrified, and insisted on sending the animal away at once.	true	1178.69	1184.5	22.031113
5655_46267_000071_000001	"The idea of bringing such a dangerous creature into any one's house," she exclaimed, "and, above all, of shutting him up in a bedroom! We might have all been bitten, or hugged to death!"	"The idea of bringing such a dangerous creature into any one's house," she exclaimed, "and, above all, of shutting him up in a bedroom! We might have all been bitten, or hugged to death!"	false	1184.81	1198.9	23.84444
5655_46267_000072_000000	"But, grandmother," begged Malcolm, "he isn't dangerous.	"But, grandmother," begged Malcolm, "he isn't dangerous.	true	1199.6	1203.56	19.72819
5655_46267_000072_000001	Let me bring him into the light, and show you what a kind old pet he is."	Let me bring him into the light, and show you what a kind old pet he is."	true	1203.56	1207.72	21
5655_46267_000073_000000	There was a scattering to the other end of the hall as Malcolm came out, leading the bear, but the children gradually drew nearer as the great animal began its performances.	There was a scattering to the other end of the hall as Malcolm came out, leading the bear, but the children gradually drew nearer as the great animal began its performances.	false	1208.15	1219.12	21
5655_46267_000073_000001	Keith whistled and kept time with his feet in a funny little shuffling jig he had learned from Jonesy, and the bear obligingly went through all his tricks.	Keith whistled and kept time with his feet in a funny little shuffling jig he had learned from Jonesy, and the bear obligingly went through all his tricks.	true	1219.43	1228.78	21.23896
5655_46267_000073_000002	He was used to being pulled out to perform whenever a crowd could be collected.	He was used to being pulled out to perform whenever a crowd could be collected.	true	1229.06	1233.46	25.54266
5655_46267_000074_000000	Virginia forgot her fear of him when he stood up and presented arms like a real soldier, and even went up and patted him when the show was over, joining with the boys in begging that he might be allowed to stay in the house until morning.	Virginia forgot her fear of him when he stood up and presented arms like a real soldier, and even went up and patted him when the show was over, joining with the boys in begging that he might be allowed to stay in the house until morning.	true	1234.01	1248.67	22.04821
5655_46267_000074_000001	Mrs. Maclntyre was determined to send a man down to the cabin at once to investigate.	mrs Maclntyre was determined to send a man down to the cabin at once to investigate.	true	1249.34	1254.46	15
5655_46267_000074_000002	She had a horror of tramps.	She had a horror of tramps.	true	1254.56	1256.68	24.936243
5655_46267_000074_000003	But the boys begged her to wait until daylight for Jonesy's sake.	But the boys begged her to wait until daylight for Jonesy's sake.	true	1256.69	1260.52	27.645317
5655_46267_000075_000000	"The man will beat him if he finds out that Jonesy warned us," pleaded Keith.	"The man will beat him if he finds out that Jonesy warned us," pleaded Keith.	true	1260.92	1265.41	22.3076
5655_46267_000075_000001	He was so earnest that the tears stood in his big, trustful eyes.	He was so earnest that the tears stood in his big, trustful eyes.	false	1265.57	1270.65	25.332138
5655_46267_000076_000000	"This is spoiling the party, mother," whispered Miss Allison, "and dinner is waiting.	"This is spoiling the party, mother," whispered Miss Allison, "and dinner is waiting.	true	1270.65	1275.67	19
5655_46267_000076_000001	I'll be responsible for any harm that may be done if you will let the boys have their way this once."	I'll be responsible for any harm that may be done if you will let the boys have their way this once."	true	1275.77	1281.49	16
5655_46267_000077_000000	There seemed no other way to settle it just then, so Bruin was allowed to go back to his rug in the blue room, and the door was securely locked.	There seemed no other way to settle it just then, so Bruin was allowed to go back to his rug in the blue room, and the door was securely locked.	true	1282.13	1291.72	22.60915
5655_46267_000078_000000	Keith took Lloyd down to dinner, and his grandmother heard him apologising all the way down for having frightened her.	Keith took Lloyd down to dinner, and his grandmother heard him apologising all the way down for having frightened her.	true	1292.03	1299.13	23.491682
5655_46267_000078_000001	The little Queen of Hearts listened smilingly, but her colour did not come back all evening, until after the archery contest.	The little Queen of Hearts listened smilingly, but her colour did not come back all evening, until after the archery contest.	true	1299.38	1307.38	24.666735
5655_46267_000078_000002	It was when Malcolm came up with the prize he had won, a tiny silver arrow, and pinned it in the knot of red ribbon on her shoulder.	It was when Malcolm came up with the prize he had won, a tiny silver arrow, and pinned it in the knot of red ribbon on her shoulder.	false	1307.72	1315.66	20.755552
5655_46267_000079_000000	"Will you keep it to remember me by?" he asked, bashfully.	"Will you keep it to remember me by?" he asked, bashfully.	true	1316.15	1319.59	21.295542
5655_46267_000080_000000	"Of co'se!" she answered, with a smile that showed all her roguish dimples.	"Of co'se!" she answered, with a smile that showed all her roguish dimples.	false	1320.05	1325.44	22.349092
5655_46267_000080_000001	"I'll keep it fo'evah and evah to remembah how neah I came to bein' eaten up by yo' bea'h."	"I'll keep it fo'evah and evah to remembah how n e a h I came to bein' eaten up by yo' bea'h."	false	1325.66	1332.69	21
5655_46267_000081_000000	[Illustration: "'WILL YOU KEEP IT TO REMEMBER ME BY?'"]	[Illustration: "'WILL YOU KEEP IT TO REMEMBER ME BY?'"]	false	1332.69	1334.46	27.768301
5655_46267_000082_000000	"It seems too bad for such a beautiful party to come to an end," Sally Fairfax said when the last merry game was played, the last story told, and it was time to go home.	"It seems too bad for such a beautiful party to come to an end," Sally Fairfax said when the last merry game was played, the last story told, and it was time to go home.	false	1334.46	1345.48	22
5655_46267_000082_000001	"But there's one comfort," she added, gathering all her gay valentines together, "there needn't be any end to the remembering of it.	"But there's one comfort," she added, gathering all her gay valentines together, "there needn't be any end to the remembering of it.	true	1345.79	1353.64	21.468044
5655_46267_000082_000002	I've had _such_ a good time, Mrs. MacIntyre."	I've had underscore such underscore a good time, mrs MacIntyre."	false	1353.64	1356.73	22.40517
5655_46267_000083_000000	It was so late when the last carriage rolled down the avenue, bearing away the last smiling little guest, that the children were almost too sleepy to undress.	It was so late when the last carriage rolled down the avenue, bearing away the last smiling little guest, that the children were almost too sleepy to undress.	true	1357.22	1366.93	16
5655_46267_000083_000001	It was not long until the last light was put out in every room, and a deep stillness settled over the entire house.	It was not long until the last light was put out in every room, and a deep stillness settled over the entire house.	true	1367.39	1374.94	18
5655_46267_000083_000002	One by one the lights went out in every home in the valley, and only the stars were left shining, in the cold wintry sky.	One by one the lights went out in every home in the valley, and only the stars were left shining, in the cold wintry sky.	true	1375.4	1383.67	21
5655_46267_000083_000003	No, there was one lamp that still burned.	No, there was one lamp that still burned.	true	1384.1	1387.18	24.605417
5655_46267_000083_000004	It was in the little cottage where old Professor Heinrich sat bowed over his books.	It was in the little cottage where old Professor Heinrich sat bowed over his books.	false	1387.37	1402.23	22.364084
