5290_26685_000000_000000	CHAPTER XXIX	CHAPTER twenty nine	false	0.66	24.81	20.823837
5290_26685_000044_000000	Then her babe stirred and tossed up his pretty hands, waking her from her sad, vision-seeing trance.	Then her babe stirred and tossed up his pretty hands, waking her from her sad, vision seeing trance.	false	1049.54	1055.77	23.75214
5290_26685_000044_000001	He opened his large, clear eyes, and suddenly it seemed that her wish was granted,--that the veil was rent and she was looking into David's eyes and seeing his soul free, no longer chained by invisible links to those dead and gone beings, and their traditions.	He opened his large, clear eyes, and suddenly it seemed that her wish was granted,--that the veil was rent and she was looking into David's eyes and seeing his soul free, no longer chained by invisible links to those dead and gone beings, and their traditions.	true	1056.17	1073.77	22.086426
5290_26685_000044_000002	This had been all a dream--a dream.	This had been all a dream-a dream.	true	1074.26	1077.34	23.191603
5290_26685_000045_000000	She gathered the child in her arms and held him with his sweet, warm lips pressed to her breast and his soft little hand thrust in her bosom. David's little son--David's little son!	She gathered the child in her arms and held him with his sweet, warm lips pressed to her breast and his soft little hand thrust in her bosom. David's little son-David's little son!	true	1077.95	1090.21	23.336649
5290_26685_000045_000001	Surely all was good and well with the world!	Surely all was good and well with the world!	true	1090.61	1093.15	21.272411
5290_26685_000045_000002	Did not the old man say it was only gossip?	Did not the old man say it was only gossip?	true	1093.19	1096.12	23.846302
5290_26685_000045_000003	Had not evil things been said of David even on her own mountain?	Had not evil things been said of David even on her own mountain?	true	1096.31	1100.2	21
5290_26685_000045_000004	It was the trail of the serpent of ill report.	It was the trail of the serpent of ill report.	true	1100.84	1103.8	24.526957
5290_26685_000045_000005	He had not confided his sacred secret to these people, and they had thought what they pleased.	He had not confided his sacred secret to these people, and they had thought what they pleased.	true	1104.05	1109.59	24.313099
5290_26685_000045_000006	Surely he had told his mother about his wife.	Surely he had told his mother about his wife.	true	1109.6	1112.56	19.824577
5290_26685_000045_000007	She would go to his mother and wait for his return, and there she would bring her precious gift--David's little son.	She would go to his mother and wait for his return, and there she would bring her precious gift-David's little son.	true	1112.72	1120.6	22.67718
5290_26685_000046_000000	Quickly she packed her few belongings and rang for a messenger, and as she stood an instant waiting for an answer to her ring, the white-capped nurse she had noticed in the morning passed by with the baby in her arms.	Quickly she packed her few belongings and rang for a messenger, and as she stood an instant waiting for an answer to her ring, the white capped nurse she had noticed in the morning passed by with the baby in her arms.	true	1121.66	1133.11	23
5290_26685_000046_000001	Yes, surely women of David's state did not travel about alone.	Yes, surely women of David's state did not travel about alone.	true	1133.3	1137.43	21
5290_26685_000046_000002	Had she not read in _Vanity Fair_ how Becky Sharp always had her maid?	Had she not read in underscore Vanity Fair underscore how Becky Sharp always had her maid?	false	1137.74	1141.87	23.006866
5290_26685_000046_000003	And now she was in "Vanity Fair," and must be wise and not go to David's mother unattended.	And now she was in "Vanity Fair," and must be wise and not go to David's mother unattended.	true	1142.24	1148.68	22.125849
5290_26685_000046_000004	Then, too, if only she had some one with her to whom she could speak now and then, it would be better.	Then, too, if only she had some one with her to whom she could speak now and then, it would be better.	true	1149.14	1155.37	22.57136
5290_26685_000046_000005	Therefore, without further consideration, she walked swiftly down the corridor after the tidy nurse.	Therefore, without further consideration, she walked swiftly down the corridor after the tidy nurse.	true	1155.92	1161.94	22.758009
5290_26685_000047_000000	"Will you tell me, please, have you a sister?" she said.	"Will you tell me, please, have you a sister?" she said.	true	1162.46	1166.35	24.91119
5290_26685_000047_000001	The young woman stood still in astonishment.	The young woman stood still in astonishment.	true	1166.72	1169.29	21.086672
5290_26685_000047_000002	"Or--any friend like yourself?	"Or-any friend like yourself?	true	1169.39	1171.69	23.502254
5290_26685_000047_000003	I--I am a stranger from America." The look of surprise changed to one of curiosity.	I-I am a stranger from America." The look of surprise changed to one of curiosity.	false	1171.85	1178.53	19.100752
5290_26685_000047_000004	"And it is right hard to go about alone with my baby, so I thought I would ask you if you have a sister."	"And it is right hard to go about alone with my baby, so I thought I would ask you if you have a sister."	true	1179.14	1185.43	23.220966
5290_26685_000048_000000	"Is it to the country you wish to go, ma'm?" The baby in her arms stirred, and the nurse swayed gently back and forth to hush it.	"Is it to the country you wish to go, ma'm?" The baby in her arms stirred, and the nurse swayed gently back and forth to hush it.	false	1186.76	1194.61	22.917927
5290_26685_000049_000000	"Yes."	"Yes."	true	1194.98	1195.93	20.837257
5290_26685_000050_000000	"I couldn't go with you myself, ma'm--but--"	"I couldn't go with you myself, ma'm-but-"	true	1196.45	1199.17	24.675058
5290_26685_000051_000000	"Oh, no! I didn't mean you.	"Oh, no! I didn't mean you.	true	1199.45	1201.93	19.372051
5290_26685_000051_000001	I only thought if you had a sister--or a friend, maybe, who could help me for a little while."	I only thought if you had a sister-or a friend, maybe, who could help me for a little while."	false	1202.03	1206.79	20.258764
5290_26685_000052_000000	"I saw you this morning, ma'm, as you went out.	"I saw you this morning, ma'm, as you went out.	true	1207.91	1211.05	21.454903
5290_26685_000052_000001	I'll see what I can do. What number is your room? and what name?	I'll see what I can do. What number is your room? and what name?	true	1211.27	1215.85	23.662085
5290_26685_000052_000002	I mustn't talk here.	I mustn't talk here.	true	1216.04	1217.38	21.311577
5290_26685_000052_000003	Mrs. Darling is very particular."	mrs Darling is very particular."	true	1217.57	1219.99	24.829447
5290_26685_000053_000000	"Oh, never mind, then." Cassandra turned away in sudden shame lest she had not done the right thing.	"Oh, never mind, then." Cassandra turned away in sudden shame lest she had not done the right thing.	true	1220.36	1226.86	20.841867
5290_26685_000053_000001	The nurse watched her return to her room as swiftly as she had left it, and took note of the number.	The nurse watched her return to her room as swiftly as she had left it, and took note of the number.	true	1227.2	1232.35	24.711357
5290_26685_000054_000000	"How very odd!" said the young woman to herself.	"How very odd!" said the young woman to herself.	false	1233.05	1236.61	22.25191
5290_26685_000055_000000	Cassandra felt more abashed under the round-eyed gaze of the maid than if she had encountered the queen.	Cassandra felt more abashed under the round eyed gaze of the maid than if she had encountered the queen.	true	1237.34	1243.09	21.96711
5290_26685_000055_000001	Her ring for a messenger had not been answered, and she did not know how to find her husband's country-seat. She felt faint and weary, but did not think of hunger, nor that it was long past the dinner-hour, and that she had eaten nothing since her early breakfast.	Her ring for a messenger had not been answered, and she did not know how to find her husband's country seat. She felt faint and weary, but did not think of hunger, nor that it was long past the dinner hour, and that she had eaten nothing since her early breakfast.	true	1243.49	1260.4	20.835642
5290_26685_000055_000002	She only thought that she must be brave and try--try to think how to reach David's people.	She only thought that she must be brave and try-try to think how to reach David's people.	true	1260.68	1266.76	24.794323
5290_26685_000056_000000	Resolutely she closed her door, and dressed her baby carefully; then she arrayed herself in the soft silk gown, and the wide hat with the heavy plume, and then--could David have seen her with her courageous eyes and lifted head, and the faint color from excitement in her cheeks--he would no longer have feared to take her by the hand and lead her to his mother and say, "She is my wife, and the loveliest lady in the land."	Resolutely she closed her door, and dressed her baby carefully; then she arrayed herself in the soft silk gown, and the wide hat with the heavy plume, and then-could David have seen her with her courageous eyes and lifted head, and the faint color from excitement in her cheeks-he would no longer have feared to take her by the hand and lead her to his mother and say, "She is my wife, and the loveliest lady in the land."	false	1267.7	1293.22	22.292027
5290_26685_000057_000000	People looked at her as she passed, and turned to look again.	People looked at her as she passed, and turned to look again.	false	1294.16	1297.04	20
5290_26685_000057_000001	Down wide, carpeted stairs she went, until she came to a broad landing with recessed windows, where were round polished tables and people seated, sipping tea and eating thin bread and butter and muffins.	Down wide, carpeted stairs she went, until she came to a broad landing with recessed windows, where were round polished tables and people seated, sipping tea and eating thin bread and butter and muffins.	false	1297.04	1310.5	22.37141
5290_26685_000057_000002	Then Cassandra knew that she was hungry and sat herself in one of the windows apart, before a table.	Then Cassandra knew that she was hungry and sat herself in one of the windows apart, before a table.	true	1310.96	1316.83	21.835268
5290_26685_000057_000003	Presently a young man came and bent down to her as if listening.	Presently a young man came and bent down to her as if listening.	true	1317.5	1321.84	22.171295
5290_26685_000057_000004	She looked up at him in bewilderment, but at the same instant, seeing another young man similarly dressed bearing a tray of muffins and tea to a lady and gentleman near by, she said:--	She looked up at him in bewilderment, but at the same instant, seeing another young man similarly dressed bearing a tray of muffins and tea to a lady and gentleman near by, she said:--	false	1322.09	1332.85	21.993286
5290_26685_000058_000000	"I would like tea, please."	"I would like tea, please."	true	1333.16	1334.88	26.32551
5290_26685_000059_000000	"W'ot kind, ma'm?" She did not care what kind, nor know for what to ask, only to have something soon, so she said:--	"W'ot kind, ma'm?" She did not care what kind, nor know for what to ask, only to have something soon, so she said:--	false	1334.88	1344.15	22.309961
5290_26685_000060_000000	"I will take what they have."	"I will take what they have."	true	1344.15	1346.08	25.413956
5290_26685_000061_000000	"Yes, ma'm.	"Yes, ma'm.	true	1346.36	1347.59	22.786953
5290_26685_000061_000001	Muffins, ma'm?"	Muffins, ma'm?"	true	1347.59	1349.02	15.572773
5290_26685_000062_000000	"Yes," she replied wearily, and turned to gaze out of the window.	"Yes," she replied wearily, and turned to gaze out of the window.	false	1349.42	1353.91	22.810928
5290_26685_000062_000001	Cabs and carriages were rushing up and down the street below them.	Cabs and carriages were rushing up and down the street below them.	true	1354.07	1357.75	23.029427
5290_26685_000062_000002	She placed her little son on the seat beside her and held him with sheltering arm, while he watched the moving vehicles and looked from them to his mother's face.	She placed her little son on the seat beside her and held him with sheltering arm, while he watched the moving vehicles and looked from them to his mother's face.	true	1358.03	1366.75	21
5290_26685_000063_000000	"What a perfectly lovely child!" said a pleasant voice.	"What a perfectly lovely child!" said a pleasant voice.	true	1367.42	1371.91	25.0065
5290_26685_000063_000001	"Is it a boy? How old is he?"	"Is it a boy? How old is he?"	false	1372.19	1375.8	26.665987
5290_26685_000064_000000	Cassandra looked up to see a rosy-cheeked girl, a little too stout and florid, with a great mop of dark hair tied with a wide black ribbon.	Cassandra looked up to see a rosy cheeked girl, a little too stout and florid, with a great mop of dark hair tied with a wide black ribbon.	true	1375.8	1384.24	26.833712
5290_26685_000064_000001	A gray-haired lady followed, and paused beside her.	A gray haired lady followed, and paused beside her.	true	1384.67	1388.02	22.770376
5290_26685_000065_000000	"Yes," said Cassandra, faintly.	"Yes," said Cassandra, faintly.	true	1388.36	1390.74	22.67725
5290_26685_000065_000001	"He is almost six months old."	"He is almost six months old."	false	1390.74	1393.3	21.00735
5290_26685_000066_000000	The girl reached over and patted his cheek.	The girl reached over and patted his cheek.	true	1393.76	1396.33	23.758093
5290_26685_000066_000001	"How perfectly dear.	"How perfectly dear.	true	1396.4	1398.49	26.532608
5290_26685_000066_000002	See him, mamma.	See him, mamma.	true	1398.53	1399.71	19.439219
5290_26685_000066_000003	Isn't he, though?"	Isn't he, though?"	true	1399.71	1400.77	22.85812
5290_26685_000067_000000	"Babies are always dear," said the mother, with a smile.	"Babies are always dear," said the mother, with a smile.	true	1401.59	1405.24	23.863329
5290_26685_000067_000001	"Come, Laura, we can't wait, you know," and they passed on.	"Come, Laura, we can't wait, you know," and they passed on.	true	1405.49	1410.16	23.867514
5290_26685_000067_000002	As Cassandra looked up in the mother's face, something stirred vaguely in her heart.	As Cassandra looked up in the mother's face, something stirred vaguely in her heart.	true	1410.44	1415.23	22
5290_26685_000067_000003	Had she seen her before?	Had she seen her before?	true	1415.39	1417.27	19.415806
5290_26685_000067_000004	Possibly, so many had paused to speak to her in this casual way since she left home.	Possibly, so many had paused to speak to her in this casual way since she left home.	true	1417.61	1422.7	19.988983
5290_26685_000068_000000	Then her tea and crisp, hot muffins were brought.	Then her tea and crisp, hot muffins were brought.	true	1423.55	1426.66	22.690125
5290_26685_000068_000001	The young girl's pleasant words had warmed her heart, and the refreshment gave her more courage.	The young girl's pleasant words had warmed her heart, and the refreshment gave her more courage.	true	1426.97	1431.76	22
5290_26685_000068_000002	She made her way to the office and inquired how she might find Lord Thryng's country home.	She made her way to the office and inquired how she might find Lord Thryng's country home.	true	1432.1	1437.58	23.979593
5290_26685_000068_000003	The clerk wrote the address promptly on a card, but the keen look of interest with which he handed it to her caused her to shrink inwardly.	The clerk wrote the address promptly on a card, but the keen look of interest with which he handed it to her caused her to shrink inwardly.	true	1437.98	1446.31	23.700693
5290_26685_000068_000004	Why, what was it to him what place she asked for?	Why, what was it to him what place she asked for?	true	1446.68	1449.97	21.709877
5290_26685_000068_000005	She lifted her head proudly.	She lifted her head proudly.	true	1450.31	1452.13	25.687586
5290_26685_000068_000006	She must not falter.	She must not falter.	false	1452.13	1454.11	27.421627
5290_26685_000069_000000	"I wish to go there.	"I wish to go there.	true	1454.69	1455.97	25.068079
5290_26685_000069_000001	Will you tell me how, please?"	Will you tell me how, please?"	true	1455.97	1457.89	26
5290_26685_000070_000000	But the surprise of the clerk was quite natural, as she had signed the hotel register the evening before with her whole name, giving no thought to it; and now he wondered what relation she might be to the family so lately come into the title, since she bore the name, yet seemed to know so little about them.	But the surprise of the clerk was quite natural, as she had signed the hotel register the evening before with her whole name, giving no thought to it; and now he wondered what relation she might be to the family so lately come into the title, since she bore the name, yet seemed to know so little about them.	false	1458.65	1476.04	22.074303
5290_26685_000070_000001	He explained to her courteously--almost deferentially.	He explained to her courteously-almost deferentially.	true	1476.41	1479.91	23.396246
5290_26685_000071_000000	"Will you go to Daneshead Castle itself, ma'm, or stop in Queensderry?" As she had no idea what the question involved, she replied at hazard.	"Will you go to Daneshead Castle itself, ma'm, or stop in Queensderry?" As she had no idea what the question involved, she replied at hazard.	true	1480.52	1490.38	24.203074
5290_26685_000072_000000	"I will stop in Queensderry." And her bags were brought down, and she was despatched to the right station without more delay.	"I will stop in Queensderry." And her bags were brought down, and she was despatched to the right station without more delay.	false	1490.87	1506.33	24.278923
