14_208_000000_000000	CHAPTER 11	CHAPTER eleven	true	25.305	30.85	17.046907
14_208_000063_000010	I am sure I pity everybody that is.	I am sure I pity everybody that is.	true	997.34	999.58	18
14_208_000063_000011	But I dare say, Mr. Morland, you long to be at it, do not you?	But I dare say, mr Morland, you long to be at it, do not you?	true	1000.31	1004.44	19.264536
14_208_000063_000012	I am sure you do.	I am sure you do.	true	1005.05	1006.24	18.893278
14_208_000063_000013	Well, pray do not let anybody here be a restraint on you.	Well, pray do not let anybody here be a restraint on you.	true	1006.43	1009.27	19
14_208_000063_000014	I dare say we could do very well without you; but you men think yourselves of such consequence."	I dare say we could do very well without you; but you men think yourselves of such consequence."	true	1009.64	1014.49	19.075459
14_208_000064_000000	Catherine could almost have accused Isabella of being wanting in tenderness towards herself and her sorrows, so very little did they appear to dwell on her mind, and so very inadequate was the comfort she offered.	Catherine could almost have accused Isabella of being wanting in tenderness towards herself and her sorrows, so very little did they appear to dwell on her mind, and so very inadequate was the comfort she offered.	true	1016.75	1028.26	19.537556
14_208_000064_000001	"Do not be so dull, my dearest creature," she whispered.	"Do not be so dull, my dearest creature," she whispered.	true	1029.2	1032.07	18.724653
14_208_000064_000002	"You will quite break my heart.	"You will quite break my heart.	true	1032.47	1034.14	19.656073
14_208_000064_000003	It was amazingly shocking, to be sure; but the Tilneys were entirely to blame.	It was amazingly shocking, to be sure; but the Tilneys were entirely to blame.	true	1034.24	1038.61	18.284761
14_208_000064_000004	Why were not they more punctual? It was dirty, indeed, but what did that signify?	Why were not they more punctual? It was dirty, indeed, but what did that signify?	true	1039.13	1044.31	21.291605
14_208_000064_000005	I am sure John and I should not have minded it.	I am sure john and I should not have minded it.	true	1044.56	1046.95	17
14_208_000064_000006	I never mind going through anything, where a friend is concerned; that is my disposition, and John is just the same; he has amazing strong feelings.	I never mind going through anything, where a friend is concerned; that is my disposition, and john is just the same; he has amazing strong feelings.	true	1047.17	1055.95	18.311068
14_208_000064_000007	Good heavens!	Good heavens!	true	1056.41	1057.42	16.82506
14_208_000064_000008	What a delightful hand you have got!	What a delightful hand you have got!	true	1057.58	1059.58	20.85733
14_208_000064_000009	Kings, I vow!	Kings, I vow!	true	1059.8	1061.11	19.107275
14_208_000064_000010	I never was so happy in my life!	I never was so happy in my life!	true	1061.3	1063.39	19.200888
14_208_000064_000011	I would fifty times rather you should have them than myself."	I would fifty times rather you should have them than myself."	true	1063.52	1066.78	17.482527
14_208_000065_000000	And now I may dismiss my heroine to the sleepless couch, which is the true heroine's portion; to a pillow strewed with thorns and wet with tears.	And now I may dismiss my heroine to the sleepless couch, which is the true heroine's portion; to a pillow strewed with thorns and wet with tears.	true	1068.41	1076.89	18
14_208_000065_000001	And lucky may she think herself, if she get another good night's rest in the course of the next three months.	And lucky may she think herself, if she get another good night's rest in the course of the next three months.	false	1077.35	1087.26	18.958088
14_208_000066_000000	CHAPTER 12	CHAPTER twelve	false	1087.26	1091.91	15.139585
