7145_87280_000000_000000	_CHAPTER VII_	underscore CHAPTER seven underscore	false	0	16.32	22.889149
7145_87280_000045_000000	"When will he leave?" whispered Mary, shyly confessing all by her question.	"When will he leave?" whispered Mary, shyly confessing all by her question.	false	1174.02	1181.23	20.044773
7145_87280_000046_000000	"I do not know," responded Jane, "but he will see you before he goes."	"I do not know," responded Jane, "but he will see you before he goes."	false	1182.68	1188.37	19.21968
7145_87280_000047_000000	"Do you believe he will?"	"Do you believe he will?"	true	1189.19	1190.56	22.90033
7145_87280_000048_000000	"I know it;" and with this consolation Mary softly wept herself to sleep.	"I know it;" and with this consolation Mary softly wept herself to sleep.	true	1192.07	1197.97	22.89765
7145_87280_000049_000000	After this, for a few days, Mary was quiet enough.	After this, for a few days, Mary was quiet enough.	true	1199.99	1203.43	25.6082
7145_87280_000049_000001	Her irritable mood had vanished, but Jane could see that she was on the lookout for some one all the time, although she made the most pathetic little efforts to conceal her watchfulness.	Her irritable mood had vanished, but Jane could see that she was on the lookout for some one all the time, although she made the most pathetic little efforts to conceal her watchfulness.	true	1203.5	1214.29	20
7145_87280_000050_000000	At last a meeting came about in this way: Next to the king's bed-chamber was a luxuriously furnished little apartment with a well-selected library.	At last a meeting came about in this way: Next to the king's bed chamber was a luxuriously furnished little apartment with a well selected library.	false	1215.17	1223.61	18
7145_87280_000050_000001	Here Brandon and I often went, afternoons, to read, as we were sure to be undisturbed.	Here Brandon and I often went, afternoons, to read, as we were sure to be undisturbed.	false	1223.61	1229.71	21.721575
7145_87280_000051_000000	Late one day Brandon had gone over to this quiet retreat, and having selected a volume, took his place in a secluded little alcove half hidden in arras draperies.	Late one day Brandon had gone over to this quiet retreat, and having selected a volume, took his place in a secluded little alcove half hidden in arras draperies.	true	1230.23	1240.48	21.334778
7145_87280_000051_000001	There was a cushioned seat along the wall and a small diamond-shaped window to furnish light.	There was a cushioned seat along the wall and a small diamond shaped window to furnish light.	true	1241.15	1246.3	19.848764
7145_87280_000052_000000	He had not been there long when in came Mary.	He had not been there long when in came Mary.	true	1247.03	1250.11	20.317638
7145_87280_000052_000001	I can not say whether she knew Brandon was there or not, but she was there and he was there, which is the only thing to the point, and finding him, she stepped into the alcove before he was aware of her presence.	I can not say whether she knew Brandon was there or not, but she was there and he was there, which is the only thing to the point, and finding him, she stepped into the alcove before he was aware of her presence.	false	1250.63	1263.76	20.7674
7145_87280_000053_000000	Brandon was on his feet in an instant, and with a low bow was backing himself out most deferentially, to leave her in sole possession if she wished to rest.	Brandon was on his feet in an instant, and with a low bow was backing himself out most deferentially, to leave her in sole possession if she wished to rest.	true	1265.15	1275.31	21.835648
7145_87280_000054_000000	"Master Brandon, you need not go.	"Master Brandon, you need not go.	true	1276.31	1278.49	20
7145_87280_000054_000001	I will not hurt you.	I will not hurt you.	true	1278.86	1280.34	18.600803
7145_87280_000054_000002	Besides, if this place is not large enough for us both, I will go.	Besides, if this place is not large enough for us both, I will go.	false	1280.34	1285	21.601313
7145_87280_000054_000003	I would not disturb you." She spoke with a tremulous voice and a quick, uneasy glance, and started to move backward out of the alcove.	I would not disturb you." She spoke with a tremulous voice and a quick, uneasy glance, and started to move backward out of the alcove.	true	1285.07	1294.02	20.745064
7145_87280_000055_000000	"Lady Mary, how can you speak so?	"Lady Mary, how can you speak so?	false	1294.02	1296.82	22.430967
7145_87280_000055_000001	You know--you must know--oh!	You know-you must know-oh!	true	1297.07	1300.08	20.962067
7145_87280_000055_000002	I beg you--" But she interrupted him by taking his arm and drawing him to a seat beside her on the cushion.	I beg you-" But she interrupted him by taking his arm and drawing him to a seat beside her on the cushion.	true	1300.08	1307.29	20.13933
7145_87280_000055_000003	She could have drawn down the Colossus of Rhodes with the look she gave Brandon, so full was it of command, entreaty and promise.	She could have drawn down the Colossus of Rhodes with the look she gave Brandon, so full was it of command, entreaty and promise.	false	1307.42	1315.9	21
7145_87280_000056_000000	"That's it; I don't know, but I want to know; and I want you to sit here beside me and tell me.	"That's it; I don't know, but I want to know; and I want you to sit here beside me and tell me.	true	1317.47	1323.76	21.86992
7145_87280_000056_000001	I am going to be reconciled with you, despite the way you treated me when last we met.	I am going to be reconciled with you, despite the way you treated me when last we met.	true	1324.34	1329.07	21.789946
7145_87280_000056_000002	I am going to be friends with you whether you will or not.	I am going to be friends with you whether you will or not.	true	1329.41	1333.09	22
7145_87280_000056_000003	Now what do you say to that, sir?" She spoke with a fluttering little laugh of uneasy non-assurance, which showed that her heart was not nearly so confident nor so bold as her words would make believe.	Now what do you say to that, sir?" She spoke with a fluttering little laugh of uneasy non assurance, which showed that her heart was not nearly so confident nor so bold as her words would make believe.	false	1333.85	1347.37	20.34026
7145_87280_000056_000004	Poor Brandon, usually so ready, had nothing "to say to that," but sat in helpless silence.	Poor Brandon, usually so ready, had nothing "to say to that," but sat in helpless silence.	true	1348.85	1354.96	20.643808
7145_87280_000057_000000	Was this the sum total of all his wise determinations made at the cost of so much pain and effort?	Was this the sum total of all his wise determinations made at the cost of so much pain and effort?	true	1356.56	1362.55	17
7145_87280_000057_000001	Was this the answer to all his prayers, "Lead me not into temptation"?	Was this the answer to all his prayers, "Lead me not into temptation"?	true	1362.89	1367.77	21.612488
7145_87280_000057_000002	He had done his part, for he had done all he could.	He had done his part, for he had done all he could.	true	1368.2	1371.46	21.46848
7145_87280_000057_000003	Heaven had not helped him, since here was temptation thrust upon him when least expected, and when the way was so narrow he could not escape, but must meet it face to face.	Heaven had not helped him, since here was temptation thrust upon him when least expected, and when the way was so narrow he could not escape, but must meet it face to face.	true	1371.74	1384.09	20.596367
7145_87280_000058_000000	Mary soon recovered her self-possession--women are better skilled in this art than men--and continued:	Mary soon recovered her self possession-women are better skilled in this art than men-and continued:	true	1385.9	1393.24	22.7074
7145_87280_000059_000000	"I am not intending to say one word about your treatment of me that day over in the forest, although it was very bad, and you have acted abominably ever since.	"I am not intending to say one word about your treatment of me that day over in the forest, although it was very bad, and you have acted abominably ever since.	true	1394.03	1405.15	20.721994
7145_87280_000059_000001	Now is not that kind in me?" And she softly laughed as she peeped up at the poor fellow from beneath those sweeping lashes, with the premeditated purpose of tantalizing him, I suppose.	Now is not that kind in me?" And she softly laughed as she peeped up at the poor fellow from beneath those sweeping lashes, with the premeditated purpose of tantalizing him, I suppose.	false	1405.73	1418.05	20.87382
7145_87280_000059_000002	She was beginning to know her power over him, and it was never greater than at this moment.	She was beginning to know her power over him, and it was never greater than at this moment.	true	1418.63	1423.45	20
7145_87280_000059_000003	Her beauty had its sweetest quality, for the princess was sunk and the woman was dominant, with flushed face and flashing eyes that caught a double luster from the glowing love that made her heart beat so fast.	Her beauty had its sweetest quality, for the princess was sunk and the woman was dominant, with flushed face and flashing eyes that caught a double luster from the glowing love that made her heart beat so fast.	true	1423.91	1439.05	21.396055
7145_87280_000059_000004	Her gown, too, was the best she could have worn to show her charms.	Her gown, too, was the best she could have worn to show her charms.	true	1439.24	1443.46	20
7145_87280_000059_000005	She must have known Brandon was there, and must have dressed especially to go to him.	She must have known Brandon was there, and must have dressed especially to go to him.	true	1443.92	1449.04	19
7145_87280_000059_000006	She wore her favorite long flowing outer sleeve, without the close fitting inner one.	She wore her favorite long flowing outer sleeve, without the close fitting inner one.	true	1449.41	1454.62	20
7145_87280_000059_000007	It was slit to the shoulder, and gave entrancing glimpses of her arms with every movement, leaving them almost bare when she lifted her hands, which was often, for she was as full of gestures as a Frenchwoman.	It was slit to the shoulder, and gave entrancing glimpses of her arms with every movement, leaving them almost bare when she lifted her hands, which was often, for she was as full of gestures as a Frenchwoman.	true	1454.75	1467.64	21.891594
7145_87280_000059_000008	Her bodice was cut low, both back and front, showing her large perfectly molded throat and neck, like an alabaster pillar of beauty and strength, and disclosing her bosom just to its shadowy incurving, white and billowy as drifted snow.	Her bodice was cut low, both back and front, showing her large perfectly molded throat and neck, like an alabaster pillar of beauty and strength, and disclosing her bosom just to its shadowy incurving, white and billowy as drifted snow.	true	1468.4	1485.01	22.09644
7145_87280_000059_000009	Her hair was thrown back in an attempt at a coil, though, like her own rebellious nature, it could not brook restraint, and persistently escaped in a hundred little curls that fringed her face and lay upon the soft white nape of her neck like fluffy shreds of sun-lit floss on new cut ivory.	Her hair was thrown back in an attempt at a coil, though, like her own rebellious nature, it could not brook restraint, and persistently escaped in a hundred little curls that fringed her face and lay upon the soft white nape of her neck like fluffy shreds of sun lit floss on new cut ivory.	true	1485.74	1505.47	21.992083
7145_87280_000060_000000	With the mood that was upon her, I wonder Brandon maintained his self-restraint even for a moment.	With the mood that was upon her, I wonder Brandon maintained his self restraint even for a moment.	true	1506.02	1511.71	18
7145_87280_000060_000001	He felt that his only hope lay in silence, so he sat beside her and said nothing.	He felt that his only hope lay in silence, so he sat beside her and said nothing.	true	1512.14	1517.41	21
7145_87280_000060_000002	He told me long afterwards that while sitting there in the intervals between her speech, the oddest, wildest thoughts ran through his brain.	He told me long afterwards that while sitting there in the intervals between her speech, the oddest, wildest thoughts ran through his brain.	true	1517.81	1525.93	19
7145_87280_000060_000003	He wondered how he could escape.	He wondered how he could escape.	true	1526.3	1528.26	19.515747
7145_87280_000060_000004	He thought of the window, and that possibly he might break away through it, and then he thought of feigning illness, and a hundred other absurd schemes, but they all came to nothing, and he sat there to let events take their own course as they seemed determined to do in spite of him.	He thought of the window, and that possibly he might break away through it, and then he thought of feigning illness, and a hundred other absurd schemes, but they all came to nothing, and he sat there to let events take their own course as they seemed determined to do in spite of him.	true	1528.26	1543.45	20.357943
7145_87280_000061_000000	After a short silence, Mary continued, half banteringly: "Answer me, sir!	After a short silence, Mary continued, half banteringly: "Answer me, sir!	true	1544.36	1550.16	21.815954
7145_87280_000061_000001	I will have no more of this.	I will have no more of this.	true	1550.16	1551.86	14
7145_87280_000061_000002	You shall treat me at least with the courtesy you would show a bourgeoise girl."	You shall treat me at least with the courtesy you would show a bourgeoise girl."	false	1551.86	1555.69	18
7145_87280_000062_000000	"Oh, that you were only a burgher's daughter."	"Oh, that you were only a burgher's daughter."	true	1556.42	1558.99	19
7145_87280_000063_000000	"Yes, I know all that; but I am not.	"Yes, I know all that; but I am not.	true	1559.99	1562.37	21.902817
7145_87280_000063_000001	It can't be helped, and you shall answer me."	It can't be helped, and you shall answer me."	true	1562.37	1565.14	20.221487
7145_87280_000064_000000	"There is no answer, dear lady--I beg you--oh, do you not see--"	"There is no answer, dear lady-I beg you-oh, do you not see-"	true	1566.08	1571.41	21
7145_87280_000065_000000	"Yes, yes; but answer my question; am I not kind--more than you deserve?"	"Yes, yes; but answer my question; am I not kind-more than you deserve?"	true	1571.99	1578.73	21.83365
7145_87280_000066_000000	"Indeed, yes; a thousand times.	"Indeed, yes; a thousand times.	true	1578.95	1581.91	21.110823
7145_87280_000066_000001	You have always been so kind, so gracious and so condescending to me that I can only thank you, thank you, thank you," answered Brandon, almost shyly; not daring to lift his eyes to hers.	You have always been so kind, so gracious and so condescending to me that I can only thank you, thank you, thank you," answered Brandon, almost shyly; not daring to lift his eyes to hers.	true	1582.16	1596.73	20.506245
7145_87280_000067_000000	Mary saw the manner quickly enough--what woman ever missed it, much less so keen-eyed a girl as she--and it gave her confidence, and brought back the easy banter of her old time manner.	Mary saw the manner quickly enough-what woman ever missed it, much less so keen eyed a girl as she-and it gave her confidence, and brought back the easy banter of her old time manner.	true	1597.85	1609.81	21.24409
7145_87280_000068_000000	"How modest we have become!	"How modest we have become!	true	1610.54	1612.69	23.865608
7145_87280_000068_000001	Where is the boldness of which we used to have so much?	Where is the boldness of which we used to have so much?	true	1612.88	1616.11	18.356157
7145_87280_000068_000002	Kind?	Kind?	true	1616.57	1617.56	21.874813
7145_87280_000068_000003	Have I always been so?	Have I always been so?	true	1617.56	1619.08	24.400135
7145_87280_000068_000004	How about the first time I met you?	How about the first time I met you?	true	1619.18	1621.03	20.89855
7145_87280_000068_000005	Was I kind then?	Was I kind then?	true	1621.07	1622.44	22.447414
7145_87280_000068_000006	And as to condescension, don't--don't use that word between us."	And as to condescension, don't-don't use that word between us."	true	1623.11	1628.26	21.730722
7145_87280_000069_000000	"No," returned Brandon, who, in his turn, was recovering himself, "no, I can't say that you were very kind at first.	"No," returned Brandon, who, in his turn, was recovering himself, "no, I can't say that you were very kind at first.	true	1628.99	1636.66	21.31941
7145_87280_000069_000001	How you did fly out at me and surprise me.	How you did fly out at me and surprise me.	true	1637.45	1639.99	21
7145_87280_000069_000002	It was so unexpected it almost took me off my feet," and they both laughed in remembering the scene of their first meeting.	It was so unexpected it almost took me off my feet," and they both laughed in remembering the scene of their first meeting.	true	1640.6	1647.94	21.339476
7145_87280_000069_000003	"No, I can't say your kindness showed itself very strongly in that first interview, but it was there nevertheless, and when Lady Jane led me back, your real nature asserted itself, as it always does, and you were kind to me; kind as only you can be."	"No, I can't say your kindness showed itself very strongly in that first interview, but it was there nevertheless, and when Lady Jane led me back, your real nature asserted itself, as it always does, and you were kind to me; kind as only you can be."	true	1648.22	1663.75	22.108942
7145_87280_000070_000000	That was getting very near to the sentimental; dangerously near, he thought; and he said to himself: "If this does not end quickly I shall have to escape."	That was getting very near to the sentimental; dangerously near, he thought; and he said to himself: "If this does not end quickly I shall have to escape."	false	1664.21	1674.85	21.262606
7145_87280_000071_000000	"You are easily satisfied if you call that good," laughingly returned Mary.	"You are easily satisfied if you call that good," laughingly returned Mary.	true	1675.7	1680.43	22.734182
7145_87280_000071_000001	"I can be ever so much better than that if I try."	"I can be ever so much better than that if I try."	true	1680.83	1684	21
7145_87280_000072_000000	"Let me see you try," said Brandon.	"Let me see you try," said Brandon.	true	1684.58	1687.12	21.688465
7145_87280_000073_000000	"Why, I'm trying now," answered Mary with a distracting little pout. "Don't you know genuine out-and-out goodness when you see it?	"Why, I'm trying now," answered Mary with a distracting little pout. "Don't you know genuine out and out goodness when you see it?	true	1687.49	1694.98	20.221203
7145_87280_000073_000001	I'm doing my very best now.	I'm doing my very best now.	true	1695.35	1697.5	20.291733
7145_87280_000073_000002	Can't you tell?"	Can't you tell?"	true	1697.51	1698.61	23.392862
7145_87280_000074_000000	"Yes, I think I recognize it; but--but--be bad again."	"Yes, I think I recognize it; but-but-be bad again."	true	1699.79	1704.4	21.612581
7145_87280_000075_000000	"No, I won't!	"No, I won't!	true	1705.37	1706.62	19.211369
7145_87280_000075_000001	I will not be bad even to please you; I have determined not to be bad and I will not--not even to be good.	I will not be bad even to please you; I have determined not to be bad and I will not-not even to be good.	true	1706.72	1712.89	21.268936
7145_87280_000075_000002	This," placing her hand over her heart, "is just full of 'good' to-day," and her lips parted as she laughed at her own pleasantry.	This," placing her hand over her heart, "is just full of 'good' to day," and her lips parted as she laughed at her own pleasantry.	true	1713.11	1721.92	23.00961
7145_87280_000076_000000	"I am afraid you had better be bad--I give you fair warning," said Brandon huskily.	"I am afraid you had better be bad-I give you fair warning," said Brandon huskily.	true	1723.13	1728.82	20.560726
7145_87280_000076_000001	He felt her eyes upon him all the time, and his strength and good resolves were oozing out like wine from an ill-coppered cask.	He felt her eyes upon him all the time, and his strength and good resolves were oozing out like wine from an ill coppered cask.	true	1729.31	1737.22	20.174728
7145_87280_000076_000002	After a short silence Mary continued, regardless of the warning:	After a short silence Mary continued, regardless of the warning:	true	1737.44	1741.69	21.510237
7145_87280_000077_000000	"But the position is reversed with us; at first I was unkind to you, and you were kind to me, but now I am kind to you and you are unkind to me."	"But the position is reversed with us; at first I was unkind to you, and you were kind to me, but now I am kind to you and you are unkind to me."	true	1742.63	1753.15	20.281332
7145_87280_000078_000000	"I can come back at you with your own words," responded Brandon.	"I can come back at you with your own words," responded Brandon.	true	1754.45	1757.8	19
7145_87280_000078_000001	"You don't know when I am kind to you.	"You don't know when I am kind to you.	true	1758.5	1760.56	20.83887
7145_87280_000078_000002	I should be kinder to myself, at least, were I to leave you and take myself to the other side of the world."	I should be kinder to myself, at least, were I to leave you and take myself to the other side of the world."	true	1760.63	1767.67	20.779102
7145_87280_000079_000000	"Oh! that is one thing I wanted to ask you about.	"Oh! that is one thing I wanted to ask you about.	true	1768.61	1771.48	18.746393
7145_87280_000079_000001	Jane tells me you are going to New Spain?"	Jane tells me you are going to New Spain?"	true	1771.79	1774.18	21.051626
7145_87280_000080_000000	She was anxious to know, but asked the question partly to turn the conversation which was fast becoming perilous.	She was anxious to know, but asked the question partly to turn the conversation which was fast becoming perilous.	true	1775.03	1781.02	20.432734
7145_87280_000080_000001	As a girl, she loved Brandon, and knew it only too well, but she knew also that she was a princess, standing next to the throne of the greatest kingdom on earth; in fact, at that time, the heir apparent--Henry having no children--for the people would not have the Scotch king's imp--and the possibility of such a thing as a union with Brandon had never entered her head, however passionate her feelings toward him.	As a girl, she loved Brandon, and knew it only too well, but she knew also that she was a princess, standing next to the throne of the greatest kingdom on earth; in fact, at that time, the heir apparent-Henry having no children-for the people would not have the Scotch king's imp-and the possibility of such a thing as a union with Brandon had never entered her head, however passionate her feelings toward him.	true	1781.36	1806.28	21.349579
7145_87280_000080_000002	She also knew that speaking a thought vitalizes it and gives it force; so, although she could not deny herself the pleasure of being near him, of seeing him, and hearing the tones of his voice, and now and then feeling the thrill of an accidental touch, she had enough good sense to know that a mutual confession, that is, taking it for granted Brandon loved her, as she felt almost sure he did, must be avoided at all hazards.	She also knew that speaking a thought vitalizes it and gives it force; so, although she could not deny herself the pleasure of being near him, of seeing him, and hearing the tones of his voice, and now and then feeling the thrill of an accidental touch, she had enough good sense to know that a mutual confession, that is, taking it for granted Brandon loved her, as she felt almost sure he did, must be avoided at all hazards.	false	1806.62	1835.26	21.197271
7145_87280_000080_000003	It was not to be thought of between people so far apart as they.	It was not to be thought of between people so far apart as they.	true	1835.6	1839.1	21.232199
7145_87280_000080_000004	The brink was a delightful place, full of all the sweet ecstasies and thrilling joys of a seventh heaven, but over the brink--well! there should be no "over," for who was she?	The brink was a delightful place, full of all the sweet ecstasies and thrilling joys of a seventh heaven, but over the brink-well! there should be no "over," for who was she?	true	1839.68	1852.01	21.16689
7145_87280_000080_000005	And who was he?	And who was he?	true	1852.01	1853.26	24.082556
7145_87280_000080_000006	Those two dreadfully stubborn facts could not be forgotten, and the gulf between them could not be spanned; she knew that only too well.	Those two dreadfully stubborn facts could not be forgotten, and the gulf between them could not be spanned; she knew that only too well.	true	1853.63	1862.11	22.255722
7145_87280_000080_000007	No one better.	No one better.	true	1862.15	1863.43	21.914612
7145_87280_000081_000000	Brandon answered her question: "I do not know about going; I think I shall.	Brandon answered her question: "I do not know about going; I think I shall.	true	1864.61	1870.51	21.177149
7145_87280_000081_000001	I have volunteered with a ship that sails in two or three weeks from Bristol, and I suppose I shall go."	I have volunteered with a ship that sails in two or three weeks from Bristol, and I suppose I shall go."	false	1870.79	1876.84	22.465704
7145_87280_000082_000000	"Oh, no! do you really mean it?"	"Oh, no! do you really mean it?"	true	1878.26	1880.2	19.225021
7145_87280_000082_000001	It gave her a pang to hear that he was actually going, and her love pulsed higher; but she also felt a sense of relief, somewhat as a conscientious house-breaker might feel upon finding the door securely locked against him.	It gave her a pang to hear that he was actually going, and her love pulsed higher; but she also felt a sense of relief, somewhat as a conscientious house breaker might feel upon finding the door securely locked against him.	true	1880.54	1893.91	21.421005
7145_87280_000082_000002	It would take away a temptation which she could not resist, and yet dared not yield to much longer.	It would take away a temptation which she could not resist, and yet dared not yield to much longer.	true	1894.55	1900.12	20.498928
7145_87280_000083_000000	"I think there is no doubt that I mean it," replied Brandon.	"I think there is no doubt that I mean it," replied Brandon.	true	1900.31	1903.84	23.599623
7145_87280_000083_000001	"I should like to remain in England until I can save enough money out of the king's allowance to pay the debt against my father's estate, so that I may be able to go away and feel that my brother and sisters are secure in their home--my brother is not strong--but I know it is better for me to go now, and I hope to find the money out there.	"I should like to remain in England until I can save enough money out of the king's allowance to pay the debt against my father's estate, so that I may be able to go away and feel that my brother and sisters are secure in their home-my brother is not strong-but I know it is better for me to go now, and I hope to find the money out there.	true	1904	1922.95	21.241684
7145_87280_000083_000002	I could have paid it with what I lost to Judson before I discovered him cheating." This was the first time he had ever alluded to the duel, and the thought of it, in Mary's mind, added a faint touch of fear to her feeling toward him.	I could have paid it with what I lost to Judson before I discovered him cheating." This was the first time he had ever alluded to the duel, and the thought of it, in Mary's mind, added a faint touch of fear to her feeling toward him.	true	1923.35	1936.69	20.995518
7145_87280_000084_000000	She looked up with a light in her eyes and asked: "What is the debt? How much?	She looked up with a light in her eyes and asked: "What is the debt? How much?	true	1937.54	1943.86	21.781687
7145_87280_000084_000001	Let me give you the money.	Let me give you the money.	true	1944.08	1945.45	19.352558
7145_87280_000084_000002	I have so much more than I need. Let me pay it.	I have so much more than I need. Let me pay it.	false	1945.61	1949.79	19.625786
7145_87280_000084_000003	Please tell me how much it is and I will hand it to you.	Please tell me how much it is and I will hand it to you.	true	1949.79	1952.44	20
7145_87280_000084_000004	You can come to my rooms and get it or I will send it to you.	You can come to my rooms and get it or I will send it to you.	true	1953.05	1956.25	16
7145_87280_000084_000005	Now tell me that I may.	Now tell me that I may.	true	1956.71	1958.44	21.422516
7145_87280_000084_000006	Quickly." And she was alive with enthusiastic interest.	Quickly." And she was alive with enthusiastic interest.	true	1958.44	1962.4	20.493374
7145_87280_000085_000000	"There now! you are kind again; as kind as even you can be.	"There now! you are kind again; as kind as even you can be.	false	1963.13	1966.84	19
7145_87280_000085_000001	Be sure, I thank you, though I say it only once," and he looked into her eyes with a gaze she could not stand even for an instant.	Be sure, I thank you, though I say it only once," and he looked into her eyes with a gaze she could not stand even for an instant.	true	1967.18	1975.42	21.787941
7145_87280_000085_000002	This was growing dangerous again, so, catching himself, he turned the conversation back into the bantering vein.	This was growing dangerous again, so, catching himself, he turned the conversation back into the bantering vein.	false	1975.79	1982.08	20.38169
7145_87280_000086_000000	"Ah! you want to pay the debt that I may have no excuse to remain?	"Ah! you want to pay the debt that I may have no excuse to remain?	true	1983.41	1987.12	12
7145_87280_000086_000001	Is that it?	Is that it?	true	1987.12	1988.02	22.49016
7145_87280_000086_000002	Perhaps you are not so kind after all."	Perhaps you are not so kind after all."	true	1988.18	1990.54	21.174679
7145_87280_000087_000000	"No! no! you know better.	"No! no! you know better.	true	1990.97	1992.79	18.91738
7145_87280_000087_000001	But let me pay the debt.	But let me pay the debt.	true	1992.95	1994.29	17.797161
7145_87280_000087_000002	How much is it and to whom is it owing?	How much is it and to whom is it owing?	true	1994.33	1996.96	20.73935
7145_87280_000087_000003	Tell me at once, I command you."	Tell me at once, I command you."	true	1997.24	1999.32	18.620691
7145_87280_000088_000000	"No! no! Lady Mary, I cannot."	"No! no! Lady Mary, I cannot."	false	1999.32	2002.69	19.134758
7145_87280_000089_000000	"Please do.	"Please do.	true	2003.24	2004.29	28.046766
7145_87280_000089_000001	I beg--if I cannot command.	I beg-if I cannot command.	true	2004.29	2006.53	20
7145_87280_000089_000002	Now I know you will; you would not make me _beg_ twice for anything?" She drew closer to him as she spoke and put her hand coaxingly upon his arm.	Now I know you will; you would not make me underscore beg underscore twice for anything?" She drew closer to him as she spoke and put her hand coaxingly upon his arm.	false	2006.84	2016.28	19.618227
7145_87280_000089_000003	With an irresistible impulse he took the hand in his and lifted it to his lips in a lingering caress that could not be mistaken.	With an irresistible impulse he took the hand in his and lifted it to his lips in a lingering caress that could not be mistaken.	true	2016.83	2023.51	15
7145_87280_000089_000004	It was all so quick and so full of fire and meaning that Mary took fright, and the princess, for the moment, came uppermost.	It was all so quick and so full of fire and meaning that Mary took fright, and the princess, for the moment, came uppermost.	false	2024.3	2032.69	22.648577
7145_87280_000090_000000	"Master Brandon!" she exclaimed sharply, and drew away her hand. Brandon dropped the hand and moved over on the seat.	"Master Brandon!" she exclaimed sharply, and drew away her hand. Brandon dropped the hand and moved over on the seat.	true	2032.79	2040.19	21.322598
7145_87280_000090_000001	He did not speak, but turned his face from her and looked out of the window toward the river.	He did not speak, but turned his face from her and looked out of the window toward the river.	true	2040.53	2045.32	19
7145_87280_000090_000002	Thus they sat in silence, Brandon's hand resting listlessly upon the cushion between them.	Thus they sat in silence, Brandon's hand resting listlessly upon the cushion between them.	false	2045.42	2050.93	20.9089
7145_87280_000090_000003	Mary saw the eloquent movement away from her and his speaking attitude, with averted face; then the princess went into eclipse, and the imperial woman was ascendant once more.	Mary saw the eloquent movement away from her and his speaking attitude, with averted face; then the princess went into eclipse, and the imperial woman was ascendant once more.	true	2051.33	2062.54	20.75744
7145_87280_000090_000004	She looked at him for a brief space with softening eyes, and, lifting her hand, put it back in his, saying:	She looked at him for a brief space with softening eyes, and, lifting her hand, put it back in his, saying:	true	2062.97	2069.68	22.627811
7145_87280_000091_000000	"There it is again--if you want it."	"There it is again-if you want it."	false	2070.41	2072.76	22.579697
7145_87280_000092_000000	Want it?	Want it?	false	2072.76	2074.44	39.83567
7145_87280_000092_000001	Ah! this was too much!	Ah! this was too much!	false	2074.44	2076.61	24.996082
7145_87280_000092_000002	The hand would not satisfy now; it must be all, all!	The hand would not satisfy now; it must be all, all!	true	2076.68	2080.9	23.180666
7145_87280_000092_000003	And he caught her to his arms with a violence that frightened her.	And he caught her to his arms with a violence that frightened her.	true	2081.24	2085.81	19.390457
7145_87280_000093_000000	"Please don't, please!	"Please don't, please!	false	2085.81	2087.62	23.388067
7145_87280_000093_000001	Not this time.	Not this time.	true	2087.63	2088.75	21.851633
7145_87280_000093_000002	Ah! have mercy, Charl--Well! There!...	Ah! have mercy, Charl-Well! There!...	false	2088.75	2093.01	19.84614
7145_87280_000093_000003	There!...	There!...	false	2093.01	2094.33	15
7145_87280_000093_000004	Mary mother, forgive me." Then her woman spirit fell before the whirlwind of his passion, and she was on his breast with her white arms around his neck, paying the same tribute to the little blind god that he would have exacted from the lowliest maiden of the land.	Mary mother, forgive me." Then her woman spirit fell before the whirlwind of his passion, and she was on his breast with her white arms around his neck, paying the same tribute to the little blind god that he would have exacted from the lowliest maiden of the land.	true	2094.33	2110.36	20.755022
7145_87280_000093_000005	Just as though it were not the blood of fifty kings and queens that made so red and sweet, aye, sweet as nectar thrice distilled, those lips which now so freely paid their dues in coined bliss.	Just as though it were not the blood of fifty kings and queens that made so red and sweet, aye, sweet as nectar thrice distilled, those lips which now so freely paid their dues in coined bliss.	true	2111.36	2123.74	21
7145_87280_000094_000000	Brandon held the girl for a moment or two, then fell upon his knees and buried his face in her lap.	Brandon held the girl for a moment or two, then fell upon his knees and buried his face in her lap.	true	2124.89	2130.28	18.578104
7145_87280_000095_000000	"Heaven help me!" he cried.	"Heaven help me!" he cried.	true	2131.46	2133.76	21.673601
7145_87280_000096_000000	She pushed the hair back from his forehead with her hand and as she fondled the curls, leaned over him and softly whispered:	She pushed the hair back from his forehead with her hand and as she fondled the curls, leaned over him and softly whispered:	false	2134.07	2141.47	21.576216
7145_87280_000097_000000	"Heaven help us both; for I love you!"	"Heaven help us both; for I love you!"	true	2142.2	2144.61	21.451347
7145_87280_000098_000000	He sprang to his feet.	He sprang to his feet.	false	2144.61	2146.81	19.61354
7145_87280_000098_000001	"Don't! don't!	"Don't! don't!	true	2147.24	2148.32	24.289286
7145_87280_000098_000002	I pray you," he said wildly, and almost ran from her.	I pray you," he said wildly, and almost ran from her.	true	2148.32	2152.12	17.892702
7145_87280_000099_000000	Mary followed him nearly to the door of the room, but when he turned he saw that she had stopped, and was standing with her hands over her face, as if in tears.	Mary followed him nearly to the door of the room, but when he turned he saw that she had stopped, and was standing with her hands over her face, as if in tears.	true	2152.43	2161.24	20
