7910_80534_000000_000000	'Sidney!	'Sidney!	false	1.35	1.8	20.350487
7910_80534_000070_000000	'Oh no! Do you think I'm going to burden you all the rest of my life?	'Oh no! Do you think I'm going to burden you all the rest of my life?	true	909.95	914.44	24.448605
7910_80534_000070_000001	I shall find some way of earning a living, and then I shall go and get a room for myself.'	I shall find some way of earning a living, and then I shall go and get a room for myself.'	true	914.48	919.36	22.908686
7910_80534_000071_000000	'Now don't--now don't talk like that!' exclaimed her father, putting his hand on her.	'Now don't-now don't talk like that!' exclaimed her father, putting his hand on her.	true	919.73	925.06	23.557926
7910_80534_000071_000001	'You shall do what else you like, my girl, but don't talk about goin' away from me.	'You shall do what else you like, my girl, but don't talk about goin' away from me.	true	925.31	929.44	29.183737
7910_80534_000071_000002	That's the one thing as I couldn't bear. I ain't so young as I was, and I've had things as was hard to go through--I mean when the mother died and--and other things at that time.	That's the one thing as I couldn't bear. I ain't so young as I was, and I've had things as was hard to go through-I mean when the mother died and-and other things at that time.	true	929.57	939.82	23.944174
7910_80534_000071_000003	Let you an' me stay by each other whilst we may, my girl.	Let you an' me stay by each other whilst we may, my girl.	true	940.22	943.51	23.44829
7910_80534_000071_000004	You know it was always you as I thought most of, and I want to keep you by me--I do, Clara.	You know it was always you as I thought most of, and I want to keep you by me-I do, Clara.	false	943.76	949.11	22.87495
7910_80534_000071_000005	You won't speak about goin' away?'	You won't speak about goin' away?'	true	949.11	950.92	25.71603
7910_80534_000072_000000	She remained mute.	She remained mute.	true	951.53	952.99	32.56498
7910_80534_000072_000001	Shadows from the firelight rose and fell upon the walls of the half-darkened room.	Shadows from the firelight rose and fell upon the walls of the half darkened room.	true	953.3	958.03	23.963009
7910_80534_000072_000002	It was a cloudy morning; every now and then a gust flung rain against the window.	It was a cloudy morning; every now and then a gust flung rain against the window.	true	958.31	963.4	19.208479
7910_80534_000073_000000	'If you went,' he continued, huskily, 'I should be afraid myself.	'If you went,' he continued, huskily, 'I should be afraid myself.	true	963.74	968.29	23.932005
7910_80534_000073_000001	I haven't told you.	I haven't told you.	true	968.33	969.615	25.889324
7910_80534_000073_000002	I didn't behave as I'd ought have done to the poor mother, Clara; I got into drinkin' too much; yes, I did.	I didn't behave as I'd ought have done to the poor mother, Clara; I got into drinkin' too much; yes, I did.	false	969.615	976	24.933647
7910_80534_000073_000003	I've broke myself off that; but if you was to leave me--I've had hard things to go through.	I've broke myself off that; but if you was to leave me-I've had hard things to go through.	true	976.07	981.76	30.857243
7910_80534_000073_000004	Do you know the Burial Club broke up just before she died?	Do you know the Burial Club broke up just before she died?	true	982.1	985.3	30.929287
7910_80534_000073_000005	I couldn't get not a ha'penny!	I couldn't get not a ha'penny!	true	985.55	987.34	25.008614
7910_80534_000073_000006	A lot o' the money was stolen.	A lot o' the money was stolen.	false	987.47	989.26	22.098576
7910_80534_000073_000007	You may think how I felt, Clara, with her lyin' there, and I hadn't got as much as would pay for a coffin.	You may think how I felt, Clara, with her lyin' there, and I hadn't got as much as would pay for a coffin.	true	989.66	995.38	23.411154
7910_80534_000073_000008	It was Sidney Kirkwood found the money--he did!	It was Sidney Kirkwood found the money-he did!	true	995.63	998.265	24.13686
7910_80534_000073_000009	There was never man had as good a friend as he's been to me; I shall never have a chance of payin' what I owe him.	There was never man had as good a friend as he's been to me; I shall never have a chance of payin' what I owe him.	false	998.265	1004.85	21.53627
7910_80534_000073_000010	Things is better with me now, but I'd rather beg my bread in the streets than you should go away.	Things is better with me now, but I'd rather beg my bread in the streets than you should go away.	true	1004.85	1009.75	24.23551
7910_80534_000073_000011	Don't be afraid, my dearest.	Don't be afraid, my dearest.	true	1010.06	1011.85	20.631258
7910_80534_000073_000012	I promise you nobody shan't come near.	I promise you nobody shan't come near.	true	1011.86	1014.22	22.13658
7910_80534_000073_000013	You won't mind Mrs. Eagles; she's very good to the children.	You won't mind mrs Eagles; she's very good to the children.	true	1014.35	1017.93	23.616707
7910_80534_000073_000014	But I must keep you near to me, my poor girl!'	But I must keep you near to me, my poor girl!'	false	1017.93	1020.5	26.813904
7910_80534_000074_000000	Perhaps sit was that word of pity--though the man's shaken voice was throughout deeply moving.	Perhaps sit was that word of pity-though the man's shaken voice was throughout deeply moving.	false	1020.5	1026	23.056904
7910_80534_000074_000001	For the first time since the exultant hope of her life was blasted, Clara shed tears.	For the first time since the exultant hope of her life was blasted, Clara shed tears.	false	1026	1033.98	23.82355
7910_80534_000075_000000	CHAPTER XXVIII	CHAPTER twenty eight	false	1033.98	1034.73	31
7910_80534_000076_000000	THE SOUP-KITCHEN	THE SOUP KITCHEN	false	1034.73	1034.76	-5
7910_80534_000077_000000	With the first breath of winter there passes a voice half-menacing, half-mournful, through all the barren ways and phantom-haunted refuges of the nether world.	With the first breath of winter there passes a voice half menacing, half mournful, through all the barren ways and phantom haunted refuges of the nether world.	false	1034.76	1035.12	13
7910_80534_000077_000001	Too quickly has vanished the brief season when the sky is clement, when a little food suffices, and the chances of earning that little are more numerous than at other times; this wind that gives utterance to its familiar warning is the vaunt-courier of cold and hunger and solicitude that knows not sleep.	Too quickly has vanished the brief season when the sky is clement, when a little food suffices, and the chances of earning that little are more numerous than at other times; this wind that gives utterance to its familiar warning is the vaunt courier of cold and hunger and solicitude that knows not sleep.	false	1035.12	1035.84	28.518698
7910_80534_000077_000002	Will the winter be a hard one?	Will the winter be a hard one?	false	1035.84	1035.93	14
7910_80534_000077_000003	It is the question that concerns this world before all others, that occupies alike the patient workfolk who have yet their home unbroken, the strugglers foredoomed to loss of such scant needments as the summer gifted them withal, the hopeless and the self-abandoned and the lurking creatures of prey.	It is the question that concerns this world before all others, that occupies alike the patient workfolk who have yet their home unbroken, the strugglers foredoomed to loss of such scant needments as the summer gifted them withal, the hopeless and the self abandoned and the lurking creatures of prey.	false	1035.93	1036.59	9
7910_80534_000077_000004	To all of them the first chill breath from a lowering sky has its voice of admonition; they set their faces; they sigh, or whisper a prayer, or fling out a curse, each according to his nature.	To all of them the first chill breath from a lowering sky has its voice of admonition; they set their faces; they sigh, or whisper a prayer, or fling out a curse, each according to his nature.	false	1036.59	1037.22	7
