22_121148_000000_000000	as the great Corneille has said.	as the great Corneille has said.	false	0	2.88	19.933352
22_121148_000033_000016	I long for the day which shall make you a mother, that I may see you content with the fulness of your life, may hear you, in the sweet voice I love and with the thoughts, bless the love which has refreshed my soul and given new vigor to my powers, the love which is my pride, and whence I have drawn, as from a magic fountain, fresh life.	I long for the day which shall make you a mother, that I may see you content with the fulness of your life, may hear you, in the sweet voice I love and with the thoughts, bless the love which has refreshed my soul and given new vigor to my powers, the love which is my pride, and whence I have drawn, as from a magic fountain, fresh life.	true	1112.84	1132.69	19.978897
22_121148_000033_000017	Yes, I shall be all that you would have me.	Yes, I shall be all that you would have me.	false	1133.27	1136.46	19.205505
22_121148_000033_000018	I shall take a leading part in the public life of the district, and on you shall fall the rays of a glory which will owe its existence to the desire of pleasing you."	I shall take a leading part in the public life of the district, and on you shall fall the rays of a glory which will owe its existence to the desire of pleasing you."	true	1136.46	1145.29	18
22_121148_000034_000000	So much for my pupil, dear!	So much for my pupil, dear!	true	1146.41	1148.29	22
22_121148_000034_000001	Do you suppose he could have written like this before?	Do you suppose he could have written like this before?	true	1148.42	1151.08	19
22_121148_000034_000002	A year hence his style will have still further improved. Louis is now in his first transport; what I look forward to is the uniform and continuous sensation of content which ought to be the fruit of a happy marriage, when a man and woman, in perfect trust and mutual knowledge, have solved the problem of giving variety to the infinite. This is the task set before every true wife; the answer begins to dawn on me, and I shall not rest till I have made it mine.	A year hence his style will have still further improved. Louis is now in his first transport; what I look forward to is the uniform and continuous sensation of content which ought to be the fruit of a happy marriage, when a man and woman, in perfect trust and mutual knowledge, have solved the problem of giving variety to the infinite. This is the task set before every true wife; the answer begins to dawn on me, and I shall not rest till I have made it mine.	false	1151.48	1179.28	19.524628
22_121148_000035_000000	You see that he fancies himself--vanity of men!--the chosen of my heart, just as though there were no legal bonds.	You see that he fancies himself-vanity of men!--the chosen of my heart, just as though there were no legal bonds.	true	1179.89	1187.47	19.786732
22_121148_000035_000001	Nevertheless, I have not yet got beyond that external attraction which gives us strength to put up with a good deal.	Nevertheless, I have not yet got beyond that external attraction which gives us strength to put up with a good deal.	true	1187.84	1194.34	18
22_121148_000035_000002	Yet Louis is lovable; his temper is wonderfully even, and he performs, as a matter of course, acts on which most men would plume themselves.	Yet Louis is lovable; his temper is wonderfully even, and he performs, as a matter of course, acts on which most men would plume themselves.	true	1194.89	1204.24	20.434933
22_121148_000035_000003	In short, if I do not love him, I shall find no difficulty in being good to him.	In short, if I do not love him, I shall find no difficulty in being good to him.	true	1204.61	1209.64	18
22_121148_000036_000000	So here are my black hair and my black eyes--whose lashes act, according to you, like Venetian blinds--my commanding air, and my whole person, raised to the rank of sovereign power!	So here are my black hair and my black eyes-whose lashes act, according to you, like Venetian blinds-my commanding air, and my whole person, raised to the rank of sovereign power!	true	1210.61	1222.6	19
22_121148_000036_000001	Ten years hence, dear, why should we not both be laughing and gay in your Paris, whence I shall carry you off now and again to my beautiful oasis in Provence?	Ten years hence, dear, why should we not both be laughing and gay in your Paris, whence I shall carry you off now and again to my beautiful oasis in Provence?	true	1223.12	1232.47	17
22_121148_000037_000000	Oh! Louise, don't spoil the splendid future which awaits us both!	Oh! Louise, don't spoil the splendid future which awaits us both!	true	1233.32	1237.12	20
22_121148_000037_000001	Don't do the mad things with which you threaten me.	Don't do the mad things with which you threaten me.	true	1237.25	1239.94	21
22_121148_000037_000002	My husband is a young man, prematurely old; why don't you marry some young-hearted graybeard in the Chamber of Peers?	My husband is a young man, prematurely old; why don't you marry some young hearted graybeard in the Chamber of Peers?	true	1240.28	1247.23	18
22_121148_000037_000003	There lies your vocation.	There lies your vocation.	true	1247.51	1249.17	19
22_121148_000038_000000	XIV.	fourteen.	false	1249.17	1249.2	-20
22_121148_000038_000001	THE DUC DE SORIA TO THE BARON DE MACUMER MADRID.	THE DUC DE SORIA TO THE BARON DE m a c u m e r MADRID.	false	1249.2	1249.77	-20
22_121148_000039_000000	MY DEAR BROTHER,--You did not make me Duc de Soria in order that my actions should belie the name.	MY DEAR BROTHER,--You did not make me Duc de Soria in order that my actions should belie the name.	false	1249.77	1250.49	-20
22_121148_000039_000001	How could I tolerate my happiness if I knew you to be a wanderer, deprived of the comforts which wealth everywhere commands?	How could I tolerate my happiness if I knew you to be a wanderer, deprived of the comforts which wealth everywhere commands?	false	1250.49	1251.9	16.103456
22_121148_000039_000002	Neither Marie nor I will consent to marry till we hear that you have accepted the money which Urraca will hand over to you.	Neither Marie nor I will consent to marry till we hear that you have accepted the money which Urraca will hand over to you.	false	1251.9	1254.72	5
22_121148_000039_000003	These two millions are the fruit of your own savings and Marie's.	These two millions are the fruit of your own savings and Marie's.	false	1254.72	1256.16	-20
