1446_122614_000000_000000	CHAPTER 23	CHAPTER twenty three	false	0	2.64	21.01359
1446_122614_000031_000012	Thought itself is not quicker than was the motion with which the latter profited by the advantage; he turned, gleamed like a meteor again before the eyes of Duncan, and, at the next moment, when the latter recovered his recollection, and gazed around in quest of the captive, he saw him quietly leaning against a small painted post, which stood before the door of the principal lodge.	Thought itself is not quicker than was the motion with which the latter profited by the advantage; he turned, gleamed like a meteor again before the eyes of Duncan, and, at the next moment, when the latter recovered his recollection, and gazed around in quest of the captive, he saw him quietly leaning against a small painted post, which stood before the door of the principal lodge.	true	1146.2	1168.06	21.929672
1446_122614_000032_000000	Apprehensive that the part he had taken in the escape might prove fatal to himself, Duncan left the place without delay.	Apprehensive that the part he had taken in the escape might prove fatal to himself, Duncan left the place without delay.	false	1169.09	1175.74	26.157259
1446_122614_000032_000001	He followed the crowd, which drew nigh the lodges, gloomy and sullen, like any other multitude that had been disappointed in an execution.	He followed the crowd, which drew nigh the lodges, gloomy and sullen, like any other multitude that had been disappointed in an execution.	true	1176.23	1183.87	20.86781
1446_122614_000032_000002	Curiosity, or perhaps a better feeling, induced him to approach the stranger.	Curiosity, or perhaps a better feeling, induced him to approach the stranger.	true	1184	1189.03	21.349598
1446_122614_000032_000003	He found him, standing with one arm cast about the protecting post, and breathing thick and hard, after his exertions, but disdaining to permit a single sign of suffering to escape.	He found him, standing with one arm cast about the protecting post, and breathing thick and hard, after his exertions, but disdaining to permit a single sign of suffering to escape.	true	1189.34	1200.01	25.34283
1446_122614_000032_000004	His person was now protected by immemorial and sacred usage, until the tribe in council had deliberated and determined on his fate.	His person was now protected by immemorial and sacred usage, until the tribe in council had deliberated and determined on his fate.	true	1200.86	1209.34	23.95871
1446_122614_000032_000005	It was not difficult, however, to foretell the result, if any presage could be drawn from the feelings of those who crowded the place.	It was not difficult, however, to foretell the result, if any presage could be drawn from the feelings of those who crowded the place.	true	1210.16	1217.95	20.008657
1446_122614_000033_000000	There was no term of abuse known to the Huron vocabulary that the disappointed women did not lavishly expend on the successful stranger. They flouted at his efforts, and told him, with bitter scoffs, that his feet were better than his hands; and that he merited wings, while he knew not the use of an arrow or a knife.	There was no term of abuse known to the Huron vocabulary that the disappointed women did not lavishly expend on the successful stranger. They flouted at his efforts, and told him, with bitter scoffs, that his feet were better than his hands; and that he merited wings, while he knew not the use of an arrow or a knife.	false	1218.95	1237.93	22.213026
1446_122614_000033_000001	To all this the captive made no reply; but was content to preserve an attitude in which dignity was singularly blended with disdain.	To all this the captive made no reply; but was content to preserve an attitude in which dignity was singularly blended with disdain.	true	1238.69	1247.2	22.809135
1446_122614_000033_000002	Exasperated as much by his composure as by his good-fortune, their words became unintelligible, and were succeeded by shrill, piercing yells.	Exasperated as much by his composure as by his good fortune, their words became unintelligible, and were succeeded by shrill, piercing yells.	true	1247.93	1256.71	21.848965
1446_122614_000033_000003	Just then the crafty squaw, who had taken the necessary precaution to fire the piles, made her way through the throng, and cleared a place for herself in front of the captive.	Just then the crafty squaw, who had taken the necessary precaution to fire the piles, made her way through the throng, and cleared a place for herself in front of the captive.	true	1257.47	1267.45	24.809912
1446_122614_000033_000004	The squalid and withered person of this hag might well have obtained for her the character of possessing more than human cunning.	The squalid and withered person of this hag might well have obtained for her the character of possessing more than human cunning.	true	1268.18	1275.31	22.832464
1446_122614_000033_000005	Throwing back her light vestment, she stretched forth her long, skinny arm, in derision, and using the language of the Lenape, as more intelligible to the subject of her gibes, she commenced aloud:	Throwing back her light vestment, she stretched forth her long, skinny arm, in derision, and using the language of the Lenape, as more intelligible to the subject of her gibes, she commenced aloud:	true	1276.13	1289.08	22.962795
1446_122614_000034_000000	"Look you, Delaware," she said, snapping her fingers in his face; "your nation is a race of women, and the hoe is better fitted to your hands than the gun.	"Look you, Delaware," she said, snapping her fingers in his face; "your nation is a race of women, and the hoe is better fitted to your hands than the gun.	false	1289.39	1298.68	19.806376
1446_122614_000034_000001	Your squaws are the mothers of deer; but if a bear, or a wildcat, or a serpent were born among you, ye would flee.	Your squaws are the mothers of deer; but if a bear, or a wildcat, or a serpent were born among you, ye would flee.	true	1299.2	1306.54	21.043982
1446_122614_000034_000002	The Huron girls shall make you petticoats, and we will find you a husband."	The Huron girls shall make you petticoats, and we will find you a husband."	true	1307.03	1311.46	23.854898
1446_122614_000035_000000	A burst of savage laughter succeeded this attack, during which the soft and musical merriment of the younger females strangely chimed with the cracked voice of their older and more malignant companion.	A burst of savage laughter succeeded this attack, during which the soft and musical merriment of the younger females strangely chimed with the cracked voice of their older and more malignant companion.	true	1312.34	1323.1	23.92366
1446_122614_000035_000001	But the stranger was superior to all their efforts.	But the stranger was superior to all their efforts.	false	1323.8	1326.55	25.92412
1446_122614_000035_000002	His head was immovable; nor did he betray the slightest consciousness that any were present, except when his haughty eye rolled toward the dusky forms of the warriors, who stalked in the background silent and sullen observers of the scene.	His head was immovable; nor did he betray the slightest consciousness that any were present, except when his haughty eye rolled toward the dusky forms of the warriors, who stalked in the background silent and sullen observers of the scene.	true	1326.8	1340.35	21.571335
1446_122614_000036_000000	Infuriated at the self-command of the captive, the woman placed her arms akimbo; and, throwing herself into a posture of defiance, she broke out anew, in a torrent of words that no art of ours could commit successfully to paper.	Infuriated at the self command of the captive, the woman placed her arms akimbo; and, throwing herself into a posture of defiance, she broke out anew, in a torrent of words that no art of ours could commit successfully to paper.	true	1341.14	1354.21	22.454933
1446_122614_000036_000001	Her breath was, however, expended in vain; for, although distinguished in her nation as a proficient in the art of abuse, she was permitted to work herself into such a fury as actually to foam at the mouth, without causing a muscle to vibrate in the motionless figure of the stranger.	Her breath was, however, expended in vain; for, although distinguished in her nation as a proficient in the art of abuse, she was permitted to work herself into such a fury as actually to foam at the mouth, without causing a muscle to vibrate in the motionless figure of the stranger.	true	1354.67	1371.76	22.252691
1446_122614_000036_000002	The effect of his indifference began to extend itself to the other spectators; and a youngster, who was just quitting the condition of a boy to enter the state of manhood, attempted to assist the termagant, by flourishing his tomahawk before their victim, and adding his empty boasts to the taunts of the women.	The effect of his indifference began to extend itself to the other spectators; and a youngster, who was just quitting the condition of a boy to enter the state of manhood, attempted to assist the termagant, by flourishing his tomahawk before their victim, and adding his empty boasts to the taunts of the women.	true	1373.03	1391.32	22.735344
1446_122614_000036_000003	Then, indeed, the captive turned his face toward the light, and looked down on the stripling with an expression that was superior to contempt.	Then, indeed, the captive turned his face toward the light, and looked down on the stripling with an expression that was superior to contempt.	true	1392.05	1400.32	25.700253
1446_122614_000036_000004	At the next moment he resumed his quiet and reclining attitude against the post.	At the next moment he resumed his quiet and reclining attitude against the post.	true	1401.11	1405.69	23.160957
1446_122614_000036_000005	But the change of posture had permitted Duncan to exchange glances with the firm and piercing eyes of Uncas.	But the change of posture had permitted Duncan to exchange glances with the firm and piercing eyes of Uncas.	true	1406.27	1412.35	22.328455
1446_122614_000037_000000	Breathless with amazement, and heavily oppressed with the critical situation of his friend, Heyward recoiled before the look, trembling lest its meaning might, in some unknown manner, hasten the prisoner's fate.	Breathless with amazement, and heavily oppressed with the critical situation of his friend, Heyward recoiled before the look, trembling lest its meaning might, in some unknown manner, hasten the prisoner's fate.	true	1413.23	1425.48	22.455381
1446_122614_000037_000001	There was not, however, any instant cause for such an apprehension.	There was not, however, any instant cause for such an apprehension.	false	1425.48	1430.08	21.0787
1446_122614_000037_000002	Just then a warrior forced his way into the exasperated crowd.	Just then a warrior forced his way into the exasperated crowd.	true	1430.75	1434.64	21.369425
1446_122614_000037_000003	Motioning the women and children aside with a stern gesture, he took Uncas by the arm, and led him toward the door of the council-lodge. Thither all the chiefs, and most of the distinguished warriors, followed; among whom the anxious Heyward found means to enter without attracting any dangerous attention to himself.	Motioning the women and children aside with a stern gesture, he took Uncas by the arm, and led him toward the door of the council lodge. Thither all the chiefs, and most of the distinguished warriors, followed; among whom the anxious Heyward found means to enter without attracting any dangerous attention to himself.	true	1435.13	1453.99	21.879562
1446_122614_000038_000000	A few minutes were consumed in disposing of those present in a manner suitable to their rank and influence in the tribe.	A few minutes were consumed in disposing of those present in a manner suitable to their rank and influence in the tribe.	false	1454.57	1460.64	22
1446_122614_000038_000001	An order very similar to that adopted in the preceding interview was observed; the aged and superior chiefs occupying the area of the spacious apartment, within the powerful light of a glaring torch, while their juniors and inferiors were arranged in the background, presenting a dark outline of swarthy and marked visages.	An order very similar to that adopted in the preceding interview was observed; the aged and superior chiefs occupying the area of the spacious apartment, within the powerful light of a glaring torch, while their juniors and inferiors were arranged in the background, presenting a dark outline of swarthy and marked visages.	false	1460.64	1479.73	22.585352
1446_122614_000038_000002	In the very center of the lodge, immediately under an opening that admitted the twinkling light of one or two stars, stood Uncas, calm, elevated, and collected.	In the very center of the lodge, immediately under an opening that admitted the twinkling light of one or two stars, stood Uncas, calm, elevated, and collected.	true	1480.85	1490.71	22.774252
1446_122614_000038_000003	His high and haughty carriage was not lost on his captors, who often bent their looks on his person, with eyes which, while they lost none of their inflexibility of purpose, plainly betrayed their admiration of the stranger's daring.	His high and haughty carriage was not lost on his captors, who often bent their looks on his person, with eyes which, while they lost none of their inflexibility of purpose, plainly betrayed their admiration of the stranger's daring.	true	1491.14	1503.7	20.459589
1446_122614_000039_000000	The case was different with the individual whom Duncan had observed to stand forth with his friend, previously to the desperate trial of speed; and who, instead of joining in the chase, had remained, throughout its turbulent uproar, like a cringing statue, expressive of shame and disgrace.	The case was different with the individual whom Duncan had observed to stand forth with his friend, previously to the desperate trial of speed; and who, instead of joining in the chase, had remained, throughout its turbulent uproar, like a cringing statue, expressive of shame and disgrace.	false	1503.95	1520.68	23.1913
1446_122614_000039_000001	Though not a hand had been extended to greet him, nor yet an eye had condescended to watch his movements, he had also entered the lodge, as though impelled by a fate to whose decrees he submitted, seemingly, without a struggle.	Though not a hand had been extended to greet him, nor yet an eye had condescended to watch his movements, he had also entered the lodge, as though impelled by a fate to whose decrees he submitted, seemingly, without a struggle.	true	1521.47	1534.66	19.911985
1446_122614_000039_000002	Heyward profited by the first opportunity to gaze in his face, secretly apprehensive he might find the features of another acquaintance; but they proved to be those of a stranger, and, what was still more inexplicable, of one who bore all the distinctive marks of a Huron warrior.	Heyward profited by the first opportunity to gaze in his face, secretly apprehensive he might find the features of another acquaintance; but they proved to be those of a stranger, and, what was still more inexplicable, of one who bore all the distinctive marks of a Huron warrior.	true	1535.06	1551.22	21.712076
1446_122614_000039_000003	Instead of mingling with his tribe, however, he sat apart, a solitary being in a multitude, his form shrinking into a crouching and abject attitude, as if anxious to fill as little space as possible.	Instead of mingling with his tribe, however, he sat apart, a solitary being in a multitude, his form shrinking into a crouching and abject attitude, as if anxious to fill as little space as possible.	true	1551.89	1563.88	24.218853
1446_122614_000039_000004	When each individual had taken his proper station, and silence reigned in the place, the gray-haired chief already introduced to the reader, spoke aloud, in the language of the Lenni Lenape.	When each individual had taken his proper station, and silence reigned in the place, the gray haired chief already introduced to the reader, spoke aloud, in the language of the Lenni Lenape.	true	1564.67	1575.58	22.978092
1446_122614_000040_000000	"Delaware," he said, "though one of a nation of women, you have proved yourself a man.	"Delaware," he said, "though one of a nation of women, you have proved yourself a man.	true	1575.98	1583.32	19.659271
1446_122614_000040_000001	I would give you food; but he who eats with a Huron should become his friend.	I would give you food; but he who eats with a Huron should become his friend.	false	1583.99	1589.5	23.019926
1446_122614_000040_000002	Rest in peace till the morning sun, when our last words shall be spoken."	Rest in peace till the morning sun, when our last words shall be spoken."	true	1590.59	1595.2	23.077204
1446_122614_000041_000000	"Seven nights, and as many summer days, have I fasted on the trail of the Hurons," Uncas coldly replied; "the children of the Lenape know how to travel the path of the just without lingering to eat."	"Seven nights, and as many summer days, have I fasted on the trail of the Hurons," Uncas coldly replied; "the children of the Lenape know how to travel the path of the just without lingering to eat."	false	1596.11	1609.59	19.887371
1446_122614_000042_000000	"Two of my young men are in pursuit of your companion," resumed the other, without appearing to regard the boast of his captive; "when they get back, then will our wise man say to you 'live' or 'die'."	"Two of my young men are in pursuit of your companion," resumed the other, without appearing to regard the boast of his captive; "when they get back, then will our wise man say to you 'live' or 'die'."	false	1609.59	1624.11	18.980658
1446_122614_000043_000000	"Has a Huron no ears?" scornfully exclaimed Uncas; "twice, since he has been your prisoner, has the Delaware heard a gun that he knows.	"Has a Huron no ears?" scornfully exclaimed Uncas; "twice, since he has been your prisoner, has the Delaware heard a gun that he knows.	false	1624.11	1634.58	19.813292
1446_122614_000043_000001	Your young men will never come back!"	Your young men will never come back!"	false	1634.58	1638.25	17.60279
1446_122614_000044_000000	A short and sullen pause succeeded this bold assertion.	A short and sullen pause succeeded this bold assertion.	true	1639.22	1642.57	25.361399
1446_122614_000044_000001	Duncan, who understood the Mohican to allude to the fatal rifle of the scout, bent forward in earnest observation of the effect it might produce on the conquerors; but the chief was content with simply retorting:	Duncan, who understood the Mohican to allude to the fatal rifle of the scout, bent forward in earnest observation of the effect it might produce on the conquerors; but the chief was content with simply retorting:	true	1642.85	1655.32	23.039095
1446_122614_000045_000000	"If the Lenape are so skillful, why is one of their bravest warriors here?"	"If the Lenape are so skillful, why is one of their bravest warriors here?"	true	1655.72	1661.02	21.069704
1446_122614_000046_000000	"He followed in the steps of a flying coward, and fell into a snare.	"He followed in the steps of a flying coward, and fell into a snare.	true	1662.92	1666.93	22
1446_122614_000046_000001	The cunning beaver may be caught."	The cunning beaver may be caught."	true	1667.48	1669.9	21.386019
1446_122614_000047_000000	As Uncas thus replied, he pointed with his finger toward the solitary Huron, but without deigning to bestow any other notice on so unworthy an object.	As Uncas thus replied, he pointed with his finger toward the solitary Huron, but without deigning to bestow any other notice on so unworthy an object.	true	1671.23	1681.15	22.125008
1446_122614_000047_000001	The words of the answer and the air of the speaker produced a strong sensation among his auditors.	The words of the answer and the air of the speaker produced a strong sensation among his auditors.	true	1681.61	1686.73	19.438307
1446_122614_000047_000002	Every eye rolled sullenly toward the individual indicated by the simple gesture, and a low, threatening murmur passed through the crowd.	Every eye rolled sullenly toward the individual indicated by the simple gesture, and a low, threatening murmur passed through the crowd.	true	1687.73	1695.73	21.261955
1446_122614_000047_000003	The ominous sounds reached the outer door, and the women and children pressing into the throng, no gap had been left, between shoulder and shoulder, that was not now filled with the dark lineaments of some eager and curious human countenance.	The ominous sounds reached the outer door, and the women and children pressing into the throng, no gap had been left, between shoulder and shoulder, that was not now filled with the dark lineaments of some eager and curious human countenance.	true	1696.55	1710.16	22.137796
1446_122614_000048_000000	In the meantime, the more aged chiefs, in the center, communed with each other in short and broken sentences.	In the meantime, the more aged chiefs, in the center, communed with each other in short and broken sentences.	true	1710.89	1717.09	21.054705
1446_122614_000048_000001	Not a word was uttered that did not convey the meaning of the speaker, in the simplest and most energetic form.	Not a word was uttered that did not convey the meaning of the speaker, in the simplest and most energetic form.	true	1717.49	1722.64	23.300455
1446_122614_000048_000002	Again, a long and deeply solemn pause took place.	Again, a long and deeply solemn pause took place.	true	1723.37	1726.75	24.637875
1446_122614_000048_000003	It was known, by all present, to be the brave precursor of a weighty and important judgment.	It was known, by all present, to be the brave precursor of a weighty and important judgment.	true	1727.03	1732.18	21.368574
1446_122614_000048_000004	They who composed the outer circle of faces were on tiptoe to gaze; and even the culprit for an instant forgot his shame in a deeper emotion, and exposed his abject features, in order to cast an anxious and troubled glance at the dark assemblage of chiefs.	They who composed the outer circle of faces were on tiptoe to gaze; and even the culprit for an instant forgot his shame in a deeper emotion, and exposed his abject features, in order to cast an anxious and troubled glance at the dark assemblage of chiefs.	true	1732.97	1747.54	24.403519
1446_122614_000048_000005	The silence was finally broken by the aged warrior so often named.	The silence was finally broken by the aged warrior so often named.	true	1748.54	1752.43	20.292576
1446_122614_000048_000006	He arose from the earth, and moving past the immovable form of Uncas, placed himself in a dignified attitude before the offender.	He arose from the earth, and moving past the immovable form of Uncas, placed himself in a dignified attitude before the offender.	true	1752.86	1760.77	22.106047
1446_122614_000048_000007	At that moment, the withered squaw already mentioned moved into the circle, in a slow, sidling sort of a dance, holding the torch, and muttering the indistinct words of what might have been a species of incantation.	At that moment, the withered squaw already mentioned moved into the circle, in a slow, sidling sort of a dance, holding the torch, and muttering the indistinct words of what might have been a species of incantation.	true	1761.44	1773.91	24.248693
1446_122614_000048_000008	Though her presence was altogether an intrusion, it was unheeded.	Though her presence was altogether an intrusion, it was unheeded.	true	1774.64	1778.92	20.295683
1446_122614_000049_000000	Approaching Uncas, she held the blazing brand in such a manner as to cast its red glare on his person, and to expose the slightest emotion of his countenance.	Approaching Uncas, she held the blazing brand in such a manner as to cast its red glare on his person, and to expose the slightest emotion of his countenance.	true	1779.41	1788.07	23.575546
1446_122614_000049_000001	The Mohican maintained his firm and haughty attitude; and his eyes, so far from deigning to meet her inquisitive look, dwelt steadily on the distance, as though it penetrated the obstacles which impeded the view and looked into futurity.	The Mohican maintained his firm and haughty attitude; and his eyes, so far from deigning to meet her inquisitive look, dwelt steadily on the distance, as though it penetrated the obstacles which impeded the view and looked into futurity.	true	1788.74	1802.11	23.011236
1446_122614_000049_000002	Satisfied with her examination, she left him, with a slight expression of pleasure, and proceeded to practise the same trying experiment on her delinquent countryman.	Satisfied with her examination, she left him, with a slight expression of pleasure, and proceeded to practise the same trying experiment on her delinquent countryman.	true	1803.02	1812.96	23.01746
1446_122614_000050_000000	The young Huron was in his war paint, and very little of a finely molded form was concealed by his attire.	The young Huron was in his war paint, and very little of a finely molded form was concealed by his attire.	false	1812.96	1819.84	20.068989
1446_122614_000050_000001	The light rendered every limb and joint discernible, and Duncan turned away in horror when he saw they were writhing in irrepressible agony.	The light rendered every limb and joint discernible, and Duncan turned away in horror when he saw they were writhing in irrepressible agony.	true	1820.21	1828.24	19.843987
1446_122614_000050_000002	The woman was commencing a low and plaintive howl at the sad and shameful spectacle, when the chief put forth his hand and gently pushed her aside.	The woman was commencing a low and plaintive howl at the sad and shameful spectacle, when the chief put forth his hand and gently pushed her aside.	true	1828.79	1837.15	22.99925
1446_122614_000051_000000	"Reed-that-bends," he said, addressing the young culprit by name, and in his proper language, "though the Great Spirit has made you pleasant to the eyes, it would have been better that you had not been born.	"Reed that bends," he said, addressing the young culprit by name, and in his proper language, "though the Great Spirit has made you pleasant to the eyes, it would have been better that you had not been born.	true	1837.61	1851.46	22.502815
1446_122614_000051_000001	Your tongue is loud in the village, but in battle it is still.	Your tongue is loud in the village, but in battle it is still.	true	1852.01	1855.81	24.05648
1446_122614_000051_000002	None of my young men strike the tomahawk deeper into the war-post--none of them so lightly on the Yengeese.	None of my young men strike the tomahawk deeper into the war post-none of them so lightly on the Yengeese.	true	1857.08	1864.32	19.914934
1446_122614_000051_000003	The enemy know the shape of your back, but they have never seen the color of your eyes.	The enemy know the shape of your back, but they have never seen the color of your eyes.	false	1864.32	1870.06	19.597275
1446_122614_000051_000004	Three times have they called on you to come, and as often did you forget to answer.	Three times have they called on you to come, and as often did you forget to answer.	true	1870.4	1875.01	21.825914
1446_122614_000051_000005	Your name will never be mentioned again in your tribe--it is already forgotten."	Your name will never be mentioned again in your tribe-it is already forgotten."	true	1875.8	1881.4	20.887165
1446_122614_000052_000000	As the chief slowly uttered these words, pausing impressively between each sentence, the culprit raised his face, in deference to the other's rank and years.	As the chief slowly uttered these words, pausing impressively between each sentence, the culprit raised his face, in deference to the other's rank and years.	true	1882.01	1890.49	21.96679
1446_122614_000052_000001	Shame, horror, and pride struggled in its lineaments. His eye, which was contracted with inward anguish, gleamed on the persons of those whose breath was his fame; and the latter emotion for an instant predominated.	Shame, horror, and pride struggled in its lineaments. His eye, which was contracted with inward anguish, gleamed on the persons of those whose breath was his fame; and the latter emotion for an instant predominated.	true	1890.98	1905.07	21.61123
1446_122614_000052_000002	He arose to his feet, and baring his bosom, looked steadily on the keen, glittering knife, that was already upheld by his inexorable judge.	He arose to his feet, and baring his bosom, looked steadily on the keen, glittering knife, that was already upheld by his inexorable judge.	true	1905.68	1913.38	22.697483
1446_122614_000052_000003	As the weapon passed slowly into his heart he even smiled, as if in joy at having found death less dreadful than he had anticipated, and fell heavily on his face, at the feet of the rigid and unyielding form of Uncas.	As the weapon passed slowly into his heart he even smiled, as if in joy at having found death less dreadful than he had anticipated, and fell heavily on his face, at the feet of the rigid and unyielding form of Uncas.	true	1914.41	1928.65	22.127886
1446_122614_000053_000000	The squaw gave a loud and plaintive yell, dashed the torch to the earth, and buried everything in darkness.	The squaw gave a loud and plaintive yell, dashed the torch to the earth, and buried everything in darkness.	true	1929.35	1935.67	23.19506
1446_122614_000053_000001	The whole shuddering group of spectators glided from the lodge like troubled sprites; and Duncan thought that he and the yet throbbing body of the victim of an Indian judgment had now become its only tenants.	The whole shuddering group of spectators glided from the lodge like troubled sprites; and Duncan thought that he and the yet throbbing body of the victim of an Indian judgment had now become its only tenants.	false	1936.52	1957.59	21.270533
