4071_39913_000000_000000	The Old Chest at Wyther Grange	The Old Chest at Wyther Grange	true	22.08	24.07	14
4071_39913_000049_000001	'She is our cousin and the daughter of our Uncle George.	'She is our cousin and the daughter of our Uncle George.	true	906.5	909.85	13
4071_39913_000049_000002	Our Eliza is not an heiress.	Our Eliza is not an heiress.	true	910.04	911.89	13
4071_39913_000049_000003	You surely did not suppose she was!'	You surely did not suppose she was!'	true	912.14	914.47	16
4071_39913_000050_000000	"Willis stepped aside with a mocking smile.	"Willis stepped aside with a mocking smile.	true	915.32	917.68	16.994308
4071_39913_000051_000000	"'I did--what wonder?	"'I did-what wonder?	true	918.89	921.01	7
4071_39913_000051_000001	I had heard much about the great heiress, Eliza Laurance, and the great beauty, Eliza Laurance.	I had heard much about the great heiress, Eliza Laurance, and the great beauty, Eliza Laurance.	false	921.32	926.74	9
4071_39913_000051_000002	I supposed they were one and the same.	I supposed they were one and the same.	false	926.99	928.96	16.292656
4071_39913_000051_000003	You have all been careful not to undeceive me.'	You have all been careful not to undeceive me.'	true	929.72	932.68	13
4071_39913_000052_000000	"'You forget yourself, Mr. Starr, when you speak so to me,' I retorted coldly.	"'You forget yourself, mr Starr, when you speak so to me,' I retorted coldly.	true	933.17	937.9	18
4071_39913_000052_000001	'You have deceived yourself.	'You have deceived yourself.	true	938.18	939.91	18.140112
4071_39913_000052_000002	We have never dreamed of allowing anyone to think that Eliza was an heiress.	We have never dreamed of allowing anyone to think that Eliza was an heiress.	true	939.92	943.57	11
4071_39913_000052_000003	She is sweet and lovely enough to be loved for her own sake.'	She is sweet and lovely enough to be loved for her own sake.'	true	943.67	947.14	14
4071_39913_000053_000000	"I went back to the parlour full of dismay.	"I went back to the parlour full of dismay.	true	947.21	949.66	11
4071_39913_000053_000001	Willis Starr remained gloomy and taciturn all the rest of the evening, but nobody seemed to notice it but myself.	Willis Starr remained gloomy and taciturn all the rest of the evening, but nobody seemed to notice it but myself.	true	949.85	956.14	15
4071_39913_000054_000000	"The next day we were all so busy that I almost forgot the incident of the previous evening.	"The next day we were all so busy that I almost forgot the incident of the previous evening.	false	956.75	961.15	14
4071_39913_000054_000001	We girls were up in the sewing room putting the last touches to the wedding gown.	We girls were up in the sewing room putting the last touches to the wedding gown.	true	961.64	965.44	14
4071_39913_000054_000002	Eliza tried it and her veil on and was standing so, in all her silken splendour, when a letter was brought in.	Eliza tried it and her veil on and was standing so, in all her silken splendour, when a letter was brought in.	true	965.51	971.8	16.197315
4071_39913_000054_000003	I guessed by her blush who was the writer.	I guessed by her blush who was the writer.	true	972.26	974.35	13
4071_39913_000054_000004	I laughed and ran downstairs, leaving her to read it.	I laughed and ran downstairs, leaving her to read it.	true	974.78	977.53	13
4071_39913_000055_000000	"When I returned she was still standing just where I had left her in the middle of the room, holding the letter in her hand.	"When I returned she was still standing just where I had left her in the middle of the room, holding the letter in her hand.	false	978.41	984.25	13
4071_39913_000055_000001	Her face was as white as her veil, and her wide-open eyes had a dazed, agonized look as of someone who had been stricken a mortal blow.	Her face was as white as her veil, and her wide open eyes had a dazed, agonized look as of someone who had been stricken a mortal blow.	false	984.68	992.95	13
4071_39913_000055_000002	All the soft happiness and sweetness had gone out of them.	All the soft happiness and sweetness had gone out of them.	true	993.44	996.61	15.945255
4071_39913_000055_000003	They were the eyes of an old woman, Amy.	They were the eyes of an old woman, Amy.	true	997.31	999.55	3
4071_39913_000056_000000	"'Eliza, what is the matter?' I said.	"'Eliza, what is the matter?' I said.	true	1000.19	1002.19	14
4071_39913_000056_000001	'Has anything happened to Willis?'	'Has anything happened to Willis?'	true	1002.2	1003.78	11
4071_39913_000057_000000	"She made no answer, but walked to the fireplace, dropped the letter in a bed of writhing blue flame and watched it burn to white ashes. Then she turned to me.	"She made no answer, but walked to the fireplace, dropped the letter in a bed of writhing blue flame and watched it burn to white ashes. Then she turned to me.	true	1004.48	1013.68	9
4071_39913_000058_000000	"'Help me take off this gown, Winnie,' she said dully.	"'Help me take off this gown, Winnie,' she said dully.	true	1014.32	1017.13	14
4071_39913_000058_000001	'I shall never wear it again.	'I shall never wear it again.	true	1017.35	1018.9	11
4071_39913_000058_000002	There will be no wedding.	There will be no wedding.	true	1019.24	1020.49	3
4071_39913_000058_000003	Willis is gone.'	Willis is gone.'	true	1020.77	1021.87	17.404406
4071_39913_000059_000000	"'Gone!' I echoed stupidly.	"'Gone!' I echoed stupidly.	true	1022.45	1024.66	17.311867
4071_39913_000060_000000	"'Yes.	"'Yes.	true	1024.85	1025.65	20.007582
4071_39913_000060_000001	I am not the heiress, Winnie.	I am not the heiress, Winnie.	true	1025.99	1027.6	8
4071_39913_000060_000002	It was the fortune, not the girl, he loved.	It was the fortune, not the girl, he loved.	true	1028.03	1030.6	10
4071_39913_000060_000003	He says he is too poor for us to dream of marrying when I have nothing.	He says he is too poor for us to dream of marrying when I have nothing.	true	1031.18	1035.04	12
4071_39913_000060_000004	Oh, such a cruel, heartless letter!	Oh, such a cruel, heartless letter!	true	1035.71	1037.98	12
4071_39913_000060_000005	Why did he not kill me?	Why did he not kill me?	true	1038.2	1039.84	10
4071_39913_000060_000006	It would have been so much more merciful!	It would have been so much more merciful!	true	1040.24	1042.57	15.474038
4071_39913_000060_000007	I loved him so--I trusted him so!	I loved him so-I trusted him so!	true	1042.82	1045.3	16.653284
4071_39913_000060_000008	Oh, Winnie, Winnie, what am I to do!'	Oh, Winnie, Winnie, what am I to do!'	false	1045.55	1047.82	3
4071_39913_000061_000000	"There was something terrible in the contrast between her passionate words and her calm face and lifeless voice.	"There was something terrible in the contrast between her passionate words and her calm face and lifeless voice.	false	1048.94	1054.63	16
4071_39913_000061_000001	I wanted to call Mother, but she would not let me.	I wanted to call Mother, but she would not let me.	true	1055.3	1058.26	12
4071_39913_000061_000002	She went away to her own room, trailing along the dark hall in her dress and veil, and locked herself in.	She went away to her own room, trailing along the dark hall in her dress and veil, and locked herself in.	false	1058.42	1064.08	9
4071_39913_000062_000000	"Well, I told it all to the others in some fashion.	"Well, I told it all to the others in some fashion.	true	1065.38	1068.07	14
4071_39913_000062_000001	You can imagine their anger and dismay.	You can imagine their anger and dismay.	true	1068.56	1070.74	15
4071_39913_000062_000002	Your father, Amy--he was a hot-blooded, impetuous, young fellow then--went at once to seek Willis Starr.	Your father, Amy-he was a hot blooded, impetuous, young fellow then-went at once to seek Willis Starr.	false	1071.05	1077.34	14
4071_39913_000062_000003	But he was gone, no one knew where, and the whole country rang with the gossip and scandal of the affair.	But he was gone, no one knew where, and the whole country rang with the gossip and scandal of the affair.	false	1077.65	1083.19	10
4071_39913_000062_000004	Eliza knew nothing of this, for she was ill and unconscious for many a day.	Eliza knew nothing of this, for she was ill and unconscious for many a day.	true	1083.68	1088.02	14
4071_39913_000062_000005	In a novel or story she would have died, I suppose, and that would have been the end of it.	In a novel or story she would have died, I suppose, and that would have been the end of it.	true	1088.48	1093.36	12
4071_39913_000062_000006	But this was in real life, and Eliza did not die, although many times we thought she would.	But this was in real life, and Eliza did not die, although many times we thought she would.	true	1093.88	1099.06	13
4071_39913_000063_000000	"When she did recover, how frightfully changed she was!	"When she did recover, how frightfully changed she was!	true	1099.13	1102.75	16
4071_39913_000063_000001	It almost broke my heart to see her.	It almost broke my heart to see her.	true	1103.48	1105.57	15.553503
4071_39913_000063_000002	Her very nature seemed to have changed too--all her joyousness and light-heartedness were dead.	Her very nature seemed to have changed too-all her joyousness and light heartedness were dead.	true	1105.88	1111.48	15
4071_39913_000063_000003	From that time she was a faded, dispirited creature, no more like the Eliza we had known than the merest stranger.	From that time she was a faded, dispirited creature, no more like the Eliza we had known than the merest stranger.	false	1111.79	1118.95	11
4071_39913_000063_000004	And then after a while came other news--Willis Starr was married to the other Eliza Laurance, the true heiress.	And then after a while came other news-Willis Starr was married to the other Eliza Laurance, the true heiress.	false	1119.71	1125.97	15
4071_39913_000063_000005	He had made no second mistake.	He had made no second mistake.	true	1126.34	1128.34	16.67773
4071_39913_000063_000006	We tried to keep it from Eliza but she found it out at last.	We tried to keep it from Eliza but she found it out at last.	true	1128.68	1132.15	13
4071_39913_000063_000007	That was the day she came up here alone and packed this old chest.	That was the day she came up here alone and packed this old chest.	true	1133	1136.53	13
4071_39913_000063_000008	Nobody ever knew just what she put into it. But you and I see now, Amy--her ball dress, her wedding gown, her love letters and, more than all else, her youth and happiness--this old chest was the tomb of it all.	Nobody ever knew just what she put into it. But you and I see now, Amy-her ball dress, her wedding gown, her love letters and, more than all else, her youth and happiness-this old chest was the tomb of it all.	true	1136.87	1150.66	13
4071_39913_000063_000009	Eliza Laurance was really buried here.	Eliza Laurance was really buried here.	true	1150.97	1153.72	12
4071_39913_000064_000000	"She went home soon after.	"She went home soon after.	false	1154.57	1156.74	14.733752
4071_39913_000064_000001	Before she went she exacted a promise from Mother that the old chest should be left at the Grange unopened until she came for it herself.	Before she went she exacted a promise from Mother that the old chest should be left at the Grange unopened until she came for it herself.	false	1156.74	1164.63	14
4071_39913_000064_000002	But she never came back, and I do not think she ever intended to, and I never saw her again.	But she never came back, and I do not think she ever intended to, and I never saw her again.	true	1164.63	1170.16	12
4071_39913_000065_000000	"That is the story of the old chest.	"That is the story of the old chest.	true	1171.4	1173.37	13
4071_39913_000065_000001	It was all over so long ago--the heartbreak and the misery--but it all seems to come back to me now. Poor Eliza!"	It was all over so long ago-the heartbreak and the misery-but it all seems to come back to me now. Poor Eliza!"	false	1173.56	1181.86	10
4071_39913_000066_000000	My own eyes were full of tears as Aunt Winnifred went down the stairs, leaving me sitting dreamily there in the sunset light, with the old yellowed bridal veil across my lap and the portrait of Eliza Laurance in my hand.	My own eyes were full of tears as Aunt Winnifred went down the stairs, leaving me sitting dreamily there in the sunset light, with the old yellowed bridal veil across my lap and the portrait of Eliza Laurance in my hand.	true	1182.86	1194.52	9
4071_39913_000066_000001	Around me were the relics of her pitiful story--the old, oft-repeated story of a faithless love and a woman's broken heart--the gown she had worn, the slippers in which she had danced light-heartedly at her betrothal ball, her fan, her pearls, her gloves--and it somehow seemed to me as if I were living in those old years myself, as if the love and happiness, the betrayal and pain were part of my own life.	Around me were the relics of her pitiful story-the old, oft repeated story of a faithless love and a woman's broken heart-the gown she had worn, the slippers in which she had danced light heartedly at her betrothal ball, her fan, her pearls, her gloves-and it somehow seemed to me as if I were living in those old years myself, as if the love and happiness, the betrayal and pain were part of my own life.	true	1195.04	1220.14	11
4071_39913_000066_000002	Presently Aunt Winnifred came back through the twilight shadows.	Presently Aunt Winnifred came back through the twilight shadows.	true	1220.57	1223.8	8
4071_39913_000067_000000	"Let us put all these things back in their grave, Amy," she said. "They are of no use to anyone now.	"Let us put all these things back in their grave, Amy," she said. "They are of no use to anyone now.	true	1224.35	1229.94	12
4071_39913_000067_000001	The linen might be bleached and used, I dare say--but it would seem like a sacrilege.	The linen might be bleached and used, I dare say-but it would seem like a sacrilege.	false	1229.94	1236.01	13.562136
4071_39913_000067_000002	It was Mother's wedding present to Eliza.	It was Mother's wedding present to Eliza.	true	1236.59	1238.86	11
4071_39913_000067_000003	And the pearls--would you care to have them, Amy?"	And the pearls-would you care to have them, Amy?"	true	1239.35	1242.46	12
4071_39913_000068_000000	"Oh, no, no," I said with a little shiver.	"Oh, no, no," I said with a little shiver.	true	1242.74	1245.13	11
4071_39913_000068_000001	"I would never wear them, Aunt Winnifred.	"I would never wear them, Aunt Winnifred.	true	1245.17	1247.23	1
4071_39913_000068_000002	I should feel like a ghost if I did.	I should feel like a ghost if I did.	true	1247.54	1249.39	11
4071_39913_000068_000003	Put everything back just as we found it--only her portrait.	Put everything back just as we found it-only her portrait.	true	1249.79	1253.47	9
4071_39913_000068_000004	I would like to keep that."	I would like to keep that."	false	1253.6	1256.25	0
4071_39913_000069_000000	Reverently we put gowns and letters and trinkets back into the old blue chest.	Reverently we put gowns and letters and trinkets back into the old blue chest.	true	1256.25	1260.58	10
4071_39913_000069_000001	Aunt Winnifred closed the lid and turned the key softly. She bowed her head over it for a minute and then we went together in silence down the shadowy garret stairs of Wyther Grange.	Aunt Winnifred closed the lid and turned the key softly. She bowed her head over it for a minute and then we went together in silence down the shadowy garret stairs of Wyther Grange.	false	1260.8	1277.58	10
