4148_183988_000000_000000	The girl, a quick red in her cheeks, still hesitated on the threshold.	The girl, a quick red in her cheeks, still hesitated on the threshold.	false	0	2.28	18.997185
4148_183988_000068_000000	At the announcement, Darrow tried to merge his look of relief into the expression of friendly interest with which he grasped her hand.	At the announcement, Darrow tried to merge his look of relief into the expression of friendly interest with which he grasped her hand.	true	921.27	928.6	17
4148_183988_000068_000001	"You really do agree with me, then?	"You really do agree with me, then?	true	929.3	931.21	19.920769
4148_183988_000068_000002	And you'll give me a chance to talk things over with you?"	And you'll give me a chance to talk things over with you?"	true	931.61	934.33	20.373695
4148_183988_000069_000000	She shook her head with a faint smile.	She shook her head with a faint smile.	true	935.18	937.36	22.203592
4148_183988_000069_000001	"I'm not thinking of the stage. I've had another offer: that's all."	"I'm not thinking of the stage. I've had another offer: that's all."	true	938	941.89	20.627604
4148_183988_000070_000000	The relief was hardly less great.	The relief was hardly less great.	true	943.01	945.13	22.250738
4148_183988_000070_000001	After all, his personal responsibility ceased with her departure from Givre.	After all, his personal responsibility ceased with her departure from Givre.	false	945.65	951.48	19.696346
4148_183988_000071_000000	"You'll tell me about that, then--won't you?"	"You'll tell me about that, then-won't you?"	true	951.48	953.5	21
4148_183988_000072_000000	Her smile flickered up.	Her smile flickered up.	true	954.44	956.05	21.507116
4148_183988_000072_000001	"Oh, you'll hear about it soon...I must catch Effie now and drag her back to the blackboard."	"Oh, you'll hear about it soon...I must catch Effie now and drag her back to the blackboard."	true	956.24	961.66	20.544855
4148_183988_000073_000000	She walked on for a few yards, and then paused again and confronted him. "I've been odious to you--and not quite honest," she broke out suddenly.	She walked on for a few yards, and then paused again and confronted him. "I've been odious to you-and not quite honest," she broke out suddenly.	true	962.75	972.01	21.73075
4148_183988_000074_000000	"Not quite honest?" he repeated, caught in a fresh wave of wonder.	"Not quite honest?" he repeated, caught in a fresh wave of wonder.	true	972.86	976.9	21.1418
4148_183988_000075_000000	"I mean, in seeming not to trust you.	"I mean, in seeming not to trust you.	true	977.63	980.05	23.525991
4148_183988_000075_000001	It's come over me again as we talked that, at heart, I've always KNOWN I could..."	It's come over me again as we talked that, at heart, I've always KNOWN I could..."	true	980.75	985.66	22.96672
4148_183988_000076_000000	Her colour rose in a bright wave, and her eyes clung to his for a swift instant of reminder and appeal.	Her colour rose in a bright wave, and her eyes clung to his for a swift instant of reminder and appeal.	true	986.66	992.59	20
4148_183988_000076_000001	For the same space of time the past surged up in him confusedly; then a veil dropped between them.	For the same space of time the past surged up in him confusedly; then a veil dropped between them.	true	993.32	999.31	21.46773
4148_183988_000077_000000	"Here's Effie now!" she exclaimed.	"Here's Effie now!" she exclaimed.	true	1000.07	1002.37	19.803583
4148_183988_000078_000000	He turned and saw the little girl trotting back to them, her hand in Owen Leath's.	He turned and saw the little girl trotting back to them, her hand in Owen Leath's.	false	1003.43	1008.72	20.390636
4148_183988_000078_000001	Even through the stir of his subsiding excitement Darrow was at once aware of the change effected by the young man's approach. For a moment Sophy Viner's cheeks burned redder; then they faded to the paleness of white petals.	Even through the stir of his subsiding excitement Darrow was at once aware of the change effected by the young man's approach. For a moment Sophy Viner's cheeks burned redder; then they faded to the paleness of white petals.	false	1008.72	1021.78	19.542181
4148_183988_000078_000002	She lost, however, nothing of the bright bravery which it was her way to turn on the unexpected.	She lost, however, nothing of the bright bravery which it was her way to turn on the unexpected.	true	1022.42	1028.14	19
4148_183988_000078_000003	Perhaps no one less familiar with her face than Darrow would have discerned the tension of the smile she transferred from himself to Owen Leath, or have remarked that her eyes had hardened from misty grey to a shining darkness.	Perhaps no one less familiar with her face than Darrow would have discerned the tension of the smile she transferred from himself to Owen Leath, or have remarked that her eyes had hardened from misty grey to a shining darkness.	true	1028.51	1041.46	21
4148_183988_000078_000004	But her observer was less struck by this than by the corresponding change in Owen Leath.	But her observer was less struck by this than by the corresponding change in Owen Leath.	true	1042.31	1047.49	18
4148_183988_000078_000005	The latter, when he came in sight, had been laughing and talking unconcernedly with Effie; but as his eye fell on Miss Viner his expression altered as suddenly as hers.	The latter, when he came in sight, had been laughing and talking unconcernedly with Effie; but as his eye fell on Miss Viner his expression altered as suddenly as hers.	true	1048.16	1058.47	19.794516
4148_183988_000079_000000	The change, for Darrow, was less definable; but, perhaps for that reason, it struck him as more sharply significant.	The change, for Darrow, was less definable; but, perhaps for that reason, it struck him as more sharply significant.	true	1059.62	1066.78	20.122963
4148_183988_000079_000001	Only--just what did it signify?	Only-just what did it signify?	true	1067.42	1069.78	23.02261
4148_183988_000079_000002	Owen, like Sophy Viner, had the kind of face which seems less the stage on which emotions move than the very stuff they work in.	Owen, like Sophy Viner, had the kind of face which seems less the stage on which emotions move than the very stuff they work in.	true	1070.57	1078.99	22.489607
4148_183988_000079_000003	In moments of excitement his odd irregular features seemed to grow fluid, to unmake and remake themselves like the shadows of clouds on a stream.	In moments of excitement his odd irregular features seemed to grow fluid, to unmake and remake themselves like the shadows of clouds on a stream.	true	1079.84	1088.77	19.912844
4148_183988_000079_000004	Darrow, through the rapid flight of the shadows, could not seize on any specific indication of feeling: he merely perceived that the young man was unaccountably surprised at finding him with Miss Viner, and that the extent of his surprise might cover all manner of implications.	Darrow, through the rapid flight of the shadows, could not seize on any specific indication of feeling: he merely perceived that the young man was unaccountably surprised at finding him with Miss Viner, and that the extent of his surprise might cover all manner of implications.	true	1089.56	1105.33	21
4148_183988_000080_000000	Darrow's first idea was that Owen, if he suspected that the conversation was not the result of an accidental encounter, might wonder at his step-mother's suitor being engaged, at such an hour, in private talk with her little girl's governess.	Darrow's first idea was that Owen, if he suspected that the conversation was not the result of an accidental encounter, might wonder at his step mother's suitor being engaged, at such an hour, in private talk with her little girl's governess.	true	1106.51	1120.69	21.385586
4148_183988_000080_000001	The thought was so disturbing that, as the three turned back to the house, he was on the point of saying to Owen: "I came out to look for your mother." But, in the contingency he feared, even so simple a phrase might seem like an awkward attempt at explanation; and he walked on in silence at Miss Viner's side.	The thought was so disturbing that, as the three turned back to the house, he was on the point of saying to Owen: "I came out to look for your mother." But, in the contingency he feared, even so simple a phrase might seem like an awkward attempt at explanation; and he walked on in silence at Miss Viner's side.	false	1121.66	1140.16	20.821714
4148_183988_000080_000002	Presently he was struck by the fact that Owen Leath and the girl were silent also; and this gave a new turn to his thoughts.	Presently he was struck by the fact that Owen Leath and the girl were silent also; and this gave a new turn to his thoughts.	true	1140.98	1148.95	22.359657
4148_183988_000080_000003	Silence may be as variously shaded as speech; and that which enfolded Darrow and his two companions seemed to his watchful perceptions to be quivering with cross-threads of communication.	Silence may be as variously shaded as speech; and that which enfolded Darrow and his two companions seemed to his watchful perceptions to be quivering with cross threads of communication.	true	1149.68	1161.85	19.037556
4148_183988_000080_000004	At first he was aware only of those that centred in his own troubled consciousness; then it occurred to him that an equal activity of intercourse was going on outside of it.	At first he was aware only of those that centred in his own troubled consciousness; then it occurred to him that an equal activity of intercourse was going on outside of it.	true	1162.79	1173.13	17.694635
4148_183988_000080_000005	Something was in fact passing mutely and rapidly between young Leath and Sophy Viner; but what it was, and whither it tended, Darrow, when they reached the house, was but just beginning to divine...	Something was in fact passing mutely and rapidly between young Leath and Sophy Viner; but what it was, and whither it tended, Darrow, when they reached the house, was but just beginning to divine...	false	1173.65	1195.05	19.772257
