1752_16632_000013_000000	CHAPTER I	CHAPTER one
1752_16632_000093_000001	There was something about the expression of even the tiny knot of hair at the back of the woman's head which told of anxious poverty.	There was something about the expression of even the tiny knot of hair at the back of the woman's head which told of anxious poverty.
1752_16632_000093_000002	With envious curiosity she hurried up to see what a luckier mortal had found, crowding to look over her shoulder.	With envious curiosity she hurried up to see what a luckier mortal had found, crowding to look over her shoulder.
1752_16632_000093_000003	The woman in black drew haughtily away and clutched the Noah's ark with a gesture of proprietorship.	The woman in black drew haughtily away and clutched the Noah's ark with a gesture of proprietorship.
1752_16632_000094_000000	"Go away!	"Go away!
1752_16632_000094_000001	This is my affair." Miss Terry read her expression and sniffed. "There is the Christmas spirit coming out again," she said to herself. "Look at her face!"	This is my affair." Miss Terry read her expression and sniffed. "There is the Christmas spirit coming out again," she said to herself. "Look at her face!"
1752_16632_000095_000001	But the second woman caught hold of her skirt and began to speak earnestly.	But the second woman caught hold of her skirt and began to speak earnestly.
1752_16632_000095_000002	She pointed to the Noah's ark, then to her two children.	She pointed to the Noah's ark, then to her two children.
1752_16632_000095_000003	Her eyes were beseeching.	Her eyes were beseeching.
1752_16632_000095_000004	The little boys crowded forward eagerly.	The little boys crowded forward eagerly.
1752_16632_000095_000005	But some wicked spirit seemed to have seized the finder of the ark.	But some wicked spirit seemed to have seized the finder of the ark.
1752_16632_000095_000006	Angrily she shook off the hand of the other woman, and clutching the box yet more firmly under her arm, she hurried away.	Angrily she shook off the hand of the other woman, and clutching the box yet more firmly under her arm, she hurried away.
1752_16632_000095_000007	Once, twice, she turned and shook her head at the ragged woman who followed her.	Once, twice, she turned and shook her head at the ragged woman who followed her.
1752_16632_000095_000008	Then, with a savage gesture at the two children, she disappeared beyond Miss Terry's straining eyes.	Then, with a savage gesture at the two children, she disappeared beyond Miss Terry's straining eyes.
1752_16632_000095_000009	The poor woman and her boys followed forlornly at a distance.	The poor woman and her boys followed forlornly at a distance.
1752_16632_000096_000000	"They really wanted it, that old Noah's ark!" exclaimed Miss Terry in amazement.	"They really wanted it, that old Noah's ark!" exclaimed Miss Terry in amazement.
1752_16632_000096_000001	"I can scarcely believe it.	"I can scarcely believe it.
1752_16632_000096_000002	But why did that other creature keep the thing?	But why did that other creature keep the thing?
1752_16632_000096_000003	I see!	I see!
1752_16632_000096_000004	Only because she found they cared for it.	Only because she found they cared for it.
1752_16632_000096_000005	Well, that is a happy spirit for Christmas time, I should say!	Well, that is a happy spirit for Christmas time, I should say!
1752_16632_000096_000006	Humph!	Humph!
