7867_110742_000000_000000	XI	XI	false	22.62	23.01	-20
7867_110742_000012_000003	I have lately seen Peter Rugg and his child, horse and chair; therefore I pray you to relate to me all you know or ever heard of him." "Why, my friend," said James Felt, "that Peter Rugg is now a living man I will not deny; but that you have seen Peter Rugg and his child is impossible, if you mean a small child, for Jenny Rugg, if living, must be at least--let me see--Boston Massacre, 1770--Jenny Rugg was about ten years old.	I have lately seen peter Rugg and his child, horse and chair; therefore I pray you to relate to me all you know or ever heard of him." "Why, my friend," said james Felt, "that peter Rugg is now a living man I will not deny; but that you have seen peter Rugg and his child is impossible, if you mean a small child, for Jenny Rugg, if living, must be at least-let me see-Boston Massacre, seventeen seventy--Jenny Rugg was about ten years old.	false	1041.86	1073.74	20.73464
7867_110742_000012_000004	Why, sir, Jenny Rugg if living must be more than sixty years of age.	Why, sir, Jenny Rugg if living must be more than sixty years of age.	false	1073.9	1078.69	17
7867_110742_000012_000005	That Peter Rugg is living is highly probable, as he was only ten years older than myself; and I was only eighty last March, and I am as likely to live twenty years longer as any man." Here I perceived that Mr. Felt was in his dotage, and I despaired of gaining any intelligence from him on which I could depend.	That peter Rugg is living is highly probable, as he was only ten years older than myself; and I was only eighty last March, and I am as likely to live twenty years longer as any man." Here I perceived that mr Felt was in his dotage, and I despaired of gaining any intelligence from him on which I could depend.	true	1079	1099.15	22.528412
7867_110742_000013_000000	I took my leave of Mrs. Croft, and proceeded to my lodgings at the Marlborough Hotel.	I took my leave of mrs Croft, and proceeded to my lodgings at the Marlborough Hotel.	true	1099.52	1104.46	20.897095
7867_110742_000014_000000	If Peter Rugg, thought I, has been travelling since the Boston Massacre, there is no reason why he should not travel to the end of time.	If peter Rugg, thought I, has been travelling since the Boston Massacre, there is no reason why he should not travel to the end of time.	true	1104.53	1112.83	22.006224
7867_110742_000014_000001	If the present generation know little of him, the next will know less, and Peter and his child will have no hold on this world.	If the present generation know little of him, the next will know less, and peter and his child will have no hold on this world.	false	1112.96	1120.48	19.696877
7867_110742_000015_000000	In the course of the evening I related my adventure in Middle Street. "Ha!" said one of the company, smiling, "do you really think you have seen Peter Rugg?	In the course of the evening I related my adventure in Middle Street. "Ha!" said one of the company, smiling, "do you really think you have seen peter Rugg?	true	1120.82	1130.47	20.498177
7867_110742_000015_000001	I have heard my grandfather speak of him as though he seriously believed his own story." "Sir," said I, "pray let us compare your grandfather's story of Mr. Rugg with my own." "Peter Rugg, sir, if my grandfather was worthy of credit, once lived in Middle Street, in this city.	I have heard my grandfather speak of him as though he seriously believed his own story." "Sir," said I, "pray let us compare your grandfather's story of mr Rugg with my own." "peter Rugg, sir, if my grandfather was worthy of credit, once lived in Middle Street, in this city.	true	1130.57	1148.34	17.844517
7867_110742_000015_000002	He was a man in comfortable circumstances, had a wife and one daughter, and was generally esteemed for his sober life and manners.	He was a man in comfortable circumstances, had a wife and one daughter, and was generally esteemed for his sober life and manners.	false	1148.34	1156.48	15
7867_110742_000015_000003	But unhappily his temper at times was altogether ungovernable, and then his language was terrible.	But unhappily his temper at times was altogether ungovernable, and then his language was terrible.	true	1156.79	1164.85	17
7867_110742_000015_000004	In these fits of passion, if a door stood in his way he would never do less than kick a panel through.	In these fits of passion, if a door stood in his way he would never do less than kick a panel through.	true	1164.86	1171	16
7867_110742_000015_000005	He would sometimes throw his heels over his head, and come down on his feet, uttering oaths in a circle.	He would sometimes throw his heels over his head, and come down on his feet, uttering oaths in a circle.	true	1171.22	1177.48	18
7867_110742_000015_000006	And thus, in a rage, he was the first who performed a somerset, and did what others have since learned to do for merriment and money.	And thus, in a rage, he was the first who performed a somerset, and did what others have since learned to do for merriment and money.	false	1177.88	1185.88	19
7867_110742_000015_000007	Once Rugg was seen to bite a tenpenny nail in halves.	Once Rugg was seen to bite a tenpenny nail in halves.	true	1185.95	1190.71	19
7867_110742_000015_000008	In those days everybody, both men and boys, wore wigs; and Peter, at these moments of violent passion, would become so profane that his wig would rise up from his head.	In those days everybody, both men and boys, wore wigs; and peter, at these moments of violent passion, would become so profane that his wig would rise up from his head.	true	1190.99	1201.24	16
7867_110742_000015_000009	Some said it was on account of his terrible language; others accounted for it in a more philosophical way, and said it was caused by the expansion of his scalp, as violent passion, we know, will swell the veins and expand the head.	Some said it was on account of his terrible language; others accounted for it in a more philosophical way, and said it was caused by the expansion of his scalp, as violent passion, we know, will swell the veins and expand the head.	false	1201.46	1216.45	14
7867_110742_000015_000010	While these fits were on him, Rugg had no respect for heaven or earth.	While these fits were on him, Rugg had no respect for heaven or earth.	true	1216.94	1221.31	15
7867_110742_000015_000011	Except this infirmity, all agreed that Rugg was a good soft of a man; for when his fits were over, nobody was so ready to commend a placid temper as Peter.	Except this infirmity, all agreed that Rugg was a good soft of a man; for when his fits were over, nobody was so ready to commend a placid temper as peter.	false	1221.59	1231.12	15
7867_110742_000016_000000	"It was late in autumn, one morning, that Rugg, in his own chair, with a fine large bay horse, took his daughter and proceeded to Concord.	"It was late in autumn, one morning, that Rugg, in his own chair, with a fine large bay horse, took his daughter and proceeded to Concord.	false	1231.64	1241.68	15
7867_110742_000016_000001	On his return a violent storm overtook him.	On his return a violent storm overtook him.	true	1241.81	1245.37	18
7867_110742_000016_000002	At dark he stopped in Menotomy (now West Cambridge), at the door of a Mr. Cutter, a friend of his, who urged him to tarry overnight.	At dark he stopped in Menotomy (now West Cambridge), at the door of a mr Cutter, a friend of his, who urged him to tarry overnight.	false	1245.59	1254.79	21
7867_110742_000016_000003	On Rugg's declining to stop, Mr. Cutter urged him vehemently.	On Rugg's declining to stop, mr Cutter urged him vehemently.	true	1255.22	1258.93	21
7867_110742_000016_000004	'Why, Mr. Rugg,' said Cutter, 'the storm is overwhelming you; the night is exceeding dark; your little daughter will perish; you are in an open chair, and the tempest is increasing.' '_Let the storm increase_,' said Rugg, with a fearful oath, '_I will see home to-night, in spite of the last tempest! or may I never see home_.' At these words he gave his whip to his high-spirited horse, and disappeared in a moment.	'Why, mr Rugg,' said Cutter, 'the storm is overwhelming you; the night is exceeding dark; your little daughter will perish; you are in an open chair, and the tempest is increasing.' 'underscore Let the storm increase underscore,' said Rugg, with a fearful oath, 'underscore I will see home to night, in spite of the last tempest! or may I never see home underscore.' At these words he gave his whip to his high spirited horse, and disappeared in a moment.	false	1258.97	1284.61	19
7867_110742_000016_000005	But Peter Rugg did not reach home that night, nor the next; nor, when he became a missing man, could he ever be traced beyond Mr. Cutter's in Menotomy.	But peter Rugg did not reach home that night, nor the next; nor, when he became a missing man, could he ever be traced beyond mr Cutter's in Menotomy.	false	1285.19	1296.57	18.748264
7867_110742_000016_000006	For a long time after, on every dark and stormy night, the wife of Peter Rugg would fancy she heard the crack of a whip, and the fleet tread of a horse, and the rattling of a carriage, passing her door.	For a long time after, on every dark and stormy night, the wife of peter Rugg would fancy she heard the crack of a whip, and the fleet tread of a horse, and the rattling of a carriage, passing her door.	false	1296.57	1309.42	18.569157
7867_110742_000016_000007	The neighbours, too, heard the same noises, and some said they knew it was Rugg's horse; the tread on the pavement was perfectly familiar to them.	The neighbours, too, heard the same noises, and some said they knew it was Rugg's horse; the tread on the pavement was perfectly familiar to them.	false	1309.94	1318.15	13
7867_110742_000016_000008	This occurred so repeatedly that at length the neighbours watched with lanterns, and saw the real Peter Rugg, with his own horse and chair, and child sitting beside him, pass directly before his own door, his head turning toward his house, and himself making every effort to stop his horse, but in vain.	This occurred so repeatedly that at length the neighbours watched with lanterns, and saw the real peter Rugg, with his own horse and chair, and child sitting beside him, pass directly before his own door, his head turning toward his house, and himself making every effort to stop his horse, but in vain.	true	1318.88	1338.28	17
7867_110742_000016_000009	The next day the friends of Mrs. Rugg exerted themselves to find her husband and child.	The next day the friends of mrs Rugg exerted themselves to find her husband and child.	true	1339.1	1344.58	13
7867_110742_000016_000010	They inquired at every public house and stable in town; but it did not appear that Rugg made any stay in Boston.	They inquired at every public house and stable in town; but it did not appear that Rugg made any stay in Boston.	true	1344.65	1351.78	17
7867_110742_000016_000011	No one, after Rugg had passed his own door, could give any account of him; though it was asserted by some that the clatter of Rugg's horse and carriage over the pavements shook the houses on both sides of the street.	No one, after Rugg had passed his own door, could give any account of him; though it was asserted by some that the clatter of Rugg's horse and carriage over the pavements shook the houses on both sides of the street.	true	1352.39	1365.19	15
7867_110742_000016_000012	And this is credible, if, indeed, Rugg's horse and carriage did pass on that night.	And this is credible, if, indeed, Rugg's horse and carriage did pass on that night.	true	1365.5	1370.32	9
7867_110742_000016_000013	For at this day, in many of the streets, a loaded truck or team in passing will shake the houses like an earthquake.	For at this day, in many of the streets, a loaded truck or team in passing will shake the houses like an earthquake.	true	1370.45	1377.43	16
7867_110742_000016_000014	However, Rugg's neighbours never afterward watched again; some of them treated it all as a delusion, and thought no more of it.	However, Rugg's neighbours never afterward watched again; some of them treated it all as a delusion, and thought no more of it.	true	1377.98	1386.94	16.869469
7867_110742_000016_000015	Others, of a different opinion, shook their heads and said nothing.	Others, of a different opinion, shook their heads and said nothing.	true	1387.46	1392.43	20.654163
7867_110742_000016_000016	Thus Rugg and his child, horse and chair, were soon forgotten; and probably many in the neighbourhood never heard a word on the subject.	Thus Rugg and his child, horse and chair, were soon forgotten; and probably many in the neighbourhood never heard a word on the subject.	true	1393.13	1401.76	17.288723
7867_110742_000017_000000	"There was indeed a rumour that Rugg afterward was seen in Connecticut, between Suffield and Hartford, passing through the country like a streak of chalk.	"There was indeed a rumour that Rugg afterward was seen in Connecticut, between Suffield and Hartford, passing through the country like a streak of chalk.	true	1402.13	1411.81	14
7867_110742_000017_000001	This gave occasion to Rugg's friends to make further inquiry.	This gave occasion to Rugg's friends to make further inquiry.	true	1412.12	1415.5	12
7867_110742_000017_000002	But the more they inquired, the more they were baffled.	But the more they inquired, the more they were baffled.	true	1415.54	1418.7	13
7867_110742_000017_000003	If they heard of Rugg one day in Connecticut, the next day they heard of him winding around the hills in New Hampshire; and soon after, a man in a chair, with a small child, exactly answering the description of Peter Rugg, would be seen in Rhode Island, inquiring the way to Boston.	If they heard of Rugg one day in Connecticut, the next day they heard of him winding around the hills in New Hampshire; and soon after, a man in a chair, with a small child, exactly answering the description of peter Rugg, would be seen in Rhode Island, inquiring the way to Boston.	false	1418.7	1434.07	12
7867_110742_000018_000000	"But that which chiefly gave a colour of mystery to the story of Peter Rugg was the affair at Charlestown bridge.	"But that which chiefly gave a colour of mystery to the story of peter Rugg was the affair at Charlestown bridge.	false	1434.95	1442.77	14
7867_110742_000018_000001	The toll-gatherer asserted that sometimes, on the darkest and most stormy nights, when no object could be discerned about the time Rugg was missing, a horse and wheelcarriage, with a noise equal to a troop, would at midnight, in utter contempt of the rates of toll, pass over the bridge.	The toll gatherer asserted that sometimes, on the darkest and most stormy nights, when no object could be discerned about the time Rugg was missing, a horse and wheelcarriage, with a noise equal to a troop, would at midnight, in utter contempt of the rates of toll, pass over the bridge.	true	1443.44	1461.7	21
7867_110742_000018_000002	This occurred so frequently that the toll-gatherer resolved to attempt a discovery.	This occurred so frequently that the toll gatherer resolved to attempt a discovery.	true	1462.16	1467.19	17
7867_110742_000018_000003	Soon after, at the usual time, apparently the same horse and carriage approached the bridge from Charlestown square.	Soon after, at the usual time, apparently the same horse and carriage approached the bridge from Charlestown square.	true	1467.65	1474.09	18
7867_110742_000018_000004	The toll-gatherer, prepared, took his stand as near the middle of the bridge as he dared, with a large three-legged stool in his hand.	The toll gatherer, prepared, took his stand as near the middle of the bridge as he dared, with a large three legged stool in his hand.	false	1474.25	1482.4	14
7867_110742_000018_000005	As the appearance passed, he threw the stool at the horse, but heard nothing except the noise of the stool skipping across the bridge.	As the appearance passed, he threw the stool at the horse, but heard nothing except the noise of the stool skipping across the bridge.	true	1482.62	1490.8	23.390179
7867_110742_000018_000006	The toll-gatherer on the next day asserted that the stool went directly through the body of the horse, and he persisted in that belief ever after.	The toll gatherer on the next day asserted that the stool went directly through the body of the horse, and he persisted in that belief ever after.	false	1491.41	1501.92	22.806927
7867_110742_000018_000007	Whether Rugg, or whoever the person was, ever passed the bridge again, the toll-gatherer would never tell; and when questioned, seemed anxious to waive the subject.	Whether Rugg, or whoever the person was, ever passed the bridge again, the toll gatherer would never tell; and when questioned, seemed anxious to waive the subject.	false	1501.92	1512.28	16
7867_110742_000018_000008	And thus Peter Rugg and his child, horse and carriage, remain a mystery to this day."	And thus peter Rugg and his child, horse and carriage, remain a mystery to this day."	true	1512.86	1520.35	22.193274
7867_110742_000019_000000	This, sir, is all that I could learn of Peter Rugg in Boston....	This, sir, is all that I could learn of peter Rugg in Boston....	true	1521.47	1526.25	26.53346
7867_110742_000020_000000	[Footnote 2: From Jonathan Dunwell of New York, to Mr. Herman Krauff.]	[Footnote two: From Jonathan Dunwell of New York, to mr Herman Krauff.]	false	1526.25	1533	24.977512
7867_110742_000021_000000	End of Project Gutenberg's Famous Stories Every Child Should Know, by Various	End of Project Gutenberg's Famous Stories Every Child Should Know, by Various	false	1533	1539	25.380966
