7874_110243_000000_000000	Barrymore was crouching at the window with the candle held against the glass.	Barrymore was crouching at the window with the candle held against the glass.	false	0	2.22	20.005556
7874_110243_000042_000001	It is something to have touched bottom anywhere in this bog in which we are floundering. We know now why Stapleton looked with disfavour upon his sister's suitor--even when that suitor was so eligible a one as Sir Henry.	It is something to have touched bottom anywhere in this bog in which we are floundering. We know now why Stapleton looked with disfavour upon his sister's suitor-even when that suitor was so eligible a one as Sir Henry.	false	902.6	914.23	22.516766
7874_110243_000042_000002	And now I pass on to another thread which I have extricated out of the tangled skein, the mystery of the sobs in the night, of the tear-stained face of Mrs. Barrymore, of the secret journey of the butler to the western lattice window.	And now I pass on to another thread which I have extricated out of the tangled skein, the mystery of the sobs in the night, of the tear stained face of mrs Barrymore, of the secret journey of the butler to the western lattice window.	true	914.63	927.4	23.717085
7874_110243_000042_000003	Congratulate me, my dear Holmes, and tell me that I have not disappointed you as an agent--that you do not regret the confidence which you showed in me when you sent me down.	Congratulate me, my dear Holmes, and tell me that I have not disappointed you as an agent-that you do not regret the confidence which you showed in me when you sent me down.	false	927.59	936.37	21.34738
7874_110243_000042_000004	All these things have by one night's work been thoroughly cleared.	All these things have by one night's work been thoroughly cleared.	true	936.56	940.095	24.724861
7874_110243_000043_000000	I have said "by one night's work," but, in truth, it was by two nights' work, for on the first we drew entirely blank.	I have said "by one night's work," but, in truth, it was by two nights' work, for on the first we drew entirely blank.	true	940.095	946.9	26.14961
7874_110243_000043_000001	I sat up with Sir Henry in his rooms until nearly three o'clock in the morning, but no sound of any sort did we hear except the chiming clock upon the stairs.	I sat up with Sir Henry in his rooms until nearly three o'clock in the morning, but no sound of any sort did we hear except the chiming clock upon the stairs.	true	947.48	956.2	22
7874_110243_000043_000002	It was a most melancholy vigil and ended by each of us falling asleep in our chairs.	It was a most melancholy vigil and ended by each of us falling asleep in our chairs.	true	956.87	962.26	22.588112
7874_110243_000043_000003	Fortunately we were not discouraged, and we determined to try again.	Fortunately we were not discouraged, and we determined to try again.	true	962.66	966.91	24.30771
7874_110243_000043_000004	The next night we lowered the lamp and sat smoking cigarettes without making the least sound.	The next night we lowered the lamp and sat smoking cigarettes without making the least sound.	true	967.28	972.25	22.869425
7874_110243_000043_000005	It was incredible how slowly the hours crawled by, and yet we were helped through it by the same sort of patient interest which the hunter must feel as he watches the trap into which he hopes the game may wander.	It was incredible how slowly the hours crawled by, and yet we were helped through it by the same sort of patient interest which the hunter must feel as he watches the trap into which he hopes the game may wander.	false	972.53	984.73	23.35662
7874_110243_000043_000006	One struck, and two, and we had almost for the second time given it up in despair when in an instant we both sat bolt upright in our chairs with all our weary senses keenly on the alert once more.	One struck, and two, and we had almost for the second time given it up in despair when in an instant we both sat bolt upright in our chairs with all our weary senses keenly on the alert once more.	false	985.07	996.76	23.616987
7874_110243_000043_000007	We had heard the creak of a step in the passage.	We had heard the creak of a step in the passage.	false	996.98	1000	24.362978
7874_110243_000044_000000	Very stealthily we heard it pass along until it died away in the distance.	Very stealthily we heard it pass along until it died away in the distance.	true	1000.4	1004.8	20
7874_110243_000044_000001	Then the baronet gently opened his door and we set out in pursuit.	Then the baronet gently opened his door and we set out in pursuit.	true	1004.99	1008.91	23.21075
7874_110243_000044_000002	Already our man had gone round the gallery and the corridor was all in darkness.	Already our man had gone round the gallery and the corridor was all in darkness.	false	1009.1	1013.65	20.938768
7874_110243_000044_000003	Softly we stole along until we had come into the other wing.	Softly we stole along until we had come into the other wing.	true	1013.84	1017.61	20
7874_110243_000044_000004	We were just in time to catch a glimpse of the tall, black-bearded figure, his shoulders rounded as he tiptoed down the passage.	We were just in time to catch a glimpse of the tall, black bearded figure, his shoulders rounded as he tiptoed down the passage.	true	1017.92	1025.8	23.524004
7874_110243_000044_000005	Then he passed through the same door as before, and the light of the candle framed it in the darkness and shot one single yellow beam across the gloom of the corridor.	Then he passed through the same door as before, and the light of the candle framed it in the darkness and shot one single yellow beam across the gloom of the corridor.	true	1026.17	1034.8	23.51461
7874_110243_000044_000006	We shuffled cautiously towards it, trying every plank before we dared to put our whole weight upon it.	We shuffled cautiously towards it, trying every plank before we dared to put our whole weight upon it.	true	1035.32	1041.16	23.30638
7874_110243_000044_000007	We had taken the precaution of leaving our boots behind us, but, even so, the old boards snapped and creaked beneath our tread.	We had taken the precaution of leaving our boots behind us, but, even so, the old boards snapped and creaked beneath our tread.	true	1041.47	1049.71	23.408167
7874_110243_000044_000008	Sometimes it seemed impossible that he should fail to hear our approach.	Sometimes it seemed impossible that he should fail to hear our approach.	false	1050.05	1054.03	24.817238
7874_110243_000044_000009	However, the man is fortunately rather deaf, and he was entirely preoccupied in that which he was doing.	However, the man is fortunately rather deaf, and he was entirely preoccupied in that which he was doing.	true	1054.16	1060.45	21.984661
7874_110243_000044_000010	When at last we reached the door and peeped through we found him crouching at the window, candle in hand, his white, intent face pressed against the pane, exactly as I had seen him two nights before.	When at last we reached the door and peeped through we found him crouching at the window, candle in hand, his white, intent face pressed against the pane, exactly as I had seen him two nights before.	true	1060.67	1072.45	25.886269
7874_110243_000045_000000	We had arranged no plan of campaign, but the baronet is a man to whom the most direct way is always the most natural.	We had arranged no plan of campaign, but the baronet is a man to whom the most direct way is always the most natural.	true	1072.73	1079.2	23
7874_110243_000045_000001	He walked into the room, and as he did so Barrymore sprang up from the window with a sharp hiss of his breath and stood, livid and trembling, before us.	He walked into the room, and as he did so Barrymore sprang up from the window with a sharp hiss of his breath and stood, livid and trembling, before us.	true	1079.36	1087.96	23.711807
7874_110243_000045_000002	His dark eyes, glaring out of the white mask of his face, were full of horror and astonishment as he gazed from Sir Henry to me.	His dark eyes, glaring out of the white mask of his face, were full of horror and astonishment as he gazed from Sir Henry to me.	true	1088.27	1095.49	25.373531
7874_110243_000046_000000	"What are you doing here, Barrymore?"	"What are you doing here, Barrymore?"	false	1095.77	1098.57	21.185474
7874_110243_000047_000000	"Nothing, sir." His agitation was so great that he could hardly speak, and the shadows sprang up and down from the shaking of his candle.	"Nothing, sir." His agitation was so great that he could hardly speak, and the shadows sprang up and down from the shaking of his candle.	false	1098.57	1105.63	24
7874_110243_000047_000001	"It was the window, sir.	"It was the window, sir.	false	1105.85	1107.69	17.929264
7874_110243_000047_000002	I go round at night to see that they are fastened."	I go round at night to see that they are fastened."	true	1107.69	1110.04	24
7874_110243_000048_000000	"On the second floor?"	"On the second floor?"	true	1110.2	1111.66	23.818773
7874_110243_000049_000000	"Yes, sir, all the windows."	"Yes, sir, all the windows."	false	1112	1114.37	25.07881
7874_110243_000050_000000	"Look here, Barrymore," said Sir Henry sternly, "we have made up our minds to have the truth out of you, so it will save you trouble to tell it sooner rather than later.	"Look here, Barrymore," said Sir Henry sternly, "we have made up our minds to have the truth out of you, so it will save you trouble to tell it sooner rather than later.	true	1114.37	1123	22
7874_110243_000050_000001	Come, now!	Come, now!	true	1123.07	1123.98	26.56867
7874_110243_000050_000002	No lies!	No lies!	true	1123.98	1124.8	21.479158
7874_110243_000050_000003	What were you doing at that window?"	What were you doing at that window?"	true	1125.26	1127.26	25.112658
7874_110243_000051_000000	The fellow looked at us in a helpless way, and he wrung his hands together like one who is in the last extremity of doubt and misery.	The fellow looked at us in a helpless way, and he wrung his hands together like one who is in the last extremity of doubt and misery.	false	1127.48	1134.58	23.204775
7874_110243_000052_000000	"I was doing no harm, sir.	"I was doing no harm, sir.	false	1134.89	1136.88	22.099243
7874_110243_000052_000001	I was holding a candle to the window."	I was holding a candle to the window."	true	1136.88	1138.99	20
7874_110243_000053_000000	"And why were you holding a candle to the window?"	"And why were you holding a candle to the window?"	true	1139.12	1141.87	23
7874_110243_000054_000000	"Don't ask me, Sir Henry--don't ask me!	"Don't ask me, Sir Henry-don't ask me!	true	1141.91	1144.75	26.670254
7874_110243_000054_000001	I give you my word, sir, that it is not my secret, and that I cannot tell it.	I give you my word, sir, that it is not my secret, and that I cannot tell it.	false	1145.06	1149.76	24.81015
7874_110243_000054_000002	If it concerned no one but myself I would not try to keep it from you."	If it concerned no one but myself I would not try to keep it from you."	true	1149.95	1153.89	25.767544
7874_110243_000055_000000	A sudden idea occurred to me, and I took the candle from the trembling hand of the butler.	A sudden idea occurred to me, and I took the candle from the trembling hand of the butler.	false	1153.89	1159.59	23.23929
7874_110243_000056_000000	"He must have been holding it as a signal," said I. "Let us see if there is any answer." I held it as he had done, and stared out into the darkness of the night.	"He must have been holding it as a signal," said i "Let us see if there is any answer." I held it as he had done, and stared out into the darkness of the night.	false	1159.59	1168.48	22.774277
7874_110243_000056_000001	Vaguely I could discern the black bank of the trees and the lighter expanse of the moor, for the moon was behind the clouds.	Vaguely I could discern the black bank of the trees and the lighter expanse of the moor, for the moon was behind the clouds.	false	1168.76	1175.95	22.783262
7874_110243_000056_000002	And then I gave a cry of exultation, for a tiny pinpoint of yellow light had suddenly transfixed the dark veil, and glowed steadily in the centre of the black square framed by the window.	And then I gave a cry of exultation, for a tiny pinpoint of yellow light had suddenly transfixed the dark veil, and glowed steadily in the centre of the black square framed by the window.	true	1176.26	1187.44	23.807377
7874_110243_000057_000000	"There it is!" I cried.	"There it is!" I cried.	true	1187.57	1189.33	24.9306
7874_110243_000058_000000	"No, no, sir, it is nothing--nothing at all!" the butler broke in; "I assure you, sir--"	"No, no, sir, it is nothing-nothing at all!" the butler broke in; "I assure you, sir-"	false	1189.46	1195.53	23.582767
7874_110243_000059_000000	"Move your light across the window, Watson!" cried the baronet.	"Move your light across the window, Watson!" cried the baronet.	true	1195.53	1198.51	24.605835
7874_110243_000059_000001	"See, the other moves also!	"See, the other moves also!	true	1198.73	1200.82	25.76512
7874_110243_000059_000002	Now, you rascal, do you deny that it is a signal? Come, speak up!	Now, you rascal, do you deny that it is a signal? Come, speak up!	false	1201.13	1205.38	26.937569
7874_110243_000059_000003	Who is your confederate out yonder, and what is this conspiracy that is going on?"	Who is your confederate out yonder, and what is this conspiracy that is going on?"	true	1205.42	1209.91	24.260204
7874_110243_000060_000000	The man's face became openly defiant.	The man's face became openly defiant.	true	1210.22	1212.43	25.487022
7874_110243_000060_000001	"It is my business, and not yours. I will not tell."	"It is my business, and not yours. I will not tell."	true	1212.74	1216.9	24.06767
7874_110243_000061_000000	"Then you leave my employment right away."	"Then you leave my employment right away."	true	1217.21	1219.57	19.563217
7874_110243_000062_000000	"Very good, sir.	"Very good, sir.	true	1220	1221.13	20.575659
7874_110243_000062_000001	If I must I must."	If I must I must."	true	1221.29	1222.99	20.081789
7874_110243_000063_000000	"And you go in disgrace.	"And you go in disgrace.	true	1223.15	1224.55	23.470678
7874_110243_000063_000001	By thunder, you may well be ashamed of yourself.	By thunder, you may well be ashamed of yourself.	true	1224.65	1227.88	19.751623
7874_110243_000063_000002	Your family has lived with mine for over a hundred years under this roof, and here I find you deep in some dark plot against me."	Your family has lived with mine for over a hundred years under this roof, and here I find you deep in some dark plot against me."	false	1227.95	1235.56	22.715918
7874_110243_000064_000000	"No, no, sir; no, not against you!"	"No, no, sir; no, not against you!"	true	1235.66	1238.65	26.832773
7874_110243_000064_000001	It was a woman's voice, and Mrs. Barrymore, paler and more horror-struck than her husband, was standing at the door.	It was a woman's voice, and mrs Barrymore, paler and more horror struck than her husband, was standing at the door.	true	1238.87	1246.21	22.94192
7874_110243_000064_000002	Her bulky figure in a shawl and skirt might have been comic were it not for the intensity of feeling upon her face.	Her bulky figure in a shawl and skirt might have been comic were it not for the intensity of feeling upon her face.	true	1246.43	1252.93	22.9836
7874_110243_000065_000000	"We have to go, Eliza.	"We have to go, Eliza.	true	1253.27	1254.73	27.099377
7874_110243_000065_000001	This is the end of it.	This is the end of it.	true	1254.89	1256.11	22.100533
7874_110243_000065_000002	You can pack our things," said the butler.	You can pack our things," said the butler.	true	1256.27	1258.69	24.685549
7874_110243_000066_000000	"Oh, John, John, have I brought you to this?	"Oh, john, john, have I brought you to this?	true	1259.18	1261.93	26.889294
7874_110243_000066_000001	It is my doing, Sir Henry--all mine.	It is my doing, Sir Henry-all mine.	true	1262.51	1265.05	23.961107
7874_110243_000066_000002	He has done nothing except for my sake and because I asked him."	He has done nothing except for my sake and because I asked him."	true	1265.3	1269.1	25.534756
7874_110243_000067_000000	"Speak out, then!	"Speak out, then!	true	1269.59	1270.63	30.154833
7874_110243_000067_000001	What does it mean?"	What does it mean?"	true	1270.7	1271.89	23.374502
7874_110243_000068_000000	"My unhappy brother is starving on the moor.	"My unhappy brother is starving on the moor.	true	1272.17	1274.71	22.59197
7874_110243_000068_000001	We cannot let him perish at our very gates.	We cannot let him perish at our very gates.	true	1274.87	1277.41	23.544003
7874_110243_000068_000002	The light is a signal to him that food is ready for him, and his light out yonder is to show the spot to which to bring it."	The light is a signal to him that food is ready for him, and his light out yonder is to show the spot to which to bring it."	true	1277.66	1284.55	25.650034
7874_110243_000069_000000	"Then your brother is--"	"Then your brother is-"	true	1284.89	1285.89	20.78468
7874_110243_000070_000000	"The escaped convict, sir--Selden, the criminal."	"The escaped convict, sir-Selden, the criminal."	false	1285.89	1290.67	25.778997
7874_110243_000071_000000	"That's the truth, sir," said Barrymore.	"That's the truth, sir," said Barrymore.	true	1291.13	1293.52	26.55764
7874_110243_000071_000001	"I said that it was not my secret and that I could not tell it to you.	"I said that it was not my secret and that I could not tell it to you.	true	1293.86	1297.69	23.780584
7874_110243_000071_000002	But now you have heard it, and you will see that if there was a plot it was not against you."	But now you have heard it, and you will see that if there was a plot it was not against you."	true	1297.82	1303.3	22.14986
7874_110243_000072_000000	This, then, was the explanation of the stealthy expeditions at night and the light at the window.	This, then, was the explanation of the stealthy expeditions at night and the light at the window.	true	1303.67	1309.02	24.011456
7874_110243_000072_000001	Sir Henry and I both stared at the woman in amazement.	Sir Henry and I both stared at the woman in amazement.	true	1309.02	1312.24	23.147753
7874_110243_000072_000002	Was it possible that this stolidly respectable person was of the same blood as one of the most notorious criminals in the country?	Was it possible that this stolidly respectable person was of the same blood as one of the most notorious criminals in the country?	true	1312.49	1320.82	24.480097
7874_110243_000073_000000	"Yes, sir, my name was Selden, and he is my younger brother.	"Yes, sir, my name was Selden, and he is my younger brother.	true	1321.13	1325.32	22.452785
7874_110243_000073_000001	We humoured him too much when he was a lad and gave him his own way in everything until he came to think that the world was made for his pleasure, and that he could do what he liked in it.	We humoured him too much when he was a lad and gave him his own way in everything until he came to think that the world was made for his pleasure, and that he could do what he liked in it.	false	1325.57	1335.34	23.584402
7874_110243_000073_000002	Then as he grew older he met wicked companions, and the devil entered into him until he broke my mother's heart and dragged our name in the dirt.	Then as he grew older he met wicked companions, and the devil entered into him until he broke my mother's heart and dragged our name in the dirt.	false	1335.59	1344.58	24.645027
7874_110243_000073_000003	From crime to crime he sank lower and lower until it is only the mercy of God which has snatched him from the scaffold; but to me, sir, he was always the little curly-headed boy that I had nursed and played with as an elder sister would.	From crime to crime he sank lower and lower until it is only the mercy of God which has snatched him from the scaffold; but to me, sir, he was always the little curly headed boy that I had nursed and played with as an elder sister would.	true	1345.01	1358.38	22.512142
7874_110243_000073_000004	That was why he broke prison, sir.	That was why he broke prison, sir.	true	1358.66	1360.6	24.078321
7874_110243_000073_000005	He knew that I was here and that we could not refuse to help him.	He knew that I was here and that we could not refuse to help him.	true	1360.82	1364.44	24.6924
7874_110243_000073_000006	When he dragged himself here one night, weary and starving, with the warders hard at his heels, what could we do?	When he dragged himself here one night, weary and starving, with the warders hard at his heels, what could we do?	true	1364.75	1371.73	24.717077
7874_110243_000073_000007	We took him in and fed him and cared for him.	We took him in and fed him and cared for him.	true	1371.95	1374.43	29.110645
7874_110243_000073_000008	Then you returned, sir, and my brother thought he would be safer on the moor than anywhere else until the hue and cry was over, so he lay in hiding there. But every second night we made sure if he was still there by putting a light in the window, and if there was an answer my husband took out some bread and meat to him.	Then you returned, sir, and my brother thought he would be safer on the moor than anywhere else until the hue and cry was over, so he lay in hiding there. But every second night we made sure if he was still there by putting a light in the window, and if there was an answer my husband took out some bread and meat to him.	true	1374.62	1392.46	24.811844
7874_110243_000073_000009	Every day we hoped that he was gone, but as long as he was there we could not desert him.	Every day we hoped that he was gone, but as long as he was there we could not desert him.	true	1392.47	1397.35	23.783947
7874_110243_000073_000010	That is the whole truth, as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me, for whose sake he has done all that he has."	That is the whole truth, as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me, for whose sake he has done all that he has."	true	1397.6	1408.54	25.20899
7874_110243_000074_000000	The woman's words came with an intense earnestness which carried conviction with them.	The woman's words came with an intense earnestness which carried conviction with them.	true	1408.67	1413.52	25.63037
7874_110243_000075_000000	"Is this true, Barrymore?"	"Is this true, Barrymore?"	true	1413.68	1415.23	16.308214
7874_110243_000076_000000	"Yes, Sir Henry.	"Yes, Sir Henry.	true	1415.48	1416.79	26.382732
7874_110243_000076_000001	Every word of it."	Every word of it."	true	1416.8	1417.99	22.506205
7874_110243_000077_000000	"Well, I cannot blame you for standing by your own wife.	"Well, I cannot blame you for standing by your own wife.	true	1418.09	1421.35	23.976597
7874_110243_000077_000001	Forget what I have said.	Forget what I have said.	true	1421.69	1423.15	26.33472
7874_110243_000077_000002	Go to your room, you two, and we shall talk further about this matter in the morning."	Go to your room, you two, and we shall talk further about this matter in the morning."	true	1423.28	1428.01	25.804419
7874_110243_000078_000000	When they were gone we looked out of the window again.	When they were gone we looked out of the window again.	true	1428.05	1430.77	21
7874_110243_000078_000001	Sir Henry had flung it open, and the cold night wind beat in upon our faces.	Sir Henry had flung it open, and the cold night wind beat in upon our faces.	false	1430.93	1436.02	27.602125
7874_110243_000078_000002	Far away in the black distance there still glowed that one tiny point of yellow light.	Far away in the black distance there still glowed that one tiny point of yellow light.	true	1436.3	1441.21	25.541893
7874_110243_000079_000000	"I wonder he dares," said Sir Henry.	"I wonder he dares," said Sir Henry.	true	1441.46	1444.03	23.521584
7874_110243_000080_000000	"It may be so placed as to be only visible from here."	"It may be so placed as to be only visible from here."	true	1444.16	1447.6	25.549313
7874_110243_000081_000000	"Very likely.	"Very likely.	true	1447.64	1448.65	28.462914
7874_110243_000081_000001	How far do you think it is?"	How far do you think it is?"	true	1448.87	1450.2	23.30163
7874_110243_000082_000000	"Out by the Cleft Tor, I think."	"Out by the Cleft Tor, I think."	false	1450.2	1452.49	24.827936
7874_110243_000083_000000	"Not more than a mile or two off."	"Not more than a mile or two off."	true	1452.62	1454.5	27.585299
7874_110243_000084_000000	"Hardly that."	"Hardly that."	true	1454.69	1455.61	32.18433
7874_110243_000085_000000	"Well, it cannot be far if Barrymore had to carry out the food to it. And he is waiting, this villain, beside that candle.	"Well, it cannot be far if Barrymore had to carry out the food to it. And he is waiting, this villain, beside that candle.	false	1455.77	1462.93	25.503027
7874_110243_000085_000001	By thunder, Watson, I am going out to take that man!"	By thunder, Watson, I am going out to take that man!"	false	1462.94	1466.29	28.446768
7874_110243_000086_000000	The same thought had crossed my own mind.	The same thought had crossed my own mind.	true	1466.51	1468.96	20.456514
7874_110243_000086_000001	It was not as if the Barrymores had taken us into their confidence.	It was not as if the Barrymores had taken us into their confidence.	false	1469.03	1472.95	24.363317
7874_110243_000086_000002	Their secret had been forced from them.	Their secret had been forced from them.	true	1473.05	1475.32	24.992687
7874_110243_000086_000003	The man was a danger to the community, an unmitigated scoundrel for whom there was neither pity nor excuse.	The man was a danger to the community, an unmitigated scoundrel for whom there was neither pity nor excuse.	true	1475.57	1482.46	23.367123
7874_110243_000086_000004	We were only doing our duty in taking this chance of putting him back where he could do no harm.	We were only doing our duty in taking this chance of putting him back where he could do no harm.	false	1482.77	1488.31	24.364729
7874_110243_000086_000005	With his brutal and violent nature, others would have to pay the price if we held our hands.	With his brutal and violent nature, others would have to pay the price if we held our hands.	false	1488.47	1493.74	22.443827
7874_110243_000086_000006	Any night, for example, our neighbours the Stapletons might be attacked by him, and it may have been the thought of this which made Sir Henry so keen upon the adventure.	Any night, for example, our neighbours the Stapletons might be attacked by him, and it may have been the thought of this which made Sir Henry so keen upon the adventure.	true	1493.75	1503.01	23.999533
7874_110243_000087_000000	"I will come," said I.	"I will come," said i	true	1503.29	1504.63	24.001028
7874_110243_000088_000000	"Then get your revolver and put on your boots.	"Then get your revolver and put on your boots.	true	1504.91	1507.18	24.566132
7874_110243_000088_000001	The sooner we start the better, as the fellow may put out his light and be off."	The sooner we start the better, as the fellow may put out his light and be off."	true	1507.49	1511.56	24.388235
7874_110243_000089_000000	In five minutes we were outside the door, starting upon our expedition. We hurried through the dark shrubbery, amid the dull moaning of the autumn wind and the rustle of the falling leaves.	In five minutes we were outside the door, starting upon our expedition. We hurried through the dark shrubbery, amid the dull moaning of the autumn wind and the rustle of the falling leaves.	false	1511.66	1522.5	22.93947
7874_110243_000089_000001	The night air was heavy with the smell of damp and decay.	The night air was heavy with the smell of damp and decay.	false	1522.5	1525.9	24.787846
7874_110243_000089_000002	Now and again the moon peeped out for an instant, but clouds were driving over the face of the sky, and just as we came out on the moor a thin rain began to fall.	Now and again the moon peeped out for an instant, but clouds were driving over the face of the sky, and just as we came out on the moor a thin rain began to fall.	true	1526.42	1536.79	23.192808
7874_110243_000089_000003	The light still burned steadily in front.	The light still burned steadily in front.	true	1536.95	1539.85	23.563597
7874_110243_000090_000000	"Are you armed?" I asked.	"Are you armed?" I asked.	true	1539.89	1541.56	23.737875
7874_110243_000091_000000	"I have a hunting-crop."	"I have a hunting crop."	true	1541.81	1543.2	28.72026
7874_110243_000092_000000	"We must close in on him rapidly, for he is said to be a desperate fellow.	"We must close in on him rapidly, for he is said to be a desperate fellow.	true	1543.2	1547.35	24.135122
7874_110243_000092_000001	We shall take him by surprise and have him at our mercy before he can resist."	We shall take him by surprise and have him at our mercy before he can resist."	true	1547.36	1551.64	23.071344
7874_110243_000093_000000	"I say, Watson," said the baronet, "what would Holmes say to this?	"I say, Watson," said the baronet, "what would Holmes say to this?	true	1551.86	1555.51	26.031542
7874_110243_000093_000001	How about that hour of darkness in which the power of evil is exalted?"	How about that hour of darkness in which the power of evil is exalted?"	true	1555.76	1559.71	24.6039
7874_110243_000094_000000	As if in answer to his words there rose suddenly out of the vast gloom of the moor that strange cry which I had already heard upon the borders of the great Grimpen Mire.	As if in answer to his words there rose suddenly out of the vast gloom of the moor that strange cry which I had already heard upon the borders of the great Grimpen Mire.	true	1559.93	1569.6	23.105034
7874_110243_000094_000001	It came with the wind through the silence of the night, a long, deep mutter, then a rising howl, and then the sad moan in which it died away.	It came with the wind through the silence of the night, a long, deep mutter, then a rising howl, and then the sad moan in which it died away.	false	1569.6	1579.33	24.137512
7874_110243_000094_000002	Again and again it sounded, the whole air throbbing with it, strident, wild, and menacing.	Again and again it sounded, the whole air throbbing with it, strident, wild, and menacing.	true	1579.61	1586.2	23.63368
7874_110243_000094_000003	The baronet caught my sleeve and his face glimmered white through the darkness.	The baronet caught my sleeve and his face glimmered white through the darkness.	true	1586.45	1590.67	24.021452
7874_110243_000095_000000	"My God, what's that, Watson?"	"My God, what's that, Watson?"	true	1590.77	1593.02	30.687815
7874_110243_000096_000000	"I don't know.	"I don't know.	true	1593.02	1593.9	23.880024
7874_110243_000096_000001	It's a sound they have on the moor.	It's a sound they have on the moor.	false	1593.9	1596.19	21.62427
7874_110243_000096_000002	I heard it once before."	I heard it once before."	true	1596.44	1597.9	27.070965
7874_110243_000097_000000	It died away, and an absolute silence closed in upon us.	It died away, and an absolute silence closed in upon us.	false	1598.06	1602.37	23.874983
7874_110243_000097_000001	We stood straining our ears, but nothing came.	We stood straining our ears, but nothing came.	true	1602.95	1606.09	25.235798
7874_110243_000098_000000	"Watson," said the baronet, "it was the cry of a hound."	"Watson," said the baronet, "it was the cry of a hound."	true	1606.46	1610.32	24.865
7874_110243_000099_000000	My blood ran cold in my veins, for there was a break in his voice which told of the sudden horror which had seized him.	My blood ran cold in my veins, for there was a break in his voice which told of the sudden horror which had seized him.	true	1610.66	1617.21	23.735306
7874_110243_000100_000000	"What do they call this sound?" he asked.	"What do they call this sound?" he asked.	false	1617.21	1620.13	26.59376
7874_110243_000101_000000	"Who?"	"Who?"	true	1620.14	1620.8	27.90279
7874_110243_000102_000000	"The folk on the countryside."	"The folk on the countryside."	false	1620.8	1622.34	23.708504
7874_110243_000103_000000	"Oh, they are ignorant people.	"Oh, they are ignorant people.	false	1622.34	1624.63	23.234219
7874_110243_000103_000001	Why should you mind what they call it?"	Why should you mind what they call it?"	true	1624.76	1626.61	30.211285
7874_110243_000104_000000	"Tell me, Watson.	"Tell me, Watson.	true	1626.86	1627.96	29.559887
7874_110243_000104_000001	What do they say of it?"	What do they say of it?"	true	1628.3	1629.61	23.770641
7874_110243_000105_000000	I hesitated but could not escape the question.	I hesitated but could not escape the question.	true	1629.68	1632.43	25.093533
7874_110243_000106_000000	"They say it is the cry of the Hound of the Baskervilles."	"They say it is the cry of the Hound of the Baskervilles."	false	1632.65	1635.61	21.84501
7874_110243_000107_000000	He groaned and was silent for a few moments.	He groaned and was silent for a few moments.	true	1635.8	1638.46	20.66109
7874_110243_000108_000000	"A hound it was," he said at last, "but it seemed to come from miles away, over yonder, I think."	"A hound it was," he said at last, "but it seemed to come from miles away, over yonder, I think."	false	1639.1	1645.99	23.565945
7874_110243_000109_000000	"It was hard to say whence it came."	"It was hard to say whence it came."	true	1646.15	1648.18	22.945139
7874_110243_000110_000000	"It rose and fell with the wind.	"It rose and fell with the wind.	true	1648.55	1650.34	22.594042
7874_110243_000110_000001	Isn't that the direction of the great Grimpen Mire?"	Isn't that the direction of the great Grimpen Mire?"	true	1650.65	1653.37	27.80982
7874_110243_000111_000000	"Yes, it is."	"Yes, it is."	true	1653.62	1654.66	21.577223
7874_110243_000112_000000	"Well, it was up there.	"Well, it was up there.	true	1655.27	1657.15	27.460749
7874_110243_000112_000001	Come now, Watson, didn't you think yourself that it was the cry of a hound?	Come now, Watson, didn't you think yourself that it was the cry of a hound?	true	1657.7	1661.89	25.998068
7874_110243_000112_000002	I am not a child.	I am not a child.	true	1662.02	1663.38	24.94539
7874_110243_000112_000003	You need not fear to speak the truth."	You need not fear to speak the truth."	true	1663.38	1665.46	25.750595
7874_110243_000113_000000	"Stapleton was with me when I heard it last.	"Stapleton was with me when I heard it last.	true	1665.56	1667.94	23.775211
7874_110243_000113_000001	He said that it might be the calling of a strange bird."	He said that it might be the calling of a strange bird."	false	1667.94	1671.1	27.324541
7874_110243_000114_000000	"No, no, it was a hound.	"No, no, it was a hound.	false	1671.35	1673.29	25.408964
7874_110243_000114_000001	My God, can there be some truth in all these stories?	My God, can there be some truth in all these stories?	false	1673.48	1676.59	24.458794
7874_110243_000114_000002	Is it possible that I am really in danger from so dark a cause? You don't believe it, do you, Watson?"	Is it possible that I am really in danger from so dark a cause? You don't believe it, do you, Watson?"	false	1676.81	1683.1	23.273304
7874_110243_000115_000000	"No, no."	"No, no"	true	1683.56	1684.78	22.236311
7874_110243_000116_000000	"And yet it was one thing to laugh about it in London, and it is another to stand out here in the darkness of the moor and to hear such a cry as that.	"And yet it was one thing to laugh about it in London, and it is another to stand out here in the darkness of the moor and to hear such a cry as that.	false	1684.94	1693.32	24.23785
7874_110243_000116_000001	And my uncle!	And my uncle!	false	1693.32	1694.76	28.945969
7874_110243_000116_000002	There was the footprint of the hound beside him as he lay.	There was the footprint of the hound beside him as he lay.	true	1694.76	1697.8	22.94543
7874_110243_000116_000003	It all fits together.	It all fits together.	true	1698.05	1699.54	24.698586
7874_110243_000116_000004	I don't think that I am a coward, Watson, but that sound seemed to freeze my very blood.	I don't think that I am a coward, Watson, but that sound seemed to freeze my very blood.	true	1699.55	1704.6	25.723026
7874_110243_000116_000005	Feel my hand!"	Feel my hand!"	false	1704.6	1706.2	24.046238
