7874_110243_000001_000000	Chapter 9.	Chapter nine.
7874_110243_000094_000003	The baronet caught my sleeve and his face glimmered white through the darkness.	The baronet caught my sleeve and his face glimmered white through the darkness.
7874_110243_000095_000000	"My God, what's that, Watson?"	"My God, what's that, Watson?"
7874_110243_000096_000000	"I don't know.	"I don't know.
7874_110243_000096_000002	I heard it once before."	I heard it once before."
7874_110243_000097_000001	We stood straining our ears, but nothing came.	We stood straining our ears, but nothing came.
7874_110243_000098_000000	"Watson," said the baronet, "it was the cry of a hound."	"Watson," said the baronet, "it was the cry of a hound."
7874_110243_000099_000000	My blood ran cold in my veins, for there was a break in his voice which told of the sudden horror which had seized him.	My blood ran cold in my veins, for there was a break in his voice which told of the sudden horror which had seized him.
7874_110243_000101_000000	"Who?"	"Who?"
7874_110243_000103_000001	Why should you mind what they call it?"	Why should you mind what they call it?"
7874_110243_000104_000000	"Tell me, Watson.	"Tell me, Watson.
7874_110243_000104_000001	What do they say of it?"	What do they say of it?"
7874_110243_000105_000000	I hesitated but could not escape the question.	I hesitated but could not escape the question.
7874_110243_000107_000000	He groaned and was silent for a few moments.	He groaned and was silent for a few moments.
7874_110243_000109_000000	"It was hard to say whence it came."	"It was hard to say whence it came."
7874_110243_000110_000000	"It rose and fell with the wind.	"It rose and fell with the wind.
7874_110243_000110_000001	Isn't that the direction of the great Grimpen Mire?"	Isn't that the direction of the great Grimpen Mire?"
7874_110243_000111_000000	"Yes, it is."	"Yes, it is."
7874_110243_000112_000000	"Well, it was up there.	"Well, it was up there.
7874_110243_000112_000001	Come now, Watson, didn't you think yourself that it was the cry of a hound?	Come now, Watson, didn't you think yourself that it was the cry of a hound?
7874_110243_000112_000002	I am not a child.	I am not a child.
7874_110243_000112_000003	You need not fear to speak the truth."	You need not fear to speak the truth."
7874_110243_000113_000000	"Stapleton was with me when I heard it last.	"Stapleton was with me when I heard it last.
7874_110243_000115_000000	"No, no."	"No, no"
7874_110243_000116_000002	There was the footprint of the hound beside him as he lay.	There was the footprint of the hound beside him as he lay.
7874_110243_000116_000003	It all fits together.	It all fits together.
7874_110243_000116_000004	I don't think that I am a coward, Watson, but that sound seemed to freeze my very blood.	I don't think that I am a coward, Watson, but that sound seemed to freeze my very blood.
7874_110243_000117_000000	It was as cold as a block of marble.	It was as cold as a block of marble.
7874_110243_000118_000000	"You'll be all right tomorrow."	"You'll be all right tomorrow."
7874_110243_000120_000000	"Shall we turn back?"	"Shall we turn back?"
7874_110243_000121_000000	"No, by thunder; we have come out to get our man, and we will do it.	"No, by thunder; we have come out to get our man, and we will do it.
7874_110243_000121_000002	Come on!	Come on!
7874_110243_000121_000003	We'll see it through if all the fiends of the pit were loose upon the moor."	We'll see it through if all the fiends of the pit were loose upon the moor."
7874_110243_000122_000000	We stumbled slowly along in the darkness, with the black loom of the craggy hills around us, and the yellow speck of light burning steadily in front.	We stumbled slowly along in the darkness, with the black loom of the craggy hills around us, and the yellow speck of light burning steadily in front.
7874_110243_000122_000004	It was strange to see this single candle burning there in the middle of the moor, with no sign of life near it--just the one straight yellow flame and the gleam of the rock on each side of it.	It was strange to see this single candle burning there in the middle of the moor, with no sign of life near it-just the one straight yellow flame and the gleam of the rock on each side of it.
7874_110243_000123_000000	"What shall we do now?" whispered Sir Henry.	"What shall we do now?" whispered Sir Henry.
7874_110243_000124_000001	He must be near his light.	He must be near his light.
7874_110243_000124_000002	Let us see if we can get a glimpse of him."	Let us see if we can get a glimpse of him."
7874_110243_000125_000000	The words were hardly out of my mouth when we both saw him.	The words were hardly out of my mouth when we both saw him.
7874_110243_000125_000001	Over the rocks, in the crevice of which the candle burned, there was thrust out an evil yellow face, a terrible animal face, all seamed and scored with vile passions.	Over the rocks, in the crevice of which the candle burned, there was thrust out an evil yellow face, a terrible animal face, all seamed and scored with vile passions.
7874_110243_000125_000002	Foul with mire, with a bristling beard, and hung with matted hair, it might well have belonged to one of those old savages who dwelt in the burrows on the hillsides.	Foul with mire, with a bristling beard, and hung with matted hair, it might well have belonged to one of those old savages who dwelt in the burrows on the hillsides.
7874_110243_000125_000003	The light beneath him was reflected in his small, cunning eyes which peered fiercely to right and left through the darkness like a crafty and savage animal who has heard the steps of the hunters.	The light beneath him was reflected in his small, cunning eyes which peered fiercely to right and left through the darkness like a crafty and savage animal who has heard the steps of the hunters.
7874_110243_000126_000000	Something had evidently aroused his suspicions.	Something had evidently aroused his suspicions.
7874_110243_000126_000001	It may have been that Barrymore had some private signal which we had neglected to give, or the fellow may have had some other reason for thinking that all was not well, but I could read his fears upon his wicked face.	It may have been that Barrymore had some private signal which we had neglected to give, or the fellow may have had some other reason for thinking that all was not well, but I could read his fears upon his wicked face.
7874_110243_000126_000002	Any instant he might dash out the light and vanish in the darkness.	Any instant he might dash out the light and vanish in the darkness.
7874_110243_000126_000003	I sprang forward therefore, and Sir Henry did the same.	I sprang forward therefore, and Sir Henry did the same.
7874_110243_000126_000004	At the same moment the convict screamed out a curse at us and hurled a rock which splintered up against the boulder which had sheltered us.	At the same moment the convict screamed out a curse at us and hurled a rock which splintered up against the boulder which had sheltered us.
7874_110243_000126_000005	I caught one glimpse of his short, squat, strongly built figure as he sprang to his feet and turned to run. At the same moment by a lucky chance the moon broke through the clouds. We rushed over the brow of the hill, and there was our man running with great speed down the other side, springing over the stones in his way with the activity of a mountain goat.	I caught one glimpse of his short, squat, strongly built figure as he sprang to his feet and turned to run. At the same moment by a lucky chance the moon broke through the clouds. We rushed over the brow of the hill, and there was our man running with great speed down the other side, springing over the stones in his way with the activity of a mountain goat.
7874_110243_000127_000000	We were both swift runners and in fairly good training, but we soon found that we had no chance of overtaking him.	We were both swift runners and in fairly good training, but we soon found that we had no chance of overtaking him.
7874_110243_000127_000002	We ran and ran until we were completely blown, but the space between us grew ever wider. Finally we stopped and sat panting on two rocks, while we watched him disappearing in the distance.	We ran and ran until we were completely blown, but the space between us grew ever wider. Finally we stopped and sat panting on two rocks, while we watched him disappearing in the distance.
7874_110243_000128_000000	And it was at this moment that there occurred a most strange and unexpected thing.	And it was at this moment that there occurred a most strange and unexpected thing.
7874_110243_000128_000001	We had risen from our rocks and were turning to go home, having abandoned the hopeless chase.	We had risen from our rocks and were turning to go home, having abandoned the hopeless chase.
7874_110243_000128_000003	There, outlined as black as an ebony statue on that shining background, I saw the figure of a man upon the tor.	There, outlined as black as an ebony statue on that shining background, I saw the figure of a man upon the tor.
7874_110243_000128_000004	Do not think that it was a delusion, Holmes.	Do not think that it was a delusion, Holmes.
7874_110243_000128_000005	I assure you that I have never in my life seen anything more clearly.	I assure you that I have never in my life seen anything more clearly.
7874_110243_000128_000006	As far as I could judge, the figure was that of a tall, thin man.	As far as I could judge, the figure was that of a tall, thin man.
7874_110243_000128_000007	He stood with his legs a little separated, his arms folded, his head bowed, as if he were brooding over that enormous wilderness of peat and granite which lay before him.	He stood with his legs a little separated, his arms folded, his head bowed, as if he were brooding over that enormous wilderness of peat and granite which lay before him.
7874_110243_000128_000008	He might have been the very spirit of that terrible place. It was not the convict.	He might have been the very spirit of that terrible place. It was not the convict.
7874_110243_000128_000009	This man was far from the place where the latter had disappeared.	This man was far from the place where the latter had disappeared.
7874_110243_000128_000010	Besides, he was a much taller man.	Besides, he was a much taller man.
7874_110243_000128_000011	With a cry of surprise I pointed him out to the baronet, but in the instant during which I had turned to grasp his arm the man was gone.	With a cry of surprise I pointed him out to the baronet, but in the instant during which I had turned to grasp his arm the man was gone.
7874_110243_000128_000012	There was the sharp pinnacle of granite still cutting the lower edge of the moon, but its peak bore no trace of that silent and motionless figure.	There was the sharp pinnacle of granite still cutting the lower edge of the moon, but its peak bore no trace of that silent and motionless figure.
7874_110243_000129_000001	The baronet's nerves were still quivering from that cry, which recalled the dark story of his family, and he was not in the mood for fresh adventures.	The baronet's nerves were still quivering from that cry, which recalled the dark story of his family, and he was not in the mood for fresh adventures.
7874_110243_000129_000002	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me.	He had not seen this lonely man upon the tor and could not feel the thrill which his strange presence and his commanding attitude had given to me.
7874_110243_000129_000003	"A warder, no doubt," said he.	"A warder, no doubt," said he.
7874_110243_000129_000004	"The moor has been thick with them since this fellow escaped." Well, perhaps his explanation may be the right one, but I should like to have some further proof of it.	"The moor has been thick with them since this fellow escaped." Well, perhaps his explanation may be the right one, but I should like to have some further proof of it.
7874_110243_000129_000006	Such are the adventures of last night, and you must acknowledge, my dear Holmes, that I have done you very well in the matter of a report.	Such are the adventures of last night, and you must acknowledge, my dear Holmes, that I have done you very well in the matter of a report.
7874_110243_000129_000007	Much of what I tell you is no doubt quite irrelevant, but still I feel that it is best that I should let you have all the facts and leave you to select for yourself those which will be of most service to you in helping you to your conclusions.	Much of what I tell you is no doubt quite irrelevant, but still I feel that it is best that I should let you have all the facts and leave you to select for yourself those which will be of most service to you in helping you to your conclusions.
7874_110243_000129_000008	We are certainly making some progress.	We are certainly making some progress.
7874_110243_000129_000009	So far as the Barrymores go we have found the motive of their actions, and that has cleared up the situation very much.	So far as the Barrymores go we have found the motive of their actions, and that has cleared up the situation very much.
7874_110243_000129_000010	But the moor with its mysteries and its strange inhabitants remains as inscrutable as ever.	But the moor with its mysteries and its strange inhabitants remains as inscrutable as ever.
7874_110243_000129_000011	Perhaps in my next I may be able to throw some light upon this also.	Perhaps in my next I may be able to throw some light upon this also.
