1638_84447_000000_000000	STAVE IV: THE LAST OF THE SPIRITS	STAVE i v: THE LAST OF THE SPIRITS	false	0.6	19.03	23.605509
1638_84447_000074_000003	It's quite as becoming to the body.	It's quite as becoming to the body.	true	984.14	986.61	28.494925
1638_84447_000074_000004	He can't look uglier than he did in that one."	He can't look uglier than he did in that one."	true	986.61	989.35	23.87734
1638_84447_000075_000000	Scrooge listened to this dialogue in horror.	Scrooge listened to this dialogue in horror.	true	989.54	992.445	22.162157
1638_84447_000075_000001	As they sat grouped about their spoil, in the scanty light afforded by the old man's lamp, he viewed them with a detestation and disgust, which could hardly have been greater, though they had been obscene demons, marketing the corpse itself.	As they sat grouped about their spoil, in the scanty light afforded by the old man's lamp, he viewed them with a detestation and disgust, which could hardly have been greater, though they had been obscene demons, marketing the corpse itself.	true	992.445	1007.71	24.315367
1638_84447_000076_000000	"Ha, ha!" laughed the same woman, when old Joe, producing a flannel bag with money in it, told out their several gains upon the ground.	"Ha, ha!" laughed the same woman, when old Joe, producing a flannel bag with money in it, told out their several gains upon the ground.	false	1007.96	1017.1	23.31114
1638_84447_000076_000001	"This is the end of it, you see!	"This is the end of it, you see!	true	1017.26	1019.14	24.369125
1638_84447_000076_000002	He frightened every one away from him when he was alive, to profit us when he was dead!	He frightened every one away from him when he was alive, to profit us when he was dead!	true	1019.15	1024.59	18
1638_84447_000076_000003	Ha, ha, ha!"	Ha, ha, ha!"	false	1024.59	1026.77	24.262503
1638_84447_000077_000000	"Spirit!" said Scrooge, shuddering from head to foot.	"Spirit!" said Scrooge, shuddering from head to foot.	false	1026.77	1030.74	25.758062
1638_84447_000077_000001	"I see, I see.	"I see, I see.	true	1030.74	1032.64	21
1638_84447_000077_000002	The case of this unhappy man might be my own. My life tends that way, now.	The case of this unhappy man might be my own. My life tends that way, now.	true	1032.89	1037.78	21
1638_84447_000077_000003	Merciful Heaven, what is this!"	Merciful Heaven, what is this!"	true	1037.78	1039.9	16
1638_84447_000078_000000	He recoiled in terror, for the scene had changed, and now he almost touched a bed: a bare, uncurtained bed: on which, beneath a ragged sheet, there lay a something covered up, which, though it was dumb, announced itself in awful language.	He recoiled in terror, for the scene had changed, and now he almost touched a bed: a bare, uncurtained bed: on which, beneath a ragged sheet, there lay a something covered up, which, though it was dumb, announced itself in awful language.	false	1040.54	1060.24	26.083275
1638_84447_000079_000000	The room was very dark, too dark to be observed with any accuracy, though Scrooge glanced round it in obedience to a secret impulse, anxious to know what kind of room it was.	The room was very dark, too dark to be observed with any accuracy, though Scrooge glanced round it in obedience to a secret impulse, anxious to know what kind of room it was.	true	1060.37	1072.42	22.826283
1638_84447_000079_000001	A pale light, rising in the outer air, fell straight upon the bed; and on it, plundered and bereft, unwatched, unwept, uncared for, was the body of this man.	A pale light, rising in the outer air, fell straight upon the bed; and on it, plundered and bereft, unwatched, unwept, uncared for, was the body of this man.	true	1073	1087.09	24.658237
1638_84447_000080_000000	Scrooge glanced towards the Phantom.	Scrooge glanced towards the Phantom.	true	1087.25	1089.94	24.59768
1638_84447_000080_000001	Its steady hand was pointed to the head.	Its steady hand was pointed to the head.	true	1090.19	1092.91	27.09242
1638_84447_000080_000002	The cover was so carelessly adjusted that the slightest raising of it, the motion of a finger upon Scrooge's part, would have disclosed the face.	The cover was so carelessly adjusted that the slightest raising of it, the motion of a finger upon Scrooge's part, would have disclosed the face.	true	1093.1	1102.09	19
1638_84447_000080_000003	He thought of it, felt how easy it would be to do, and longed to do it; but had no more power to withdraw the veil than to dismiss the spectre at his side.	He thought of it, felt how easy it would be to do, and longed to do it; but had no more power to withdraw the veil than to dismiss the spectre at his side.	true	1102.85	1114.35	25.026337
1638_84447_000081_000000	Oh cold, cold, rigid, dreadful Death, set up thine altar here, and dress it with such terrors as thou hast at thy command: for this is thy dominion!	Oh cold, cold, rigid, dreadful Death, set up thine altar here, and dress it with such terrors as thou hast at thy command: for this is thy dominion!	true	1114.35	1125.76	21
1638_84447_000081_000001	But of the loved, revered, and honoured head, thou canst not turn one hair to thy dread purposes, or make one feature odious.	But of the loved, revered, and honoured head, thou canst not turn one hair to thy dread purposes, or make one feature odious.	true	1125.77	1135.78	24.084045
1638_84447_000081_000002	It is not that the hand is heavy and will fall down when released; it is not that the heart and pulse are still; but that the hand WAS open, generous, and true; the heart brave, warm, and tender; and the pulse a man's.	It is not that the hand is heavy and will fall down when released; it is not that the heart and pulse are still; but that the hand WAS open, generous, and true; the heart brave, warm, and tender; and the pulse a man's.	true	1135.85	1151.89	23
1638_84447_000081_000003	Strike, Shadow, strike! And see his good deeds springing from the wound, to sow the world with life immortal!	Strike, Shadow, strike! And see his good deeds springing from the wound, to sow the world with life immortal!	true	1152.41	1160.89	23.049683
1638_84447_000082_000000	No voice pronounced these words in Scrooge's ears, and yet he heard them when he looked upon the bed.	No voice pronounced these words in Scrooge's ears, and yet he heard them when he looked upon the bed.	true	1161.32	1167.37	21
1638_84447_000082_000001	He thought, if this man could be raised up now, what would be his foremost thoughts?	He thought, if this man could be raised up now, what would be his foremost thoughts?	true	1167.62	1173.43	25.980625
1638_84447_000082_000002	Avarice, hard-dealing, griping cares? They have brought him to a rich end, truly!	Avarice, hard dealing, griping cares? They have brought him to a rich end, truly!	true	1173.98	1180.69	23.127762
1638_84447_000083_000000	He lay, in the dark empty house, with not a man, a woman, or a child, to say that he was kind to me in this or that, and for the memory of one kind word I will be kind to him.	He lay, in the dark empty house, with not a man, a woman, or a child, to say that he was kind to me in this or that, and for the memory of one kind word I will be kind to him.	true	1181.39	1194.58	16
1638_84447_000083_000001	A cat was tearing at the door, and there was a sound of gnawing rats beneath the hearth-stone.	A cat was tearing at the door, and there was a sound of gnawing rats beneath the hearth stone.	true	1194.74	1200.58	27.011501
1638_84447_000083_000002	What they wanted in the room of death, and why they were so restless and disturbed, Scrooge did not dare to think.	What they wanted in the room of death, and why they were so restless and disturbed, Scrooge did not dare to think.	false	1200.92	1208.59	23.254078
1638_84447_000084_000000	"Spirit!" he said, "this is a fearful place.	"Spirit!" he said, "this is a fearful place.	true	1209.08	1212.67	26.870182
1638_84447_000084_000001	In leaving it, I shall not leave its lesson, trust me.	In leaving it, I shall not leave its lesson, trust me.	true	1213.07	1216.48	24.626019
1638_84447_000084_000002	Let us go!"	Let us go!"	true	1216.61	1217.68	26.792507
1638_84447_000085_000000	Still the Ghost pointed with an unmoved finger to the head.	Still the Ghost pointed with an unmoved finger to the head.	true	1217.69	1221.61	21.980387
1638_84447_000086_000000	"I understand you," Scrooge returned, "and I would do it, if I could.	"I understand you," Scrooge returned, "and I would do it, if I could.	false	1222.25	1227.61	23.424963
1638_84447_000086_000001	But I have not the power, Spirit.	But I have not the power, Spirit.	true	1227.8	1229.84	22
1638_84447_000086_000002	I have not the power."	I have not the power."	true	1229.84	1231.42	29.598007
1638_84447_000087_000000	Again it seemed to look upon him.	Again it seemed to look upon him.	true	1231.85	1234.65	26.08386
1638_84447_000088_000000	"If there is any person in the town, who feels emotion caused by this man's death," said Scrooge quite agonised, "show that person to me, Spirit, I beseech you!"	"If there is any person in the town, who feels emotion caused by this man's death," said Scrooge quite agonised, "show that person to me, Spirit, I beseech you!"	false	1234.65	1245.67	26.537352
1638_84447_000089_000000	The Phantom spread its dark robe before him for a moment, like a wing; and withdrawing it, revealed a room by daylight, where a mother and her children were.	The Phantom spread its dark robe before him for a moment, like a wing; and withdrawing it, revealed a room by daylight, where a mother and her children were.	true	1246.22	1255.96	22
1638_84447_000090_000000	She was expecting some one, and with anxious eagerness; for she walked up and down the room; started at every sound; looked out from the window; glanced at the clock; tried, but in vain, to work with her needle; and could hardly bear the voices of the children in their play.	She was expecting some one, and with anxious eagerness; for she walked up and down the room; started at every sound; looked out from the window; glanced at the clock; tried, but in vain, to work with her needle; and could hardly bear the voices of the children in their play.	true	1256.48	1273.75	23
1638_84447_000091_000000	At length the long-expected knock was heard.	At length the long expected knock was heard.	true	1274.72	1278.1	31.404453
1638_84447_000091_000001	She hurried to the door, and met her husband; a man whose face was careworn and depressed, though he was young.	She hurried to the door, and met her husband; a man whose face was careworn and depressed, though he was young.	true	1278.44	1285.12	22.38065
1638_84447_000091_000002	There was a remarkable expression in it now; a kind of serious delight of which he felt ashamed, and which he struggled to repress.	There was a remarkable expression in it now; a kind of serious delight of which he felt ashamed, and which he struggled to repress.	true	1285.25	1294.15	24.070253
1638_84447_000092_000000	He sat down to the dinner that had been hoarding for him by the fire; and when she asked him faintly what news (which was not until after a long silence), he appeared embarrassed how to answer.	He sat down to the dinner that had been hoarding for him by the fire; and when she asked him faintly what news (which was not until after a long silence), he appeared embarrassed how to answer.	true	1294.79	1306.51	23.778128
1638_84447_000093_000000	"Is it good?" she said, "or bad?"--to help him.	"Is it good?" she said, "or bad?"--to help him.	false	1307.21	1311.37	28.815481
1638_84447_000094_000000	"Bad," he answered.	"Bad," he answered.	false	1311.83	1314.6	24.630299
1638_84447_000095_000000	"We are quite ruined?"	"We are quite ruined?"	false	1314.6	1315.81	26.40446
1638_84447_000096_000000	"No.	"no	true	1316.3	1317.1	25.643261
1638_84447_000096_000001	There is hope yet, Caroline."	There is hope yet, Caroline."	true	1317.47	1319.23	24.032385
1638_84447_000097_000000	"If he relents," she said, amazed, "there is!	"If he relents," she said, amazed, "there is!	true	1320.41	1324.27	25.866285
1638_84447_000097_000001	Nothing is past hope, if such a miracle has happened."	Nothing is past hope, if such a miracle has happened."	true	1324.67	1327.78	26
1638_84447_000098_000000	"He is past relenting," said her husband.	"He is past relenting," said her husband.	true	1328.51	1330.98	20.143715
1638_84447_000098_000001	"He is dead."	"He is dead."	false	1330.98	1332.28	27.012669
1638_84447_000099_000000	She was a mild and patient creature if her face spoke truth; but she was thankful in her soul to hear it, and she said so, with clasped hands.	She was a mild and patient creature if her face spoke truth; but she was thankful in her soul to hear it, and she said so, with clasped hands.	true	1332.74	1341.94	23.576153
1638_84447_000099_000001	She prayed forgiveness the next moment, and was sorry; but the first was the emotion of her heart.	She prayed forgiveness the next moment, and was sorry; but the first was the emotion of her heart.	false	1342.22	1348.42	24.09137
1638_84447_000100_000000	"What the half-drunken woman whom I told you of last night, said to me, when I tried to see him and obtain a week's delay; and what I thought was a mere excuse to avoid me; turns out to have been quite true.	"What the half drunken woman whom I told you of last night, said to me, when I tried to see him and obtain a week's delay; and what I thought was a mere excuse to avoid me; turns out to have been quite true.	true	1348.91	1360.24	26
1638_84447_000100_000001	He was not only very ill, but dying, then."	He was not only very ill, but dying, then."	true	1360.61	1364.14	22.29353
1638_84447_000101_000000	"To whom will our debt be transferred?"	"To whom will our debt be transferred?"	true	1364.9	1366.93	20.903837
1638_84447_000102_000000	"I don't know.	"I don't know.	true	1367.45	1368.61	20.741491
1638_84447_000102_000001	But before that time we shall be ready with the money; and even though we were not, it would be a bad fortune indeed to find so merciless a creditor in his successor.	But before that time we shall be ready with the money; and even though we were not, it would be a bad fortune indeed to find so merciless a creditor in his successor.	true	1368.65	1378.93	23.375725
1638_84447_000102_000002	We may sleep to-night with light hearts, Caroline!"	We may sleep to night with light hearts, Caroline!"	true	1379.33	1382.23	26.007278
1638_84447_000103_000000	Yes.	Yes.	true	1382.96	1383.79	32.12067
1638_84447_000103_000001	Soften it as they would, their hearts were lighter. The children's faces, hushed and clustered round to hear what they so little understood, were brighter; and it was a happier house for this man's death!	Soften it as they would, their hearts were lighter. The children's faces, hushed and clustered round to hear what they so little understood, were brighter; and it was a happier house for this man's death!	false	1384.13	1397.17	22.27072
1638_84447_000103_000002	The only emotion that the Ghost could show him, caused by the event, was one of pleasure.	The only emotion that the Ghost could show him, caused by the event, was one of pleasure.	true	1397.54	1404.31	24.059423
1638_84447_000104_000000	"Let me see some tenderness connected with a death," said Scrooge; "or that dark chamber, Spirit, which we left just now, will be for ever present to me."	"Let me see some tenderness connected with a death," said Scrooge; "or that dark chamber, Spirit, which we left just now, will be for ever present to me."	false	1405.28	1414.51	25.303005
1638_84447_000105_000000	The Ghost conducted him through several streets familiar to his feet; and as they went along, Scrooge looked here and there to find himself, but nowhere was he to be seen.	The Ghost conducted him through several streets familiar to his feet; and as they went along, Scrooge looked here and there to find himself, but nowhere was he to be seen.	true	1414.85	1426.03	23.286947
1638_84447_000105_000001	They entered poor Bob Cratchit's house; the dwelling he had visited before; and found the mother and the children seated round the fire.	They entered poor Bob Cratchit's house; the dwelling he had visited before; and found the mother and the children seated round the fire.	true	1426.49	1434.04	23
1638_84447_000106_000000	Quiet.	Quiet.	true	1434.23	1435.21	39.101887
1638_84447_000106_000001	Very quiet.	Very quiet.	true	1435.31	1436.86	36.64991
1638_84447_000106_000002	The noisy little Cratchits were as still as statues in one corner, and sat looking up at Peter, who had a book before him.	The noisy little Cratchits were as still as statues in one corner, and sat looking up at peter, who had a book before him.	false	1437.05	1445.67	25.970798
1638_84447_000106_000003	The mother and her daughters were engaged in sewing.	The mother and her daughters were engaged in sewing.	true	1445.67	1448.71	17
1638_84447_000106_000004	But surely they were very quiet!	But surely they were very quiet!	true	1448.78	1451.23	27.699732
1638_84447_000107_000000	"'And He took a child, and set him in the midst of them.'"	"'And He took a child, and set him in the midst of them.'"	true	1452.2	1456.12	24.783194
1638_84447_000108_000000	Where had Scrooge heard those words?	Where had Scrooge heard those words?	false	1456.97	1459.39	19.504707
1638_84447_000108_000001	He had not dreamed them.	He had not dreamed them.	true	1459.85	1461.34	26.399792
1638_84447_000108_000002	The boy must have read them out, as he and the Spirit crossed the threshold.	The boy must have read them out, as he and the Spirit crossed the threshold.	false	1461.56	1466.17	22.275248
1638_84447_000108_000003	Why did he not go on?	Why did he not go on?	true	1466.57	1468.21	24.844913
1638_84447_000109_000000	The mother laid her work upon the table, and put her hand up to her face.	The mother laid her work upon the table, and put her hand up to her face.	true	1469.24	1473.37	22.51235
1638_84447_000110_000000	"The colour hurts my eyes," she said.	"The colour hurts my eyes," she said.	true	1474.34	1476.7	23.713346
1638_84447_000111_000000	The colour?	The colour?	true	1477.31	1478.65	29.180906
1638_84447_000111_000001	Ah, poor Tiny Tim!	Ah, poor Tiny Tim!	true	1478.69	1481.41	27.666788
1638_84447_000112_000000	"They're better now again," said Cratchit's wife.	"They're better now again," said Cratchit's wife.	false	1481.96	1484.49	22.49338
1638_84447_000112_000001	"It makes them weak by candle-light; and I wouldn't show weak eyes to your father when he comes home, for the world.	"It makes them weak by candle light; and I wouldn't show weak eyes to your father when he comes home, for the world.	true	1484.49	1490.02	22.768986
1638_84447_000112_000002	It must be near his time."	It must be near his time."	true	1490.12	1491.76	34.103188
1638_84447_000113_000000	"Past it rather," Peter answered, shutting up his book. "But I think he has walked a little slower than he used, these few last evenings, mother."	"Past it rather," peter answered, shutting up his book. "But I think he has walked a little slower than he used, these few last evenings, mother."	false	1492.52	1501.9	25.307878
1638_84447_000114_000000	They were very quiet again.	They were very quiet again.	true	1502.42	1504.33	25.391932
1638_84447_000114_000001	At last she said, and in a steady, cheerful voice, that only faltered once:	At last she said, and in a steady, cheerful voice, that only faltered once:	false	1504.73	1510.18	23
1638_84447_000115_000000	"I have known him walk with--I have known him walk with Tiny Tim upon his shoulder, very fast indeed."	"I have known him walk with-I have known him walk with Tiny Tim upon his shoulder, very fast indeed."	false	1510.37	1514.83	23.2167
1638_84447_000116_000000	"And so have I," cried Peter.	"And so have I," cried peter.	true	1515.29	1516.95	23.646875
1638_84447_000116_000001	"Often."	"Often."	true	1516.95	1517.77	26.236864
1638_84447_000117_000000	"And so have I," exclaimed another.	"And so have I," exclaimed another.	true	1518.29	1520.68	21.345
1638_84447_000117_000001	So had all.	So had all.	true	1520.84	1522	30.081474
1638_84447_000118_000000	"But he was very light to carry," she resumed, intent upon her work, "and his father loved him so, that it was no trouble: no trouble.	"But he was very light to carry," she resumed, intent upon her work, "and his father loved him so, that it was no trouble: no trouble.	false	1522.16	1531.51	26.241663
1638_84447_000118_000001	And there is your father at the door!"	And there is your father at the door!"	true	1532.06	1534.24	22.582253
1638_84447_000119_000000	She hurried out to meet him; and little Bob in his comforter --he had need of it, poor fellow--came in.	She hurried out to meet him; and little Bob in his comforter --he had need of it, poor fellow-came in.	true	1534.25	1540.24	23.465946
1638_84447_000119_000001	His tea was ready for him on the hob, and they all tried who should help him to it most.	His tea was ready for him on the hob, and they all tried who should help him to it most.	true	1540.7	1545.85	22
1638_84447_000119_000002	Then the two young Cratchits got upon his knees and laid, each child a little cheek, against his face, as if they said, "Don't mind it, father.	Then the two young Cratchits got upon his knees and laid, each child a little cheek, against his face, as if they said, "Don't mind it, father.	false	1546.04	1555.76	23.811426
1638_84447_000119_000003	Don't be grieved!"	Don't be grieved!"	true	1555.76	1557.16	30.892395
1638_84447_000120_000000	Bob was very cheerful with them, and spoke pleasantly to all the family.	Bob was very cheerful with them, and spoke pleasantly to all the family.	true	1558.04	1562.44	26.932547
1638_84447_000120_000001	He looked at the work upon the table, and praised the industry and speed of Mrs. Cratchit and the girls. They would be done long before Sunday, he said.	He looked at the work upon the table, and praised the industry and speed of mrs Cratchit and the girls. They would be done long before Sunday, he said.	false	1562.63	1572.43	22.458214
1638_84447_000121_000000	"Sunday!	"Sunday!	true	1573.04	1574.11	22.47334
1638_84447_000121_000001	You went to-day, then, Robert?" said his wife.	You went to day, then, Robert?" said his wife.	true	1574.45	1577.86	23.606993
1638_84447_000122_000000	"Yes, my dear," returned Bob.	"Yes, my dear," returned Bob.	false	1577.96	1580.2	25.452215
1638_84447_000122_000001	"I wish you could have gone.	"I wish you could have gone.	true	1580.27	1581.76	32.335342
1638_84447_000122_000002	It would have done you good to see how green a place it is.	It would have done you good to see how green a place it is.	false	1581.86	1585.95	18.4656
1638_84447_000122_000003	But you'll see it often.	But you'll see it often.	true	1585.95	1587.34	23.418022
1638_84447_000122_000004	I promised him that I would walk there on a Sunday.	I promised him that I would walk there on a Sunday.	true	1587.8	1590.82	22.257292
1638_84447_000122_000005	My little, little child!" cried Bob.	My little, little child!" cried Bob.	true	1591.13	1594.24	24.504715
1638_84447_000122_000006	"My little child!"	"My little child!"	true	1594.28	1596.01	22.725658
1638_84447_000123_000000	He broke down all at once.	He broke down all at once.	true	1596.56	1598.32	28.04099
1638_84447_000123_000001	He couldn't help it.	He couldn't help it.	true	1598.42	1599.58	29.56862
1638_84447_000123_000002	If he could have helped it, he and his child would have been farther apart perhaps than they were.	If he could have helped it, he and his child would have been farther apart perhaps than they were.	true	1599.83	1605.19	23.608992
1638_84447_000124_000000	He left the room, and went up-stairs into the room above, which was lighted cheerfully, and hung with Christmas. There was a chair set close beside the child, and there were signs of some one having been there, lately.	He left the room, and went up stairs into the room above, which was lighted cheerfully, and hung with Christmas. There was a chair set close beside the child, and there were signs of some one having been there, lately.	true	1605.41	1619.29	23.090153
1638_84447_000124_000001	Poor Bob sat down in it, and when he had thought a little and composed himself, he kissed the little face.	Poor Bob sat down in it, and when he had thought a little and composed himself, he kissed the little face.	true	1619.3	1625.86	21.301708
1638_84447_000124_000002	He was reconciled to what had happened, and went down again quite happy.	He was reconciled to what had happened, and went down again quite happy.	true	1626.41	1631.2	27.938793
1638_84447_000125_000000	They drew about the fire, and talked; the girls and mother working still.	They drew about the fire, and talked; the girls and mother working still.	true	1631.57	1636.42	22.744558
1638_84447_000125_000001	Bob told them of the extraordinary kindness of Mr. Scrooge's nephew, whom he had scarcely seen but once, and who, meeting him in the street that day, and seeing that he looked a little--"just a little down you know," said Bob, inquired what had happened to distress him.	Bob told them of the extraordinary kindness of mr Scrooge's nephew, whom he had scarcely seen but once, and who, meeting him in the street that day, and seeing that he looked a little-"just a little down you know," said Bob, inquired what had happened to distress him.	false	1636.61	1653.46	24.943258
1638_84447_000125_000002	"On which," said Bob, "for he is the pleasantest-spoken gentleman you ever heard, I told him.	"On which," said Bob, "for he is the pleasantest spoken gentleman you ever heard, I told him.	true	1653.46	1659.54	23.946768
1638_84447_000125_000003	'I am heartily sorry for it, Mr. Cratchit,' he said, 'and heartily sorry for your good wife.' By the bye, how he ever knew that, I don't know."	'I am heartily sorry for it, mr Cratchit,' he said, 'and heartily sorry for your good wife.' By the bye, how he ever knew that, I don't know."	false	1659.54	1669.09	22.876974
1638_84447_000126_000000	"Knew what, my dear?"	"Knew what, my dear?"	true	1669.58	1670.83	27.790691
1638_84447_000127_000000	"Why, that you were a good wife," replied Bob.	"Why, that you were a good wife," replied Bob.	true	1671.74	1675.36	23.242691
1638_84447_000128_000000	"Everybody knows that!" said Peter.	"Everybody knows that!" said peter.	true	1675.4	1677.84	25.00461
1638_84447_000129_000000	"Very well observed, my boy!" cried Bob.	"Very well observed, my boy!" cried Bob.	true	1677.84	1680.99	22.575958
1638_84447_000129_000001	"I hope they do.	"I hope they do.	true	1680.99	1682.14	28.104382
1638_84447_000129_000002	'Heartily sorry,' he said, 'for your good wife.	'Heartily sorry,' he said, 'for your good wife.	true	1682.48	1685.55	21.090511
1638_84447_000129_000003	If I can be of service to you in any way,' he said, giving me his card, 'that's where I live.	If I can be of service to you in any way,' he said, giving me his card, 'that's where I live.	false	1685.55	1691.71	23.600956
1638_84447_000129_000004	Pray come to me.' Now, it wasn't," cried Bob, "for the sake of anything he might be able to do for us, so much as for his kind way, that this was quite delightful.	Pray come to me.' Now, it wasn't," cried Bob, "for the sake of anything he might be able to do for us, so much as for his kind way, that this was quite delightful.	true	1691.71	1702.48	25.498999
1638_84447_000129_000005	It really seemed as if he had known our Tiny Tim, and felt with us."	It really seemed as if he had known our Tiny Tim, and felt with us."	true	1703.24	1707.73	22.288433
1638_84447_000130_000000	"I'm sure he's a good soul!" said Mrs. Cratchit.	"I'm sure he's a good soul!" said mrs Cratchit.	true	1708.73	1712.02	24.734392
1638_84447_000131_000000	"You would be surer of it, my dear," returned Bob, "if you saw and spoke to him.	"You would be surer of it, my dear," returned Bob, "if you saw and spoke to him.	true	1712.27	1716.69	23.018044
1638_84447_000131_000001	I shouldn't be at all surprised-- mark what I say!--if he got Peter a better situation."	I shouldn't be at all surprised- mark what I say!--if he got peter a better situation."	true	1716.69	1722.49	23
1638_84447_000132_000000	"Only hear that, Peter," said Mrs. Cratchit.	"Only hear that, peter," said mrs Cratchit.	true	1722.65	1725.64	24.91508
1638_84447_000133_000000	"And then," cried one of the girls, "Peter will be keeping company with some one, and setting up for himself."	"And then," cried one of the girls, "peter will be keeping company with some one, and setting up for himself."	true	1725.89	1732.03	27.052868
1638_84447_000134_000000	"Get along with you!" retorted Peter, grinning.	"Get along with you!" retorted peter, grinning.	true	1732.16	1735.14	25.559965
1638_84447_000135_000000	"It's just as likely as not," said Bob, "one of these days; though there's plenty of time for that, my dear.	"It's just as likely as not," said Bob, "one of these days; though there's plenty of time for that, my dear.	false	1735.14	1741.96	25.846489
1638_84447_000135_000001	But however and whenever we part from one another, I am sure we shall none of us forget poor Tiny Tim--shall we--or this first parting that there was among us?"	But however and whenever we part from one another, I am sure we shall none of us forget poor Tiny Tim-shall we-or this first parting that there was among us?"	true	1742.63	1753.57	22.58663
1638_84447_000136_000000	"Never, father!" cried they all.	"Never, father!" cried they all.	true	1754	1756.45	24.164577
1638_84447_000137_000000	"And I know," said Bob, "I know, my dears, that when we recollect how patient and how mild he was; although he was a little, little child; we shall not quarrel easily among ourselves, and forget poor Tiny Tim in doing it."	"And I know," said Bob, "I know, my dears, that when we recollect how patient and how mild he was; although he was a little, little child; we shall not quarrel easily among ourselves, and forget poor Tiny Tim in doing it."	true	1756.67	1772.71	22
1638_84447_000138_000000	"No, never, father!" they all cried again.	"No, never, father!" they all cried again.	true	1773.05	1776.64	25.183199
1638_84447_000139_000000	"I am very happy," said little Bob, "I am very happy!"	"I am very happy," said little Bob, "I am very happy!"	true	1776.92	1781.23	23.164722
1638_84447_000140_000000	Mrs. Cratchit kissed him, his daughters kissed him, the two young Cratchits kissed him, and Peter and himself shook hands.	mrs Cratchit kissed him, his daughters kissed him, the two young Cratchits kissed him, and peter and himself shook hands.	true	1781.72	1789.3	25.585474
1638_84447_000140_000001	Spirit of Tiny Tim, thy childish essence was from God!	Spirit of Tiny Tim, thy childish essence was from God!	true	1789.76	1794.28	25.903257
1638_84447_000141_000000	"Spectre," said Scrooge, "something informs me that our parting moment is at hand.	"Spectre," said Scrooge, "something informs me that our parting moment is at hand.	true	1794.77	1800.55	25.41056
1638_84447_000141_000001	I know it, but I know not how.	I know it, but I know not how.	true	1800.77	1803.56	24.26318
1638_84447_000141_000002	Tell me what man that was whom we saw lying dead?"	Tell me what man that was whom we saw lying dead?"	false	1803.56	1806.94	19.877073
1638_84447_000142_000000	The Ghost of Christmas Yet To Come conveyed him, as before--though at a different time, he thought: indeed, there seemed no order in these latter visions, save that they were in the Future--into the resorts of business men, but showed him not himself.	The Ghost of Christmas Yet To Come conveyed him, as before-though at a different time, he thought: indeed, there seemed no order in these latter visions, save that they were in the Future-into the resorts of business men, but showed him not himself.	true	1807.13	1823.23	23.492842
1638_84447_000142_000001	Indeed, the Spirit did not stay for anything, but went straight on, as to the end just now desired, until besought by Scrooge to tarry for a moment.	Indeed, the Spirit did not stay for anything, but went straight on, as to the end just now desired, until besought by Scrooge to tarry for a moment.	true	1823.3	1833.76	23
1638_84447_000143_000000	"This court," said Scrooge, "through which we hurry now, is where my place of occupation is, and has been for a length of time.	"This court," said Scrooge, "through which we hurry now, is where my place of occupation is, and has been for a length of time.	true	1834.16	1842.25	26.087889
1638_84447_000143_000001	I see the house.	I see the house.	true	1842.38	1843.8	20.204592
1638_84447_000143_000002	Let me behold what I shall be, in days to come!"	Let me behold what I shall be, in days to come!"	true	1843.8	1846.75	23.599903
1638_84447_000144_000000	The Spirit stopped; the hand was pointed elsewhere.	The Spirit stopped; the hand was pointed elsewhere.	true	1846.82	1850.59	31.205612
1638_84447_000145_000000	"The house is yonder," Scrooge exclaimed.	"The house is yonder," Scrooge exclaimed.	true	1851.2	1853.87	23.401785
1638_84447_000145_000001	"Why do you point away?"	"Why do you point away?"	true	1853.87	1855.39	21.873976
1638_84447_000146_000000	The inexorable finger underwent no change.	The inexorable finger underwent no change.	true	1855.91	1858.99	21.91565
1638_84447_000147_000000	Scrooge hastened to the window of his office, and looked in.	Scrooge hastened to the window of his office, and looked in.	true	1859.51	1862.83	22.831093
1638_84447_000147_000001	It was an office still, but not his.	It was an office still, but not his.	true	1863.38	1866.46	27.08669
1638_84447_000147_000002	The furniture was not the same, and the figure in the chair was not himself. The Phantom pointed as before.	The furniture was not the same, and the figure in the chair was not himself. The Phantom pointed as before.	true	1867.1	1874.26	25.478851
1638_84447_000148_000000	He joined it once again, and wondering why and whither he had gone, accompanied it until they reached an iron gate. He paused to look round before entering.	He joined it once again, and wondering why and whither he had gone, accompanied it until they reached an iron gate. He paused to look round before entering.	true	1874.57	1885.66	21.690458
1638_84447_000149_000000	A churchyard.	A churchyard.	true	1886.06	1887.37	29.952164
1638_84447_000149_000001	Here, then; the wretched man whose name he had now to learn, lay underneath the ground.	Here, then; the wretched man whose name he had now to learn, lay underneath the ground.	true	1887.53	1893.55	21.821371
1638_84447_000149_000002	It was a worthy place.	It was a worthy place.	true	1893.86	1895.59	30.8676
1638_84447_000149_000003	Walled in by houses; overrun by grass and weeds, the growth of vegetation's death, not life; choked up with too much burying; fat with repleted appetite.	Walled in by houses; overrun by grass and weeds, the growth of vegetation's death, not life; choked up with too much burying; fat with repleted appetite.	true	1895.81	1908.16	23.60667
1638_84447_000149_000004	A worthy place!	A worthy place!	true	1908.41	1910.08	21.955788
1638_84447_000150_000000	The Spirit stood among the graves, and pointed down to One.	The Spirit stood among the graves, and pointed down to One.	true	1911.17	1915.69	22.79598
1638_84447_000150_000001	He advanced towards it trembling.	He advanced towards it trembling.	true	1916.39	1919.02	25.739351
