4054_11077_000000_000000	"Oh, will you?"--forgetting her grief--"that will be lovely.	"Oh, will you?"--forgetting her grief-"that will be lovely.	false	0	2.52	33.172398
4054_11077_000028_000005	Mrs. Hall's gift was a warm and very pretty woollen wrapper of dark blue flannel, with a pair of soft knitted slippers to match.	mrs Hall's gift was a warm and very pretty woollen wrapper of dark blue flannel, with a pair of soft knitted slippers to match.	true	782.69	789.25	27.254675
4054_11077_000028_000006	Old Mr. Worrett sent a note of advice, recommending Katy to take a quinine pill every day that she was away, never to stay out late, because the dews "over there" were said to be unwholesome, and on no account to drink a drop of water which had not been boiled.	Old mr Worrett sent a note of advice, recommending Katy to take a quinine pill every day that she was away, never to stay out late, because the dews "over there" were said to be unwholesome, and on no account to drink a drop of water which had not been boiled.	true	789.44	803.2	25.304644
4054_11077_000029_000000	From Cousin Helen came a delightful travelling-bag, light and strong at once, and fitted up with all manner of nice little conveniences.	From Cousin Helen came a delightful travelling bag, light and strong at once, and fitted up with all manner of nice little conveniences.	false	803.48	810.25	22.9542
4054_11077_000029_000001	Miss Inches sent a "History of Europe" in five fat volumes, which was so heavy that it had to be left at home.	Miss Inches sent a "History of Europe" in five fat volumes, which was so heavy that it had to be left at home.	true	810.65	816.16	23.968657
4054_11077_000029_000002	In fact, a good many of Katy's presents had to be left at home, including a bronze paper-weight in the shape of a griffin, a large pair of brass screw candlesticks, and an ormolu inkstand with a pen-rest attached, which weighed at least a pound and a half.	In fact, a good many of Katy's presents had to be left at home, including a bronze paper weight in the shape of a griffin, a large pair of brass screw candlesticks, and an ormolu inkstand with a pen rest attached, which weighed at least a pound and a half.	true	816.2	828.91	26.126282
4054_11077_000029_000003	These Katy laid aside to enjoy after her return.	These Katy laid aside to enjoy after her return.	true	829.22	832.02	23.22249
4054_11077_000029_000004	Mrs. Ashe and Cousin Helen had both warned her of the inconvenient consequences of weight in baggage; and by their advice she had limited herself to a single trunk of moderate size, besides a little flat valise for use in her stateroom.	mrs Ashe and Cousin Helen had both warned her of the inconvenient consequences of weight in baggage; and by their advice she had limited herself to a single trunk of moderate size, besides a little flat valise for use in her stateroom.	true	832.02	844.06	25.783699
4054_11077_000030_000000	Clover's gift was a set of blank books for notes, journals, etc.	Clover's gift was a set of blank books for notes, journals, etc	true	844.64	848.62	27.222975
4054_11077_000030_000001	In one of these, Katy made out a list of "Things I must see," "Things I must do," "Things I would like to see," "Things I would like to do." Another she devoted to various good shopping addresses which had been given her; for though she did not expect to do any shopping herself, she thought Mrs. Ashe might find them useful.	In one of these, Katy made out a list of "Things I must see," "Things I must do," "Things I would like to see," "Things I would like to do." Another she devoted to various good shopping addresses which had been given her; for though she did not expect to do any shopping herself, she thought mrs Ashe might find them useful.	true	848.84	863.77	26.069323
4054_11077_000030_000002	Katy's ideas were still so simple and unworldly, and her experience of life so small, that it had not occurred to her how very tantalizing it might be to stand in front of shop windows full of delightful things and not be able to buy any of them. She was accordingly overpowered with surprise, gratitude, and the sense of sudden wealth, when about a week before the start her father gave her three little thin strips of paper, which he told her were circular notes, and worth a hundred dollars apiece.	Katy's ideas were still so simple and unworldly, and her experience of life so small, that it had not occurred to her how very tantalizing it might be to stand in front of shop windows full of delightful things and not be able to buy any of them. She was accordingly overpowered with surprise, gratitude, and the sense of sudden wealth, when about a week before the start her father gave her three little thin strips of paper, which he told her were circular notes, and worth a hundred dollars apiece.	false	863.99	889.48	24.813227
4054_11077_000030_000003	He also gave her five English sovereigns.	He also gave her five English sovereigns.	true	889.82	892.06	27.442144
4054_11077_000031_000000	"Those are for immediate use," he said.	"Those are for immediate use," he said.	true	892.61	894.585	22.897858
4054_11077_000031_000001	"Put the notes away carefully, and don't lose them.	"Put the notes away carefully, and don't lose them.	true	894.585	896.71	29.255928
4054_11077_000031_000002	You had better have them cashed one at a time as you require them.	You had better have them cashed one at a time as you require them.	false	896.84	899.74	27.040854
4054_11077_000031_000003	Mrs. Ashe will explain how.	mrs Ashe will explain how.	true	899.81	901.5	24.14747
4054_11077_000031_000004	You will need a gown or so before you come back, and you'll want to buy some photographs and so on, and there will be fees--"	You will need a gown or so before you come back, and you'll want to buy some photographs and so on, and there will be fees-"	false	901.5	907.81	24.658394
4054_11077_000032_000000	"But, papa," protested Katy, opening wide her candid eyes, "I didn't expect you to give me any money, and I'm afraid you are giving me too much.	"But, papa," protested Katy, opening wide her candid eyes, "I didn't expect you to give me any money, and I'm afraid you are giving me too much.	true	908.57	915.28	25.315067
4054_11077_000032_000001	Do you think you can afford it?	Do you think you can afford it?	false	915.62	916.98	29.899298
4054_11077_000032_000002	Really and truly, I don't want to buy things.	Really and truly, I don't want to buy things.	true	916.98	919.215	27.213945
4054_11077_000032_000003	I shall see everything, you know, and that's enough."	I shall see everything, you know, and that's enough."	true	919.215	921.7	23.770164
4054_11077_000033_000000	Her father only laughed.	Her father only laughed.	true	922.19	923.8	26.214687
4054_11077_000034_000000	"You'll be wiser and greedier before the year is out, my dear," he replied.	"You'll be wiser and greedier before the year is out, my dear," he replied.	true	925.1	928.605	21.621822
4054_11077_000034_000001	"Three hundred dollars won't go far, as you'll find.	"Three hundred dollars won't go far, as you'll find.	true	928.605	930.69	23.251478
4054_11077_000034_000002	But it's all I can spare, and I trust you to keep within it, and not come home with any long bills for me to pay."	But it's all I can spare, and I trust you to keep within it, and not come home with any long bills for me to pay."	false	930.69	935.98	29.7324
4054_11077_000035_000000	"Papa!	"Papa!	true	936.32	936.855	31.742361
4054_11077_000035_000001	I should think not!" cried Katy, with unsophisticated horror.	I should think not!" cried Katy, with unsophisticated horror.	true	936.855	940.33	25.833485
4054_11077_000036_000000	One very interesting thing was to happen before they sailed, the thought of which helped both Katy and Clover through the last hard days, when the preparations were nearly complete, and the family had leisure to feel dull and out of spirits.	One very interesting thing was to happen before they sailed, the thought of which helped both Katy and Clover through the last hard days, when the preparations were nearly complete, and the family had leisure to feel dull and out of spirits.	true	940.88	951.31	26.670303
4054_11077_000036_000001	Katy was to make Rose Red a visit.	Katy was to make Rose Red a visit.	true	951.77	954.4	24.297327
4054_11077_000037_000000	Rose had by no means been idle during the three years and a half which had elapsed since they all parted at Hillsover, and during which the girls had not seen her.	Rose had by no means been idle during the three years and a half which had elapsed since they all parted at Hillsover, and during which the girls had not seen her.	true	954.98	963.01	23.189913
4054_11077_000037_000001	In fact, she had made more out of the time than any of the rest of them, for she had been engaged for eighteen months, had been married, and was now keeping house near Boston with a little Rose of her own, who, she wrote to Clover, was a perfect angel, and more delicious than words could say!	In fact, she had made more out of the time than any of the rest of them, for she had been engaged for eighteen months, had been married, and was now keeping house near Boston with a little Rose of her own, who, she wrote to Clover, was a perfect angel, and more delicious than words could say!	false	963.23	978.67	27.104576
4054_11077_000037_000002	Mrs. Ashe had taken passage in the "Spartacus," sailing from Boston; and it was arranged that Katy should spend the last two days before sailing, with Rose, while Mrs. Ashe and Amy visited an old aunt in Hingham.	mrs Ashe had taken passage in the "Spartacus," sailing from Boston; and it was arranged that Katy should spend the last two days before sailing, with Rose, while mrs Ashe and Amy visited an old aunt in Hingham.	true	978.92	989.92	23.57806
4054_11077_000037_000003	To see Rose in her own home, and Rose's husband, and Rose's baby, was only next in interest to seeing Europe.	To see Rose in her own home, and Rose's husband, and Rose's baby, was only next in interest to seeing Europe.	true	991.91	997.83	20.28933
4054_11077_000037_000004	None of the changes in her lot seemed to have changed her particularly, to judge by the letter she sent in reply to Katy's announcing her plans, which letter ran as follows:--	None of the changes in her lot seemed to have changed her particularly, to judge by the letter she sent in reply to Katy's announcing her plans, which letter ran as follows:--	false	997.83	1006.21	25.801434
4054_11077_000038_000000	"LONGWOOD, September 20.	"LONGWOOD, september twentieth.	false	1007.09	1008.69	24.56146
4054_11077_000039_000000	"My dearest child,--Your note made me dance with delight.	"My dearest child,--Your note made me dance with delight.	true	1008.69	1011.25	26.57941
4054_11077_000039_000001	I stood on my head waving my heels wildly to the breeze till Deniston thought I must be taken suddenly mad; but when I explained he did the same.	I stood on my head waving my heels wildly to the breeze till Deniston thought I must be taken suddenly mad; but when I explained he did the same.	false	1011.32	1018.99	24.624346
4054_11077_000039_000002	It is too enchanting, the whole of it.	It is too enchanting, the whole of it.	true	1019.18	1020.99	29.986994
4054_11077_000039_000003	I put it at the head of all the nice things that ever happened, except my baby.	I put it at the head of all the nice things that ever happened, except my baby.	true	1020.99	1024.63	26.20987
4054_11077_000039_000004	Write the moment you get this by what train you expect to reach Boston, and when you roll into the station you will behold two forms, one tall and stalwart, the other short and fatsome, waiting for you.	Write the moment you get this by what train you expect to reach Boston, and when you roll into the station you will behold two forms, one tall and stalwart, the other short and fatsome, waiting for you.	true	1024.79	1033.87	28.832455
4054_11077_000039_000005	They will be those of Deniston and myself.	They will be those of Deniston and myself.	true	1034.45	1036.52	25.045908
4054_11077_000039_000006	Deniston is not beautiful, but he is good, and he is prepared to _adore_ you.	Deniston is not beautiful, but he is good, and he is prepared to underscore adore underscore you.	false	1036.52	1040.29	26.727821
4054_11077_000039_000007	The baby is both good and beautiful, and you will adore her.	The baby is both good and beautiful, and you will adore her.	true	1040.84	1043.59	23.756308
4054_11077_000039_000008	I am neither; but you know all about me, and I always did adore you and always shall.	I am neither; but you know all about me, and I always did adore you and always shall.	true	1043.69	1047.63	25.747688
4054_11077_000039_000009	I am going out this moment to the butcher's to order a calf fatted for your special behoof; and he shall be slain and made into cutlets the moment I hear from you.	I am going out this moment to the butcher's to order a calf fatted for your special behoof; and he shall be slain and made into cutlets the moment I hear from you.	false	1047.63	1055.2	25.425863
4054_11077_000039_000010	My funny little house, which is quite a dear little house too, assumes a new interest in my eyes from the fact that you so soon are to see it.	My funny little house, which is quite a dear little house too, assumes a new interest in my eyes from the fact that you so soon are to see it.	true	1055.42	1061.91	24.50511
4054_11077_000039_000011	It is somewhat queer, as you might know my house would be; but I think you will like it.	It is somewhat queer, as you might know my house would be; but I think you will like it.	false	1061.91	1067.11	23.69696
4054_11077_000040_000000	"I saw Silvery Mary the other day and told her you were coming.	"I saw Silvery Mary the other day and told her you were coming.	true	1067.21	1070.08	21.478304
4054_11077_000040_000001	She is the same mouse as ever.	She is the same mouse as ever.	true	1070.15	1071.73	19.220013
4054_11077_000040_000002	I shall ask her and some of the other girls to come out to lunch on one of your days.	I shall ask her and some of the other girls to come out to lunch on one of your days.	false	1071.73	1075.78	23.737732
4054_11077_000040_000003	Good-by, with a hundred and fifty kisses to Clovy and the rest.	Good by, with a hundred and fifty kisses to Clovy and the rest.	false	1075.94	1079.08	20.06282
4054_11077_000041_000000	"Your loving	"Your loving	true	1079.18	1080.02	28.587448
4054_11077_000042_000000	"ROSE RED."	"ROSE RED."	true	1080.02	1081	24.525124
4054_11077_000043_000000	"She never signs herself Browne, I observe," said Clover, as she finished the letter.	"She never signs herself Browne, I observe," said Clover, as she finished the letter.	true	1081.76	1085.92	24.465597
4054_11077_000044_000000	"Oh, Rose Red Browne would sound too funny.	"Oh, Rose Red Browne would sound too funny.	true	1086.38	1088.89	26.03353
4054_11077_000044_000001	Rose Red she must stay till the end of the chapter; no other name could suit her half so well, and I can't imagine her being called anything else.	Rose Red she must stay till the end of the chapter; no other name could suit her half so well, and I can't imagine her being called anything else.	false	1088.89	1096.45	24.083477
4054_11077_000044_000002	What fun it will be to see her and little Rose!"	What fun it will be to see her and little Rose!"	true	1096.73	1099.09	20.452026
4054_11077_000045_000000	"And Deniston Browne," put in Clover.	"And Deniston Browne," put in Clover.	true	1099.25	1101.28	31.283422
4054_11077_000046_000000	"Somehow I find it rather hard to take in the fact that there is a Deniston Browne," observed Katy.	"Somehow I find it rather hard to take in the fact that there is a Deniston Browne," observed Katy.	false	1101.59	1105.93	26.627821
4054_11077_000047_000000	"It will be easier after you have seen him, perhaps."	"It will be easier after you have seen him, perhaps."	false	1106.69	1109.32	24.862856
4054_11077_000048_000000	The last day came, as last days will.	The last day came, as last days will.	true	1109.87	1111.95	22.286722
4054_11077_000048_000001	Katy's trunk, most carefully and exactly packed by the united efforts of the family, stood in the hall, locked and strapped, not to be opened again till the party reached London.	Katy's trunk, most carefully and exactly packed by the united efforts of the family, stood in the hall, locked and strapped, not to be opened again till the party reached London.	false	1111.95	1120.81	27.37822
4054_11077_000048_000002	This fact gave it a certain awful interest in the eyes of Phil and Johnnie, and even Elsie gazed upon it with respect. The little valise was also ready; and Dorry, the neat-handed, had painted a red star on both ends of both it and the trunk, that they might be easily picked from among a heap of luggage.	This fact gave it a certain awful interest in the eyes of Phil and Johnnie, and even Elsie gazed upon it with respect. The little valise was also ready; and Dorry, the neat handed, had painted a red star on both ends of both it and the trunk, that they might be easily picked from among a heap of luggage.	false	1121.66	1137.85	24.608494
4054_11077_000048_000003	He now proceeded to prepare and paste on two square cards, labelled respectively, "Hold" and "State-room." Mrs. Hall had told them that this was the correct thing to do.	He now proceeded to prepare and paste on two square cards, labelled respectively, "Hold" and "State room." mrs Hall had told them that this was the correct thing to do.	true	1138.22	1147.54	29.363764
4054_11077_000049_000000	Mrs. Ashe had been full of business likewise in putting her house to rights for a family who had rented it for the time of her absence, and Katy and Clover had taken a good many hours from their own preparations to help her.	mrs Ashe had been full of business likewise in putting her house to rights for a family who had rented it for the time of her absence, and Katy and Clover had taken a good many hours from their own preparations to help her.	false	1148.33	1158.84	24.076923
4054_11077_000049_000001	All was done at last; and one bright morning in October, Katy stood on the wharf with her family about her, and a lump in her throat which made it difficult to speak to any of them.	All was done at last; and one bright morning in October, Katy stood on the wharf with her family about her, and a lump in her throat which made it difficult to speak to any of them.	false	1158.84	1167.22	24.74419
4054_11077_000049_000002	She stood so very still and said so very little, that a bystander not acquainted with the circumstances might have dubbed her "unfeeling;" while the fact was that she was feeling too much!	She stood so very still and said so very little, that a bystander not acquainted with the circumstances might have dubbed her "unfeeling;" while the fact was that she was feeling too much!	false	1167.47	1176.82	26.415812
4054_11077_000050_000000	The first bell rang.	The first bell rang.	true	1177.43	1178.57	32.827045
4054_11077_000050_000001	Katy kissed everybody quietly and went on board with her father.	Katy kissed everybody quietly and went on board with her father.	true	1178.57	1181.38	26.074026
4054_11077_000050_000002	Her parting from him, hardest of all, took place in the midst of a crowd of people; then he had to leave her, and as the wheels began to revolve she went out on the side deck to have a last glimpse of the home faces.	Her parting from him, hardest of all, took place in the midst of a crowd of people; then he had to leave her, and as the wheels began to revolve she went out on the side deck to have a last glimpse of the home faces.	true	1181.38	1192.81	25.318977
4054_11077_000050_000003	There they were: Elsie crying tumultuously, with her head on papa's coat-sleeve; John laughing, or trying to laugh, with big tears running down her cheeks the while; and brave little Clover waving her handkerchief encouragingly, but with a very sober look on her face. Katy's heart went out to the little group with a sudden passion of regret and yearning.	There they were: Elsie crying tumultuously, with her head on papa's coat sleeve; john laughing, or trying to laugh, with big tears running down her cheeks the while; and brave little Clover waving her handkerchief encouragingly, but with a very sober look on her face. Katy's heart went out to the little group with a sudden passion of regret and yearning.	false	1192.97	1212.16	23.88247
4054_11077_000050_000004	Why had she said she would go?	Why had she said she would go?	true	1212.5	1214.23	30.341043
4054_11077_000050_000005	What was all Europe in comparison with what she was leaving?	What was all Europe in comparison with what she was leaving?	true	1214.93	1218.37	23.834402
4054_11077_000050_000006	Life was so short, how could she take a whole year out of it to spend away from the people she loved best?	Life was so short, how could she take a whole year out of it to spend away from the people she loved best?	true	1218.56	1223.35	31.356905
4054_11077_000050_000007	If it had been left to her to choose, I think she would have flown back to the shore then and there, and given up the journey, I also think she would have been heartily sorry a little later, had she done so.	If it had been left to her to choose, I think she would have flown back to the shore then and there, and given up the journey, I also think she would have been heartily sorry a little later, had she done so.	false	1223.84	1232.8	23.212955
4054_11077_000051_000000	But it was not left for her to choose.	But it was not left for her to choose.	true	1233.71	1235.57	22.304054
4054_11077_000051_000001	Already the throb of the engines was growing more regular and the distance widening between the great boat and the wharf.	Already the throb of the engines was growing more regular and the distance widening between the great boat and the wharf.	false	1235.57	1240.57	26.235435
4054_11077_000051_000002	Gradually the dear faces faded into distance; and after watching till the flutter of Clover's handkerchief became an undistinguishable speck, Katy went to the cabin with a heavy heart.	Gradually the dear faces faded into distance; and after watching till the flutter of Clover's handkerchief became an undistinguishable speck, Katy went to the cabin with a heavy heart.	false	1240.85	1250.47	27.26033
4054_11077_000051_000003	But there were Mrs. Ashe and Amy, inclined to be homesick also, and in need of cheering; and Katy, as she tried to brighten them, gradually grew bright herself, and recovered her hopeful spirits.	But there were mrs Ashe and Amy, inclined to be homesick also, and in need of cheering; and Katy, as she tried to brighten them, gradually grew bright herself, and recovered her hopeful spirits.	true	1250.72	1259.74	23.07782
4054_11077_000051_000004	Burnet pulled less strongly as it got farther away, and Europe beckoned more brilliantly now that they were fairly embarked on their journey.	Burnet pulled less strongly as it got farther away, and Europe beckoned more brilliantly now that they were fairly embarked on their journey.	true	1260.8	1267.81	26.721085
4054_11077_000051_000005	The sun shone, the lake was a beautiful, dazzling blue, and Katy said to herself, "After all, a year is not very long, and how happy I am going to be!"	The sun shone, the lake was a beautiful, dazzling blue, and Katy said to herself, "After all, a year is not very long, and how happy I am going to be!"	false	1268.03	1292.52	24.927694
