6339_65554_000000_000000	"Listen to me, Bessy.	"Listen to me, Bessy.	false	0	0.78	25.787716
6339_65554_000050_000004	She had all her mother's gifts, deepened by her inheritance of Morgan intensity and sincerity ... much, too, of the Morgan firmness of will. When Joscelyn Morgan was twenty-two she was famous over two continents.	She had all her mother's gifts, deepened by her inheritance of Morgan intensity and sincerity ... much, too, of the Morgan firmness of will. When Joscelyn Morgan was twenty two she was famous over two continents.	true	866.3	879.88	20
6339_65554_000051_000000	When Cyrus Morgan returned home on the evening after his granddaughter's departure he told his wife that she was never to mention the girl's name in his hearing again.	When Cyrus Morgan returned home on the evening after his granddaughter's departure he told his wife that she was never to mention the girl's name in his hearing again.	true	880.1	888.88	12
6339_65554_000051_000001	Deborah obeyed.	Deborah obeyed.	true	889.19	890.44	25.170456
6339_65554_000051_000002	She thought her husband was right, albeit she might in her own heart deplore the necessity of such a decree.	She thought her husband was right, albeit she might in her own heart deplore the necessity of such a decree.	true	890.78	897.13	21
6339_65554_000051_000003	Joscelyn had disgraced them; could that be forgiven?	Joscelyn had disgraced them; could that be forgiven?	true	897.5	900.94	22.18336
6339_65554_000052_000000	Nevertheless both the old people missed her terribly.	Nevertheless both the old people missed her terribly.	true	901.4	904.6	19
6339_65554_000052_000001	The house seemed to have lost its soul with that vivid, ripely tinted young life.	The house seemed to have lost its soul with that vivid, ripely tinted young life.	true	904.94	910.15	17
6339_65554_000052_000002	They got their married daughter's oldest girl, Pauline, to come and stay with them.	They got their married daughter's oldest girl, Pauline, to come and stay with them.	true	910.7	914.71	17
6339_65554_000052_000003	Pauline was a quiet, docile maiden, industrious and commonplace--just such a girl as they had vainly striven to make of Joscelyn, to whom Pauline had always been held up as a model.	Pauline was a quiet, docile maiden, industrious and commonplace-just such a girl as they had vainly striven to make of Joscelyn, to whom Pauline had always been held up as a model.	true	914.99	928.2	20
6339_65554_000052_000004	Yet neither Cyrus nor Deborah took to her, and they let her go unregretfully when they found that she wished to return home.	Yet neither Cyrus nor Deborah took to her, and they let her go unregretfully when they found that she wished to return home.	false	928.2	935.58	19.868385
6339_65554_000053_000000	"She hasn't any of Josie's gimp," was old Cyrus's unspoken fault. Deborah spoke, but all she said was, "Polly's a good girl, Father, only she hasn't any snap."	"She hasn't any of Josie's gimp," was old Cyrus's unspoken fault. Deborah spoke, but all she said was, "Polly's a good girl, Father, only she hasn't any snap."	false	935.58	947.5	22.21702
6339_65554_000054_000000	Joscelyn wrote to Deborah occasionally, telling her freely of her plans and doings.	Joscelyn wrote to Deborah occasionally, telling her freely of her plans and doings.	true	947.57	952.84	16
6339_65554_000054_000001	If it hurt the girl that no notice was ever taken of her letters she still wrote them.	If it hurt the girl that no notice was ever taken of her letters she still wrote them.	true	953.21	958.03	17
6339_65554_000054_000002	Deborah read the letters grimly and then left them in Cyrus's way.	Deborah read the letters grimly and then left them in Cyrus's way.	false	958.34	962.11	15
6339_65554_000054_000003	Cyrus would not read them at first; later on he read them stealthily when Deborah was out of the house.	Cyrus would not read them at first; later on he read them stealthily when Deborah was out of the house.	true	962.57	968.65	19
6339_65554_000055_000000	When Joscelyn began to succeed she sent to the old farmhouse papers and magazines containing her photographs and criticisms of her plays and acting.	When Joscelyn began to succeed she sent to the old farmhouse papers and magazines containing her photographs and criticisms of her plays and acting.	false	968.96	977.5	14
6339_65554_000055_000001	Deborah cut them out and kept them in her upper bureau drawer with Joscelyn's letters.	Deborah cut them out and kept them in her upper bureau drawer with Joscelyn's letters.	true	977.81	982.45	16
6339_65554_000055_000002	Once she overlooked one and Cyrus found it when he was kindling the fire.	Once she overlooked one and Cyrus found it when he was kindling the fire.	true	982.82	987.25	17
6339_65554_000055_000003	He got the scissors and cut it out carefully.	He got the scissors and cut it out carefully.	true	987.53	990.1	21
6339_65554_000055_000004	A month later Deborah discovered it between the leaves of the family Bible.	A month later Deborah discovered it between the leaves of the family Bible.	true	990.29	994.36	15
6339_65554_000056_000000	But Joscelyn's name was never mentioned between them, and when other people asked them concerning her their replies were cold and ungracious.	But Joscelyn's name was never mentioned between them, and when other people asked them concerning her their replies were cold and ungracious.	true	994.67	1002.73	14
6339_65554_000056_000001	In a way they had relented towards her, but their shame of her remained.	In a way they had relented towards her, but their shame of her remained.	true	1002.95	1007.44	19.97836
6339_65554_000056_000002	They could never forget that she was an actress.	They could never forget that she was an actress.	true	1007.57	1010.23	18
6339_65554_000057_000000	Once, six years after Joscelyn had left Spring Valley, Cyrus, who was reading a paper by the table, got up with an angry exclamation and stuffed it into the stove, thumping the lid on over it with grim malignity.	Once, six years after Joscelyn had left Spring Valley, Cyrus, who was reading a paper by the table, got up with an angry exclamation and stuffed it into the stove, thumping the lid on over it with grim malignity.	true	1010.6	1024.09	16
6339_65554_000058_000000	"That fool dunno what he's talking about," was all he would say. Deborah had her share of curiosity.	"That fool dunno what he's talking about," was all he would say. Deborah had her share of curiosity.	false	1024.19	1030.54	20.46563
6339_65554_000058_000001	The paper was the _National Gazette_ and she knew that their next-door neighbour, James Pennan, took it.	The paper was the underscore National Gazette underscore and she knew that their next door neighbour, james Pennan, took it.	false	1030.88	1036.75	20
6339_65554_000058_000002	She went over that evening and borrowed it, saying that their own had been burned before she had had time to read the serial in it. With one exception she read all its columns carefully without finding anything to explain her husband's anger.	She went over that evening and borrowed it, saying that their own had been burned before she had had time to read the serial in it. With one exception she read all its columns carefully without finding anything to explain her husband's anger.	true	1036.88	1051.99	17
6339_65554_000058_000003	Then she doubtfully plunged into the exception ... a column of "Stage Notes." Halfway down she came upon an adverse criticism of Joscelyn Morgan and her new play.	Then she doubtfully plunged into the exception ... a column of "Stage Notes." Halfway down she came upon an adverse criticism of Joscelyn Morgan and her new play.	false	1052.57	1064.47	20.432522
6339_65554_000058_000004	It was malicious and vituperative.	It was malicious and vituperative.	true	1065.05	1067.71	19
6339_65554_000058_000005	Deborah Morgan's old eyes sparkled dangerously as she read it.	Deborah Morgan's old eyes sparkled dangerously as she read it.	true	1067.84	1071.48	16
6339_65554_000059_000000	"I guess somebody is pretty jealous of Josie," she muttered.	"I guess somebody is pretty jealous of Josie," she muttered.	true	1071.48	1074.83	16
6339_65554_000059_000001	"I don't wonder Pa was riled up.	"I don't wonder Pa was riled up.	false	1074.83	1076.87	22
6339_65554_000059_000002	But I guess she can hold her own.	But I guess she can hold her own.	true	1076.87	1078.57	20
6339_65554_000059_000003	She's a Morgan."	She's a Morgan."	true	1078.58	1079.68	19.930855
6339_65554_000060_000000	No long time after this Cyrus took a notion he'd like a trip to the city.	No long time after this Cyrus took a notion he'd like a trip to the city.	true	1079.87	1084.27	17
6339_65554_000060_000001	He'd like to see the Horse Fair and look up Cousin Hiram Morgan's folks.	He'd like to see the Horse Fair and look up Cousin Hiram Morgan's folks.	false	1084.61	1088.7	14
6339_65554_000061_000000	"Hiram and me used to be great chums, Mother.	"Hiram and me used to be great chums, Mother.	false	1088.7	1091.86	20.087067
6339_65554_000061_000001	And we're getting kind of mossy, I guess, never stirring out of Spring Valley.	And we're getting kind of mossy, I guess, never stirring out of Spring Valley.	true	1091.9	1096.36	14
6339_65554_000061_000002	Let's go and dissipate for a week--what say?"	Let's go and dissipate for a week-what say?"	true	1096.43	1099.27	25.521744
6339_65554_000062_000000	Deborah agreed readily, albeit of late years she had been much averse to going far from home and had never at any time been very fond of Cousin Hiram's wife.	Deborah agreed readily, albeit of late years she had been much averse to going far from home and had never at any time been very fond of Cousin Hiram's wife.	false	1099.49	1109.41	17
6339_65554_000062_000001	Cyrus was as pleased as a child over their trip. On the second day of their sojourn in the city he slipped away when Deborah had gone shopping with Mrs. Hiram and hurried through the streets to the Green Square Theatre with a hang-dog look.	Cyrus was as pleased as a child over their trip. On the second day of their sojourn in the city he slipped away when Deborah had gone shopping with mrs Hiram and hurried through the streets to the Green Square Theatre with a hang dog look.	false	1109.42	1123.71	17
6339_65554_000062_000002	He bought a ticket apologetically and sneaked in to his seat.	He bought a ticket apologetically and sneaked in to his seat.	true	1123.71	1127.62	23
6339_65554_000062_000003	It was a matinee performance, and Joscelyn Morgan was starring in her famous new play.	It was a matinee performance, and Joscelyn Morgan was starring in her famous new play.	true	1127.62	1132.95	13
6339_65554_000063_000000	Cyrus waited for the curtain to rise, feeling as if every one of his Spring Valley neighbours must know where he was and revile him for it. If Deborah were ever to find out ... but Deborah must never find out! For the first time in their married life the old man deliberately plotted to deceive his old wife.	Cyrus waited for the curtain to rise, feeling as if every one of his Spring Valley neighbours must know where he was and revile him for it. If Deborah were ever to find out ... but Deborah must never find out! For the first time in their married life the old man deliberately plotted to deceive his old wife.	false	1132.95	1151.86	18
6339_65554_000063_000001	He must see his girl Josie just once; it was a terrible thing that she was an actress, but she was a successful one, nobody could deny that, except fools who yapped in the _National Gazette_.	He must see his girl Josie just once; it was a terrible thing that she was an actress, but she was a successful one, nobody could deny that, except fools who yapped in the underscore National Gazette underscore.	false	1151.93	1164.09	20
6339_65554_000064_000000	The curtain went up and Cyrus rubbed his eyes.	The curtain went up and Cyrus rubbed his eyes.	true	1164.09	1167.31	25
6339_65554_000064_000001	He had certainly braced his nerves to behold some mystery of iniquity; instead he saw an old kitchen so like his own at home that it bewildered him; and there, sitting by the cheery wood stove, in homespun gown, with primly braided hair, was Joscelyn--his girl Josie, as he had seen her a thousand times by his own ingle-side.	He had certainly braced his nerves to behold some mystery of iniquity; instead he saw an old kitchen so like his own at home that it bewildered him; and there, sitting by the cheery wood stove, in homespun gown, with primly braided hair, was Joscelyn-his girl Josie, as he had seen her a thousand times by his own ingle side.	true	1167.47	1189.42	19
6339_65554_000064_000002	The building rang with applause; one old man pulled out a red bandanna and wiped tears of joy and pride from his eyes.	The building rang with applause; one old man pulled out a red bandanna and wiped tears of joy and pride from his eyes.	true	1189.67	1197.15	17
6339_65554_000064_000003	She hadn't changed--Josie hadn't changed.	She hadn't changed-Josie hadn't changed.	true	1197.15	1200.73	19.40817
6339_65554_000064_000004	Play-acting hadn't spoiled her--couldn't spoil her.	Play acting hadn't spoiled her-couldn't spoil her.	true	1200.8	1204.39	23.411882
6339_65554_000064_000005	Wasn't she Paul's daughter! And all this applause was for her--for Josie.	Wasn't she Paul's daughter! And all this applause was for her-for Josie.	true	1204.43	1209.57	22.772154
6339_65554_000065_000000	Joscelyn's new play was a homely, pleasant production with rollicking comedy and heart-moving pathos skilfully commingled.	Joscelyn's new play was a homely, pleasant production with rollicking comedy and heart moving pathos skilfully commingled.	true	1209.57	1216.69	16
6339_65554_000065_000001	Joscelyn pervaded it all with a convincing simplicity that was really the triumph of art.	Joscelyn pervaded it all with a convincing simplicity that was really the triumph of art.	false	1216.79	1222.18	15
6339_65554_000065_000002	Cyrus Morgan listened and exulted in her; at every burst of applause his eyes gleamed with pride.	Cyrus Morgan listened and exulted in her; at every burst of applause his eyes gleamed with pride.	true	1222.46	1228.6	16
6339_65554_000065_000003	He wanted to go on the stage and box the ears of the villain who plotted against her; he wanted to shake hands with the good woman who stood by her; he wanted to pay off the mortgage and make Josie happy.	He wanted to go on the stage and box the ears of the villain who plotted against her; he wanted to shake hands with the good woman who stood by her; he wanted to pay off the mortgage and make Josie happy.	true	1228.79	1239.94	14
6339_65554_000065_000004	He wiped tears from his eyes in the third act when Josie was turned out of doors and, when the fourth left her a happy, blushing bride, hand in hand with her farmer lover, he could have wept again for joy.	He wiped tears from his eyes in the third act when Josie was turned out of doors and, when the fourth left her a happy, blushing bride, hand in hand with her farmer lover, he could have wept again for joy.	true	1240.13	1252.31	15
6339_65554_000066_000000	Cyrus Morgan went out into the daylight feeling as if he had awakened from a dream.	Cyrus Morgan went out into the daylight feeling as if he had awakened from a dream.	true	1252.31	1257.25	15
6339_65554_000066_000001	At the outer door he came upon Mrs. Hiram and Deborah. Deborah's face was stained with tears, and she caught at his hand.	At the outer door he came upon mrs Hiram and Deborah. Deborah's face was stained with tears, and she caught at his hand.	false	1257.56	1264.41	15
6339_65554_000067_000000	"Oh, Pa, wasn't it splendid--wasn't our girl Josie splendid!	"Oh, Pa, wasn't it splendid-wasn't our girl Josie splendid!	false	1264.41	1268.55	21
6339_65554_000067_000001	I'm so proud of her.	I'm so proud of her.	false	1268.55	1270.26	25.6674
6339_65554_000067_000002	Oh, I was bound to hear her.	Oh, I was bound to hear her.	false	1270.26	1272.42	17
6339_65554_000067_000003	I was afraid you'd be mad, so I didn't let on and when I saw you in the seat down there I couldn't believe my eyes.	I was afraid you'd be mad, so I didn't let on and when I saw you in the seat down there I couldn't believe my eyes.	true	1272.42	1278.69	14
6339_65554_000067_000004	Oh, I've just been crying the whole time. Wasn't it splendid!	Oh, I've just been crying the whole time. Wasn't it splendid!	false	1278.69	1282.9	21.177027
6339_65554_000067_000005	Wasn't our girl Josie splendid?"	Wasn't our girl Josie splendid?"	true	1282.94	1285.36	26
6339_65554_000068_000000	The crowd around looked at the old pair with amused, indulgent curiosity, but they were quite oblivious to their surroundings, even to Mrs. Hiram's anxiety to decoy them away.	The crowd around looked at the old pair with amused, indulgent curiosity, but they were quite oblivious to their surroundings, even to mrs Hiram's anxiety to decoy them away.	true	1285.55	1296.22	16
6339_65554_000068_000001	Cyrus Morgan cleared his throat and said, "It was great, Mother, great.	Cyrus Morgan cleared his throat and said, "It was great, Mother, great.	true	1296.65	1301.68	21
6339_65554_000068_000002	She took the shine off the other play-actors all right.	She took the shine off the other play actors all right.	true	1301.93	1305.37	20
6339_65554_000068_000003	I knew that _National Gazette_ man didn't know what he was talking about.	I knew that underscore National Gazette underscore man didn't know what he was talking about.	false	1305.86	1309.66	12
6339_65554_000068_000004	Mother, let us go and see Josie right off.	Mother, let us go and see Josie right off.	false	1309.85	1312.42	18
6339_65554_000068_000005	She's stopping with her aunt at the Maberly Hotel--I saw it in the paper this morning.	She's stopping with her aunt at the Maberly Hotel-I saw it in the paper this morning.	true	1312.42	1316.92	15
6339_65554_000068_000006	I'm going to tell her she was right and we were wrong.	I'm going to tell her she was right and we were wrong.	true	1317.05	1320	18
6339_65554_000068_000007	Josie's beat them all, and I'm going to tell her so!"	Josie's beat them all, and I'm going to tell her so!"	false	1320	1336.05	17.429592
