2775_160958_000000_000000	So now nothing was wanting to the happiness of the Prince and his bride as long as they lived.	So now nothing was wanting to the happiness of the Prince and his bride as long as they lived.	false	8.04	25.68	20.491474
2775_160958_000100_000000	"Oh, dear Beast," she cried, "and are you really dead?	"Oh, dear Beast," she cried, "and are you really dead?	true	930.8	935.08	23.435192
2775_160958_000100_000001	Alas! alas! then I, too, will die, for I cannot live without you."	Alas! alas! then I, too, will die, for I cannot live without you."	true	935.21	940.27	21.062237
2775_160958_000101_000000	Immediately the Beast opened his eyes, sighed, and said:	Immediately the Beast opened his eyes, sighed, and said:	true	940.88	944.89	22.62015
2775_160958_000102_000000	"Beauty, will you marry me?"	"Beauty, will you marry me?"	true	945.11	947.07	19
2775_160958_000103_000000	And Beauty, beside herself with joy when she found that he was still alive, answered:	And Beauty, beside herself with joy when she found that he was still alive, answered:	false	947.07	952.93	20.288591
2775_160958_000104_000000	"Yes, yes, dear Beast, for I love you dearly."	"Yes, yes, dear Beast, for I love you dearly."	true	952.94	956.38	20.613016
2775_160958_000105_000000	At these words the rough fur dropped to the ground, and in place of the Beast stood a handsome Prince, dressed in a doublet of white and silver, like one made ready for a wedding.	At these words the rough fur dropped to the ground, and in place of the Beast stood a handsome Prince, dressed in a doublet of white and silver, like one made ready for a wedding.	false	957.08	968.11	21.834074
2775_160958_000105_000001	He knelt at Beauty's feet and clasped her hands.	He knelt at Beauty's feet and clasped her hands.	true	968.48	971.38	26.139153
2775_160958_000106_000000	"Dear Beauty," he said, "nothing but your love could have disenchanted me.	"Dear Beauty," he said, "nothing but your love could have disenchanted me.	true	971.75	976.18	21.821703
2775_160958_000106_000001	A wicked fairy turned me into a Beast, and condemned me to remain one until some fair and good maiden should love me well enough to marry me, in spite of my ugliness and stupidity.	A wicked fairy turned me into a Beast, and condemned me to remain one until some fair and good maiden should love me well enough to marry me, in spite of my ugliness and stupidity.	true	976.4	986.77	17
2775_160958_000106_000002	Now, dear one, the enchantment is broken; let us go back to my palace.	Now, dear one, the enchantment is broken; let us go back to my palace.	false	987.2	991.75	26.758526
2775_160958_000106_000003	You will find that all my servants--who, too, have been enchanted, and have waited on you all this long time with invisible hands--will now become visible."	You will find that all my servants-who, too, have been enchanted, and have waited on you all this long time with invisible hands-will now become visible."	false	991.91	1000.36	21
2775_160958_000107_000000	So they returned to the palace, which by this time was crowded with courtiers, eager to kiss the hands of the Prince and his bride.	So they returned to the palace, which by this time was crowded with courtiers, eager to kiss the hands of the Prince and his bride.	true	1000.91	1008.04	24.803476
2775_160958_000107_000001	And the Prince whispered to one of his attendants, who went out, and in a very little time came back with Beauty's father and sisters.	And the Prince whispered to one of his attendants, who went out, and in a very little time came back with Beauty's father and sisters.	true	1008.26	1015.3	23.635212
2775_160958_000108_000000	The sisters were condemned to be changed into statues, and to stand at the right and left of the palace gates until their hearts should be softened, and they should be sorry for their unkindness to their sister.	The sisters were condemned to be changed into statues, and to stand at the right and left of the palace gates until their hearts should be softened, and they should be sorry for their unkindness to their sister.	true	1015.97	1027.15	18
2775_160958_000108_000001	But Beauty, happily married to her Prince, went secretly to the statues every day and wept over them.	But Beauty, happily married to her Prince, went secretly to the statues every day and wept over them.	true	1027.49	1033.48	25.115454
2775_160958_000109_000000	And by her tears their stony hearts were softened, and they were changed into flesh and blood again, and were good and kind for the rest of their lives.	And by her tears their stony hearts were softened, and they were changed into flesh and blood again, and were good and kind for the rest of their lives.	true	1033.76	1042.27	23
2775_160958_000110_000000	And Beauty and the Beast, who was a Beast no more, but a handsome Prince, lived happily ever after.	And Beauty and the Beast, who was a Beast no more, but a handsome Prince, lived happily ever after.	false	1042.88	1049.05	25.892963
2775_160958_000111_000000	And indeed I believe they are living happily still, in the beautiful land where dreams come true.	And indeed I believe they are living happily still, in the beautiful land where dreams come true.	false	1049.48	1063.77	20.04294
2775_160958_000112_000000	THE WHITE CAT	THE WHITE CAT	false	1063.77	1064.25	19
2775_160958_000113_000000	BY THE COMTESSE D'AULNOY	BY THE c o m t e s s e D'AULNOY	false	1064.25	1074.93	14.726213
