2577_157236_000000_000000	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	false	0	4.71	14.794779
2577_157236_000093_000000	The queen clapped her hands at this idea, and lent the children a sandal-wood comb inlaid with ivory lotus-flowers.	The queen clapped her hands at this idea, and lent the children a sandal wood comb inlaid with ivory lotus flowers.	true	870.29	876.43	16
2577_157236_000093_000001	And they washed their faces and hands in silver basins.	And they washed their faces and hands in silver basins.	false	876.62	879.7	18.315306
2577_157236_000093_000002	Then Cyril made a very polite farewell speech, and quite suddenly he ended with the words--	Then Cyril made a very polite farewell speech, and quite suddenly he ended with the words-	true	880.07	885.58	19
2577_157236_000094_000000	'And I wish we were at the bazaar at our schools.'	'And I wish we were at the bazaar at our schools.'	true	885.74	888.55	19.779829
2577_157236_000095_000000	And of course they were.	And of course they were.	true	889.25	890.86	21.692661
2577_157236_000095_000001	And the queen and her ladies were left with their mouths open, gazing at the bare space on the inlaid marble floor where the carpet and the children had been.	And the queen and her ladies were left with their mouths open, gazing at the bare space on the inlaid marble floor where the carpet and the children had been.	true	890.96	899.56	16
2577_157236_000096_000000	'That is magic, if ever magic was!' said the queen, delighted with the incident; which, indeed, has given the ladies of that court something to talk about on wet days ever since.	'That is magic, if ever magic was!' said the queen, delighted with the incident; which, indeed, has given the ladies of that court something to talk about on wet days ever since.	true	900.86	911.26	19.30613
2577_157236_000097_000000	Cyril's stories had taken some time, so had the meal of strange sweet foods that they had had while the little pretty things were being bought, and the gas in the schoolroom was already lighted.	Cyril's stories had taken some time, so had the meal of strange sweet foods that they had had while the little pretty things were being bought, and the gas in the schoolroom was already lighted.	true	912.44	923.38	16
2577_157236_000097_000001	Outside, the winter dusk was stealing down among the Camden Town houses.	Outside, the winter dusk was stealing down among the Camden Town houses.	true	923.54	928.09	17
2577_157236_000098_000000	'I'm glad we got washed in India,' said Cyril. 'We should have been awfully late if we'd had to go home and scrub.'	'I'm glad we got washed in India,' said Cyril. 'We should have been awfully late if we'd had to go home and scrub.'	true	928.55	934.93	18.997435
2577_157236_000099_000000	'Besides,' Robert said, 'it's much warmer washing in India.	'Besides,' Robert said, 'it's much warmer washing in India.	true	935.21	938.73	18.343716
2577_157236_000099_000001	I shouldn't mind it so much if we lived there.'	I shouldn't mind it so much if we lived there.'	true	938.73	941.05	18.919939
2577_157236_000100_000000	The thoughtful carpet had dumped the children down in a dusky space behind the point where the corners of two stalls met.	The thoughtful carpet had dumped the children down in a dusky space behind the point where the corners of two stalls met.	true	941.78	948.49	18
2577_157236_000100_000001	The floor was littered with string and brown paper, and baskets and boxes were heaped along the wall.	The floor was littered with string and brown paper, and baskets and boxes were heaped along the wall.	true	948.74	953.95	15
2577_157236_000101_000000	The children crept out under a stall covered with all sorts of table-covers and mats and things, embroidered beautifully by idle ladies with no real work to do.	The children crept out under a stall covered with all sorts of table covers and mats and things, embroidered beautifully by idle ladies with no real work to do.	true	954.8	963.49	16
2577_157236_000101_000001	They got out at the end, displacing a sideboard-cloth adorned with a tasteful pattern of blue geraniums.	They got out at the end, displacing a sideboard cloth adorned with a tasteful pattern of blue geraniums.	true	964.07	970.15	18
2577_157236_000101_000002	The girls got out unobserved, so did Cyril; but Robert, as he cautiously emerged, was actually walked on by Mrs Biddle, who kept the stall.	The girls got out unobserved, so did Cyril; but Robert, as he cautiously emerged, was actually walked on by Mrs Biddle, who kept the stall.	false	970.43	979	20
2577_157236_000101_000003	Her large, solid foot stood firmly on the small, solid hand of Robert and who can blame Robert if he DID yell a little?	Her large, solid foot stood firmly on the small, solid hand of Robert and who can blame Robert if he DID yell a little?	true	979.4	987.25	18
2577_157236_000102_000000	A crowd instantly collected.	A crowd instantly collected.	true	988.58	990.675	26.701769
2577_157236_000102_000001	Yells are very unusual at bazaars, and every one was intensely interested.	Yells are very unusual at bazaars, and every one was intensely interested.	true	990.675	994.9	17
2577_157236_000102_000002	It was several seconds before the three free children could make Mrs Biddle understand that what she was walking on was not a schoolroom floor, or even, as she presently supposed, a dropped pin-cushion, but the living hand of a suffering child.	It was several seconds before the three free children could make Mrs Biddle understand that what she was walking on was not a schoolroom floor, or even, as she presently supposed, a dropped pin cushion, but the living hand of a suffering child.	true	995.09	1010.26	18
2577_157236_000102_000003	When she became aware that she really had hurt him, she grew very angry indeed.	When she became aware that she really had hurt him, she grew very angry indeed.	true	1010.72	1015.72	17.530373
2577_157236_000102_000004	When people have hurt other people by accident, the one who does the hurting is always much the angriest.	When people have hurt other people by accident, the one who does the hurting is always much the angriest.	true	1015.94	1021.6	19
2577_157236_000102_000005	I wonder why.	I wonder why.	true	1021.64	1022.73	21.493849
2577_157236_000103_000000	'I'm very sorry, I'm sure,' said Mrs Biddle; but she spoke more in anger than in sorrow.	'I'm very sorry, I'm sure,' said Mrs Biddle; but she spoke more in anger than in sorrow.	false	1022.73	1029.34	18.384562
2577_157236_000103_000001	'Come out! whatever do you mean by creeping about under the stalls, like earwigs?'	'Come out! whatever do you mean by creeping about under the stalls, like earwigs?'	true	1029.35	1033.81	23.44138
2577_157236_000104_000000	'We were looking at the things in the corner.'	'We were looking at the things in the corner.'	true	1034.33	1036.75	21.53232
2577_157236_000105_000000	'Such nasty, prying ways,' said Mrs Biddle, 'will never make you successful in life.	'Such nasty, prying ways,' said Mrs Biddle, 'will never make you successful in life.	true	1036.91	1042.66	20.351732
2577_157236_000105_000001	There's nothing there but packing and dust.'	There's nothing there but packing and dust.'	true	1042.67	1045.15	20.858099
2577_157236_000106_000000	'Oh, isn't there!' said Jane.	'Oh, isn't there!' said Jane.	true	1045.34	1047.27	21.621075
2577_157236_000106_000001	'That's all you know.'	'That's all you know.'	true	1047.27	1048.84	19.223394
2577_157236_000107_000000	'Little girl, don't be rude,' said Mrs Biddle, flushing violet.	'Little girl, don't be rude,' said Mrs Biddle, flushing violet.	true	1049.39	1053.52	20
2577_157236_000108_000000	'She doesn't mean to be; but there ARE some nice things there, all the same,' said Cyril; who suddenly felt how impossible it was to inform the listening crowd that all the treasures piled on the carpet were mother's contributions to the bazaar.	'She doesn't mean to be; but there ARE some nice things there, all the same,' said Cyril; who suddenly felt how impossible it was to inform the listening crowd that all the treasures piled on the carpet were mother's contributions to the bazaar.	true	1053.8	1067.44	19
2577_157236_000108_000001	No one would believe it; and if they did, and wrote to thank mother, she would think--well, goodness only knew what she would think.	No one would believe it; and if they did, and wrote to thank mother, she would think-well, goodness only knew what she would think.	true	1067.72	1075.42	20.456541
2577_157236_000108_000002	The other three children felt the same.	The other three children felt the same.	true	1075.43	1077.55	20
2577_157236_000109_000000	'I should like to see them,' said a very nice lady, whose friends had disappointed her, and who hoped that these might be belated contributions to her poorly furnished stall.	'I should like to see them,' said a very nice lady, whose friends had disappointed her, and who hoped that these might be belated contributions to her poorly furnished stall.	false	1078.46	1087.78	16
2577_157236_000110_000000	She looked inquiringly at Robert, who said, 'With pleasure, don't mention it,' and dived back under Mrs Biddle's stall.	She looked inquiringly at Robert, who said, 'With pleasure, don't mention it,' and dived back under Mrs Biddle's stall.	false	1088.21	1094.95	23.635872
2577_157236_000111_000000	'I wonder you encourage such behaviour,' said Mrs Biddle. 'I always speak my mind, as you know, Miss Peasmarsh; and, I must say, I am surprised.' She turned to the crowd.	'I wonder you encourage such behaviour,' said Mrs Biddle. 'I always speak my mind, as you know, Miss Peasmarsh; and, I must say, I am surprised.' She turned to the crowd.	true	1095.95	1106.19	18.44241
2577_157236_000111_000001	'There is no entertainment here,' she said sternly.	'There is no entertainment here,' she said sternly.	true	1106.19	1108.62	15
2577_157236_000111_000002	'A very naughty little boy has accidentally hurt himself, but only slightly.	'A very naughty little boy has accidentally hurt himself, but only slightly.	true	1108.62	1112.57	17
2577_157236_000111_000003	Will you please disperse?	Will you please disperse?	true	1112.57	1113.8	19
2577_157236_000111_000004	It will only encourage him in naughtiness if he finds himself the centre of attraction.'	It will only encourage him in naughtiness if he finds himself the centre of attraction.'	true	1113.8	1118.05	17
2577_157236_000112_000000	The crowd slowly dispersed.	The crowd slowly dispersed.	true	1119.11	1121.05	16.677095
2577_157236_000112_000001	Anthea, speechless with fury, heard a nice curate say, 'Poor little beggar!' and loved the curate at once and for ever.	Anthea, speechless with fury, heard a nice curate say, 'Poor little beggar!' and loved the curate at once and for ever.	true	1121.27	1129.48	19.3666
2577_157236_000113_000000	Then Robert wriggled out from under the stall with some Benares brass and some inlaid sandalwood boxes.	Then Robert wriggled out from under the stall with some Benares brass and some inlaid sandalwood boxes.	true	1129.82	1136.11	15
2577_157236_000114_000000	'Liberty!' cried Miss Peasmarsh.	'Liberty!' cried Miss Peasmarsh.	true	1136.3	1138.59	18
2577_157236_000114_000001	'Then Charles has not forgotten, after all.'	'Then Charles has not forgotten, after all.'	true	1138.59	1141.27	20.94032
2577_157236_000115_000000	'Excuse me,' said Mrs Biddle, with fierce politeness, 'these objects are deposited behind MY stall.	'Excuse me,' said Mrs Biddle, with fierce politeness, 'these objects are deposited behind MY stall.	true	1141.67	1148.59	17
2577_157236_000115_000001	Some unknown donor who does good by stealth, and would blush if he could hear you claim the things.	Some unknown donor who does good by stealth, and would blush if he could hear you claim the things.	false	1148.69	1154.5	20
2577_157236_000115_000002	Of course they are for me.'	Of course they are for me.'	true	1154.51	1156.18	23.098307
2577_157236_000116_000000	'My stall touches yours at the corner,' said poor Miss Peasmarsh, timidly, 'and my cousin did promise--'	'My stall touches yours at the corner,' said poor Miss Peasmarsh, timidly, 'and my cousin did promise-'	true	1157.06	1163.59	20.979626
2577_157236_000117_000000	The children sidled away from the unequal contest and mingled with the crowd.	The children sidled away from the unequal contest and mingled with the crowd.	true	1164.11	1168.44	16.435074
2577_157236_000117_000001	Their feelings were too deep for words--till at last Robert said--	Their feelings were too deep for words-till at last Robert said-	true	1168.44	1172.05	16
2577_157236_000118_000000	'That stiff-starched PIG!'	'That stiff starched PIG!'	true	1172.15	1174.54	21.372726
2577_157236_000119_000000	'And after all our trouble!	'And after all our trouble!	true	1175	1176.55	21.616957
2577_157236_000119_000001	I'm hoarse with gassing to that trousered lady in India.'	I'm hoarse with gassing to that trousered lady in India.'	true	1176.56	1179.94	20.686073
2577_157236_000120_000000	'The pig-lady's very, very nasty,' said Jane.	'The pig lady's very, very nasty,' said Jane.	true	1180.37	1183.72	18.182096
2577_157236_000121_000000	It was Anthea who said, in a hurried undertone, 'She isn't very nice, and Miss Peasmarsh is pretty and nice too.	It was Anthea who said, in a hurried undertone, 'She isn't very nice, and Miss Peasmarsh is pretty and nice too.	true	1183.97	1191.22	17
2577_157236_000121_000001	Who's got a pencil?'	Who's got a pencil?'	true	1191.23	1192.66	23.852636
2577_157236_000122_000000	It was a long crawl, under three stalls, but Anthea did it.	It was a long crawl, under three stalls, but Anthea did it.	true	1193.24	1197.1	19
2577_157236_000122_000001	A large piece of pale blue paper lay among the rubbish in the corner.	A large piece of pale blue paper lay among the rubbish in the corner.	true	1197.23	1201.15	16
2577_157236_000123_000000	She folded it to a square and wrote upon it, licking the pencil at every word to make it mark quite blackly: 'All these Indian things are for pretty, nice Miss Peasmarsh's stall.' She thought of adding, 'There is nothing for Mrs Biddle;' but she saw that this might lead to suspicion, so she wrote hastily: 'From an unknown donna,' and crept back among the boards and trestles to join the others.	She folded it to a square and wrote upon it, licking the pencil at every word to make it mark quite blackly: 'All these Indian things are for pretty, nice Miss Peasmarsh's stall.' She thought of adding, 'There is nothing for Mrs Biddle;' but she saw that this might lead to suspicion, so she wrote hastily: 'From an unknown donna,' and crept back among the boards and trestles to join the others.	false	1201.79	1226.02	20.673445
2577_157236_000124_000000	So that when Mrs Biddle appealed to the bazaar committee, and the corner of the stall was lifted and shifted, so that stout clergymen and heavy ladies could get to the corner without creeping under stalls, the blue paper was discovered, and all the splendid, shining Indian things were given over to Miss Peasmarsh, and she sold them all, and got thirty-five pounds for them.	So that when Mrs Biddle appealed to the bazaar committee, and the corner of the stall was lifted and shifted, so that stout clergymen and heavy ladies could get to the corner without creeping under stalls, the blue paper was discovered, and all the splendid, shining Indian things were given over to Miss Peasmarsh, and she sold them all, and got thirty five pounds for them.	true	1226.66	1247.35	17
2577_157236_000125_000000	'I don't understand about that blue paper,' said Mrs Biddle. 'It looks to me like the work of a lunatic.	'I don't understand about that blue paper,' said Mrs Biddle. 'It looks to me like the work of a lunatic.	true	1247.81	1253.77	20.825996
2577_157236_000125_000001	And saying you were nice and pretty! It's not the work of a sane person.'	And saying you were nice and pretty! It's not the work of a sane person.'	true	1253.81	1259.02	18.2586
2577_157236_000126_000000	Anthea and Jane begged Miss Peasmarsh to let them help her to sell the things, because it was their brother who had announced the good news that the things had come.	Anthea and Jane begged Miss Peasmarsh to let them help her to sell the things, because it was their brother who had announced the good news that the things had come.	true	1259.06	1267.3	19
2577_157236_000126_000001	Miss Peasmarsh was very willing, for now her stall, that had been SO neglected, was surrounded by people who wanted to buy, and she was glad to be helped.	Miss Peasmarsh was very willing, for now her stall, that had been SO neglected, was surrounded by people who wanted to buy, and she was glad to be helped.	true	1267.67	1276.54	20
2577_157236_000126_000002	The children noted that Mrs Biddle had not more to do in the way of selling than she could manage quite well.	The children noted that Mrs Biddle had not more to do in the way of selling than she could manage quite well.	true	1276.7	1282.33	15
2577_157236_000126_000003	I hope they were not glad--for you should forgive your enemies, even if they walk on your hands and then say it is all your naughty fault.	I hope they were not glad-for you should forgive your enemies, even if they walk on your hands and then say it is all your naughty fault.	true	1282.76	1289.89	16
2577_157236_000126_000004	But I am afraid they were not so sorry as they ought to have been.	But I am afraid they were not so sorry as they ought to have been.	true	1290.14	1293.52	20.705101
2577_157236_000127_000000	It took some time to arrange the things on the stall.	It took some time to arrange the things on the stall.	true	1294.82	1297.6	20
2577_157236_000127_000001	The carpet was spread over it, and the dark colours showed up the brass and silver and ivory things.	The carpet was spread over it, and the dark colours showed up the brass and silver and ivory things.	true	1297.88	1303.39	18
2577_157236_000127_000002	It was a happy and busy afternoon, and when Miss Peasmarsh and the girls had sold every single one of the little pretty things from the Indian bazaar, far, far away, Anthea and Jane went off with the boys to fish in the fishpond, and dive into the bran-pie, and hear the cardboard band, and the phonograph, and the chorus of singing birds that was done behind a screen with glass tubes and glasses of water.	It was a happy and busy afternoon, and when Miss Peasmarsh and the girls had sold every single one of the little pretty things from the Indian bazaar, far, far away, Anthea and Jane went off with the boys to fish in the fishpond, and dive into the bran pie, and hear the cardboard band, and the phonograph, and the chorus of singing birds that was done behind a screen with glass tubes and glasses of water.	false	1303.64	1325.29	18
2577_157236_000128_000000	They had a beautiful tea, suddenly presented to them by the nice curate, and Miss Peasmarsh joined them before they had had more than three cakes each.	They had a beautiful tea, suddenly presented to them by the nice curate, and Miss Peasmarsh joined them before they had had more than three cakes each.	true	1325.96	1334.14	18
2577_157236_000128_000001	It was a merry party, and the curate was extremely pleasant to every one, 'even to Miss Peasmarsh,' as Jane said afterwards.	It was a merry party, and the curate was extremely pleasant to every one, 'even to Miss Peasmarsh,' as Jane said afterwards.	false	1334.18	1341.37	19
2577_157236_000129_000000	'We ought to get back to the stall,' said Anthea, when no one could possibly eat any more, and the curate was talking in a low voice to Miss Peas marsh about 'after Easter'.	'We ought to get back to the stall,' said Anthea, when no one could possibly eat any more, and the curate was talking in a low voice to Miss Peas marsh about 'after Easter'.	true	1342.37	1351.6	16
2577_157236_000130_000000	'There's nothing to go back for,' said Miss Peasmarsh gaily; 'thanks to you dear children we've sold everything.'	'There's nothing to go back for,' said Miss Peasmarsh gaily; 'thanks to you dear children we've sold everything.'	true	1352.15	1358.49	22
2577_157236_000131_000000	'There--there's the carpet,' said Cyril.	'There-there's the carpet,' said Cyril.	false	1358.49	1361.95	23.081629
2577_157236_000132_000000	'Oh,' said Miss Peasmarsh, radiantly, 'don't bother about the carpet. I've sold even that.	'Oh,' said Miss Peasmarsh, radiantly, 'don't bother about the carpet. I've sold even that.	true	1362.14	1367.53	20.96613
2577_157236_000132_000001	Mrs Biddle gave me ten shillings for it.	Mrs Biddle gave me ten shillings for it.	true	1367.6	1370.08	19
2577_157236_000132_000002	She said it would do for her servant's bedroom.'	She said it would do for her servant's bedroom.'	false	1370.12	1372.54	17.884491
2577_157236_000133_000000	'Why,' said Jane, 'her servants don't HAVE carpets.	'Why,' said Jane, 'her servants don't HAVE carpets.	true	1372.67	1376.27	19.18236
2577_157236_000133_000001	We had cook from her, and she told us so.'	We had cook from her, and she told us so.'	true	1376.27	1378.72	22
2577_157236_000134_000000	'No scandal about Queen Elizabeth, if YOU please,' said the curate, cheerfully; and Miss Peasmarsh laughed, and looked at him as though she had never dreamed that any one COULD be so amusing.	'No scandal about Queen Elizabeth, if YOU please,' said the curate, cheerfully; and Miss Peasmarsh laughed, and looked at him as though she had never dreamed that any one COULD be so amusing.	true	1379	1390.33	18
2577_157236_000134_000001	But the others were struck dumb.	But the others were struck dumb.	true	1390.49	1392.43	20
2577_157236_000134_000002	How could they say, 'The carpet is ours!' For who brings carpets to bazaars?	How could they say, 'The carpet is ours!' For who brings carpets to bazaars?	true	1392.47	1397.74	21.133541
2577_157236_000135_000000	The children were now thoroughly wretched.	The children were now thoroughly wretched.	true	1398.5	1400.95	19.738401
2577_157236_000135_000001	But I am glad to say that their wretchedness did not make them forget their manners, as it does sometimes, even with grown-up people, who ought to know ever so much better.	But I am glad to say that their wretchedness did not make them forget their manners, as it does sometimes, even with grown up people, who ought to know ever so much better.	true	1401.02	1410.07	18
2577_157236_000136_000000	They said, 'Thank you very much for the jolly tea,' and 'Thanks for being so jolly,' and 'Thanks awfully for giving us such a jolly time;' for the curate had stood fish-ponds, and bran-pies, and phonographs, and the chorus of singing birds, and had stood them like a man.	They said, 'Thank you very much for the jolly tea,' and 'Thanks for being so jolly,' and 'Thanks awfully for giving us such a jolly time;' for the curate had stood fish ponds, and bran pies, and phonographs, and the chorus of singing birds, and had stood them like a man.	false	1410.35	1426.74	15
2577_157236_000136_000001	The girls hugged Miss Peasmarsh, and as they went away they heard the curate say--	The girls hugged Miss Peasmarsh, and as they went away they heard the curate say-	true	1426.74	1431.1	13
2577_157236_000137_000000	'Jolly little kids, yes, but what about--you will let it be directly after Easter.	'Jolly little kids, yes, but what about-you will let it be directly after Easter.	false	1431.11	1436.31	16
2577_157236_000137_000001	Ah, do say you will--'	Ah, do say you will-'	false	1436.31	1438.18	14
2577_157236_000138_000000	And Jane ran back and said, before Anthea could drag her away, 'What are you going to do after Easter?'	And Jane ran back and said, before Anthea could drag her away, 'What are you going to do after Easter?'	true	1438.82	1444.75	16
2577_157236_000139_000000	Miss Peasmarsh smiled and looked very pretty indeed.	Miss Peasmarsh smiled and looked very pretty indeed.	true	1445.09	1448.29	14
2577_157236_000139_000001	And the curate said--	And the curate said-	true	1448.3	1449.7	12
2577_157236_000140_000000	'I hope I am going to take a trip to the Fortunate Islands.'	'I hope I am going to take a trip to the Fortunate Islands.'	true	1450.04	1453.54	15
2577_157236_000141_000000	'I wish we could take you on the wishing carpet,' said Jane.	'I wish we could take you on the wishing carpet,' said Jane.	true	1454	1457.32	14
2577_157236_000142_000000	'Thank you,' said the curate, 'but I'm afraid I can't wait for that.	'Thank you,' said the curate, 'but I'm afraid I can't wait for that.	true	1457.57	1460.77	16
2577_157236_000142_000001	I must go to the Fortunate Islands before they make me a bishop.	I must go to the Fortunate Islands before they make me a bishop.	true	1460.78	1464.05	15
2577_157236_000142_000002	I should have no time afterwards.'	I should have no time afterwards.'	true	1464.05	1466.05	16
2577_157236_000143_000000	'I've always thought I should marry a bishop,' said Jane: 'his aprons would come in so useful.	'I've always thought I should marry a bishop,' said Jane: 'his aprons would come in so useful.	false	1466.51	1472.17	15
2577_157236_000143_000001	Wouldn't YOU like to marry a bishop, Miss Peasmarsh?'	Wouldn't YOU like to marry a bishop, Miss Peasmarsh?'	true	1472.36	1475.53	16
2577_157236_000144_000000	It was then that they dragged her away.	It was then that they dragged her away.	true	1475.66	1477.87	21
2577_157236_000145_000000	As it was Robert's hand that Mrs Biddle had walked on, it was decided that he had better not recall the incident to her mind, and so make her angry again.	As it was Robert's hand that Mrs Biddle had walked on, it was decided that he had better not recall the incident to her mind, and so make her angry again.	true	1478.27	1487.26	12
2577_157236_000145_000001	Anthea and Jane had helped to sell things at the rival stall, so they were not likely to be popular.	Anthea and Jane had helped to sell things at the rival stall, so they were not likely to be popular.	false	1487.42	1493.2	13
2577_157236_000146_000000	A hasty council of four decided that Mrs Biddle would hate Cyril less than she would hate the others, so the others mingled with the crowd, and it was he who said to her--	A hasty council of four decided that Mrs Biddle would hate Cyril less than she would hate the others, so the others mingled with the crowd, and it was he who said to her-	true	1493.48	1502.08	11
2577_157236_000147_000000	'Mrs Biddle, WE meant to have that carpet.	'Mrs Biddle, WE meant to have that carpet.	true	1502.42	1505.82	20
2577_157236_000147_000001	Would you sell it to us?	Would you sell it to us?	true	1505.82	1507.24	12
2577_157236_000147_000002	We would give you--'	We would give you-'	true	1507.24	1508.35	13
2577_157236_000148_000000	'Certainly not,' said Mrs Biddle.	'Certainly not,' said Mrs Biddle.	true	1508.36	1510.45	17.684834
2577_157236_000148_000001	'Go away, little boy.'	'Go away, little boy.'	true	1510.45	1512.16	16.65496
2577_157236_000149_000000	There was that in her tone which showed Cyril, all too plainly, the hopelessness of persuasion.	There was that in her tone which showed Cyril, all too plainly, the hopelessness of persuasion.	true	1512.56	1517.74	11
2577_157236_000149_000001	He found the others and said--	He found the others and said-	true	1517.93	1519.78	20.16091
2577_157236_000150_000000	'It's no use; she's like a lioness robbed of its puppies.	'It's no use; she's like a lioness robbed of its puppies.	true	1520.36	1523.8	13
2577_157236_000150_000001	We must watch where it goes--and--Anthea, I don't care what you say.	We must watch where it goes-and-Anthea, I don't care what you say.	true	1523.96	1528.32	15
2577_157236_000150_000002	It's our own carpet.	It's our own carpet.	true	1528.32	1529.43	17
2577_157236_000150_000003	It wouldn't be burglary.	It wouldn't be burglary.	true	1529.43	1531.01	18
2577_157236_000150_000004	It would be a sort of forlorn hope rescue party--heroic and daring and dashing, and not wrong at all.'	It would be a sort of forlorn hope rescue party-heroic and daring and dashing, and not wrong at all.'	true	1531.01	1537.03	15
2577_157236_000151_000000	The children still wandered among the gay crowd--but there was no pleasure there for them any more.	The children still wandered among the gay crowd-but there was no pleasure there for them any more.	true	1537.79	1542.58	9
2577_157236_000151_000001	The chorus of singing birds sounded just like glass tubes being blown through water, and the phonograph simply made a horrid noise, so that you could hardly hear yourself speak.	The chorus of singing birds sounded just like glass tubes being blown through water, and the phonograph simply made a horrid noise, so that you could hardly hear yourself speak.	true	1542.74	1551.76	12
2577_157236_000151_000002	And the people were buying things they couldn't possibly want, and it all seemed very stupid.	And the people were buying things they couldn't possibly want, and it all seemed very stupid.	true	1552.01	1557.25	15
2577_157236_000151_000003	And Mrs Biddle had bought the wishing carpet for ten shillings.	And Mrs Biddle had bought the wishing carpet for ten shillings.	true	1557.47	1561.3	13
2577_157236_000151_000004	And the whole of life was sad and grey and dusty, and smelt of slight gas escapes, and hot people, and cake and crumbs, and all the children were very tired indeed.	And the whole of life was sad and grey and dusty, and smelt of slight gas escapes, and hot people, and cake and crumbs, and all the children were very tired indeed.	true	1561.37	1573.21	15
2577_157236_000152_000000	They found a corner within sight of the carpet, and there they waited miserably, till it was far beyond their proper bedtime.	They found a corner within sight of the carpet, and there they waited miserably, till it was far beyond their proper bedtime.	true	1573.76	1579.63	12
2577_157236_000152_000001	And when it was ten the people who had bought things went away, but the people who had been selling stayed to count up their money.	And when it was ten the people who had bought things went away, but the people who had been selling stayed to count up their money.	true	1579.88	1585.54	12
2577_157236_000153_000000	'And to jaw about it,' said Robert. 'I'll never go to another bazaar as long as ever I live.	'And to jaw about it,' said Robert. 'I'll never go to another bazaar as long as ever I live.	false	1585.67	1591.15	15
2577_157236_000153_000001	My hand is swollen as big as a pudding.	My hand is swollen as big as a pudding.	true	1591.15	1593.33	11
2577_157236_000153_000002	I expect the nails in her horrible boots were poisoned.'	I expect the nails in her horrible boots were poisoned.'	true	1593.33	1596.55	15
2577_157236_000154_000000	Just then some one who seemed to have a right to interfere said--	Just then some one who seemed to have a right to interfere said-	true	1597.52	1600.87	12
2577_157236_000155_000000	'Everything is over now; you had better go home.'	'Everything is over now; you had better go home.'	true	1600.91	1603.6	16
2577_157236_000156_000000	So they went.	So they went.	false	1603.79	1605.66	19.634384
2577_157236_000156_000001	And then they waited on the pavement under the gas lamp, where ragged children had been standing all the evening to listen to the band, and their feet slipped about in the greasy mud till Mrs Biddle came out and was driven away in a cab with the many things she hadn't sold, and the few things she had bought--among others the carpet.	And then they waited on the pavement under the gas lamp, where ragged children had been standing all the evening to listen to the band, and their feet slipped about in the greasy mud till Mrs Biddle came out and was driven away in a cab with the many things she hadn't sold, and the few things she had bought-among others the carpet.	false	1605.66	1623.1	13
2577_157236_000156_000002	The other stall-holders left their things at the school till Monday morning, but Mrs Biddle was afraid some one would steal some of them, so she took them in a cab.	The other stall holders left their things at the school till Monday morning, but Mrs Biddle was afraid some one would steal some of them, so she took them in a cab.	true	1623.62	1632.04	12
2577_157236_000157_000000	The children, now too desperate to care for mud or appearances, hung on behind the cab till it reached Mrs Biddle's house.	The children, now too desperate to care for mud or appearances, hung on behind the cab till it reached Mrs Biddle's house.	true	1632.56	1640.23	17
2577_157236_000157_000001	When she and the carpet had gone in and the door was shut Anthea said--	When she and the carpet had gone in and the door was shut Anthea said-	false	1640.6	1645.3	16
2577_157236_000158_000000	'Don't let's burgle--I mean do daring and dashing rescue acts--till we've given her a chance.	'Don't let's burgle-I mean do daring and dashing rescue acts-till we've given her a chance.	true	1645.46	1652.5	20.665346
2577_157236_000158_000001	Let's ring and ask to see her.'	Let's ring and ask to see her.'	true	1652.51	1654.48	18.823538
2577_157236_000159_000000	The others hated to do this, but at last they agreed, on condition that Anthea would not make any silly fuss about the burglary afterwards, if it really had to come to that.	The others hated to do this, but at last they agreed, on condition that Anthea would not make any silly fuss about the burglary afterwards, if it really had to come to that.	true	1655.72	1665.25	14
2577_157236_000160_000000	So they knocked and rang, and a scared-looking parlourmaid opened the front door.	So they knocked and rang, and a scared looking parlourmaid opened the front door.	true	1666.13	1670.68	16
2577_157236_000160_000001	While they were asking for Mrs Biddle they saw her.	While they were asking for Mrs Biddle they saw her.	true	1670.99	1673.98	19
2577_157236_000160_000002	She was in the dining-room, and she had already pushed back the table and spread out the carpet to see how it looked on the floor.	She was in the dining room, and she had already pushed back the table and spread out the carpet to see how it looked on the floor.	true	1674.11	1680.4	17
2577_157236_000161_000000	'I knew she didn't want it for her servants' bedroom,' Jane muttered.	'I knew she didn't want it for her servants' bedroom,' Jane muttered.	true	1681.52	1685.5	16.687445
2577_157236_000162_000000	Anthea walked straight past the uncomfortable parlourmaid, and the others followed her.	Anthea walked straight past the uncomfortable parlourmaid, and the others followed her.	true	1686.44	1691.62	17
2577_157236_000162_000001	Mrs Biddle had her back to them, and was smoothing down the carpet with the same boot that had trampled on the hand of Robert.	Mrs Biddle had her back to them, and was smoothing down the carpet with the same boot that had trampled on the hand of Robert.	true	1691.78	1698.13	14
2577_157236_000162_000002	So that they were all in the room, and Cyril, with great presence of mind, had shut the room door before she saw them.	So that they were all in the room, and Cyril, with great presence of mind, had shut the room door before she saw them.	false	1698.59	1704.97	15
2577_157236_000163_000000	'Who is it, Jane?' she asked in a sour voice; and then turning suddenly, she saw who it was.	'Who is it, Jane?' she asked in a sour voice; and then turning suddenly, she saw who it was.	false	1706.12	1712.29	18
2577_157236_000163_000001	Once more her face grew violet--a deep, dark violet. 'You wicked daring little things!' she cried, 'how dare you come here? At this time of night, too.	Once more her face grew violet-a deep, dark violet. 'You wicked daring little things!' she cried, 'how dare you come here? At this time of night, too.	false	1712.57	1723.71	20.551039
