7594_81881_000000_000000	"Poor boy," she murmured.	"Poor boy," she murmured.	false	0	1.26	21.424059
7594_81881_000068_000003	He had their sympathy at once.	He had their sympathy at once.	true	1033.1	1035.22	19.282507
7594_81881_000068_000004	But it has broken him.	But it has broken him.	true	1035.83	1037.47	22.165173
7594_81881_000068_000005	I'm afraid he'll never be the same man again.	I'm afraid he'll never be the same man again.	true	1037.93	1040.62	17.852482
7594_81881_000068_000006	After all these years it's dreadful."	After all these years it's dreadful."	true	1040.81	1043.38	17.636906
7594_81881_000069_000000	"It's all that's damnable.	"It's all that's damnable.	true	1044.95	1046.68	20.902058
7594_81881_000069_000001	It's tragic.	It's tragic.	true	1046.68	1048.09	21.97476
7594_81881_000069_000002	Give him my love and tell him that words can't express my sorrow and indignation."	Give him my love and tell him that words can't express my sorrow and indignation."	true	1048.28	1053.91	18.799833
7594_81881_000070_000000	He rang off.	He rang off.	true	1054.34	1055.65	20.700857
7594_81881_000070_000001	Almost immediately Wilson was announced.	Almost immediately Wilson was announced.	true	1055.69	1058.17	20.08087
7594_81881_000070_000002	He came into the room radiant.	He came into the room radiant.	true	1058.17	1060.12	21.455112
7594_81881_000071_000000	"You were right about the divine common-sensicality," said he.	"You were right about the divine common sensicality," said he.	true	1060.94	1065.16	20.757298
7594_81881_000071_000001	"The Lord has delivered our adversary into our hands with a vengeance."	"The Lord has delivered our adversary into our hands with a vengeance."	true	1065.8	1070.14	17
7594_81881_000072_000000	He was a chubby little man of forty, with coarse black hair and scrubby moustache, not of the type that readily appreciates the delicacies of a situation.	He was a chubby little man of forty, with coarse black hair and scrubby moustache, not of the type that readily appreciates the delicacies of a situation.	true	1070.99	1082.92	21.581476
7594_81881_000072_000001	Paul conceived a sudden loathing for him.	Paul conceived a sudden loathing for him.	true	1083.62	1086.52	19.73383
7594_81881_000073_000000	"I would give anything for it not to have happened," he said.	"I would give anything for it not to have happened," he said.	true	1087.25	1091.05	22.533937
7594_81881_000074_000000	Wilson opened his eyes.	Wilson opened his eyes.	true	1091.69	1093.63	23.535982
7594_81881_000074_000001	"Why?	"Why?	true	1093.79	1094.8	18.205168
7594_81881_000074_000002	It's our salvation.	It's our salvation.	true	1094.81	1096.52	17.946854
7594_81881_000074_000003	An ex-convict--it's enough to damn any candidate.	An ex convict-it's enough to damn any candidate.	true	1096.52	1100.41	23.2308
7594_81881_000074_000004	But we want to make sure.	But we want to make sure.	true	1100.63	1102.35	24.172905
7594_81881_000074_000005	Now I've got an idea."	Now I've got an idea."	true	1102.35	1104.07	21.616346
7594_81881_000075_000000	Paul turned on him angrily.	Paul turned on him angrily.	true	1104.38	1106.59	20.83935
7594_81881_000075_000001	"I'll have no capital made out of it whatsoever.	"I'll have no capital made out of it whatsoever.	true	1106.87	1110.46	20
7594_81881_000075_000002	It's a foul thing to bring such an accusation up against a man who has lived a spotless life for thirty years.	It's a foul thing to bring such an accusation up against a man who has lived a spotless life for thirty years.	true	1110.47	1118.68	20
7594_81881_000075_000003	Everything in me goes out in sympathy with him, and I'll let it be known all through the constituency."	Everything in me goes out in sympathy with him, and I'll let it be known all through the constituency."	false	1118.96	1125.61	21.267668
7594_81881_000076_000000	"If you take it that way," said Wilson, "there's no more to be done."	"If you take it that way," said Wilson, "there's no more to be done."	false	1126.85	1132.17	23.184221
7594_81881_000077_000000	"There's nothing to be done, except to find out who put up the man to make the announcement."	"There's nothing to be done, except to find out who put up the man to make the announcement."	true	1132.17	1137.64	24.227455
7594_81881_000078_000000	"He did it on his own," Wilson replied warmly.	"He did it on his own," Wilson replied warmly.	true	1139.15	1142.29	21.905659
7594_81881_000078_000001	"None of our people would resort to a dirty trick like that."	"None of our people would resort to a dirty trick like that."	true	1142.39	1145.92	20.868492
7594_81881_000079_000000	"And yet you want me to take advantage of it now it's done."	"And yet you want me to take advantage of it now it's done."	true	1147.34	1150.84	19
7594_81881_000080_000000	"That's quite a different matter."	"That's quite a different matter."	true	1151.69	1153.54	22.497057
7594_81881_000081_000000	"I can't see much difference," said Paul.	"I can't see much difference," said Paul.	true	1154.03	1157.02	22.897417
7594_81881_000082_000000	So Wilson, seeing that his candidate was more unmanageable than ever, presently departed, and Paul sat down to breakfast.	So Wilson, seeing that his candidate was more unmanageable than ever, presently departed, and Paul sat down to breakfast.	true	1158.29	1166.8	18.19944
7594_81881_000082_000001	But he could not eat.	But he could not eat.	true	1167.2	1168.78	24.186148
7594_81881_000082_000002	He was both stricken with shame and moved to the depths by immense pity.	He was both stricken with shame and moved to the depths by immense pity.	true	1168.94	1173.85	21.314787
7594_81881_000082_000003	Far removed from him as Silas Finn was in mode of life and ideals, he found much in common with his father.	Far removed from him as Silas Finn was in mode of life and ideals, he found much in common with his father.	false	1174.07	1181.89	19.432049
7594_81881_000082_000004	Each had made his way from the slum, each had been guided by an inner light--was Silas Finn's fantastic belief less of an ignis fatuus than his own?--each had sought to get away from a past, each was a child of Ishmael, each, in his own way, had lived romantically.	Each had made his way from the slum, each had been guided by an inner light-was Silas Finn's fantastic belief less of an ignis fatuus than his own?--each had sought to get away from a past, each was a child of Ishmael, each, in his own way, had lived romantically.	true	1182.71	1203.31	20.827156
7594_81881_000082_000005	Whatever resentment against his father lingered in his heart now melted away.	Whatever resentment against his father lingered in his heart now melted away.	true	1204.49	1209.4	17
7594_81881_000082_000006	He was very near him.	He was very near him.	true	1210.01	1211.68	21.748531
7594_81881_000082_000007	The shame of the prison struck him as it had struck the old man.	The shame of the prison struck him as it had struck the old man.	true	1211.9	1216.15	21
7594_81881_000082_000008	He saw him bowed down under the blow, and he clenched his hands in a torture of anger and indignation.	He saw him bowed down under the blow, and he clenched his hands in a torture of anger and indignation.	true	1216.58	1223.68	20
7594_81881_000082_000009	And to crown all, came the intolerable conviction, in the formation of which Wilson's triumphant words had not been necessary, that if he won the election it would be due to this public dishonouring of his own father.	And to crown all, came the intolerable conviction, in the formation of which Wilson's triumphant words had not been necessary, that if he won the election it would be due to this public dishonouring of his own father.	true	1224.29	1239.43	20.275537
7594_81881_000082_000010	He walked about the room in despair, and at last halted before the mantelpiece on which still stood the photograph of the Princess in its silver frame.	He walked about the room in despair, and at last halted before the mantelpiece on which still stood the photograph of the Princess in its silver frame.	true	1240.22	1249.81	23.378014
7594_81881_000082_000011	Suddenly he remembered that he had not told her of this incident in his family history.	Suddenly he remembered that he had not told her of this incident in his family history.	true	1250.3	1256.56	21.19845
7594_81881_000082_000012	She too would be reading her newspaper this morning.	She too would be reading her newspaper this morning.	true	1256.84	1259.86	19.005873
7594_81881_000082_000013	He saw her proud lips curl.	He saw her proud lips curl.	true	1260.26	1262.59	22.746832
7594_81881_000082_000014	The son of a gaol-bird!	The son of a gaol bird!	true	1262.99	1264.54	17.487993
7594_81881_000082_000015	He tore the photograph from its frame and threw it into the fire and watched it burn.	He tore the photograph from its frame and threw it into the fire and watched it burn.	true	1265.36	1270.54	20.636919
7594_81881_000082_000016	As the paper writhed under the heat, the lips seemed to twist into sad reproach.	As the paper writhed under the heat, the lips seemed to twist into sad reproach.	false	1271.15	1276.72	19.729723
7594_81881_000082_000017	He turned away impatiently.	He turned away impatiently.	true	1277	1279	18
7594_81881_000082_000018	That romantic madness was over and done with.	That romantic madness was over and done with.	true	1279.22	1282.15	19.285646
7594_81881_000082_000019	He had far sterner things to do than shriek his heart out over a woman in an alien star.	He had far sterner things to do than shriek his heart out over a woman in an alien star.	true	1282.37	1288.51	20.401527
7594_81881_000082_000020	He had his life to reconstruct in the darkness threatening and mocking; but at last he had truth for a foundation; on that he would build in defiance of the world.	He had his life to reconstruct in the darkness threatening and mocking; but at last he had truth for a foundation; on that he would build in defiance of the world.	true	1289.66	1301.74	21.839102
7594_81881_000083_000000	In the midst of these fine thoughts it occurred to him that he had hidden the prison episode in his father's career from the Winwoods as well as from the Princess.	In the midst of these fine thoughts it occurred to him that he had hidden the prison episode in his father's career from the Winwoods as well as from the Princess.	true	1303.82	1313.41	20
7594_81881_000083_000001	His cheeks flushed; it was one more strain on the loyalty of these dear devoted friends.	His cheeks flushed; it was one more strain on the loyalty of these dear devoted friends.	false	1314.5	1321.36	20.267075
7594_81881_000083_000002	He went downstairs, and found the Colonel and Miss Winwood in the dining-room.	He went downstairs, and found the Colonel and Miss Winwood in the dining room.	true	1321.7	1327.09	21.20818
7594_81881_000083_000003	Their faces were grave.	Their faces were grave.	true	1327.37	1329.22	21.382658
7594_81881_000083_000004	He came to them with outstretched arms--a familiar gesture, one doubtless inherited from his Sicilian ancestry.	He came to them with outstretched arms-a familiar gesture, one doubtless inherited from his Sicilian ancestry.	true	1329.95	1337.65	20.344551
7594_81881_000084_000000	"You see what has happened.	"You see what has happened.	true	1339.34	1340.98	17.970024
7594_81881_000084_000001	I knew all the time.	I knew all the time.	true	1341.98	1343.68	17.652863
7594_81881_000084_000002	I didn't tell you.	I didn't tell you.	true	1343.87	1345.27	22.32072
7594_81881_000084_000003	You must forgive me."	You must forgive me."	true	1345.7	1347.34	20.510271
7594_81881_000085_000000	"I don't blame you, my boy," said Colonel Winwood.	"I don't blame you, my boy," said Colonel Winwood.	true	1348.52	1351.81	23.755152
7594_81881_000085_000001	"It was your father's secret.	"It was your father's secret.	true	1352.9	1354.47	17.775387
7594_81881_000085_000002	You had no right to tell us."	You had no right to tell us."	true	1354.47	1356.25	21.622639
7594_81881_000086_000000	"We're very grieved, dear, for both your sakes," Ursula added.	"We're very grieved, dear, for both your sakes," Ursula added.	true	1357.97	1362.37	19.029394
7594_81881_000086_000001	"James has taken the liberty of sending round a message of sympathy."	"james has taken the liberty of sending round a message of sympathy."	true	1362.68	1366.69	18
7594_81881_000087_000000	As ever, these two had gone a point beyond his anticipation of their loyalty.	As ever, these two had gone a point beyond his anticipation of their loyalty.	false	1367.66	1372.96	20
7594_81881_000087_000001	He thanked them simply.	He thanked them simply.	true	1373.03	1374.79	20.286692
7594_81881_000088_000000	"It's hateful," said he, "to think I may win the election on account of this.	"It's hateful," said he, "to think I may win the election on account of this.	true	1375.49	1381.04	21.940975
7594_81881_000088_000001	It's loathsome." He shuddered.	It's loathsome." He shuddered.	true	1381.04	1383.22	24.464
7594_81881_000089_000000	"I quite agree with you," said the Colonel.	"I quite agree with you," said the Colonel.	true	1383.95	1386.37	24.626062
7594_81881_000089_000001	"But in politics one has often to put up with hateful things in order to serve one's country. That's the sacrifice a high-minded man is called upon to make."	"But in politics one has often to put up with hateful things in order to serve one's country. That's the sacrifice a high minded man is called upon to make."	true	1386.56	1397.23	20.669271
7594_81881_000090_000000	"Besides," said Miss Winwood, "let us hope it won't affect votes.	"Besides," said Miss Winwood, "let us hope it won't affect votes.	true	1397.72	1402.96	21.65449
7594_81881_000090_000001	All the papers say that the vote of confidence was passed amid scenes of enthusiasm."	All the papers say that the vote of confidence was passed amid scenes of enthusiasm."	true	1403.27	1408.57	22.170668
7594_81881_000091_000000	Paul smiled.	Paul smiled.	true	1409.51	1410.82	19.72434
7594_81881_000091_000001	They understood.	They understood.	true	1410.98	1412.41	25.244894
7594_81881_000091_000002	A little while later they drove off with him to his committee room in the motor car gay with his colours.	A little while later they drove off with him to his committee room in the motor car gay with his colours.	true	1412.87	1419.97	21.431927
7594_81881_000091_000003	There was still much to be done that day.	There was still much to be done that day.	false	1420.7	1433.94	20.345957
