8195_117382_000000_000000	Chapter 2	Chapter two	false	0.6	16.47	23.430038
8195_117382_000034_000003	Did you ever see jest quite such fine fringy willers? An' you wait a little, an' the flowerin' mallows 'at grows long the shinin' old river are fine as garden hollyhocks.	Did you ever see jest quite such fine fringy willers? An' you wait a little, an' the flowerin' mallows 'at grows long the shinin' old river are fine as garden hollyhocks.	false	1147.99	1163.62	21.655014
8195_117382_000034_000004	Maria says 'at thy'd be purtier 'an hers if they were only double; but, Lord, Mr. Redbird, they are!	Maria says 'at thy'd be purtier 'an hers if they were only double; but, Lord, mr Redbird, they are!	false	1164.17	1173.55	20.18913
8195_117382_000034_000005	See 'em once on the bank, an' agin in the water!	See 'em once on the bank, an' agin in the water!	false	1174.07	1177.35	21.172533
8195_117382_000034_000006	An' back a little an' there's jest thickets of papaw, an' thorns, an' wild grape-vines, an' crab, an' red an' black haw, an' dogwood, an' sumac, an' spicebush, an' trees!	An' back a little an' there's jest thickets of papaw, an' thorns, an' wild grape vines, an' crab, an' red an' black haw, an' dogwood, an' sumac, an' spicebush, an' trees!	false	1177.35	1193.32	22.247362
8195_117382_000034_000007	Lord!	Lord!	true	1193.9	1194.6	13.557396
8195_117382_000034_000008	Mr. Redbird, the sycamores, an' maples, an' tulip, an' ash, an' elm trees are so bustin' fine 'long the old Wabash they put 'em into poetry books an' sing songs about 'em.	mr Redbird, the sycamores, an' maples, an' tulip, an' ash, an' elm trees are so bustin' fine 'long the old Wabash they put 'em into poetry books an' sing songs about 'em.	false	1194.6	1210.77	19.886192
8195_117382_000034_000009	What do you think o' that?	What do you think o' that?	false	1210.77	1212.15	23.68908
8195_117382_000034_000010	Jest back o' you a little there's a sycamore split into five trunks, any one o' them a famous big tree, tops up 'mong the clouds, an' roots diggin' under the old river; an' over a little farther's a maple 'at's eight big trees in one.	Jest back o' you a little there's a sycamore split into five trunks, any one o' them a famous big tree, tops up 'mong the clouds, an' roots diggin' under the old river; an' over a little farther's a maple 'at's eight big trees in one.	false	1212.15	1232.11	21.245872
8195_117382_000034_000011	Most anything you can name, you can find it 'long this ole Wabash, if you only know where to hunt for it.	Most anything you can name, you can find it 'long this ole Wabash, if you only know where to hunt for it.	true	1233.2	1241.55	20.99157
8195_117382_000035_000000	"They's mighty few white men takes the trouble to look, but the Indians used to know.	"They's mighty few white men takes the trouble to look, but the Indians used to know.	false	1241.55	1248.52	20.1117
8195_117382_000035_000001	They'd come canoein' an' fishin' down the river an' camp under these very trees, an' Ma 'ud git so mad at the old squaws. Settlers wasn't so thick then, an' you had to be mighty careful not to rile 'em, an' they'd come a-trapesin' with their wild berries.	They'd come canoein' an' fishin' down the river an' camp under these very trees, an' Ma 'u d git so mad at the old squaws. Settlers wasn't so thick then, an' you had to be mighty careful not to rile 'em, an' they'd come a trapesin' with their wild berries.	false	1249.07	1269.24	20.86928
8195_117382_000035_000002	Woods full o' berries!	Woods full o' berries!	false	1269.24	1272.11	16.537788
8195_117382_000035_000003	Anybody could get 'em by the bushel for the pickin', an' we hadn't got on to raisin' much wheat, an' had to carry it on horses over into Ohio to get it milled.	Anybody could get 'em by the bushel for the pickin', an' we hadn't got on to raisin' much wheat, an' had to carry it on horses over into Ohio to get it milled.	false	1272.11	1283.5	19.615583
8195_117382_000035_000004	Took Pa five days to make the trip; an' then the blame old squaws 'ud come, an' Ma 'ud be compelled to hand over to 'em her big white loaves.	Took Pa five days to make the trip; an' then the blame old squaws 'u d come, an' Ma 'u d be compelled to hand over to 'em her big white loaves.	false	1283.63	1295.85	21.049004
8195_117382_000035_000005	Jest about set her plumb crazy.	Jest about set her plumb crazy.	false	1295.85	1299.22	21.678202
8195_117382_000035_000006	Used to get up in the night, an' fix her yeast, an' bake, an' let the oven cool, an' hide the bread out in the wheat bin, an' get the smell of it all out o' the house by good daylight, so's 'at she could say there wasn't a loaf in the cabin.	Used to get up in the night, an' fix her yeast, an' bake, an' let the oven cool, an' hide the bread out in the wheat bin, an' get the smell of it all out o' the house by good daylight, so's 'at she could say there wasn't a loaf in the cabin.	false	1299.62	1316.53	21.192347
8195_117382_000035_000007	Oh! if it's good pickin' you're after, they's berries for all creation 'long the river yet; an' jest wait a few days till old April gets done showerin' an' I plow this corn field!"	Oh! if it's good pickin' you're after, they's berries for all creation 'long the river yet; an' jest wait a few days till old April gets done showerin' an' I plow this corn field!"	false	1317.44	1333.03	20.824541
8195_117382_000036_000000	Abram set a foot on the third rail and leaned his elbows on the top. The Cardinal chipped delightedly and hopped and tilted closer.	Abram set a foot on the third rail and leaned his elbows on the top. The Cardinal chipped delightedly and hopped and tilted closer.	true	1333.52	1342.24	21.629595
8195_117382_000037_000000	"I hadn't jest 'lowed all winter I'd tackle this field again.	"I hadn't jest 'lowed all winter I'd tackle this field again.	false	1342.24	1346.49	19
8195_117382_000037_000001	I've turned it every spring for forty year.	I've turned it every spring for forty year.	false	1346.49	1349.49	20.093487
8195_117382_000037_000002	Bought it when I was a young fellow, jest married to Maria.	Bought it when I was a young fellow, jest married to Maria.	false	1349.49	1353.82	20.792604
8195_117382_000037_000003	Shouldered a big debt on it; but I always loved these slopin' fields, an' my share of this old Wabash hasn't been for sale nor tradin' any time this past forty year.	Shouldered a big debt on it; but I always loved these slopin' fields, an' my share of this old Wabash hasn't been for sale nor tradin' any time this past forty year.	false	1354.46	1367.92	19.545193
8195_117382_000037_000004	I've hung on to it like grim death, for it's jest that much o' Paradise I'm plumb sure of.	I've hung on to it like grim death, for it's jest that much o' Paradise I'm plumb sure of.	true	1368.14	1375.06	22.993433
8195_117382_000037_000005	First time I plowed this field, Mr. Redbird, I only hit the high places.	First time I plowed this field, mr Redbird, I only hit the high places.	true	1375.64	1381.29	18.707016
8195_117382_000037_000006	Jest married Maria, an' I didn't touch earth any too frequent all that summer.	Jest married Maria, an' I didn't touch earth any too frequent all that summer.	false	1381.29	1387.39	20.824507
8195_117382_000037_000007	I've plowed it every year since, an' I've been 'lowin' all this winter, when the rheumatiz was gettin' in its work, 'at I'd give it up this spring an' turn it to medder; but I don't know.	I've plowed it every year since, an' I've been 'lowin' all this winter, when the rheumatiz was gettin' in its work, 'at I'd give it up this spring an' turn it to medder; but I don't know.	false	1387.85	1402.09	21.312143
8195_117382_000037_000008	Once I got started, b'lieve I could go it all right an' not feel it so much, if you'd stay to cheer me up a little an' post me on the weather.	Once I got started, b'lieve I could go it all right an' not feel it so much, if you'd stay to cheer me up a little an' post me on the weather.	false	1402.13	1410.97	22.933086
8195_117382_000037_000009	Hate the doggondest to own I'm worsted, an' if you say it's stay, b'lieve I'll try it.	Hate the doggondest to own I'm worsted, an' if you say it's stay, b'lieve I'll try it.	false	1411.55	1417.99	22.448332
8195_117382_000037_000010	Very sight o' you kinder warms the cockles o' my heart all up, an' every skip you take sets me a-wantin' to be jumpin', too.	Very sight o' you kinder warms the cockles o' my heart all up, an' every skip you take sets me a wantin' to be jumpin', too.	false	1418.18	1427.68	22.208279
8195_117382_000038_000000	"What on earth are you lookin' for?	"What on earth are you lookin' for?	false	1428.5	1430.22	22
8195_117382_000038_000001	Man!	Man!	true	1430.22	1430.98	21.798761
8195_117382_000038_000002	I b'lieve it's grub! Somebody's been feedin' you!	I b'lieve it's grub! Somebody's been feedin' you!	true	1431.05	1435.08	19.604761
8195_117382_000038_000003	An' you want me to keep it up?	An' you want me to keep it up?	false	1435.08	1436.81	22.748352
8195_117382_000038_000004	Well, you struck it all right, Mr. Redbird.	Well, you struck it all right, mr Redbird.	true	1436.81	1439.95	22.848417
8195_117382_000038_000005	Feed you?	Feed you?	true	1440.11	1441.15	22.829407
8195_117382_000038_000006	You bet I will!	You bet I will!	true	1441.19	1442.77	22.84
8195_117382_000038_000007	You needn't even 'rastle for grubs if you don't want to.	You needn't even 'rastle for grubs if you don't want to.	true	1443.17	1446.91	20.221554
8195_117382_000038_000008	Like as not you're feelin' hungry right now, pickin' bein' so slim these airly days.	Like as not you're feelin' hungry right now, pickin' bein' so slim these airly days.	false	1447.4	1454.29	21.135202
8195_117382_000038_000009	Land's sake!	Land's sake!	true	1455.38	1456.6	20.97581
8195_117382_000038_000010	I hope you don't feel you've come too soon.	I hope you don't feel you've come too soon.	false	1456.76	1459.75	22.028831
8195_117382_000038_000011	I'll fetch you everything on the place it's likely a redbird ever teched, airly in the mornin' if you'll say you'll stay an' wave your torch 'long my river bank this summer.	I'll fetch you everything on the place it's likely a redbird ever teched, airly in the mornin' if you'll say you'll stay an' wave your torch 'long my river bank this summer.	false	1460.15	1473.61	21.4892
8195_117382_000038_000012	I haven't a scrap about me now.	I haven't a scrap about me now.	true	1474.04	1476.37	23.47838
8195_117382_000038_000013	Yes, I have, too!	Yes, I have, too!	true	1476.5	1477.96	23.41789
8195_117382_000038_000014	Here's a handful o' corn I was takin' to the banty rooster; but shucks!	Here's a handful o' corn I was takin' to the banty rooster; but shucks!	false	1478.09	1483.87	22.293028
8195_117382_000038_000015	he's fat as a young shoat now.	he's fat as a young shoat now.	true	1483.88	1486.15	21.717886
8195_117382_000038_000016	Corn's a leetle big an' hard for you.	Corn's a leetle big an' hard for you.	false	1487.54	1490.4	18.13274
8195_117382_000038_000017	Mebby I can split it up a mite."	Mebby I can split it up a mite."	false	1490.4	1493.58	22.258661
8195_117382_000039_000000	Abram took out his jack-knife, and dotting a row of grains along the top rail, he split and shaved them down as fine as possible; and as he reached one end of the rail, the Cardinal, with a spasmodic "Chip!" dashed down and snatched a particle from the other, and flashed back to the bush, tested, approved, and chipped his thanks.	Abram took out his jack knife, and dotting a row of grains along the top rail, he split and shaved them down as fine as possible; and as he reached one end of the rail, the Cardinal, with a spasmodic "Chip!" dashed down and snatched a particle from the other, and flashed back to the bush, tested, approved, and chipped his thanks.	true	1493.58	1518.93	22.297672
8195_117382_000040_000000	"Pshaw now!" said Abram, staring wide-eyed.	"p shaw now!" said Abram, staring wide eyed.	false	1518.93	1524.66	18.310873
8195_117382_000040_000001	"Doesn't that beat you? So you really are a pet?	"Doesn't that beat you? So you really are a pet?	false	1524.66	1528.27	22.570494
8195_117382_000040_000002	Best kind of a pet in the whole world, too! Makin' everybody, at sees you happy, an' havin' some chance to be happy yourself.	Best kind of a pet in the whole world, too! Makin' everybody, at sees you happy, an' havin' some chance to be happy yourself.	false	1528.58	1539.57	20.50298
8195_117382_000040_000003	An' I look like your friend?	An' I look like your friend?	false	1539.57	1541.92	19.432957
8195_117382_000040_000004	Well!	Well!	true	1542.32	1542.9	55
8195_117382_000040_000005	Well!	Well!	true	1542.9	1543.44	17
8195_117382_000040_000006	I'm monstrous willin' to adopt you if you'll take me; an', as for feedin', from to-morrow on I'll find time to set your little table 'long this same rail every day.	I'm monstrous willin' to adopt you if you'll take me; an', as for feedin', from to morrow on I'll find time to set your little table 'long this same rail every day.	false	1543.44	1556.68	21.59136
8195_117382_000040_000007	I s'pose Maria 'ull say 'at I'm gone plumb crazy; but, for that matter, if I ever get her down to see you jest once, the trick's done with her, too, for you're the prettiest thing God ever made in the shape of a bird, 'at I ever saw.	I s'pose Maria 'u l l say 'at I'm gone plumb crazy; but, for that matter, if I ever get her down to see you jest once, the trick's done with her, too, for you're the prettiest thing God ever made in the shape of a bird, 'at I ever saw.	false	1557.41	1575.94	20.686571
8195_117382_000040_000008	Look at that topknot a wavin' in the wind!	Look at that topknot a wavin' in the wind!	true	1576.97	1580.11	21.391415
8195_117382_000040_000009	Maybe praise to the face is open disgrace; but I'll take your share an' mine, too, an' tell you right here an' now 'at you're the blamedest prettiest thing 'at I ever saw.	Maybe praise to the face is open disgrace; but I'll take your share an' mine, too, an' tell you right here an' now 'at you're the blamedest prettiest thing 'at I ever saw.	false	1580.51	1592.56	21.451382
8195_117382_000041_000000	"But Lord!	"But Lord!	true	1593.29	1594.08	13.6036625
8195_117382_000041_000001	You ortn't be so careless!	You ortn't be so careless!	true	1594.08	1596.16	19
8195_117382_000041_000002	Don't you know you ain't nothin' but jest a target?	Don't you know you ain't nothin' but jest a target?	false	1596.16	1599.13	19.865036
8195_117382_000041_000003	Why don't you keep out o' sight a little? You come a-shinneyin' up to nine out o' ten men 'long the river like this, an' your purty, coaxin', palaverin' way won't save a feather on you.	Why don't you keep out o' sight a little? You come a shinneyin' up to nine out o' ten men 'long the river like this, an' your purty, coaxin', palaverin' way won't save a feather on you.	false	1599.95	1612.44	21.3369
8195_117382_000041_000004	You'll get the little red heart shot plumb outen your little red body, an' that's what you'll get.	You'll get the little red heart shot plumb outen your little red body, an' that's what you'll get.	false	1612.44	1618.42	21.147211
8195_117382_000041_000005	It's a dratted shame!	It's a dratted shame!	true	1618.61	1620.36	21.772478
8195_117382_000041_000006	An' there's law to protect you, too.	An' there's law to protect you, too.	false	1620.36	1622.76	21.685465
8195_117382_000041_000007	They's a good big fine for killin' such as you, but nobody seems to push it.	They's a good big fine for killin' such as you, but nobody seems to push it.	false	1622.76	1628.36	17.49315
8195_117382_000041_000008	Every fool wants to test his aim, an' you're the brightest thing on the river bank for a mark.	Every fool wants to test his aim, an' you're the brightest thing on the river bank for a mark.	false	1628.36	1634.35	20.988829
8195_117382_000042_000000	"Well, if you'll stay right where you are, it 'ull be a sorry day for any cuss 'at teches you; 'at I'll promise you, Mr. Redbird.	"Well, if you'll stay right where you are, it 'u l l be a sorry day for any cuss 'at teches you; 'at I'll promise you, mr Redbird.	false	1634.96	1642.75	21.560759
8195_117382_000042_000001	This land's mine, an' if you locate on it, you're mine till time to go back to that other old fellow 'at looks like me.	This land's mine, an' if you locate on it, you're mine till time to go back to that other old fellow 'at looks like me.	true	1642.88	1651.45	19.626923
8195_117382_000042_000002	Wonder if he's any willinger to feed you an' stand up for you 'an I am?"	Wonder if he's any willinger to feed you an' stand up for you 'an I am?"	false	1652.48	1657.54	20.11816
8195_117382_000043_000000	"Here!	"Here!	true	1657.94	1658.65	25.36294
8195_117382_000043_000001	Here!	Here!	true	1658.65	1659.15	18
8195_117382_000043_000002	Here!" whistled the Cardinal.	Here!" whistled the Cardinal.	true	1659.15	1661.41	22.54049
8195_117382_000044_000000	"Well, I'm mighty glad if you're sayin' you'll stay!	"Well, I'm mighty glad if you're sayin' you'll stay!	true	1661.72	1664.62	20.680986
8195_117382_000044_000001	Guess it will be all right if you don't meet some o' them Limberlost hens an' tole off to the swamp.	Guess it will be all right if you don't meet some o' them Limberlost hens an' tole off to the swamp.	false	1665.29	1671.33	20
8195_117382_000044_000002	Lord! the Limberlost ain't to be compared with the river, Mr. Redbird.	Lord! the Limberlost ain't to be compared with the river, mr Redbird.	true	1671.33	1677.37	20.373865
8195_117382_000044_000003	You're foolish if you go!	You're foolish if you go!	true	1678.4	1680.22	21.316109
8195_117382_000044_000004	Talkin' 'bout goin', I must be goin' myself, or Maria will be comin' down the line fence with the lantern; an', come to think of it, I'm a little moist, not to say downright damp.	Talkin' 'bout goin', I must be goin' myself, or Maria will be comin' down the line fence with the lantern; an', come to think of it, I'm a little moist, not to say downright damp.	false	1680.47	1691.52	20.47639
8195_117382_000044_000005	But then you WARNED me, didn't you, old fellow?	But then you WARNED me, didn't you, old fellow?	true	1691.52	1694.53	20.72178
8195_117382_000044_000006	Well, I told Maria seein' you 'ud be like meetin' folks, an' it has been. Good deal more'n I counted on, an' I've talked more'n I have in a whole year.	Well, I told Maria seein' you 'u d be like meetin' folks, an' it has been. Good deal more'n I counted on, an' I've talked more'n I have in a whole year.	false	1695.29	1708.03	20.137226
8195_117382_000044_000007	Hardly think now 'at I've the reputation o' being a mighty quiet fellow, would you?"	Hardly think now 'at I've the reputation o' being a mighty quiet fellow, would you?"	false	1708.16	1713.1	21.797264
8195_117382_000045_000000	Abram straightened and touched his hat brim in a trim half military salute.	Abram straightened and touched his hat brim in a trim half military salute.	true	1713.62	1720.39	22.280832
8195_117382_000045_000001	"Well, good-bye, Mr. Redbird.	"Well, good bye, mr Redbird.	true	1720.94	1723.21	22.560497
8195_117382_000045_000002	Never had more pleasure meetin' anybody in my life 'cept first time I met Maria.	Never had more pleasure meetin' anybody in my life 'cept first time I met Maria.	false	1723.28	1729.66	20.86446
8195_117382_000045_000003	You think about the plowin', an', if you say `stay,' it's a go!	You think about the plowin', an', if you say backquote stay,' it's a go!	false	1729.7	1733.71	20.138748
8195_117382_000045_000004	Good-bye; an' do be a little more careful o' yourself.	Good bye; an' do be a little more careful o' yourself.	false	1733.93	1737.43	21.376694
8195_117382_000045_000005	See you in the mornin', right after breakfast, no count taken o' the weather."	See you in the mornin', right after breakfast, no count taken o' the weather."	true	1737.86	1742.97	22.477499
8195_117382_000046_000000	"Wet year!	"Wet year!	false	1742.97	1745.3	18.10444
8195_117382_000046_000001	Wet year!" called the Cardinal after his retreating figure.	Wet year!" called the Cardinal after his retreating figure.	true	1745.3	1749.16	20.48644
8195_117382_000047_000000	Abram turned and gravely saluted the second time.	Abram turned and gravely saluted the second time.	true	1749.16	1752.13	19
8195_117382_000047_000001	The Cardinal went to the top rail and feasted on the sweet grains of corn until his craw was full, and then nestled in the sumac and went to sleep.	The Cardinal went to the top rail and feasted on the sweet grains of corn until his craw was full, and then nestled in the sumac and went to sleep.	true	1752.92	1762.99	21.949093
8195_117382_000047_000002	Early next morning he was abroad and in fine toilet, and with a full voice from the top of the sumac greeted the day--"Wet year!	Early next morning he was abroad and in fine toilet, and with a full voice from the top of the sumac greeted the day-"Wet year!	true	1763.24	1773.87	20.906324
8195_117382_000047_000003	Wet year!"	Wet year!"	true	1773.87	1774.99	22.540503
8195_117382_000048_000000	Far down the river echoed his voice until it so closely resembled some member of his family replying that he followed, searching the banks mile after mile on either side, until finally he heard voices of his kind.	Far down the river echoed his voice until it so closely resembled some member of his family replying that he followed, searching the banks mile after mile on either side, until finally he heard voices of his kind.	false	1776.5	1790.73	20.662415
8195_117382_000048_000001	He located them, but it was only several staid old couples, a long time mated, and busy with their nest-building.	He located them, but it was only several staid old couples, a long time mated, and busy with their nest building.	true	1790.73	1798.27	21.18715
8195_117382_000048_000002	The Cardinal returned to the sumac, feeling a degree lonelier than ever.	The Cardinal returned to the sumac, feeling a degree lonelier than ever.	false	1798.97	1805.01	18.728737
8195_117382_000049_000000	He decided to prospect in the opposite direction, and taking wing, he started up the river.	He decided to prospect in the opposite direction, and taking wing, he started up the river.	true	1805.01	1811.02	22.431808
8195_117382_000049_000001	Following the channel, he winged his flight for miles over the cool sparkling water, between the tangle of foliage bordering the banks.	Following the channel, he winged his flight for miles over the cool sparkling water, between the tangle of foliage bordering the banks.	true	1811.66	1820.05	22.397497
8195_117382_000049_000002	When he came to the long cumbrous structures of wood with which men had bridged the river, where the shuffling feet of tired farm horses raised clouds of dust and set the echoes rolling with their thunderous hoof beats, he was afraid; and rising high, he sailed over them in short broken curves of flight.	When he came to the long cumbrous structures of wood with which men had bridged the river, where the shuffling feet of tired farm horses raised clouds of dust and set the echoes rolling with their thunderous hoof beats, he was afraid; and rising high, he sailed over them in short broken curves of flight.	false	1820.84	1839.19	20.207155
8195_117382_000049_000003	But where giant maple and ash, leaning, locked branches across the channel in one of old Mother Nature's bridges for the squirrels, he knew no fear, and dipped so low beneath them that his image trailed a wavering shadow on the silver path he followed.	But where giant maple and ash, leaning, locked branches across the channel in one of old Mother Nature's bridges for the squirrels, he knew no fear, and dipped so low beneath them that his image trailed a wavering shadow on the silver path he followed.	false	1839.19	1857.49	22.544847
8195_117382_000050_000000	He rounded curve after curve, and frequently stopping on a conspicuous perch, flung a ringing challenge in the face of the morning.	He rounded curve after curve, and frequently stopping on a conspicuous perch, flung a ringing challenge in the face of the morning.	true	1858.1	1866.28	22.301737
8195_117382_000050_000001	With every mile the way he followed grew more beautiful.	With every mile the way he followed grew more beautiful.	true	1866.59	1870.48	22.174309
8195_117382_000050_000002	The river bed was limestone, and the swiftly flowing water, clear and limpid.	The river bed was limestone, and the swiftly flowing water, clear and limpid.	true	1870.7	1875.78	20.50017
8195_117382_000050_000003	The banks were precipitate in some places, gently sloping in others, and always crowded with a tangle of foliage.	The banks were precipitate in some places, gently sloping in others, and always crowded with a tangle of foliage.	false	1875.78	1884.39	21.258364
8195_117382_000051_000000	At an abrupt curve in the river he mounted to the summit of a big ash and made boastful prophecy, "Wet year!	At an abrupt curve in the river he mounted to the summit of a big ash and made boastful prophecy, "Wet year!	false	1884.39	1893.09	20.802914
8195_117382_000051_000001	Wet year!" and on all sides there sprang up the voices of his kind.	Wet year!" and on all sides there sprang up the voices of his kind.	false	1893.09	1899.04	21.946629
8195_117382_000051_000002	Startled, the Cardinal took wing.	Startled, the Cardinal took wing.	true	1899.8	1902.55	22.754732
8195_117382_000051_000003	He followed the river in a circling flight until he remembered that here might be the opportunity to win the coveted river mate, and going slower to select the highest branch on which to display his charms, he discovered that he was only a few yards from the ash from which he had made his prediction.	He followed the river in a circling flight until he remembered that here might be the opportunity to win the coveted river mate, and going slower to select the highest branch on which to display his charms, he discovered that he was only a few yards from the ash from which he had made his prediction.	false	1903.04	1923.52	21.34798
8195_117382_000051_000004	The Cardinal flew over the narrow neck and sent another call, then without awaiting a reply, again he flashed up the river and circled Horseshoe Bend.	The Cardinal flew over the narrow neck and sent another call, then without awaiting a reply, again he flashed up the river and circled Horseshoe Bend.	false	1924.01	1934.83	20.86926
8195_117382_000051_000005	When he came to the same ash for the third time, he understood.	When he came to the same ash for the third time, he understood.	false	1935.65	1939.78	21.474804
8195_117382_000052_000000	The river circled in one great curve.	The river circled in one great curve.	true	1940.99	1943.77	20.530266
8195_117382_000052_000001	The Cardinal mounted to the tip-top limb of the ash and looked around him.	The Cardinal mounted to the tip top limb of the ash and looked around him.	true	1944.65	1949.55	21.99826
8195_117382_000052_000002	There was never a fairer sight for the eye of man or bird.	There was never a fairer sight for the eye of man or bird.	true	1949.55	1953.73	19.946117
8195_117382_000052_000003	The mist and shimmer of early spring were in the air.	The mist and shimmer of early spring were in the air.	true	1954.31	1957.81	21.288065
8195_117382_000052_000004	The Wabash rounded Horseshoe Bend in a silver circle, rimmed by a tangle of foliage bordering both its banks; and inside lay a low open space covered with waving marsh grass and the blue bloom of sweet calamus.	The Wabash rounded Horseshoe Bend in a silver circle, rimmed by a tangle of foliage bordering both its banks; and inside lay a low open space covered with waving marsh grass and the blue bloom of sweet calamus.	false	1958.42	1975.12	21.015667
8195_117382_000052_000005	Scattered around were mighty trees, but conspicuous above any, in the very center, was a giant sycamore, split at its base into three large trees, whose waving branches seemed to sweep the face of heaven, and whose roots, like miserly fingers, clutched deep into the black muck of Rainbow Bottom.	Scattered around were mighty trees, but conspicuous above any, in the very center, was a giant sycamore, split at its base into three large trees, whose waving branches seemed to sweep the face of heaven, and whose roots, like miserly fingers, clutched deep into the black muck of Rainbow Bottom.	true	1976	1998.1	21.250093
8195_117382_000053_000000	It was in this lovely spot that the rainbow at last materialized, and at its base, free to all humanity who cared to seek, the Great Alchemist had left His rarest treasures--the gold of sunshine, diamond water-drops, emerald foliage, and sapphire sky.	It was in this lovely spot that the rainbow at last materialized, and at its base, free to all humanity who cared to seek, the Great Alchemist had left His rarest treasures-the gold of sunshine, diamond water drops, emerald foliage, and sapphire sky.	true	1998.92	2019.82	21.59642
8195_117382_000054_000000	For good measure, there were added seeds, berries, and insects for the birds; and wild flowers, fruit, and nuts for the children.	For good measure, there were added seeds, berries, and insects for the birds; and wild flowers, fruit, and nuts for the children.	false	2020.52	2029.12	21.247387
8195_117382_000054_000001	Above all, the sycamore waved its majestic head.	Above all, the sycamore waved its majestic head.	true	2029.37	2033.17	21.079117
8195_117382_000055_000000	It made a throne that seemed suitable for the son of the king; and mounting to its topmost branch, for miles the river carried his challenge: "Ho, cardinals!	It made a throne that seemed suitable for the son of the king; and mounting to its topmost branch, for miles the river carried his challenge: "Ho, cardinals!	false	2033.81	2045.35	20.955526
8195_117382_000055_000001	Look this way!	Look this way!	true	2045.42	2046.82	23.555836
8195_117382_000055_000002	Behold me!	Behold me!	true	2046.89	2048.08	21.59606
8195_117382_000055_000003	Have you seen any other of so great size?	Have you seen any other of so great size?	true	2048.63	2051.47	20.29614
8195_117382_000055_000004	Have you any to equal my grace?	Have you any to equal my grace?	true	2051.87	2054.65	22.192966
8195_117382_000055_000005	Who can whistle so loud, so clear, so compelling a note?	Who can whistle so loud, so clear, so compelling a note?	true	2054.96	2059.12	20.42101
8195_117382_000055_000006	Who will fly to me for protection?	Who will fly to me for protection?	true	2059.34	2062.42	23.836061
8195_117382_000055_000007	Who will come and be my mate?"	Who will come and be my mate?"	true	2062.55	2065	22.581442
8195_117382_000056_000000	He flared his crest high, swelled his throat with rolling notes, and appeared so big and brilliant that among the many cardinals that had gathered to hear, there was not one to compare with him.	He flared his crest high, swelled his throat with rolling notes, and appeared so big and brilliant that among the many cardinals that had gathered to hear, there was not one to compare with him.	true	2065.85	2079.25	21.496655
8195_117382_000057_000000	Black envy filled their hearts.	Black envy filled their hearts.	true	2079.83	2082.1	21.421888
8195_117382_000057_000001	Who was this flaming dashing stranger, flaunting himself in the faces of their females?	Who was this flaming dashing stranger, flaunting himself in the faces of their females?	false	2082.62	2088.4	20.119225
8195_117382_000057_000002	There were many unmated cardinals in Rainbow Bottom, and many jealous males.	There were many unmated cardinals in Rainbow Bottom, and many jealous males.	true	2089.61	2095.48	20.138796
8195_117382_000057_000003	A second time the Cardinal, rocking and flashing, proclaimed himself; and there was a note of feminine approval so strong that he caught it.	A second time the Cardinal, rocking and flashing, proclaimed himself; and there was a note of feminine approval so strong that he caught it.	false	2096.12	2105.53	21.096294
8195_117382_000057_000004	Tilting on a twig, his crest flared to full height, his throat swelled to bursting, his heart too big for his body, the Cardinal shouted his challenge for the third time; when clear and sharp arose a cry in answer, "Here!	Tilting on a twig, his crest flared to full height, his throat swelled to bursting, his heart too big for his body, the Cardinal shouted his challenge for the third time; when clear and sharp arose a cry in answer, "Here!	false	2106.23	2127.19	20.458216
8195_117382_000057_000005	Here!	Here!	true	2127.2	2128.23	18.67067
8195_117382_000057_000006	Here!"	Here!"	false	2128.23	2130.36	18.355043
8195_117382_000057_000007	It came from a female that had accepted the caresses of the brightest cardinal in Rainbow Bottom only the day before, and had spent the morning carrying twigs to a thicket of red haws.	It came from a female that had accepted the caresses of the brightest cardinal in Rainbow Bottom only the day before, and had spent the morning carrying twigs to a thicket of red haws.	false	2130.36	2142.25	20.027256
8195_117382_000058_000000	The Cardinal, with a royal flourish, sprang in air to seek her; but her outraged mate was ahead of him, and with a scream she fled, leaving a tuft of feathers in her mate's beak.	The Cardinal, with a royal flourish, sprang in air to seek her; but her outraged mate was ahead of him, and with a scream she fled, leaving a tuft of feathers in her mate's beak.	true	2142.8	2156.89	21.148891
8195_117382_000058_000001	In turn the Cardinal struck him like a flashing rocket, and then red war waged in Rainbow Bottom.	In turn the Cardinal struck him like a flashing rocket, and then red war waged in Rainbow Bottom.	true	2157.56	2165.41	20.729965
8195_117382_000058_000002	The females scattered for cover with all their might.	The females scattered for cover with all their might.	true	2166.17	2169.22	21.703045
8195_117382_000058_000003	The Cardinal worked in a kiss on one poor little bird, too frightened to escape him; then the males closed in, and serious business began.	The Cardinal worked in a kiss on one poor little bird, too frightened to escape him; then the males closed in, and serious business began.	true	2169.53	2179.66	21.523638
8195_117382_000058_000004	The Cardinal would have enjoyed a fight vastly with two or three opponents; but a half-dozen made discretion better than valour.	The Cardinal would have enjoyed a fight vastly with two or three opponents; but a half dozen made discretion better than valour.	true	2180.72	2190.22	22.959122
8195_117382_000058_000005	He darted among them, scattering them right and left, and made for the sycamore.	He darted among them, scattering them right and left, and made for the sycamore.	true	2190.59	2195.71	20.239511
8195_117382_000058_000006	With all his remaining breath, he insolently repeated his challenge; and then headed down stream for the sumac with what grace he could command.	With all his remaining breath, he insolently repeated his challenge; and then headed down stream for the sumac with what grace he could command.	false	2196.14	2205.43	21.898098
