6160_44912_000000_000000	From that day her life changed entirely.	From that day her life changed entirely.	false	27.69	30.25	25.284124
6160_44912_000058_000001	It's not your fault that--"	It's not your fault that-"	true	1049.73	1051.39	31.220226
6160_44912_000059_000000	She pulled herself up quickly.	She pulled herself up quickly.	true	1051.52	1053.69	25.921804
6160_44912_000059_000001	She had been going to say, "that you are stupid."	She had been going to say, "that you are stupid."	true	1053.69	1057.03	24.421362
6160_44912_000060_000000	"That what?" asked Ermengarde.	"That what?" asked Ermengarde.	true	1057.4	1059.43	31.847128
6160_44912_000061_000000	"That you can't learn things quickly.	"That you can't learn things quickly.	true	1060.13	1062.64	26.764317
6160_44912_000061_000001	If you can't, you can't.	If you can't, you can't.	true	1062.65	1064.26	30.101755
6160_44912_000061_000002	If I can, why, I can--that's all." She paused a minute, looking at the plump face before her, and then, rather slowly, one of her wise, old-fashioned thoughts came to her.	If I can, why, I can-that's all." She paused a minute, looking at the plump face before her, and then, rather slowly, one of her wise, old-fashioned thoughts came to her.	true	1064.42	1077.4	25.388988
6160_44912_000062_000000	"Perhaps," she said, "to be able to learn things quickly isn't everything.	"Perhaps," she said, "to be able to learn things quickly isn't everything.	true	1078.13	1083.43	27.416027
6160_44912_000062_000001	To be kind is worth a good deal to other people.	To be kind is worth a good deal to other people.	true	1083.8	1087.09	27.513063
6160_44912_000062_000002	If Miss Minchin knew everything on earth, which she doesn't, and if she was like what she is now, she'd still be a detestable thing, and everybody would hate her.	If Miss Minchin knew everything on earth, which she doesn't, and if she was like what she is now, she'd still be a detestable thing, and everybody would hate her.	false	1087.55	1099.96	26.083042
6160_44912_000062_000003	Lots of clever people have done harm and been wicked.	Lots of clever people have done harm and been wicked.	true	1100.18	1103.68	27.76949
6160_44912_000062_000004	Look at Robespierre--"	Look at Robespierre-"	true	1103.81	1105.45	22.481777
6160_44912_000063_000000	She stopped again and examined her companion's countenance.	She stopped again and examined her companion's countenance.	true	1105.88	1109.77	27
6160_44912_000064_000000	"Do you remember about him?" she demanded.	"Do you remember about him?" she demanded.	true	1110.2	1112.65	25.54953
6160_44912_000064_000001	"I believe you've forgotten."	"I believe you've forgotten."	true	1112.99	1114.81	24.933954
6160_44912_000065_000000	"Well, I don't remember all of it," admitted Ermengarde.	"Well, I don't remember all of it," admitted Ermengarde.	true	1115.48	1119.91	27.515461
6160_44912_000066_000000	"Well," said Sara, with courage and determination, "I'll tell it to you over again."	"Well," said Sara, with courage and determination, "I'll tell it to you over again."	true	1120.28	1125.52	27.945875
6160_44912_000067_000000	And she plunged once more into the gory records of the French Revolution, and told such stories of it, and made such vivid pictures of its horrors, that Miss St. John was afraid to go to bed afterward, and hid her head under the blankets when she did go, and shivered until she fell asleep.	And she plunged once more into the gory records of the French Revolution, and told such stories of it, and made such vivid pictures of its horrors, that Miss saint John was afraid to go to bed afterward, and hid her head under the blankets when she did go, and shivered until she fell asleep.	true	1125.59	1143.88	25.37942
6160_44912_000067_000001	But afterward she preserved lively recollections of the character of Robespierre, and did not even forget Marie Antoinette and the Princess de Lamballe.	But afterward she preserved lively recollections of the character of Robespierre, and did not even forget Marie Antoinette and the Princess de Lamballe.	true	1144.1	1154.92	24
6160_44912_000068_000000	"You know they put her head on a pike and danced around it," Sara had said; "and she had beautiful blonde hair; and when I think of her, I never see her head on her body, but always on a pike, with those furious people dancing and howling."	"You know they put her head on a pike and danced around it," Sara had said; "and she had beautiful blonde hair; and when I think of her, I never see her head on her body, but always on a pike, with those furious people dancing and howling."	false	1155.62	1170.13	24.851847
6160_44912_000069_000000	Yes, it was true; to this imaginative child everything was a story; and the more books she read, the more imaginative she became.	Yes, it was true; to this imaginative child everything was a story; and the more books she read, the more imaginative she became.	true	1170.86	1180.06	24.885122
6160_44912_000069_000001	One of her chief entertainments was to sit in her garret, or walk about it, and "suppose" things.	One of her chief entertainments was to sit in her garret, or walk about it, and "suppose" things.	true	1180.28	1187.14	28.02536
6160_44912_000069_000002	On a cold night, when she had not had enough to eat, she would draw the red footstool up before the empty grate, and say in the most intense voice:	On a cold night, when she had not had enough to eat, she would draw the red footstool up before the empty grate, and say in the most intense voice:	true	1187.33	1197.22	23.046677
6160_44912_000070_000000	"Suppose there was a grate, wide steel grate here, and a great glowing fire--a glowing fire--with beds of red-hot coal and lots of little dancing, flickering flames.	"Suppose there was a grate, wide steel grate here, and a great glowing fire-a glowing fire-with beds of red hot coal and lots of little dancing, flickering flames.	true	1197.56	1211.08	23.43875
6160_44912_000070_000001	Suppose there was a soft, deep rug, and this was a comfortable chair, all cushions and crimson velvet; and suppose I had a crimson velvet frock on, and a deep lace collar, like a child in a picture; and suppose all the rest of the room was furnished in lovely colors, and there were book-shelves full of books, which changed by magic as soon as you had read them; and suppose there was a little table here, with a snow-white cover on it, and little silver dishes, and in one there was hot, hot soup, and in another a roast chicken, and in another some raspberry-jam tarts with crisscross on them, and in another some grapes; and suppose Emily could speak, and we could sit and eat our supper, and then talk and read; and then suppose there was a soft, warm bed in the corner, and when we were tired we could go to sleep, and sleep as long as we liked."	Suppose there was a soft, deep rug, and this was a comfortable chair, all cushions and crimson velvet; and suppose I had a crimson velvet frock on, and a deep lace collar, like a child in a picture; and suppose all the rest of the room was furnished in lovely colors, and there were book shelves full of books, which changed by magic as soon as you had read them; and suppose there was a little table here, with a snow white cover on it, and little silver dishes, and in one there was hot, hot soup, and in another a roast chicken, and in another some raspberry jam tarts with crisscross on them, and in another some grapes; and suppose Emily could speak, and we could sit and eat our supper, and then talk and read; and then suppose there was a soft, warm bed in the corner, and when we were tired we could go to sleep, and sleep as long as we liked."	false	1211.09	1274.49	25.01187
