7481_101276_000000_000000	In this way Hans suddenly became rich--rich enough to buy a property of his own.	In this way Hans suddenly became rich-rich enough to buy a property of his own.	false	0	3.525	19.867151
7481_101276_000057_000000	'Heaven only knows!' replied the man; 'seven years ago he was stolen from the market-place, and we have heard no more of him.'	'Heaven only knows!' replied the man; 'seven years ago he was stolen from the market place, and we have heard no more of him.'	true	1019	1027.51	22.030773
7481_101276_000058_000000	'SEVEN YEARS AGO!' cried Jem, with horror.	'SEVEN YEARS AGO!' cried Jem, with horror.	true	1028.06	1031.23	22.076555
7481_101276_000059_000000	'Yes, indeed, seven years ago, though it seems but yesterday that my wife came back howling and crying, and saying the child had not come back all day.	'Yes, indeed, seven years ago, though it seems but yesterday that my wife came back howling and crying, and saying the child had not come back all day.	false	1031.78	1042.48	20.934782
7481_101276_000059_000001	I always thought and said that something of the kind would happen.	I always thought and said that something of the kind would happen.	true	1042.88	1047.1	21.540071
7481_101276_000059_000002	Jem was a beautiful boy, and everyone made much of him, and my wife was so proud of him, and liked him to carry the vegetables and things to grand folks' houses, where he was petted and made much of.	Jem was a beautiful boy, and everyone made much of him, and my wife was so proud of him, and liked him to carry the vegetables and things to grand folks' houses, where he was petted and made much of.	true	1047.41	1060.42	23.01988
7481_101276_000059_000003	But I used to say, "Take care--the town is large, there are plenty of bad people in it--keep a sharp eye on Jem." And so it happened; for one day an old woman came and bought a lot of things--more than she could carry; so my wife, being a kindly soul, lent her the boy, and--we have never seen him since.'	But I used to say, "Take care-the town is large, there are plenty of bad people in it-keep a sharp eye on Jem." And so it happened; for one day an old woman came and bought a lot of things-more than she could carry; so my wife, being a kindly soul, lent her the boy, and-we have never seen him since.'	false	1060.82	1084.18	21.60233
7481_101276_000060_000000	'And that was seven years ago, you say?'	'And that was seven years ago, you say?'	true	1084.79	1087.27	22.714798
7481_101276_000061_000000	'Yes, seven years: we had him cried--we went from house to house.	'Yes, seven years: we had him cried-we went from house to house.	true	1087.58	1093.36	21.66408
7481_101276_000061_000001	Many knew the pretty boy, and were fond of him, but it was all in vain.	Many knew the pretty boy, and were fond of him, but it was all in vain.	true	1093.55	1098.76	20.328587
7481_101276_000061_000002	No one seemed to know the old woman who bought the vegetables either; only one old woman, who is ninety years old, said it might have been the fairy Herbaline, who came into the town once in every fifty years to buy things.'	No one seemed to know the old woman who bought the vegetables either; only one old woman, who is ninety years old, said it might have been the fairy Herbaline, who came into the town once in every fifty years to buy things.'	false	1098.95	1114.24	21.338114
7481_101276_000062_000000	As his father spoke, things grew clearer to Jem's mind, and he saw now that he had not been dreaming, but had really served the old woman seven years in the shape of a squirrel.	As his father spoke, things grew clearer to Jem's mind, and he saw now that he had not been dreaming, but had really served the old woman seven years in the shape of a squirrel.	true	1114.79	1126.45	21.895496
7481_101276_000062_000001	As he thought it over rage filled his heart.	As he thought it over rage filled his heart.	true	1127.09	1130.23	22.810831
7481_101276_000062_000002	Seven years of his youth had been stolen from him, and what had he got in return?	Seven years of his youth had been stolen from him, and what had he got in return?	true	1130.33	1136.32	21.171724
7481_101276_000062_000003	To learn to rub up cocoa nuts, and to polish glass floors, and to be taught cooking by guinea pigs!	To learn to rub up cocoa nuts, and to polish glass floors, and to be taught cooking by guinea pigs!	true	1136.54	1144	20.003748
7481_101276_000062_000004	He stood there thinking, till at last his father asked him:	He stood there thinking, till at last his father asked him:	true	1144.4	1148.44	22.971428
7481_101276_000063_000000	'Is there anything I can do for you, young gentleman?	'Is there anything I can do for you, young gentleman?	true	1148.66	1151.92	18.134398
7481_101276_000063_000001	Shall I make you a pair of slippers, or perhaps' with a smile--'a case for your nose?'	Shall I make you a pair of slippers, or perhaps' with a smile-'a case for your nose?'	true	1152.02	1158.79	20.376894
7481_101276_000064_000000	'What have you to do with my nose?' asked Jem. 'And why should I want a case for it?'	'What have you to do with my nose?' asked Jem. 'And why should I want a case for it?'	true	1159.43	1164.64	20.749313
7481_101276_000065_000000	'Well, everyone to his taste,' replied the cobbler; 'but I must say if I had such a nose I would have a nice red leather cover made for it.	'Well, everyone to his taste,' replied the cobbler; 'but I must say if I had such a nose I would have a nice red leather cover made for it.	false	1165.31	1175.5	21.136742
7481_101276_000065_000001	Here is a nice piece; and think what a protection it would be to you.	Here is a nice piece; and think what a protection it would be to you.	true	1175.9	1180.09	20.410828
7481_101276_000065_000002	As it is, you must be constantly knocking up against things.'	As it is, you must be constantly knocking up against things.'	true	1180.52	1184.41	20
7481_101276_000066_000000	The lad was dumb with fright.	The lad was dumb with fright.	true	1185.05	1187.11	22.50271
7481_101276_000066_000001	He felt his nose.	He felt his nose.	true	1187.21	1188.73	21.897295
7481_101276_000066_000002	It was thick, and quite two hands long.	It was thick, and quite two hands long.	true	1188.92	1192.12	22.625065
7481_101276_000066_000003	So, then, the old woman had changed his shape, and that was why his own mother did not know him, and called him a horrid dwarf!	So, then, the old woman had changed his shape, and that was why his own mother did not know him, and called him a horrid dwarf!	true	1192.61	1201.12	23.12389
7481_101276_000067_000000	'Master,' said he, 'have you got a glass that I could see myself in?'	'Master,' said he, 'have you got a glass that I could see myself in?'	true	1202.06	1207.27	20.153002
7481_101276_000068_000000	'Young gentleman,' was the answer, 'your appearance is hardly one to be vain of, and there is no need to waste your time looking in a glass. Besides, I have none here, and if you must have one you had better ask Urban the barber, who lives over the way, to lend you his.	'Young gentleman,' was the answer, 'your appearance is hardly one to be vain of, and there is no need to waste your time looking in a glass. Besides, I have none here, and if you must have one you had better ask Urban the barber, who lives over the way, to lend you his.	true	1207.76	1226.26	22.256866
7481_101276_000068_000001	Good morning.'	Good morning.'	true	1226.45	1227.46	20.310778
7481_101276_000069_000000	So saying, he gently pushed Jem into the street, shut the door, and went back to his work.	So saying, he gently pushed Jem into the street, shut the door, and went back to his work.	true	1227.98	1234.36	21.85541
7481_101276_000070_000000	Jem stepped across to the barber, whom he had known in old days.	Jem stepped across to the barber, whom he had known in old days.	true	1234.64	1238.92	21.966124
7481_101276_000071_000000	'Good morning, Urban,' said he; 'may I look at myself in your glass for a moment?'	'Good morning, Urban,' said he; 'may I look at myself in your glass for a moment?'	true	1239.32	1244.53	21.108202
7481_101276_000072_000000	'With pleasure,' said the barber, laughing, and all the people in his shop fell to laughing also.	'With pleasure,' said the barber, laughing, and all the people in his shop fell to laughing also.	true	1244.87	1251.16	19.99882
7481_101276_000072_000001	'You are a pretty youth, with your swan-like neck and white hands and small nose.	'You are a pretty youth, with your swan like neck and white hands and small nose.	false	1251.68	1258.27	21.557251
7481_101276_000072_000002	No wonder you are rather vain; but look as long as you like at yourself.'	No wonder you are rather vain; but look as long as you like at yourself.'	false	1258.37	1263.25	20.844156
7481_101276_000073_000000	So spoke the barber, and a titter ran round the room.	So spoke the barber, and a titter ran round the room.	false	1263.89	1267.81	22.30162
7481_101276_000073_000001	Meantime Jem had stepped up to the mirror, and stood gazing sadly at his reflection. Tears came to his eyes.	Meantime Jem had stepped up to the mirror, and stood gazing sadly at his reflection. Tears came to his eyes.	true	1268.27	1276.84	22.170692
7481_101276_000074_000000	'No wonder you did not know your child again, dear mother,' thought he; 'he wasn't like this when you were so proud of his looks.'	'No wonder you did not know your child again, dear mother,' thought he; 'he wasn't like this when you were so proud of his looks.'	true	1277.57	1285.36	20.863922
7481_101276_000075_000000	His eyes had grown quite small, like pigs' eyes, his nose was huge and hung down over his mouth and chin, his throat seemed to have disappeared altogether, and his head was fixed stiffly between his shoulders.	His eyes had grown quite small, like pigs' eyes, his nose was huge and hung down over his mouth and chin, his throat seemed to have disappeared altogether, and his head was fixed stiffly between his shoulders.	false	1285.88	1301.32	22.479399
7481_101276_000075_000001	He was no taller than he had been seven years ago, when he was not much more than twelve years old, but he made up in breadth, and his back and chest had grown into lumps like two great sacks.	He was no taller than he had been seven years ago, when he was not much more than twelve years old, but he made up in breadth, and his back and chest had grown into lumps like two great sacks.	true	1301.36	1314.13	22.220577
7481_101276_000075_000002	His legs were small and spindly, but his arms were as large as those of a well-grown man, with large brown hands, and long skinny fingers.	His legs were small and spindly, but his arms were as large as those of a well grown man, with large brown hands, and long skinny fingers.	true	1314.71	1325.35	21.782131
7481_101276_000076_000000	Then he remembered the morning when he had first seen the old woman, and her threats to him, and without saying a word he left the barber's shop.	Then he remembered the morning when he had first seen the old woman, and her threats to him, and without saying a word he left the barber's shop.	true	1325.78	1335.46	18.70975
7481_101276_000077_000000	He determined to go again to his mother, and found her still in the market-place.	He determined to go again to his mother, and found her still in the market place.	true	1335.98	1340.98	21
7481_101276_000077_000001	He begged her to listen quietly to him, and he reminded her of the day when he went away with the old woman, and of many things in his childhood, and told her how the fairy had bewitched him, and he had served her seven years.	He begged her to listen quietly to him, and he reminded her of the day when he went away with the old woman, and of many things in his childhood, and told her how the fairy had bewitched him, and he had served her seven years.	false	1341.35	1356.13	19.373014
7481_101276_000077_000002	Hannah did not know what to think--the story was so strange; and it seemed impossible to think her pretty boy and this hideous dwarf were the same.	Hannah did not know what to think-the story was so strange; and it seemed impossible to think her pretty boy and this hideous dwarf were the same.	false	1356.65	1366.18	19.84396
7481_101276_000077_000003	At last she decided to go and talk to her husband about it.	At last she decided to go and talk to her husband about it.	true	1366.67	1370.56	20.50591
7481_101276_000077_000004	She gathered up her baskets, told Jem to follow her, and went straight to the cobbler's stall.	She gathered up her baskets, told Jem to follow her, and went straight to the cobbler's stall.	true	1370.84	1377.31	23.616007
7481_101276_000078_000000	'Look here,' said she, 'this creature says he is our lost son.	'Look here,' said she, 'this creature says he is our lost son.	true	1377.86	1382.98	20.414791
7481_101276_000078_000001	He has been telling me how he was stolen seven years ago, and bewitched by a fairy.'	He has been telling me how he was stolen seven years ago, and bewitched by a fairy.'	true	1383.38	1388.86	20.223011
7481_101276_000079_000000	'Indeed!' interrupted the cobbler angrily.	'Indeed!' interrupted the cobbler angrily.	true	1389.2	1392.16	20.781845
7481_101276_000079_000001	'Did he tell you this?	'Did he tell you this?	true	1392.32	1393.84	19
7481_101276_000079_000002	Wait a minute, you rascal!	Wait a minute, you rascal!	true	1393.94	1395.7	20.657877
7481_101276_000079_000003	Why I told him all about it myself only an hour ago, and then he goes off to humbug you.	Why I told him all about it myself only an hour ago, and then he goes off to humbug you.	false	1395.83	1401.97	22.026888
7481_101276_000079_000004	So you were bewitched, my son were you?	So you were bewitched, my son were you?	true	1402.28	1405.11	19.779417
7481_101276_000079_000005	Wait a bit, and I'll bewitch you!'	Wait a bit, and I'll bewitch you!'	true	1405.11	1407.4	23.185379
7481_101276_000080_000000	So saying, he caught up a bundle of straps, and hit out at Jem so hard that he ran off crying.	So saying, he caught up a bundle of straps, and hit out at Jem so hard that he ran off crying.	true	1407.8	1414.36	21.359478
7481_101276_000081_000000	The poor little dwarf roamed about all the rest of the day without food or drink, and at night was glad to lie down and sleep on the steps of a church.	The poor little dwarf roamed about all the rest of the day without food or drink, and at night was glad to lie down and sleep on the steps of a church.	false	1415.15	1425.04	22.836653
7481_101276_000081_000001	He woke next morning with the first rays of light, and began to think what he could do to earn a living.	He woke next morning with the first rays of light, and began to think what he could do to earn a living.	true	1425.53	1431.7	21.687475
7481_101276_000081_000002	Suddenly he remembered that he was an excellent cook, and he determined to look out for a place.	Suddenly he remembered that he was an excellent cook, and he determined to look out for a place.	true	1432.16	1438.18	21.333578
7481_101276_000082_000000	As soon as it was quite daylight he set out for the palace, for he knew that the grand duke who reigned over the country was fond of good things.	As soon as it was quite daylight he set out for the palace, for he knew that the grand duke who reigned over the country was fond of good things.	true	1438.88	1447.9	21.040054
7481_101276_000083_000000	When he reached the palace all the servants crowded about him, and made fun of him, and at last their shouts and laughter grew so loud that the head steward rushed out, crying, 'For goodness sake, be quiet, can't you.	When he reached the palace all the servants crowded about him, and made fun of him, and at last their shouts and laughter grew so loud that the head steward rushed out, crying, 'For goodness sake, be quiet, can't you.	true	1448.57	1462.69	22.784895
7481_101276_000083_000001	Don't you know his highness is still asleep?'	Don't you know his highness is still asleep?'	true	1462.85	1465.63	20.02509
7481_101276_000084_000000	Some of the servants ran off at once, and others pointed out Jem.	Some of the servants ran off at once, and others pointed out Jem.	true	1465.82	1470.43	21.504221
7481_101276_000085_000000	Indeed, the steward found it hard to keep himself from laughing at the comic sight, but he ordered the servants off and led the dwarf into his own room.	Indeed, the steward found it hard to keep himself from laughing at the comic sight, but he ordered the servants off and led the dwarf into his own room.	true	1470.98	1480.12	20.57736
7481_101276_000086_000000	When he heard him ask for a place as cook, he said: 'You make some mistake, my lad.	When he heard him ask for a place as cook, he said: 'You make some mistake, my lad.	false	1480.61	1486.57	19.83069
7481_101276_000086_000001	I think you want to be the grand duke's dwarf, don't you?'	I think you want to be the grand duke's dwarf, don't you?'	true	1486.67	1489.87	21.163929
7481_101276_000087_000000	'No, sir,' replied Jem. 'I am an experienced cook, and if you will kindly take me to the head cook he may find me of some use.'	'No, sir,' replied Jem. 'I am an experienced cook, and if you will kindly take me to the head cook he may find me of some use.'	true	1490.39	1499.08	20.963484
7481_101276_000088_000000	'Well, as you will; but believe me, you would have an easier place as the grand ducal dwarf.'	'Well, as you will; but believe me, you would have an easier place as the grand ducal dwarf.'	true	1499.75	1506.1	20.982323
7481_101276_000089_000000	So saying, the head steward led him to the head cook's room.	So saying, the head steward led him to the head cook's room.	true	1506.62	1510.42	21.335049
7481_101276_000090_000000	'Sir,' asked Jem, as he bowed till his nose nearly touched the floor, 'do you want an experienced cook?'	'Sir,' asked Jem, as he bowed till his nose nearly touched the floor, 'do you want an experienced cook?'	true	1510.85	1518.46	19.601772
7481_101276_000091_000000	The head cook looked him over from head to foot, and burst out laughing.	The head cook looked him over from head to foot, and burst out laughing.	true	1518.95	1523.29	21.00256
7481_101276_000092_000000	'You a cook!	'You a cook!	true	1523.45	1525.03	20.332233
7481_101276_000092_000001	Do you suppose our cooking stoves are so low that you can look into any saucepan on them?	Do you suppose our cooking stoves are so low that you can look into any saucepan on them?	true	1525.16	1531.21	18
7481_101276_000092_000002	Oh, my dear little fellow, whoever sent you to me wanted to make fun of you.'	Oh, my dear little fellow, whoever sent you to me wanted to make fun of you.'	true	1531.64	1536.31	21.134226
7481_101276_000093_000000	But the dwarf was not to be put off.	But the dwarf was not to be put off.	true	1536.86	1539.19	19.320219
7481_101276_000094_000000	'What matters an extra egg or two, or a little butter or flour and spice more or less, in such a house as this?' said he.	'What matters an extra egg or two, or a little butter or flour and spice more or less, in such a house as this?' said he.	true	1539.38	1547.11	20.181498
7481_101276_000094_000001	'Name any dish you wish to have cooked, and give me the materials I ask for, and you shall see.'	'Name any dish you wish to have cooked, and give me the materials I ask for, and you shall see.'	true	1547.48	1553.86	19.311348
7481_101276_000095_000000	He said much more, and at last persuaded the head cook to give him a trial.	He said much more, and at last persuaded the head cook to give him a trial.	true	1554.89	1559.77	22.503778
7481_101276_000096_000000	They went into the kitchen--a huge place with at least twenty fireplaces, always alight.	They went into the kitchen-a huge place with at least twenty fireplaces, always alight.	true	1560.5	1566.7	20.743782
7481_101276_000096_000001	A little stream of clear water ran through the room, and live fish were kept at one end of it.	A little stream of clear water ran through the room, and live fish were kept at one end of it.	true	1567.01	1573.15	20.525955
7481_101276_000096_000002	Everything in the kitchen was of the best and most beautiful kind, and swarms of cooks and scullions were busy preparing dishes.	Everything in the kitchen was of the best and most beautiful kind, and swarms of cooks and scullions were busy preparing dishes.	false	1573.43	1582	19.753067
7481_101276_000097_000000	When the head cook came in with Jem everyone stood quite still.	When the head cook came in with Jem everyone stood quite still.	true	1582.4	1586.92	21.095072
7481_101276_000098_000000	'What has his highness ordered for luncheon?' asked the head cook.	'What has his highness ordered for luncheon?' asked the head cook.	true	1587.56	1591.45	20.416943
7481_101276_000099_000000	'Sir, his highness has graciously ordered a Danish soup and red Hamburg dumplings.'	'Sir, his highness has graciously ordered a Danish soup and red Hamburg dumplings.'	true	1591.82	1598.44	21.259981
7481_101276_000100_000000	'Good,' said the head cook.	'Good,' said the head cook.	true	1598.75	1600.48	21.883343
7481_101276_000100_000001	'Have you heard, and do you feel equal to making these dishes?	'Have you heard, and do you feel equal to making these dishes?	true	1600.73	1604.56	19
7481_101276_000100_000002	Not that you will be able to make the dumplings, for they are a secret receipt.'	Not that you will be able to make the dumplings, for they are a secret receipt.'	true	1604.87	1609.18	21.7313
7481_101276_000101_000000	'Is that all!' said Jem, who had often made both dishes.	'Is that all!' said Jem, who had often made both dishes.	true	1609.52	1613.53	21.560476
7481_101276_000101_000001	'Nothing easier.	'Nothing easier.	true	1613.63	1614.88	19.460922
7481_101276_000101_000002	Let me have some eggs, a piece of wild boar, and such and such roots and herbs for the soup; and as for the dumplings,' he added in a low voice to the head cook, 'I shall want four different kinds of meat, some wine, a duck's marrow, some ginger, and a herb called heal-well.'	Let me have some eggs, a piece of wild boar, and such and such roots and herbs for the soup; and as for the dumplings,' he added in a low voice to the head cook, 'I shall want four different kinds of meat, some wine, a duck's marrow, some ginger, and a herb called heal well.'	true	1615.07	1636.21	20.335672
7481_101276_000102_000000	'Why,' cried the astonished cook, 'where did you learn cooking?	'Why,' cried the astonished cook, 'where did you learn cooking?	true	1636.79	1641.25	21.3656
7481_101276_000102_000001	Yes, those are the exact materials, but we never used the herb heal-well, which, I am sure, must be an improvement.'	Yes, those are the exact materials, but we never used the herb heal well, which, I am sure, must be an improvement.'	true	1641.56	1650.94	19.772766
7481_101276_000103_000000	And now Jem was allowed to try his hand.	And now Jem was allowed to try his hand.	true	1651.31	1654.39	19
7481_101276_000103_000001	He could not nearly reach up to the kitchen range, but by putting a wide plank on two chairs he managed very well.	He could not nearly reach up to the kitchen range, but by putting a wide plank on two chairs he managed very well.	true	1654.7	1662.61	22
7481_101276_000103_000002	All the cooks stood round to look on, and could not help admiring the quick, clever way in which he set to work.	All the cooks stood round to look on, and could not help admiring the quick, clever way in which he set to work.	true	1663.07	1670.23	20.243279
7481_101276_000103_000003	At last, when all was ready, Jem ordered the two dishes to be put on the fire till he gave the word.	At last, when all was ready, Jem ordered the two dishes to be put on the fire till he gave the word.	true	1670.57	1677.34	20.699759
7481_101276_000103_000004	Then he began to count: 'One, two, three,' till he got to five hundred when he cried, 'Now!' The saucepans were taken off, and he invited the head cook to taste.	Then he began to count: 'One, two, three,' till he got to five hundred when he cried, 'Now!' The saucepans were taken off, and he invited the head cook to taste.	true	1677.74	1691.68	21.936445
7481_101276_000104_000000	The first cook took a golden spoon, washed and wiped it, and handed it to the head cook, who solemnly approached, tasted the dishes, and smacked his lips over them.	The first cook took a golden spoon, washed and wiped it, and handed it to the head cook, who solemnly approached, tasted the dishes, and smacked his lips over them.	true	1692.2	1704.82	20.860931
7481_101276_000104_000001	'First rate, indeed!' he exclaimed.	'First rate, indeed!' he exclaimed.	true	1705.19	1708.09	21.158518
7481_101276_000104_000002	'You certainly are a master of the art, little fellow, and the herb heal-well gives a particular relish.'	'You certainly are a master of the art, little fellow, and the herb heal well gives a particular relish.'	true	1708.19	1715.56	20.439833
7481_101276_000105_000000	As he was speaking, the duke's valet came to say that his highness was ready for luncheon, and it was served at once in silver dishes.	As he was speaking, the duke's valet came to say that his highness was ready for luncheon, and it was served at once in silver dishes.	false	1716.23	1725.19	22.45531
7481_101276_000105_000001	The head cook took Jem to his own room, but had hardly had time to question him before he was ordered to go at once to the grand duke.	The head cook took Jem to his own room, but had hardly had time to question him before he was ordered to go at once to the grand duke.	true	1725.65	1734.91	21.039837
7481_101276_000105_000002	He hurried on his best clothes and followed the messenger.	He hurried on his best clothes and followed the messenger.	true	1735.28	1739.23	18.352318
7481_101276_000106_000000	The grand duke was looking much pleased.	The grand duke was looking much pleased.	true	1739.75	1742.56	19.554459
7481_101276_000106_000001	He had emptied the dishes, and was wiping his mouth as the head cook came in.	He had emptied the dishes, and was wiping his mouth as the head cook came in.	true	1742.66	1747.63	20.880299
7481_101276_000106_000002	'Who cooked my luncheon to-day?' asked he.	'Who cooked my luncheon to day?' asked he.	true	1747.94	1750.63	19.615425
7481_101276_000106_000003	'I must say your dumplings are always very good; but I don't think I ever tasted anything so delicious as they were to-day. Who made them?'	'I must say your dumplings are always very good; but I don't think I ever tasted anything so delicious as they were to day. Who made them?'	true	1750.91	1761.16	20.008806
7481_101276_000107_000000	'It is a strange story, your highness,' said the cook, and told him the whole matter, which surprised the duke so much that he sent for the dwarf and asked him many questions.	'It is a strange story, your highness,' said the cook, and told him the whole matter, which surprised the duke so much that he sent for the dwarf and asked him many questions.	true	1761.8	1772.44	18.845413
7481_101276_000107_000001	Of course, Jem could not say he had been turned into a squirrel, but he said he was without parents and had been taught cooking by an old woman.	Of course, Jem could not say he had been turned into a squirrel, but he said he was without parents and had been taught cooking by an old woman.	true	1772.78	1782.01	20.333698
7481_101276_000108_000000	'If you will stay with me,' said the grand duke, 'you shall have fifty ducats a year, besides a new coat and a couple of pairs of trousers.	'If you will stay with me,' said the grand duke, 'you shall have fifty ducats a year, besides a new coat and a couple of pairs of trousers.	true	1782.71	1792.15	20.89203
7481_101276_000108_000001	You must undertake to cook my luncheon yourself and to direct what I shall have for dinner, and you shall be called assistant head cook.'	You must undertake to cook my luncheon yourself and to direct what I shall have for dinner, and you shall be called assistant head cook.'	true	1792.49	1801.48	19.933222
7481_101276_000109_000000	Jem bowed to the ground, and promised to obey his new master in all things.	Jem bowed to the ground, and promised to obey his new master in all things.	true	1802.03	1807.18	20.603718
7481_101276_000110_000000	He lost no time in setting to work, and everyone rejoiced at having him in the kitchen, for the duke was not a patient man, and had been known to throw plates and dishes at his cooks and servants if the things served were not quite to his taste.	He lost no time in setting to work, and everyone rejoiced at having him in the kitchen, for the duke was not a patient man, and had been known to throw plates and dishes at his cooks and servants if the things served were not quite to his taste.	true	1807.79	1823.65	20.615276
7481_101276_000110_000001	Now all was changed.	Now all was changed.	true	1823.87	1825.9	21.410416
7481_101276_000110_000002	He never even grumbled at anything, had five meals instead of three, thought everything delicious, and grew fatter daily.	He never even grumbled at anything, had five meals instead of three, thought everything delicious, and grew fatter daily.	true	1825.91	1835.26	21.304064
7481_101276_000111_000000	And so Jem lived on for two years, much respected and considered, and only saddened when he thought of his parents.	And so Jem lived on for two years, much respected and considered, and only saddened when he thought of his parents.	true	1835.75	1844.29	20.202305
7481_101276_000111_000001	One day passed much like another till the following incident happened.	One day passed much like another till the following incident happened.	true	1844.72	1849.48	20.896269
7481_101276_000112_000000	Dwarf Long Nose--as he was always called--made a practice of doing his marketing as much as possible himself, and whenever time allowed went to the market to buy his poultry and fruit.	Dwarf Long Nose-as he was always called-made a practice of doing his marketing as much as possible himself, and whenever time allowed went to the market to buy his poultry and fruit.	true	1850.12	1862.89	20.305014
7481_101276_000112_000001	One morning he was in the goose market, looking for some nice fat geese.	One morning he was in the goose market, looking for some nice fat geese.	true	1863.44	1868.2	18.973454
7481_101276_000112_000002	No one thought of laughing at his appearance now; he was known as the duke's special body cook, and every goose-woman felt honoured if his nose turned her way.	No one thought of laughing at his appearance now; he was known as the duke's special body cook, and every goose woman felt honoured if his nose turned her way.	true	1868.72	1879.6	21.574902
7481_101276_000113_000000	He noticed one woman sitting apart with a number of geese, but not crying or praising them like the rest.	He noticed one woman sitting apart with a number of geese, but not crying or praising them like the rest.	false	1880.42	1887.61	20.529778
7481_101276_000113_000001	He went up to her, felt and weighed her geese, and, finding them very good, bought three and the cage to put them in, hoisted them on his broad shoulders, and set off on his way back.	He went up to her, felt and weighed her geese, and, finding them very good, bought three and the cage to put them in, hoisted them on his broad shoulders, and set off on his way back.	true	1887.92	1901.47	21.577555
7481_101276_000114_000000	As he went, it struck him that two of the geese were gobbling and screaming as geese do, but the third sat quite still, only heaving a deep sigh now and then, like a human being.	As he went, it struck him that two of the geese were gobbling and screaming as geese do, but the third sat quite still, only heaving a deep sigh now and then, like a human being.	true	1902.08	1915.09	21.528181
7481_101276_000114_000001	'That goose is ill,' said he; 'I must make haste to kill and dress her.'	'That goose is ill,' said he; 'I must make haste to kill and dress her.'	true	1915.52	1920.43	19.54004
7481_101276_000115_000000	But the goose answered him quite distinctly:	But the goose answered him quite distinctly:	true	1920.95	1923.7	21.62229
7481_101276_000116_000000	'Squeeze too tight And I'll bite, If my neck a twist you gave I'd bring you to an early grave.'	'Squeeze too tight And I'll bite, If my neck a twist you gave I'd bring you to an early grave.'	false	1924.13	1931.77	23.260376
7481_101276_000117_000000	Quite frightened, the dwarf set down the cage, and the goose gazed at him with sad wise-looking eyes and sighed again.	Quite frightened, the dwarf set down the cage, and the goose gazed at him with sad wise looking eyes and sighed again.	true	1932.17	1940.35	22.572075
7481_101276_000118_000000	'Good gracious!' said Long Nose.	'Good gracious!' said Long Nose.	true	1941.08	1943.38	20.367504
7481_101276_000118_000001	'So you can speak, Mistress Goose.	'So you can speak, Mistress Goose.	true	1943.51	1945.96	22
7481_101276_000118_000002	I never should have thought it!	I never should have thought it!	true	1946.27	1947.94	19.511559
7481_101276_000118_000003	Well, don't be anxious.	Well, don't be anxious.	true	1948.31	1949.89	20.906946
7481_101276_000118_000004	I know better than to hurt so rare a bird.	I know better than to hurt so rare a bird.	true	1950.05	1952.89	20.837818
7481_101276_000118_000005	But I could bet you were not always in this plumage--wasn't I a squirrel myself for a time?'	But I could bet you were not always in this plumage-wasn't I a squirrel myself for a time?'	true	1953.11	1959.25	20.15489
7481_101276_000119_000000	'You are right,' said the goose, 'in supposing I was not born in this horrid shape.	'You are right,' said the goose, 'in supposing I was not born in this horrid shape.	true	1960.16	1965.49	20
7481_101276_000119_000001	Ah! no one ever thought that Mimi, the daughter of the great Weatherbold, would be killed for the ducal table.'	Ah! no one ever thought that Mimi, the daughter of the great Weatherbold, would be killed for the ducal table.'	true	1965.62	1973.4	21.253626
7481_101276_000120_000000	'Be quite easy, Mistress Mimi,' comforted Jem. 'As sure as I'm an honest man and assistant head cook to his highness, no one shall harm you.	'Be quite easy, Mistress Mimi,' comforted Jem. 'As sure as I'm an honest man and assistant head cook to his highness, no one shall harm you.	false	1973.4	1984.57	19.550577
7481_101276_000120_000001	I will make a hutch for you in my own rooms, and you shall be well fed, and I'll come and talk to you as much as I can.	I will make a hutch for you in my own rooms, and you shall be well fed, and I'll come and talk to you as much as I can.	true	1985.06	1993.27	18.959684
7481_101276_000120_000002	I'll tell all the other cooks that I am fattening up a goose on very special food for the grand duke, and at the first good opportunity I will set you free.'	I'll tell all the other cooks that I am fattening up a goose on very special food for the grand duke, and at the first good opportunity I will set you free.'	false	1993.97	2003.68	21.909662
7481_101276_000121_000000	The goose thanked him with tears in her eyes, and the dwarf kept his word.	The goose thanked him with tears in her eyes, and the dwarf kept his word.	true	2004.47	2009.32	21.930992
7481_101276_000121_000001	He killed the other two geese for dinner, but built a little shed for Mimi in one of his rooms, under the pretence of fattening her under his own eye.	He killed the other two geese for dinner, but built a little shed for Mimi in one of his rooms, under the pretence of fattening her under his own eye.	true	2009.6	2019.34	21.313374
7481_101276_000121_000002	He spent all his spare time talking to her and comforting her, and fed her on all the daintiest dishes.	He spent all his spare time talking to her and comforting her, and fed her on all the daintiest dishes.	true	2019.89	2027.02	19.12856
7481_101276_000121_000003	They confided their histories to each other, and Jem learnt that the goose was the daughter of the wizard Weatherbold, who lived on the island of Gothland.	They confided their histories to each other, and Jem learnt that the goose was the daughter of the wizard Weatherbold, who lived on the island of Gothland.	true	2027.45	2037.52	21.452562
7481_101276_000121_000004	He fell out with an old fairy, who got the better of him by cunning and treachery, and to revenge herself turned his daughter into a goose and carried her off to this distant place.	He fell out with an old fairy, who got the better of him by cunning and treachery, and to revenge herself turned his daughter into a goose and carried her off to this distant place.	true	2037.92	2050.75	20.53648
7481_101276_000121_000005	When Long Nose told her his story she said:	When Long Nose told her his story she said:	true	2051.36	2054.38	17.093151
